tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
"b'@_Manasvin Hey, thanks for sharing this thread from @digitaldutta. Read the whole version here:\\u2026 https://t.co/oNt1s51m2U'",b'1209092690723385344',b'Threader',b'threader_app',b'Author? You can opt-out with the keyword \\u201cpause\\u201d',"b'Get good Twitter threads, every day \\u2022 Apple\\u2019s App of the Day \\u2022 Mention us with the keyword \\u201ccompile\\u201d on a thread to turn it into an ad-free, single page.'",b'21545',b'1027',b'114',b'48386',b'3465',b'False',b'False',b'False',b'False',b'2017-08-23 08:21:43'
b'FACTS\\nModi lies again\\nYesterday he said there were no detention centres. \\n\\n#IndiaAgainstNRC #IndiaAgainstCAA\\u2026 https://t.co/yU0l4xPKkR',b'1209092277722681344',b'Niraj Doiphode',b'niraj_doiphode',b'',b'Keep it Real.',b'22',b'100',b'0',b'32',b'59',b'False',b'False',b'True',b'False',b'2014-10-29 21:10:34'
b'@narendramodi and @AmitShah s india #IndiaAgainstCAA_NRC #IndiaAgainstCAA #IndiaHatesModi https://t.co/Zsb8m2e7tM',b'1209092245347016704',b'Iqbal Mohammed',b'iqqumufc',"b'Bengaluru, India'",b'If heaven is for reall it must be for humans! Not for religions\\n\\n\\u2764\\ufe0fMUFC| GGMU',b'144',b'567',b'1',b'4097',b'8755',b'False',b'False',b'True',b'False',b'2019-10-16 15:43:10'
b'@BhimArmyChief Hamdiya Imran a #Muslim child from #India in #CAA_NRC_Protests \\n\\n#IndiaAgainstCAA\\u2026 https://t.co/WmcqiRmiO0',b'1209092212832776194',b'Muadh Khan',b'Muadh_Khan',b'',b'Eternally Positive',b'1058',b'419',b'51',b'474',b'2445',b'False',b'False',b'False',b'False',b'2009-05-11 08:47:41'
b'Posters of #IndiaAgainstCAA https://t.co/w9OMGD8f8m',b'1209091700733419520',b'Karthik',b'beastoftraal',b'Bangalore',"b'Communications consultant (see pinned tweet). Corporate workshops on personal branding via social media. Own @milliblog, ItwoFS & @NoWordYet.'",b'37642',b'1380',b'696',b'147653',b'4662',b'True',b'False',b'False',b'False',b'2008-12-18 01:28:52'
"b""I'm pucturewala protesting against hate and divide\\n#PunctureNRC\\n#PunctureCAA\\n#IndiaAgainstCAA \\n#IndiaAgainstNRC https://t.co/IU7rc0SXan""",b'1209091342090960897',b'Gulab Pasha',b'gulabpasha',b'India/Bangalore',b'Social Activist\\nMember of Swaraj India',b'42',b'85',b'0',b'1008',b'30',b'False',b'False',b'False',b'False',b'2009-05-07 08:44:29'
b'@imMAK02 And vice-versa too!\\n#IndiaAgainstCAA',b'1209091286566764550',b'Mohammad Aqib Khan',b'iKhanAqib',"b'New Delhi, India'",b'Lawyer',b'13',b'42',b'0',b'21',b'539',b'False',b'False',b'True',b'False',b'2011-07-21 12:33:44'
b'.@katyperry @rihanna @taylorswift13 @Beyonce @solangeknowles @britneyspears @xtina @ArianaGrande @selenagomez\\u2026 https://t.co/WbrWreqBID',b'1209091172930596869',b'\\U0001d578\\U0001d594\\U0001d58d\\U0001d586\\U0001d592\\U0001d592\\U0001d58a\\U0001d589 \\U0001d57f\\U0001d586\\U0001d593\\U0001d589\\U0001d58e\\U0001d586-\\U0001d571\\U0001d586\\u0304\\U0001d599\\U0001d586\\U0001d592\\U0001d586',b'mohammedtandia',"b""I'm right here""","b""'\\U0001d516\\U0001d522\\U0001d52f\\U0001d522 \\U0001d524\\U0001d51e\\U0001d51f\\U0001d522 \\U0001d534\\U0001d51e \\U0001d530\\U0001d52c\\U0001d466\\U0001d526\\U0001d52b\\U0001d526 \\U0001d51e\\U0001d52b \\U0001d521\\U0001d51e\\U0001d52b\\u014b\\U0001d51e, \\U0001d535\\U0001d51e \\U0001d525\\U0001d52c\\U0001d52f\\U0001d522 \\U0001d52b\\u0301\\U0001d526\\U0001d51e\\u0304\\U0001d52b\\U0001d51e \\U0001d51e \\U0001d520\\U0001d51e\\U0001d52a\\U0001d51f\\U0001d522\\U0001d52b \\U0001d534\\U0001d532\\U0001d52f\\U0001d522' - \\U0001d504 \\U0001d516\\U0001d52c\\U0001d52b\\U0001d526\\U0001d52b\\U0001d458\\U0001d522 \\U0001d52d\\U0001d52f\\U0001d52c\\U0001d533\\U0001d522\\U0001d52f\\U0001d51f \\U0001f61c""",b'429',b'1958',b'79',b'40261',b'5946',b'False',b'False',b'False',b'False',b'2011-05-19 18:40:21'
"b'@_YogendraYadav \\u091c\\u0940 \\u0915\\u0947 \\u0938\\u093e\\u0925\\nMarch : Mandi House to Jantar Mantar | 24th Dec, 12:30PM\\n\\n#\\u0939\\u092e_\\u092d\\u093e\\u0930\\u0924_\\u0915\\u0947_\\u0932\\u094b\\u0917\\u2026 https://t.co/CUngyv7LJd'",b'1209091141758382081',b'AK Abbas \\u0639\\u0628\\u0627\\u0633',b'aleemkhan0091',"b'New Delhi, India'",b'I believe in the Power of Words.... |Social Activist | RT - Endorsement |',b'1438',b'328',b'0',b'4518',b'18098',b'False',b'False',b'True',b'False',b'2016-12-01 09:12:49'
b'@SushantBSinha \\u0915\\u0943\\u092a\\u094d\\u092f\\u093e \\u0917\\u094b\\u0926\\u0940 \\u0915\\u0941\\u0924\\u094d\\u0924\\u094b\\u0902 \\u0938\\u0947 \\u0938\\u093e\\u0935\\u0927\\u093e\\u0928\\n\\n\\u0907\\u0928\\u0915\\u0947 \\u092e\\u0941\\u0924\\u093e\\u092c\\u093f\\u0915 \\u0905\\u0917\\u0930 \\u092c\\u093e\\u0922\\u093c \\u0906 \\u091c\\u093e\\u090f \\u0909\\u0938\\u0915\\u0947 \\u092c\\u093e\\u0926 \\u092c\\u093e\\u0902\\u0927 \\u092c\\u0928\\u093e\\u0928\\u093e \\u091a\\u093e\\u0939\\u093f\\u090f\\u0964\\u2026 https://t.co/aguhWh1DpF',b'1209091056383537153',b'Hindustani Khan',b'kasimkhanpathan',b'',b'A Common Man From The Society Of Mukdarshak',b'80',b'316',b'0',b'8406',b'6286',b'False',b'False',b'True',b'False',b'2011-09-08 07:09:12'
