tweet_text,tweet_id,user_name,user_screen_name,user_location,user_description,user_follower_count,user_friends_count,user_listed_count,user_statuses_count,user_favourites_count,user_verified,user_default_profile_image,user_default_profile,user_protected,user_created_at
b'@BDUTT BREAKING:\\nYes here you go...in your style\\n \\nIslamic Terrorist Shah rukh son of a terrorist arrested\\u2026 https://t.co/7T8LgEdfaM',b'1231988023320956931',b'Five5starA',b'Five5starA',b'2001 - Start of #Thala Era \\u2714',b'An Ardent Follower of #Thala \\u300b#AjithKumar',b'2253',b'2081',b'103',b'181647',b'197552',b'False',b'False',b'False',b'False',b'2014-01-29 16:26:01'
b'Everything is not changa si! \\n#DelhiPolice \\n#ArrestKapilMishra\\n#Jafrabad #Bhajanpura #DelhiBurning \\n@AmitShah \\n@PMOIndia \\n@narendramodi',b'1231988014584340481',b'RITESH KUMAR',b'RITESHK736',b'new delhi ',b'Grad. from hindu collge (d. u) \\n.Post. grad from IGNOU.Believer in democary and secularism.Delhite',b'45',b'370',b'0',b'329',b'3511',b'False',b'False',b'True',b'False',b'2014-05-13 02:53:43'
b'#DelhiPolice #DCP #Shahadra Amit Sharma is very critical. #DelhiBurning  \\U0001f621\\U0001f621 https://t.co/gpwjoWcW9c',b'1231988005998514176',b'Rahul Anand',b'Rahul_saffron',b'NEW DELHI',"b""\\u091c\\u092f \\u091c\\u0917\\u0924 !\\nEx- National Executive Member-Communication Cell,(BJP) \\n#PRO people who shine from within don't need the spotlight\\xb7 tweets are personal:new delhi""",b'14474',b'4176',b'34',b'31243',b'7140',b'False',b'False',b'False',b'False',b'2010-09-06 19:37:33'
"b'\\u0935\\u0947 \\u0905\\u092a\\u0928\\u0947 \\u0939\\u093e\\u0925\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0936\\u0930\\u093f\\u092f\\u093e \\u0915\\u093e \\u0935\\u093f\\u0927\\u093e\\u0928 \\u0932\\u0947 \\u0932\\u0947\\u0924\\u0947 \\u0939\\u0948\\u0902 \\n\\n\\u091c\\u093f\\u0928\\u0915\\u094b \\u0938\\u092e\\u091d\\u094b \\u092d\\u093e\\u0908\\u091c\\u093e\\u0928, \\u0935\\u094b \\u092d\\u093e\\u0908 \\u091c\\u093e\\u0928 \\u0932\\u0947 \\u0932\\u0947\\u0924\\u0947 \\u0939\\u0948\\u0902\\n#DelhiBurning #DelhiPolice'",b'1231987988491534336',b'Simrtharam Jat',b'jat_simrtharam',"b'\\u092c\\u093e\\u0921\\u093c\\u092e\\u0947\\u0930, \\u092d\\u093e\\u0930\\u0924'","b'\\u0930\\u0941\\u0932\\u093e\\u092f\\u093e \\u0928\\u093e \\u0915\\u0930 \\u0939\\u0930 \\u092c\\u093e\\u0924 \\u092a\\u0930  \\u090f \\u091c\\u093f\\u0902\\u0926\\u0917\\u0940...\\U0001f614\\U0001f614 , \\u091c\\u0930\\u0942\\u0930\\u0940 \\u0928\\u0939\\u0940\\u0902 \\u0938\\u092c\\u0915\\u0940 \\u0915\\u093f\\u0938\\u094d\\u092e\\u0924 \\u092e\\u0947\\u0902 \\u091a\\u0941\\u092a \\u0915\\u0930\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u0939\\u094b... \\U0001f622\\U0001f622'",b'244',b'166',b'0',b'764',b'2439',b'False',b'False',b'True',b'False',b'2019-02-15 04:44:09'
b'Bss ek din aur Delhi.. let Trump return safety.. will show what and who are hindus\\n#DelhiBurning\\n#DelhiPolice\\u2026 https://t.co/fv9MmvV9oR',b'1231987978672705536',b'Dhiraj Masurkar',b'DhirajMasurkar',b'India',b'',b'13',b'135',b'0',b'607',b'598',b'False',b'False',b'True',b'False',b'2016-11-16 07:58:19'
"b'Come morning and one section of the #media will be telling the sob story of this man who fired 8 rounds,  waved gun\\u2026 https://t.co/XiTPsA0q5J'",b'1231987972053991424',b'Aarti Thakur',b'aartithakurjha',b'India',"b""all are actors in this world it's just that some get paid for it!!!The world,  society needs saving and we all need to do our bit .checkout fb page pointBeing""",b'155',b'237',b'0',b'5068',b'2188',b'False',b'False',b'True',b'False',b'2017-07-18 07:18:39'
"b""His name is ' SHAHRUKH KHAN' and He is a 'TERRORIST'.\\n#DelhiBurning\\n#DelhiViolence\\n#DelhiPolice https://t.co/CwP7VsM9MR""",b'1231987951845990401',b'\\U0001f1ee\\U0001f1f3\\u0928\\u093f\\u0924\\u093f\\u0928 \\u092a\\u093e\\u091f\\u0940\\u0932\\U0001f1ee\\U0001f1f3',b'iNitin_Patil',"b'Dhule, Maharashtra'",b'[Veteran] [INDIAN ARMY] [Nation First] \\U0001f1ee\\U0001f1f3\\nFollowed by @nsitharamanoffc @OfficeOfRKSingh @TcGehlotOffice @KailashOnline',b'23634',b'4486',b'33',b'11505',b'9789',b'False',b'False',b'True',b'False',b'2016-03-31 01:24:19'
b'\\u0905\\u092c \\u0924\\u094b \\u091c\\u0948\\u0938\\u0947 \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u0935\\u0948\\u0938\\u093e \\u0915\\u0930\\u0928\\u093e \\u092a\\u0921\\u0947\\u0917\\u093e.\\n\\n\\u0932\\u093e\\u0924\\u094b \\u0915\\u0947 \\u092d\\u0941\\u0924 \\u092c\\u093e\\u0924\\u094b \\u0938\\u0947 \\u0928\\u0939\\u093f \\u092e\\u093e\\u0928\\u0924\\u0947\\u0964\\n\\n#DelhiPolice \\U0001f1ee\\U0001f1f3 with you https://t.co/XCP458gnJT',b'1231987939955150848',b'Jay Thakkar',b'jaypopat068',"b'Surat, India'",b'#Jay_Hind\\U0001f1ee\\U0001f1f3\\n\\u0907\\u0902\\u0915\\u0932\\u093e\\u092c \\u0915\\u093e \\u0926\\u0940\\u0935\\u093e\\u0928\\u093e\\U0001f1ee\\U0001f1f3',b'132',b'210',b'0',b'459',b'10548',b'False',b'False',b'True',b'False',b'2017-03-08 11:16:34'
"b'\\U0001f62d\\U0001f62d\\U0001f62dWhy Ivanka why?\\nModiji Built 3000 crazy statue, you must click a photo with that..!\\n#NamasteyTrump\\n#DelhiPolice\\u2026 https://t.co/Lv9gF2fVDK'",b'1231987937140715520',b'Madhab Ruidas',b'RuidasMadhab',"b'West Bengal, India'","b'Student(BA in Pols,BALLB under CU),Ambedkarite,Rationalist,Reader, Listener,Democratic,Feminist,Future Lawyer, Believe in Jai Bhim-Lal Selam\\u2764\\u270a\\U0001f499'",b'232',b'406',b'0',b'647',b'6437',b'False',b'False',b'True',b'False',b'2019-03-20 02:50:37'
b'@cpimspeak \\u092c\\u093e\\u092e \\u092a\\u0902\\u0925\\u0940 \\u091a\\u093e\\u0907\\u0928\\u093e \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u092e\\u093f\\u0932\\u0915\\u0930 \\u0926\\u0947\\u0936 \\u0915\\u094b \\u092c\\u0930\\u094d\\u092c\\u093e\\u0926 \\u0915\\u0930\\u0928\\u0947\\u092a\\u0947 \\u0932\\u0917\\u093e\\u0939\\u0947 \\n\\n\\u091c\\u093f\\u0924\\u0928\\u0947 \\u0926\\u0947\\u0936 \\u0935\\u093f\\u0930\\u094b\\u0927\\u0940 \\u0915\\u093e\\u0930\\u094d\\u092f \\u092e\\u0947\\u0902 \\u0907\\u0928\\u0915\\u093e \\u0915\\u093e\\u0930\\u094d\\u092f\\u0915\\u0930\\u094d\\u0924\\u093e \\u092e\\u093e\\u0939\\u093f\\u2026 https://t.co/fX1BIyJzms',b'1231987925300039681',b'Rajesh Mishra (\\u0930\\u093e\\u091c\\u0947\\u0936 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e )',b'RajeshMishraIND',b'\\u092e\\u093e\\u0901 \\u092d\\u093e\\u0930\\u0924\\u0940 \\u0915\\u093e \\u0938\\u0902\\u0924\\u093e\\u0928 ',b'\\u092a\\u0939\\u0932\\u0947 \\u092e\\u0947\\u0930\\u093e \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930 | \\u092b\\u093f\\u0930 \\u0930\\u093e\\u091c\\u094d\\u092f | \\u092b\\u093f\\u0930 \\u0938\\u0939\\u0930 | \\u092b\\u093f\\u0930 \\u092e\\u0947\\u0930\\u093e \\u0917\\u093e\\u0913\\u0902 | \\u092b\\u093f\\u0930 \\u092e\\u0947\\u0930\\u093e \\u0915\\u0930\\u094d\\u092e \\u092d\\u0942\\u092e\\u093f | \\u0905\\u0902\\u0924 \\u092e\\u0947\\u0902 \\u092e\\u0947\\u0902\\u0964 \\n\\u0917\\u0930\\u094d\\u092c \\u0938\\u0947 \\u0915\\u0939\\u0924\\u093e\\u0939\\u0942\\u0902-\\u092e\\u0947\\u0902 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928\\u0940 \\u0939\\u0942\\u0901 \\u0914\\u0930 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0939\\u0942\\u0901 | \\u091c\\u092f \\u0939\\u093f\\u0928\\u094d\\u0926 |',b'69',b'350',b'0',b'1331',b'905',b'False',b'False',b'False',b'False',b'2013-06-11 10:47:03'
