b'\\u0b9f\\u0bc6\\u0bb2\\u0bcd\\u0bb2\\u0bbf\\u0baf\\u0bbf\\u0bb2\\u0bcd \\u0b9a\\u0bbf\\u0b8f\\u0b8f \\u0bb5\\u0ba9\\u0bcd\\u0bae\\u0bc1\\u0bb1\\u0bc8... \\u0baa\\u0bcb\\u0bb2\\u0bc0\\u0bb8\\u0bcd\\u0b95\\u0bbe\\u0bb0\\u0bb0\\u0bcd \\u0b89\\u0bb3\\u0bcd\\u0baa\\u0b9f 2 \\u0baa\\u0bc7\\u0bb0\\u0bcd \\u0baa\\u0bb2\\u0bbf..  \\u0ba4\\u0bc1\\u0ba3\\u0bc8 \\u0b95\\u0bae\\u0bbf\\u0bb7\\u0bcd\\u0ba9\\u0bb0\\u0bcd \\u0b95\\u0bbe\\u0baf\\u0bae\\u0bcd  https://t.co/0L2jmAhACt\\u2026 https://t.co/xsndMcoi7k',b'1231978801346703360',b'Oneindia Tamil',b'thatsTamil',b'India',b'\\u0b92\\u0ba9\\u0bcd\\u0b87\\u0ba8\\u0bcd\\u0ba4\\u0bbf\\u0baf\\u0bbe https://t.co/LM9RRYfvBE #\\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bcd \\u0b87\\u0ba3\\u0bc8\\u0baf\\u0ba4\\u0bcd\\u0ba4\\u0bb3\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0ba9\\u0bcd \\u0b85\\u0ba4\\u0bbf\\u0b95\\u0bbe\\u0bb0\\u0baa\\u0bcd\\u0baa\\u0bc2\\u0bb0\\u0bcd\\u0bb5 \\u0baa\\u0b95\\u0bcd\\u0b95\\u0bae\\u0bcd. Follow latest news here https://t.co/aYGRfmMjeO',b'372968',b'29',b'868',b'282806',b'3',b'True',b'False',b'False',b'False',b'2008-12-17 09:00:53'
b'\\u0938\\u0902\\u092f\\u0941\\u0915\\u094d\\u0924 \\u092a\\u093e\\u0930\\u093f\\u0935\\u093e\\u0930\\u093f\\u0915 \\u0918\\u0930 \\u092e\\u0947\\u0902 \\u091c\\u092c \\u0915\\u094b\\u0908 \\u092e\\u0947\\u0939\\u092e\\u093e\\u0928 \\u0930\\u0939\\u0924\\u0947 \\u0939\\u0948\\u0902 \\u0924\\u092c \\u091c\\u094d\\u092f\\u093e\\u0926\\u093e \\u092e\\u0938\\u094d\\u0924\\u0940 \\u0935\\u0939\\u0940 \\u0914\\u0932\\u093e\\u0926 \\u0915\\u0930\\u0924\\u0940 \\u0939\\u0948 \\u091c\\u094b \\u0935\\u0930\\u094d\\u0937\\u094b\\u0902 \\u0938\\u0947 \\u0938\\u093f\\u0930 \\u091a\\u0922\\u093c\\u0940 \\u0939\\u094b\\u0924\\u0940 \\u0939\\u0948 \\u0964\\n\\u0909\\u2026 https://t.co/COUNomG6TX',b'1231978785500614660',b'\\u0915\\u0941\\u0901\\u0935\\u0930 \\u0930\\u093e\\u092e \\u0930\\u093e\\u0918\\u0935 \\u0917\\u0941\\u092a\\u094d\\u0924',b'NMORAGHVAY',b'',"b'\\u0905\\u091c\\u0928\\u092c\\u0940 \\u0926\\u0941\\u0928\\u093f\\u092f\\u093e \\u0915\\u094b \\u0905\\u092a\\u0928\\u093e \\u092c\\u0928\\u093e\\u0928\\u0947 \\u0915\\u0940 \\u091a\\u093e\\u0939\\u0924, Political Thinkar, nationalist'",b'1434',b'232',b'0',b'6157',b'7868',b'False',b'False',b'True',b'False',b'2019-08-01 17:21:46'
b'@jena_anjan @i_am_koushikb @memewatii @BBCIndia 100 crore and 15 crore proud Hindutva terrorism\\n#DelhiViolence\\u2026 https://t.co/mEoD8wJUQd',b'1231978781092564993',b'Vomit shah',b'RetardAkABhakt',b'India',b'Jaa Ke Record Check Kar Insaan Hai Ki Bhagwan Jisne Follow Kiya Usko Follow Back Diya',b'146',b'168',b'0',b'1153',b'659',b'False',b'False',b'True',b'False',b'2020-01-10 16:10:04'
b'Welcome to new India.... Still if you are silent against those #criminal.. Next may be you\\n#DelhiPolice\\u2026 https://t.co/ioThQgoZ1t',b'1231978768064892930',b'Aman Raza',b'AmanRaz85949697',"b'New Delhi, India'",b'Bsc aeronautics(avionics) \\njamia millia islamia \\nNew delhi',b'12',b'17',b'0',b'38',b'471',b'False',b'False',b'True',b'False',b'2020-01-21 20:36:23'
"b""#DelhiBurningWelcome to #Modi's #India\\n\\nHindutva extremist mob lynching a Muslim man in #Bhajanpura today.\\u2026 https://t.co/luyJ2bWhb6""",b'1231978750587416579',b'Inshal Khan',b'InshalK23156411',b'Karachi malir',b'rahte hain Karachi ma magr log London wala bolte hain From mqm',b'232',b'737',b'1',b'674',b'1593',b'False',b'False',b'True',b'False',b'2020-02-14 07:08:04'
"b""Enough is enough I think @ianuragthakur is right during delhi election 'Desh ke gadaro ko Goli Maro salo ko'\\u2026 https://t.co/kaAx0PSyiA""",b'1231978710858858497',b'Proud Indian',b'proud_indian_1',b'India',b'Interested in politics & cricket',b'1665',b'3025',b'5',b'3428',b'766',b'False',b'False',b'True',b'False',b'2016-02-16 16:18:41'
"b'\\u0915\\u094d\\u092f\\u093e \\u092f\\u0939 \\u0906\\u0924\\u0902\\u0915\\u0935\\u093e\\u0926 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u0948\\u0964 \\u0907\\u0938\\u0947 \\u0930\\u094b\\u0915\\u0928\\u0947 \\u0915\\u0947 \\u092c\\u091c\\u093e\\u092f, \\u0915\\u093e\\u092f\\u0930 #DelhiPolice \\u0926\\u0902\\u0917\\u093e\\u0907\\u092f\\u094b\\u0902 \\u0915\\u094b \\u0938\\u0941\\u0930\\u0915\\u094d\\u0937\\u093e \\u092a\\u094d\\u0930\\u0926\\u093e\\u0928 \\u0915\\u0930\\u0924\\u0940 \\u0939\\u0948\\u0964 \\u0915\\u094d\\u092f\\u094b\\u0902\\u2753\\u2026 https://t.co/OYEkb8uZ9o'",b'1231978664687882241',b'Mohammad Shafique \\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3/__\\u0645\\u062d\\u0645\\u0645\\u062f \\u0634\\u0641\\u06cc\\u0642',b'msa_7620',b'\\u0627\\u067e\\u0646\\u06cc \\u0627\\u0648\\u0642\\u0627\\u062a \\u0645\\u06cc\\u06ba\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3',b'i am Proud To Be Indian\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3 Muslim\\U0001f54c\\U0001f54c\\n follow me instagram \\U0001f447\\U0001f447\\U0001f447\\nhttps://t.co/K2uy8nU1IN',b'3237',b'2510',b'1',b'9340',b'10267',b'False',b'False',b'True',b'False',b'2018-06-21 04:52:19'
b'\\u0906\\u092e \\u091c\\u0928\\u0924\\u093e \\u0915\\u094b \\u092a\\u0930\\u0947\\u0936\\u093e\\u0928 \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947..  \\n\\u0935 \\u0926\\u0947\\u0936 \\u0915\\u0940 \\u0938\\u0902\\u092a\\u0924\\u094d\\u0924\\u093f \\u0915\\u093e \\u0928\\u0941\\u0915\\u0938\\u093e\\u0928 \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u0915\\u092d\\u0940 \\u092d\\u0940 \\u0926\\u092f\\u093e \\u0915\\u0947 \\u092a\\u093e\\u0924\\u094d\\u0930 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u094b \\u0938\\u0915\\u0924\\u0947 ..\\n\\u0907\\u0928\\u0915\\u0947 \\u0932\\u093f\\u090f \\u0926\\u2026 https://t.co/obmy7N2VFB',b'1231978662507008006',b'Prafull Tiwari | \\u092a\\u094d\\u0930\\u092b\\u0941\\u0932\\u094d\\u0932',b'PrafullTiwari_',"b'Rewa, Madhya Pradesh, India'","b'#Nationalist , #Writer ,Thinker-Executor,  Freelancer, Song Writer, #Speaker , Social Worker & Political Junkie.... #\\u092a\\u094d\\u0930\\u092b\\u0941\\u0932\\u094d\\u0932'",b'758',b'956',b'9',b'2253',b'13137',b'False',b'False',b'True',b'False',b'2016-11-24 11:58:38'
b'RSS terrorists have burned down (Dargah) a Mazaar.\\n#hinduterrorist\\n#ArrestKapilMishra Now!\\n#AmitShahMustResign\\u2026 https://t.co/EfWes1yxVS',b'1231978660158148608',b'iamtousif',b'alitousif131',"b'Indore, India '",b'',b'109',b'302',b'0',b'609',b'3113',b'False',b'False',b'True',b'False',b'2013-02-11 20:45:49'
b'Shameful moment of Indian Democracy where Right Wing goons are firing in the protection of Dalli Police.\\u2026 https://t.co/YAEhY6eaiT',b'1231978659759587328',b'Majid Shaukat Ali',b'Majidshaukatali',b'Hyderabad',b'lawyer to be\\U0001f468\\u200d\\U0001f393',b'1276',b'388',b'0',b'1138',b'1022',b'False',b'False',b'True',b'False',b'2015-11-23 14:11:03'
