b'Photos of Muhammad Furqan who got beaten to death will wrench your soul! These animals are let loose by the governm\\u2026 https://t.co/Ck4c5k8uh0',b'1231992468624699392',b'Suvarna Haridas',b'Suvarna_haridas',"b'Mumbai, India'",b'Stardust that has fallen between the cracks',b'2372',b'138',b'2',b'2482',b'4479',b'False',b'False',b'True',b'False',b'2019-05-24 22:56:53'
b'#DelhiBurning https://t.co/PC8VL320bh',b'1231992468398206976',b'salman momin',b'salmanmomin12',b'new delhi',b'',b'83',b'173',b'0',b'1397',b'1149',b'False',b'False',b'True',b'False',b'2010-09-26 11:55:02'
b'@sadique_OB If Bhagwa would have been terrorists then Arab would have been divided into India and Pakistan. But unf\\u2026 https://t.co/qbTryhqSEU',b'1231992465491546112',b'Liberal Huun Nadan Nahi',b'indianno10',b'India',b'There is no place for a communist in an Islamic state. \\nThere is no place for an Islamist in the Communist state. \\n\\nBut in India. Dono Baza rahe Desh ki! EkSath',b'43',b'62',b'0',b'9953',b'419',b'False',b'False',b'True',b'False',b'2010-09-23 20:39:28'
b'#DelhiBurning',b'1231992462715035649',b'Wadday Payen',b'ajdvertise',b'Pakistan',b'\\u200f\\u200f\\u200f\\u200f\\u200f \\u067e\\u0648\\u0644\\u06cc\\u0633 \\u067e\\u06a9\\u0691 \\u0644\\u06d2 \\u06af\\u06cc',b'245',b'503',b'1',b'3934',b'6466',b'False',b'False',b'True',b'False',b'2014-03-19 11:54:36'
"b'\\u092a\\u094d\\u0930\\u0926\\u0930\\u094d\\u0936\\u0928 \\u0936\\u093e\\u0902\\u0924\\u093f\\u092a\\u0942\\u0930\\u094d\\u0923 \\u092d\\u0940 \\u0939\\u094b \\u0938\\u0915\\u0924\\u093e \\u0939\\u0948 \\u092a\\u0930\\u0928\\u094d\\u0924\\u0941 \\u0906\\u091c \\u092f\\u0939 \\u0932\\u094b\\u0917 \\u092a\\u094d\\u0930\\u0926\\u0930\\u094d\\u0936\\u0928 \\u0915\\u0940 \\u0906\\u0921\\u093c \\u092e\\u0947\\u0902 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u0930 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902, \\u092a\\u0947\\u091f\\u094d\\u0930\\u094b\\u0932 \\u092a\\u0902\\u092a \\u092e\\u0947\\u0902 \\u0906\\u0917 \\u0932\\u0917 \\u0930\\u0939\\u0947\\u2026 https://t.co/gZmCaWApT4'",b'1231992458952761345',b'Yash',b'Yash20339585',b'',b'Im proud to be indian .\\nProud to be hindu.',b'0',b'2',b'0',b'1',b'0',b'False',b'True',b'True',b'False',b'2020-02-24 17:12:10'
b'#DelhiPolice #DelhiBurning #DelhiViolence #delhi https://t.co/yZv1pzSFwO',b'1231992457124077575',b'THE COLLECTOR',b'THEVIKRAM77',"b'Haryana, India'","b'I SUPPORT NARENDRA MODI , NATIONALIST'",b'93',b'693',b'0',b'767',b'43063',b'False',b'False',b'True',b'False',b'2014-03-13 16:58:33'
b'\\u091c\\u093f\\u0928 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0928\\u0947 1984 \\u092e\\u0947\\u0902 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0914\\u0930 \\u0938\\u0924\\u094d\\u0924\\u093e \\u0915\\u0947 \\u0938\\u092e\\u0930\\u094d\\u0925\\u0928 \\u0938\\u0947 \\u0939\\u0941\\u090f \\u0938\\u093f\\u0916\\u094b\\u0902 \\u0915\\u093e \\u0915\\u093c\\u0924\\u094d\\u0932 \\u0939\\u094b\\u0924\\u0947 \\u0928\\u0939\\u0940 \\u0926\\u0947\\u0916\\u093e \\u0939\\u0948..2002 \\u092e\\u0947\\u0902 \\u092e\\u0941\\u0938\\u0932\\u092e\\u093e\\u0928\\u094b \\u0915\\u093e \\u0915\\u093c\\u0924\\u094d\\u0932\\u2026 https://t.co/J4mCbfyXX7',b'1231992452212547584',b'Tausif jauhar',b'jauhar_tausif',b'',b'',b'13',b'34',b'0',b'362',b'2898',b'False',b'True',b'True',b'False',b'2014-07-06 16:06:40'
"b""How you will Justify This @PMOIndia \\nIt's the slap on the Face of so callhed big Democracy..\\n #DelhiBurning\\u2026 https://t.co/Dc386XzSLm""",b'1231992450606080000',b'Snow \\u062c\\u0648\\u0646 \\U0001f63b\\U0001f1f5\\U0001f1f0',b'Jonthoughts01',b'somewhere in ur Heart \\U0001f639',"b""One day you'll realize how much I cared\\xb0\\n\\xb6 I'm a man of my words\\xb6\\n#PakistanComeFirst \\U0001f1f5\\U0001f1f0 \\n#LovePakArmy \\U0001f49d \\n#Trendsetter\\n#BackWith7thAc\\nTeam \\U0001f449 @Defenders_of_PK""",b'1157',b'2221',b'0',b'2483',b'811',b'False',b'False',b'True',b'False',b'2019-10-24 22:31:26'
b'Delhi Please be sensitive to each other \\U0001f64f #Delhi #DelhiViolence #DelhiBurning #Jafrabad #Bhajanpura',b'1231992449922478080',b'ASHWARYA',b'FOLLOWASHI',"b'Noida, Uttar Pradesh'",b'Rapists deserve DEATH. BRUTAL ONE.',b'148',b'195',b'0',b'599',b'303',b'False',b'False',b'False',b'False',b'2010-08-15 22:13:54'
b'Here is a closer shot of the man who fired 8 rounds in North East Delhi today with absolute impunity. Identify this\\u2026 https://t.co/X2b15CTh7W',b'1231992448185798656',b'The Dispatch',b'TheDispatch_',b'India',"b'The Dispatch is a News & Knowledge Media startup in India. We engage in conversations. Also like retweeting stuff of interest on journalism, politics, security'",b'1075',b'315',b'0',b'35597',b'1534',b'False',b'False',b'False',b'False',b'2017-10-30 21:18:59'
b'#DelhiBurning https://t.co/iJS6UVENil',b'1231992434474864641',b'\\u0935\\u093f\\u0928\\u0940\\u0924 \\u0936\\u0930\\u094d\\u092e\\u093e \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940',b'VineetS93909114',b'\\u0905\\u0917\\u094d\\u0930\\u093e\\u0938 \\u092c\\u0930\\u0947\\u0932\\u0940',b'\\u0926\\u0947\\u0936 \\u0939\\u093f\\u0924 \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930\\u093f \\u0938\\u093f\\u0930\\u094d\\u092b \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940  \\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u0947\\u0902  \\u092b\\u0949\\u0932\\u094b \\u092c\\u0948\\u0915  \\u092e\\u093f\\u0932\\u0947\\u0917\\u093e\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3',b'52',b'65',b'0',b'139',b'430',b'False',b'False',b'True',b'False',b'2019-03-17 07:37:11'
