b'@SwamiGeetika Pro* Caa',b'1231923518411091968',b'Sameer Qureshi',b'SameerQ80092074',b'',b'',b'3',b'19',b'0',b'4',b'63',b'False',b'False',b'True',b'False',b'2019-11-23 13:48:34'
b'@ABPNews Pro CAA par police lathi charge nhi krti. kyu??',b'1231923356351520771',b'Sahil',b'Sahil05614962',b'',b'',b'5',b'28',b'0',b'106',b'1070',b'False',b'True',b'True',b'False',b'2020-02-10 17:37:11'
b'Arrest ? Mam have you seen any pro CAA supporter being booked by Delhi Police ? Let me remind you the JNU case wher\\u2026 https://t.co/SehriHALor',b'1231923352681377792',b'\\u0907\\u092b\\u094d\\u092b\\u0940 \\u092d\\u093e\\u0908',b'Iffidel',b'\\u092e\\u0947\\u0930\\u093e \\u092d\\u093e\\u0930\\u0924 \\u092e\\u0939\\u093e\\u0928 ',b'SM Observer / National & International Politics/Blogger',b'19449',b'838',b'113',b'112132',b'43952',b'False',b'False',b'False',b'False',b'2012-05-18 11:12:16'
b'@BDUTT Sorry Barkha bat ko ghumavo mat sirf Anti CAA protest he ye usme ye constable Mara he. Muslim jehadiyo me Ma\\u2026 https://t.co/x8hWA0CnKA',b'1231923342397050882',b'IndrajitsinhD',b'indrajitsinhD',b'gujarat',b'Jay Hind...Vande Bharat Matram. Sanatani',b'547',b'683',b'1',b'36377',b'41927',b'False',b'False',b'True',b'False',b'2016-01-20 02:56:15'
b'The worst situation is Anti CAA killed  Policeman and throw the blame on Pro CAA this is called true Radical Islami\\u2026 https://t.co/BLquMsCosk',b'1231923300562915328',b'vignesh',b'vignesh_swamy',"b'Chennai, India'",b'\\u0bb5\\u0bc7\\u0bb2\\u0bc8 \\u0b87\\u0bb2\\u0bcd\\u0bb2\\u0bbe \\u0ba4\\u0bbf\\u0ba3\\u0bcd\\u0b9f\\u0bbe\\u0b9f\\u0bcd\\u0b9f\\u0ba4\\u0bcd\\u0ba4\\u0bc1\\u0b95\\u0bcd\\u0b95\\u0bc1 \\u0b95\\u0bbe\\u0bb0\\u0ba3\\u0bae\\u0bcd \\u0baa\\u0b9f\\u0bbf\\u0ba4\\u0bcd\\u0ba4 \\u0baa\\u0bbf\\u0bb1\\u0b95\\u0bc1 \\u0b8e\\u0ba9\\u0bcd\\u0ba9 \\u0b9a\\u0bc6\\u0baf\\u0bcd\\u0bb5\\u0ba4\\u0bc1 \\u0b8e\\u0ba9\\u0bcd\\u0bb1\\u0bc1 \\u0baf\\u0bcb\\u0b9a\\u0bbf\\u0baa\\u0bcd\\u0baa\\u0ba4\\u0bbe\\u0bb2\\u0bcd',b'42',b'95',b'2',b'1777',b'101',b'False',b'False',b'True',b'False',b'2011-10-23 10:09:24'
"b""@Khushbookhan_ Lol pro CAA madam\\nI live there and the slogans which are being raised doesn't sound me like PRO CAA\\u2026 https://t.co/e2KyW33yXN""",b'1231923288571600898',b'Harshit',b'Harshit42645261',b'',b'',b'1',b'54',b'0',b'114',b'7',b'False',b'False',b'True',b'False',b'2019-07-18 20:10:31'
b'@JamaliNahela @wisdom_stoic @saahilmenghani Quint\\U0001f602\\U0001f602\\U0001f602\\U0001f602\\n\\nThis so called Journalism has only BIASED things to say whic\\u2026 https://t.co/W1PP9a1sHo',b'1231923282498260993',b'Kunal Singh Solanki',b'_ksSolanki',"b'Banswara, Rajasthan, India'","b""Let's do,what we are denying since/ \\u092d\\u0915\\u094d\\u0924 can also follow/Civil Engineer/LIBERAL backed by CONSERVATIVE thoughts/Official account--Tweets are signed & archived""",b'158',b'230',b'2',b'13417',b'10211',b'False',b'False',b'False',b'False',b'2015-03-06 14:35:06'
b'#TrumpInIndia\\nA cover to attack people??\\n\\nA closer shot of the man who fired 8 rounds in North East Delhi today. Id\\u2026 https://t.co/CV1Cd0bOOx',b'1231923250860642304',b'Amritha (\\u0d15\\u0d32\\u0d4d\\u0d32\\u0d3e\\u0d38\\u0d4d_\\u0d1a\\u0d4b\\u0d2f\\u0d4d\\u0d15\\u0d4d\\u0d15\\u0d3e\\u0d7b_\\u0d07\\u0d2f\\u0d4d\\u0d2f\\u0d3e\\u0d30\\u0d3e??)',b'Skamritha',b'United Arab Emirates',b'Co-Founder/Media Producer',b'537',b'133',b'4',b'1616',b'4113',b'False',b'False',b'False',b'False',b'2009-09-20 04:48:38'
b'@Nehasinghh_ @tufailelif Follow you to twist the facts and blame it on Delhi Police &amp; pro CAA . Slow \\U0001f44f',b'1231923250738978816',b'EToSalaHonaHiTha',b'Hrishweet',b'',b'',b'114',b'383',b'9',b'55179',b'4348',b'False',b'True',b'True',b'False',b'2011-03-12 18:20:24'
b'@AdityaRajKaul Sir correction sir correction stone pelting by Pro CAA &amp; police &amp; not from Anti CAA group',b'1231923214588055552',b'Qurram bozai',b'QurramBozai',b'Hyderabad India ',b'',b'2',b'45',b'0',b'166',b'427',b'False',b'False',b'True',b'False',b'2013-06-27 15:38:50'
