b'\\u092d\\u093e\\u091c\\u092a\\u093e \\u0915\\u093e \\u0935\\u094b\\u091f\\u0930 \\u0907\\u0924\\u0928\\u093e \\u092c\\u0941\\u0930\\u093e \\u092c\\u0928\\u0947\\u0917\\u093e \\u092f\\u0947 \\u0915\\u093f\\u0938\\u0940 \\u0928\\u0947 \\u0938\\u094b\\u091a\\u093e \\u092d\\u0940 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u094b\\u0917\\u093e\\u0964\\n#AmitShahMustResign \\n#AmitShahResign \\n#DelhiViolence\\u2026 https://t.co/d2uRIsvtSS',b'1231997334030049290',b'\\u091f\\u0935\\u093f\\u091f\\u094d\\u091f\\u092e\\U0001f441\\ufe0f',b'bajajbajajbajaj',b'',b'\\U0001f923\\U0001f923\\u0905\\u0917\\u0930 \\u0926\\u092e \\u0939\\u0948 \\u0924\\u094b \\u092f\\u0939\\u093e\\u0902 \\u0915\\u0941\\u091b \\u0932\\u093f\\u0916 \\u0915\\u0947 \\u092c\\u0924\\u093e\\U0001f923\\U0001f923',b'733',b'184',b'2',b'43837',b'75863',b'False',b'False',b'False',b'False',b'2012-09-19 17:11:16'
b'\\u0926\\u0902\\u0917\\u093e\\u0908 #KapilMishra #DelhiPolice https://t.co/kdA9VOnQWr',b'1231997331739901952',b'Saam01',b'Saam0113',"b'\\u0926\\u0947\\u0939\\u0930\\u093e\\u0926\\u0942\\u0928, \\u092d\\u093e\\u0930\\u0924'",b'#Nation first# #Being human# #Shayar# #Indian# #Humanity# #Politics# #Family# #Friends# #Travelling#',b'81',b'570',b'1',b'1527',b'15547',b'False',b'False',b'True',b'False',b'2018-05-21 09:17:39'
b'#Delhi | The man in a red t-shirt who opened fire at police during violence in North East #Delhi today has been ide\\u2026 https://t.co/nbrhprMNlU',b'1231997328644378625',b'First India',b'thefirstindia',"b'Jaipur, India'",b'Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia',b'3532',b'181',b'3',b'25970',b'94',b'False',b'False',b'False',b'False',b'2019-04-04 10:16:38'
b'@Real_Anuj Islamic Terrorists please leave India....\\n#DelhiIsBurning #DelhiViolence #Delhi #DelhiRiots #DelhiPolice\\u2026 https://t.co/yWJEeb1eov',b'1231997326593380352',b'Nishant Patil \\U0001f1ee\\U0001f1f3',b'NishantJaiHind',"b'Delhi,India'","b'\\u0935\\u0902\\u0926\\u0947 \\u092e\\u093e\\u0924\\u0930\\u092e\\n\\n\\nBlocked By- Shehla Rashid, Wagle,Abhisar,Sanjay Singh AAP,Dhruv Rathee,Swain,Rathi'",b'775',b'622',b'3',b'11862',b'12672',b'False',b'False',b'True',b'False',b'2016-07-01 19:48:41'
b'@karmariaz @zoo_bear These are the extremists side of Hindutva / radicalised Hindus just like ISIS or those who sup\\u2026 https://t.co/mmMX3XcPsH',b'1231997326106873856',b'\\u0915\\u092a\\u094d\\u0924\\u093e\\u0928 \\u091c\\u0948\\u0915 \\u0938\\u094d\\u092a\\u0948\\u0930\\u094b\\u26f5\\ufe0f',b'tauseefi99',b'India',"b'Bio, Seriously??\\U0001f926\\U0001f3fb\\u200d\\u2642\\ufe0f'",b'108',b'424',b'0',b'4788',b'3445',b'False',b'False',b'True',b'False',b'2012-04-26 06:57:42'
b'#Karneval #TrumpModiElectionStunt #TheWalkingDead #Amici19 #\\u0641\\u064a\\u0631\\u0648\\u0633_\\u0643\\u0648\\u0631\\u0648\\u0646\\u0627 #koronawirus #DelhiPolice #Egypt\\u2026 https://t.co/bUdlKHc7cg',b'1231997320717357059',b'ignore',b'httpmihyo',b'she/her',b'ignore',b'2',b'0',b'0',b'29',b'97',b'False',b'False',b'True',b'False',b'2020-02-07 20:05:53'
"b'\\u0924\\u0941\\u092e #CAA \\u092a\\u0930 \\u0935\\u093f\\u091a\\u093e\\u0930 \\u0915\\u0940 \\u092c\\u093e\\u0924 \\u0915\\u0930\\u0924\\u0947 \\u0939\\u094b, \\u0905\\u0917\\u0930 #Delhi-NCR \\u092e\\u0947\\u0902 \\u091c\\u0932\\u094d\\u0926 \\u0939\\u0940 #NRC \\u0928 \\u0932\\u093e\\u0917\\u0942 \\u0939\\u0941\\u0906 \\u0924\\u094b \\u0905\\u0917\\u0932\\u0947 5 \\u0938\\u093e\\u0932 \\u092e\\u0947\\u0902 #\\u0915\\u0936\\u094d\\u092e\\u0940\\u0930 \\u0915\\u0940 \\u0924\\u0930\\u0939\\u2026 https://t.co/n13Wqk1N3a'",b'1231997314501234693',b'Ashish \\U0001f1ee\\U0001f1f3',b'AshishArrows',b'India',"b'\\U0001f549\\ufe0fIndian Right Winger \\U0001f1ee\\U0001f1f3\\nCricket Freak \\U0001f3cf\\n\\u0964\\u0927\\u0930\\u094d\\u092e\\u094b \\u0930\\u0915\\u094d\\u0937\\u0924\\u093f \\u0930\\u0915\\u094d\\u0937\\u093f\\u0924\\u0903\\u0964 DHARMA PROTECTS THOSE, THOSE WHO PROTECT THE DHARMA...\\n\\u091c\\u092f \\u0939\\u093f\\u0928\\u094d\\u0926\\u0964'",b'62',b'173',b'5',b'5216',b'2551',b'False',b'False',b'False',b'False',b'2010-06-09 17:32:10'
b'So what..? Arrest him Now...\\u0905\\u092c \\u0924\\u094b \\u0939\\u093f\\u092e\\u094d\\u092e\\u0924 \\u0926\\u093f\\u0916\\u093e \\u0939\\u0940 \\u0938\\u0915\\u0924\\u0947 \\u0939\\u094b \\u092d\\u093e\\u0908\\U0001f602\\U0001f602\\U0001f602 \\u0928\\u093e\\u092e \\u091c\\u094b \\u0936\\u093e\\u0939\\u0930\\u0941\\u0916\\u093c  \\u0939\\u0948.\\n\\n#DelhiPolice #DelhiBurning\\u2026 https://t.co/TUYEGkHOv2',b'1231997308105084928',b'5 \\u090f\\u0915\\u0921\\u093c',b'ayodhyaverdict5',b'',"b'\\u092c\\u093e\\u092c\\u0930 \\u0915\\u0940 \\u0917\\u093c\\u0932\\u0924\\u0940, \\u092e\\u0940\\u0930 \\u092c\\u093e\\u0915\\u093c\\u0940 \\u0915\\u093e \\u092a\\u094d\\u092f\\u093e\\u0930\\n\\u092a\\u093e\\u0902\\u091a  \\u090f\\u0915\\u0921\\u093c  \\u091c\\u093c\\u092e\\u0940\\u0928,  \\u0938\\u0930\\u092f\\u0942  \\u0915\\u0947  \\u092a\\u093e\\u0930'",b'5',b'120',b'0',b'168',b'312',b'False',b'False',b'True',b'False',b'2019-11-10 15:46:58'
b'\\u0938\\u0941\\u0928\\u094b @msisodia \\u0964\\n\\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0947 \\u0915\\u0939\\u0928\\u0947 \\u0938\\u0947 \\u0935\\u094b\\u091f \\u0926\\u0947\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b \\u0915\\u0939 \\u0915\\u0930 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0930\\u0941\\u0915\\u0935\\u093e \\u0938\\u0915\\u0924\\u093e \\u0939\\u0947 \\u092a\\u0930 \\u0928\\u0939\\u0940 #\\u092e\\u094b\\u0926\\u0940_\\u0938\\u0930\\u0915\\u093e\\u0930 \\u0938\\u0947 \\u092c\\u0926\\u0932\\u093e \\u091c\\u094b \\u0932\\u0947\\u0928\\u093e \\u0939\\u0947\\u0964\\n\\u0915\\u2026 https://t.co/UWnnKQumxa',b'1231997304518926336',b'\\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e',b'rakeshchoudary2',b'Hydarabad ',b'\\u0930\\u093e\\u092e \\u0939\\u0940 \\u0938\\u0924\\u094d\\u092f \\u0939\\u0947\\u0964\\u0936\\u093f\\u0935 \\u0939\\u0940 \\u0938\\u0941\\u0928\\u094d\\u0926\\u0930 \\u0939\\u0947\\u0964',b'27',b'168',b'0',b'1102',b'381',b'False',b'False',b'True',b'False',b'2015-01-25 13:18:44'
b'#DelhiBurning or #DelhiViolence \\n#DelhiPolice \\u0915\\u0947 \\u092c\\u0938 \\u0915\\u093e \\u0928\\u0939\\u0940 \\u0939\\u0948  complete peace \\u0924\\u094b \\u092a\\u0941\\u0930\\u094d\\u0923 \\u092a\\u0930\\u092e\\u093e\\u0924\\u094d\\u092e\\u093e \\u0939\\u0940 \\u0926\\u0947 \\u0938\\u0915\\u0924\\u0947 \\u0939\\u0948 \\U0001f607\\n\\u0907\\u0938\\u2026 https://t.co/qSKJA3bziI',b'1231997302660829186',b'NishaSinha5k',b'Nisha_Sinha22',"b'Ambala, India'",b'Let your faith be bigger than your fear.\\n\\nhttps://t.co/f7bZeetD4M',b'2819',b'56',b'0',b'8347',b'4973',b'False',b'False',b'True',b'False',b'2017-07-04 17:41:58'
