b'\\u0906\\u091c \\u090f\\u0915 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u092e\\u0930l \\u0914\\u0930 \\u090f\\u0915 \\u092e\\u0941\\u0938\\u0932\\u092e\\u093e\\u0928 \\u092e\\u0930l \\n\\u0932\\u0947\\u0915\\u093f\\u0928 \\u0928\\u0947\\u0924\\u093e\\u0913 \\u0915\\u093e \\u092c\\u093e\\u0932 \\u092d\\u0940 \\u092c\\u093e\\u0901\\u0915\\u093e \\u0928\\u0939\\u0940 \\u0939\\u0941\\u0906?\\n\\n\\u0914\\u0930 \\u0928\\u093e \\u0939\\u0940 \\u0909\\u0928\\u094d\\u0915\\u0947 \\u092c\\u091a\\u094d\\u091a\\u094b \\u0915\\u093e \\u0935\\u094b \\u0906\\u0930\\u093e\\u092e \\u0938\\u0947 \\u0924\\u092e\\u093e\\u0938\\u093e\\u2026 https://t.co/kzzvsXv3cz',b'1232011591744401415',b'Chai Addict',b'salmanalvi2',b'',b'Studying at #AligarhMuslimUniversity',b'3657',b'2700',b'1',b'6092',b'13374',b'False',b'False',b'True',b'False',b'2012-08-15 07:19:01'
"b'1984 - 1992 - 2002 - 2020\\n""Kapdo se pahchano"".. ""Goli Maaro S*****""...\\nAap Chronology Samajhiye !\\n#DelhiBurning #DelhiViolence #DelhiPolice'",b'1232011589123006464',b'Abin',b'MitraAtweets',"b'Mumbai, India'",b'Proud LEFT. Digital marketing ninja. Social Media wizard. Designer & Researcher on digital trends. Atheist. Travel hungry. Tweets are personal.',b'388',b'33',b'0',b'770',b'312',b'False',b'False',b'False',b'False',b'2010-04-20 11:10:57'
"b'@ashokepandit Free Electricity, water Mubarak Delhiwalon, now you hv easy choice 2 convert and put something outsid\\u2026 https://t.co/dG1io9w9uR'",b'1232011587701084161',b'Pappu Hatela',b'HatelaPappu',b'',"b""Conservative, live in DC, AI/ML business owner. Tired of Soro's paid propaganda fake news, proud Hindu, stocks  trends, angel investor.""",b'3',b'52',b'0',b'257',b'194',b'False',b'False',b'True',b'False',b'2020-02-10 15:32:53'
b'Say something @ArvindKejriwal \\n\\n#ArrestTerroristKapilMishra #ArrestKapilMishra \\n#DelhiBurning https://t.co/4Zi7wsQ00E',b'1232011586098933762',b'Ubyd',b'imubyd',b'New Delhi',"b'The strong person is not the good wrestler. Rather,the strong person is the one who controls himself when he is angry.\\r\\n( Sahih al-Bukhari , Book 73, #135)\\u201d'",b'493',b'396',b'2',b'1244',b'427',b'False',b'False',b'False',b'False',b'2011-06-25 03:55:10'
b'Smjh nhi aa rha yh delhi hai ya Syria\\U0001f440\\n#NamasteyTrump #DelhiPolice #DelhiBurning #DelhiViolence #NOCAANRC\\u2026 https://t.co/9mZz6aSp1D',b'1232011583301259264',b'True_indian122',b'TIndian122',b'',b'Proud to be an Indian\\U0001f60e\\nInqalab zindabad \\u2764\\ufe0f',b'0',b'5',b'0',b'2',b'2',b'False',b'False',b'True',b'False',b'2020-02-24 18:24:27'
b'@UnSubtleDesi VHP and Bajrang Dal were always valuable. Unfortunately the present leadership of @RSSorg made them n\\u2026 https://t.co/WDHdRJ0IrT',b'1232011583171235840',b'Amit\\U0001f52f',b'amitsanatan',b'new delhi',b'Hindu Nationalist. Journalist by Profession. \\u090f\\u0915 \\u092d\\u093e\\u0930\\u0924 \\u0936\\u094d\\u0930\\u0947\\u0937\\u094d\\u0920 \\u092d\\u093e\\u0930\\u0924 \\U0001f64f #IndiaFirst\\U0001f1ee\\U0001f1f3',b'306',b'654',b'3',b'12253',b'5941',b'False',b'False',b'True',b'False',b'2009-10-22 20:01:41'
"b'@anuragkashyap72 @AamAadmiParty @ArvindKejriwal @AmitShah If you ve any suggestions wt a powerless CM can do, plz s\\u2026 https://t.co/0pGM4ob1Uu'",b'1232011582860820481',b'Mango Man',b'urp83',b'India',b'Hypocrites are dangerous than liars',b'13',b'9',b'0',b'817',b'1512',b'False',b'False',b'False',b'False',b'2015-10-06 05:26:07'
b'Ok lemme get this straight so this violence was orchestrated so that it looks like orchestrated because of the trum\\u2026 https://t.co/wn9WQBjJ1N',b'1232011580952330240',b'Rehan Tirmizi',b'rehan_tirmizi',"b'New Delhi, India'",b'',b'81',b'54',b'0',b'1805',b'1223',b'False',b'False',b'True',b'False',b'2016-06-20 20:46:08'
"b'Lagegi aag to aayenge ghar kayi zad mein, yahan pe sirf hamara makaan thodi hai. \\n\\u2014 @rahatindori \\n#DelhiBurning #DelhiViolence'",b'1232011580864434177',b'Sohil Sehran',b'SohilSehran',"b'Srinagar, India'","b'Senior Correspondent @TimesNow, #Kashmir, #JammuAndKashmir. Former hack with @IndiaToday, @republic , @httweets , #TheKashmirTimes. Views are personal.'",b'1106',b'518',b'10',b'1616',b'886',b'False',b'False',b'False',b'False',b'2012-11-09 12:57:51'
b'How can you make people understand it is imp to keep humanity above everything?? How ?? Violence can never be justi\\u2026 https://t.co/aZ7k1G3Au4',b'1232011578788196352',b'Nisha Rajpoot',b'nish_rajpoot',"b'New Delhi, India'",b'DOCTOR \\U0001f469\\U0001f3fb\\u200d\\u2695\\ufe0f',b'19',b'43',b'1',b'169',b'1372',b'False',b'False',b'True',b'False',b'2016-07-15 19:09:22'
