"b'@OfficialFPL Salah, Arnold and VVD'",b'1232011501906616320',b'Si Se\\xf1or \\u26bd\\ufe0f',b'Puritan_Muslim',b'Nigeria',"b'Buhari is a humble muslim that has a Puritan ethics, Civil Servant, Mr. Right, Single & Searching, LFC Fan, and also a great football player.'",b'318',b'210',b'0',b'2824',b'3963',b'False',b'False',b'False',b'False',b'2016-01-07 20:48:14'
b'@AJEnglish @amnesty how you call CAA as anti muslim citizenship law??? @ZeeNews @PTI_News',b'1232011485464928256',b'Dr Sudhir\\U0001f1ee\\U0001f1f3',b'SudhirKalyankar',"b'Pune, Maharashtra '","b'Pediatrician, Nationalist'",b'59',b'400',b'0',b'1661',b'2382',b'False',b'False',b'True',b'False',b'2011-09-07 13:27:08'
b'@RahulGandhi Only muslim............ Not citizens of delhi',b'1232011482251939840',b'Dr. Dharmendra Dwivedi',b'D_KumarDD',"b'Chitrakoot Dham, India'",b'Dept. of Sociology (University of Allahabad)\\U0001f339\\U0001f337\\u0906 \\u0928\\u094b \\u092d\\u0926\\u094d\\u0930\\u093e: \\u0915\\u094d\\u0930\\u0924\\u0935\\u094b \\u092f\\u0928\\u094d\\u0924\\u0941 \\u0935\\u093f\\u0936\\u094d\\u0935\\u0924:\\U0001f337 \\U0001f339',b'180',b'349',b'0',b'1472',b'3532',b'False',b'False',b'True',b'False',b'2019-07-14 18:31:44'
b'@sandymridul So according to you Shahrukh who openly fired was anti Muslim..',b'1232011472596865024',b'\\U0001f1ee\\U0001f1f3Avi\\U0001f1ee\\U0001f1f3',b'avithelibran1',b'',b'Proud Indian..  \\U0001f4af% Follow back except for Piddis Aapiye and leftist..',b'566',b'1467',b'1',b'7134',b'21460',b'False',b'False',b'False',b'False',b'2016-09-16 17:14:35'
b'This is total failure of GOI....Failing to control opposition and these muslim protestors....BAN anti-CAA protest a\\u2026 https://t.co/IoSt3TM82U',b'1232011459799896064',b'Balakrishna',b'Balakrishnraju',b'',b'Sanatani...believe in Unity in diversity....love nature & culture....But respond to the atrocities on hinduism',b'410',b'949',b'3',b'9324',b'1854',b'False',b'False',b'False',b'False',b'2011-01-24 16:35:05'
"b'@dkdinesh24 @ShivangiMrs Galat kaha,sabit hogaya muslim Atankwadi.'",b'1232011456586997760',b'P.K.SHRIWASTAVA',b'PkSriwastawa',"b'Bhagalpur, India'",b'BSC(SILK TECH.)',b'251',b'792',b'0',b'883',b'655',b'False',b'False',b'True',b'False',b'2017-10-11 01:54:22'
b'@Badabingbadabu3 @alishtiraki @ComradeJinjin @SameeraKhan https://t.co/gsJI6Maued',b'1232011451805708288',b'MORSECDE',b'MORSECDE1',b'',b'I\\u2019m just trying to survive 2020.',b'21',b'198',b'0',b'3796',b'3838',b'False',b'False',b'True',b'False',b'2016-09-21 01:14:14'
b'He open fired 8 rounds on Delhi Police.\\n\\nRiots are happening in the name of protest.\\n\\nMuslims are worried about the\\u2026 https://t.co/KNFpKPPAse',b'1232011438140665856',b'Pappu The Tubelight',b'Pappu_Tubelight',b'',"b'Whether you take yourself seriously or not, nobody cares . But if you would, everybody will.'",b'24',b'293',b'0',b'1835',b'7505',b'False',b'False',b'True',b'False',b'2019-08-25 17:27:49'
"b'@intellectroll I vaguely remember 1979 as a five year kid,1992 clearly as a 17 year boy amid the violence perpetrat\\u2026 https://t.co/ubCHiqLwQs'",b'1232011431694028802',b'Jamkebarso',b'jamkebarso',b'',b'Certainly not here for fun.',b'70',b'772',b'0',b'1119',b'19295',b'False',b'False',b'True',b'False',b'2019-12-19 07:05:23'
b'@FekendraMoji @TinkuSh67301181 @aajtak @MunishPandeyy Bhai Isliye hota h kyu ki tum log kapil Mishra ki bat to sunt\\u2026 https://t.co/2fflQ95YZb',b'1232011425171808258',b'Akash Shukla',b'AkashSh48920749',"b'Kanpur, India'",b'Nationalist \\u2764\\ufe0f Proud Indian..\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f6a9\\U0001f6a9\\U0001f6a9\\U0001f6a9\\U0001f6a9#HinduRashtra Karyakarta Rashtriya Swayamsevak Sangh \\u2764\\ufe0f\\u2764\\ufe0f\\U0001f525\\U0001f525\\U0001f525\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3 Support BJP RSS..Lifetime\\u2764\\ufe0f\\U0001f6a9\\U0001f525\\U0001f1ee\\U0001f1f3',b'65',b'350',b'0',b'3836',b'1787',b'False',b'False',b'True',b'False',b'2018-02-22 07:38:57'
