b'@abhisar_sharma @ArvindKejriwal Dear Abhisar what exactly the word AK should use to stop the riot? How can you say\\u2026 https://t.co/7xq0ICtn6w',b'1232006544671137795',b'Raj Mohanty',b'RajenMohanty',"b'Edinburgh, Scotland'",b'Software Prof. Critics of @narendramodi govt.',b'33',b'161',b'0',b'2469',b'2027',b'False',b'False',b'True',b'False',b'2011-10-27 18:00:28'
b'PDLRPRKR R Les tweets qui commencent par salem \\xe7a mfume \\U0001f62d \\xe7a mfait penser aux forums muslim pour voir si faire ses\\u2026 https://t.co/Et5dKP8vCQ',b'1232006539805954048',b'Qais \\U0001f409',b'QaqaLeS',"b'V\\xe9nissieux, France'","b'\\u300aTu as peut-\\xeatre envahi mon esprit et mon corps, mais un sayien garde toujours sa fiert\\xe9\\u300b- \\u30d9\\u30b8\\u30fc\\u30bf'",b'83',b'86',b'1',b'6565',b'11888',b'False',b'False',b'True',b'False',b'2017-10-11 20:58:29'
b'radicalism is danger like terrorism. even if radical hindu or muslim radical. #IslamicTerrorism',b'1232006525151010817',b'Aman Garg',b'amangarg207',"b'Saharanpur, India'",b'humanity',b'42',b'394',b'0',b'716',b'935',b'False',b'False',b'False',b'False',b'2012-08-31 08:06:07'
b'Bro how did I score tickets to Patriot Act help a fellow Muslim sister out pls @hasanminhaj',b'1232006522424696834',b'danya',b'danyasarafina',b'',"b'rom com fanatic, caffeine enthusiast, dog lover, Vice President of External affairs at @myWCSA | instagram: @danyanaqvi'",b'261',b'246',b'1',b'3351',b'10168',b'False',b'False',b'False',b'False',b'2013-07-08 19:05:24'
"b""@IlhanMN You don't act muslim""",b'1232006514262597632',b'Therese is watching',b'Therese38538165',b'@yahoo.com ',b'Retired. .parent advocate',b'330',b'422',b'2',b'11776',b'13097',b'False',b'False',b'True',b'False',b'2019-03-08 16:13:15'
b'@gandiv_ @ANI Dange rsss agent Kapil misra ne  bhadkaye hindu muslim karne ke liye',b'1232006511934803972',b'Lankesh',b'Lankesh25880668',b'',b'love',b'15',b'5',b'0',b'487',b'485',b'False',b'False',b'True',b'False',b'2020-02-23 04:27:05'
"b'@hussain2577 @OneMana47284807 @Samratsaluja @SidrahDP @ReutersIndia Achaa ji, yeh gyan Gopal aur Kapil Gujjar k waq\\u2026 https://t.co/M0DxcICioK'",b'1232006500937129984',b'Mr. Anonymous Ji',b'MrAnonymousJi',b'',"b""Patriotic INDIAN, Neutral while Judging, Stand with what's Right.\\nFeel free to debate, bss harne k baad Bhakt mt kehna\\U0001f923""",b'10',b'68',b'0',b'1400',b'177',b'False',b'False',b'True',b'False',b'2019-12-11 05:44:05'
b'@RatanSharda55 @Aabhas24 @KapilMishra_IND @BDUTT @BDUTT is Muslim and has clear agenda under cover of a journalist.',b'1232006500517842944',b'Destiny',b'Destiny84157200',b'',b'',b'6',b'29',b'0',b'1460',b'1515',b'False',b'True',b'True',b'False',b'2019-08-12 23:28:40'
b'@Kritika_Kamra Yes they are anty Muslim',b'1232006459652804613',b'M.umar Farook',b'MumarFarook03',b'',b'Coming Soon',b'31',b'267',b'0',b'2439',b'7565',b'False',b'False',b'True',b'False',b'2017-09-10 07:58:31'
b'@sardanarohit @Rangoli_A Ye bhaosdike Muslim kon ke log hi hena ????',b'1232006453218680832',b'\\U0001f1ee\\U0001f1f3 Patel Shivam \\U0001f1ee\\U0001f1f3',b'PatelSh03076461',"b'\\u0938\\u0942\\u0930\\u0924, \\u092d\\u093e\\u0930\\u0924'",b'@patel__shivam__',b'78',b'186',b'0',b'1101',b'6525',b'False',b'False',b'True',b'False',b'2019-02-18 12:00:19'
"b'@mrs_socialista Gerg, Republicans lead the invasion into Iraq for oil. Republicans lead a Muslim ban and caging chi\\u2026 https://t.co/06tD4pcjR4'",b'1232006429919174659',b'sNarKaLepTic',b'mrStealyoValor',b'',b'Socialism never took root in America because the poor see themselves not as an exploited proletariat but as temporarily embarrassed millionaires. he/him',b'373',b'1113',b'7',b'8757',b'32835',b'False',b'False',b'True',b'False',b'2013-06-10 20:16:01'
b'@sharmaji53 @dimaagkoshot @coolfunnytshirt They have muslim citizens but it is a Jewish state. They control the nar\\u2026 https://t.co/pNZbIZqESa',b'1232006426727452672',b'.',b'druddhavrat',b'',b'',b'15',b'376',b'1',b'1045',b'5141',b'False',b'False',b'True',b'False',b'2012-06-14 17:19:39'
"b'@IonathanRex @Independent Lmao, does it hurt you that it wasn\\u2019t a Muslim individual? You\\u2019d love it if it was just t\\u2026 https://t.co/lQYHc8t04o'",b'1232006422310924288',b'ayy lmao',b'RafzLDN',b'',"b'how you gone hate outside the club, when you can\\u2019t even get in'",b'382',b'299',b'1',b'8463',b'5582',b'False',b'False',b'True',b'False',b'2017-10-04 13:12:48'
b'@BDUTT  so you must have his name by now and yes he is a Muslim and a terrorist..#shahrukhisterrorist \\n#muslimterror',b'1232006420834308096',b'Pushkar Raj',b'Pushkar22281651',b'',b'',b'0',b'17',b'0',b'61',b'25',b'False',b'False',b'True',b'False',b'2020-01-06 12:08:43'
b'@seriousfunnyguy @_YogendraYadav Spirit of the movement is visible on the streets of Delhi you fraud.... This is yo\\u2026 https://t.co/rOq8U4P0iB',b'1232006418489913344',b'\\U0001f1ee\\U0001f1f3 Gopu Saha \\U0001f1ee\\U0001f1f3',b'Gopu10saha',b'',"b'not a Secular...but a HINDU,\\nProud to be an INDIAN,\\nMcom (Acc. & Finance), Interested in Politics & Economics. Views Personal.'",b'76',b'450',b'0',b'1583',b'11259',b'False',b'False',b'True',b'False',b'2013-10-10 19:10:57'
b'@anoldbaglady @jeremycorbyn White people do commit crime and can be abusers! When they are the exposure is massive.\\u2026 https://t.co/u3XDjK9602',b'1232006417097412608',b'Odette',b'Odette64280539',b'',b'I love life and people',b'263',b'256',b'1',b'5361',b'6377',b'False',b'False',b'True',b'False',b'2019-08-30 18:59:38'
b'@mypartyisNOTA @SaniaAhmad1111 Because even police constable Ratan Lal died of stone wounds. Will she say a hindu c\\u2026 https://t.co/iShcsN1nQx',b'1232006414920491008',b'Shubham Gupta',b'Anawink02',b'',"b'Stuck up, half witted, scruffy looking nerf herder.'",b'12',b'171',b'0',b'1173',b'2576',b'False',b'False',b'True',b'False',b'2019-08-18 15:39:52'
b'@tonybluechef @afa_queer @17_4mn @bobbyhope123 @HogLife4all @Muslim_Patrol_ @Granlovespizza @DakotaLula\\u2026 https://t.co/5z2dlZLiI2',b'1232006414580748288',b'SaggarMakerGeoff',b'MakerSaggar',"b'Silsoe, United Kingdom'","b'An extraordinary man & general observer. No time for racists, conspiracy theorists or bigoted individuals, not fearful of Muslims, EU Citizen.'",b'167',b'262',b'0',b'4183',b'2880',b'False',b'False',b'True',b'False',b'2019-04-15 21:36:12'
"b'@realDonaldTrump @narendramodi A WHITE Nationalist welcomed by a HINDU Nationalist, how fitting!! Modi is directly\\u2026 https://t.co/Hqz6yPm86W'",b'1232006404669681665',b'stuborndebater2',b'stuborndebater2',b'where I came from!!',"b'Sticking to facts, only facts. If you try BS, I block you. You can do better!!'",b'3',b'12',b'0',b'1511',b'16',b'False',b'False',b'True',b'False',b'2019-08-08 18:40:20'
"b'@realDonaldTrump You tell me,\\nIs the Muslim community who created violence in Delhi a terrorist incident or not?'",b'1232006402568122368',b'Sanket Patel',b'Sanket_Indian_',"b'Ahmadabad, Gujarat, India'",b'Business of Real Estate Agency | I work in @Rssorg | Nationalist | Jay hind \\U0001f1ee\\U0001f1f3',b'126',b'190',b'0',b'7015',b'12043',b'False',b'False',b'True',b'False',b'2016-10-30 15:04:49'
b'Delhi is burning..  Rss goons burning muslim houses in delhi..  #DelhiBurning #fuckrss #fuckfascism',b'1232006400777375745',b'Afiii',b'Afiii18899408',"b'Edappal, India'",b'Proud Indian\\U0001f1ee\\U0001f1f3\\nloves singing\\U0001f3b6\\U0001f3b6\\nBookaholic \\U0001f4d9 Insta : afivocals\\n\\u0d1a\\u0d3f\\u0d30\\u0d3f\\u0d2a\\u0d4d\\u0d2a\\u0d3f\\u0d15\\u0d4d\\u0d15\\u0d3e\\u0d28\\u0d3f\\u0d37\\u0d4d\\u0d1f\\u0d02.. \\u0d1a\\u0d3f\\u0d28\\u0d4d\\u0d24\\u0d3f\\u0d2a\\u0d4d\\u0d2a\\u0d3f\\u0d15\\u0d4d\\u0d15\\u0d3e\\u0d28\\u0d41\\u0d02..',b'39',b'62',b'0',b'310',b'798',b'False',b'False',b'True',b'False',b'2020-01-07 17:55:03'
"b""Omar Caught By Husband 'in a State That No Muslim Woman' Should Be: Report https://t.co/ZljE6seXHB""",b'1232006390270562306',b'Linda Helman',b'ljhelman',b'texas',"b'Wife, mother, and grandmother. CPA, Republican, NJ born and living in TX. Love to travel and I rent out the Grand Luxxe resort in Mexico.'",b'112',b'32',b'1',b'4539',b'5163',b'False',b'False',b'True',b'False',b'2015-07-01 04:18:47'
b'Gracias Dios por D Trump en AMISTAD EN EL MUNDO CONTRA TODO VIENTO DE OPRESI\\xd3N QUE FRENE PROGRESO Y CONTRA \\u201cMUSLIM\\u2026 https://t.co/p9E1MzbEel',b'1232006383152893954',b'Lulu Walker',b'luluRDT',b'Mexico',b'Soy de Cristo -I belong to Christ Jesus -Juan 17;17 Santificalos en tu verdad',b'90',b'316',b'0',b'2411',b'8560',b'False',b'True',b'True',b'False',b'2011-07-27 19:28:47'
b'@AndrewAmsan @sonamakapoor @Reuters Did u see the man firing. He was a muslim.dnt post biasedpictures.',b'1232006379994517504',b'ks',b'saurabhkanth786',b'\\u092d\\u093e\\u0930\\u0924',b'manager',b'42',b'191',b'0',b'4767',b'439',b'False',b'False',b'True',b'False',b'2013-10-30 03:34:53'
b'@Ankit36833192 @rais_shk sahi ka sat dena chahiye. or @rais_shk de rahe hai. aap apne tarike se dekh rahe hai ek ba\\u2026 https://t.co/SnIfNxP8Wz',b'1232006379524804609',b'Ansari Atique Nisar',b'aatique222',b'Bhiwandi',"b'Support to right, ""To be alone you avoid bad company. But to have a true friend is better than being alone"" Umar ibn Al-Khattab.'",b'439',b'689',b'0',b'1766',b'1467',b'False',b'False',b'True',b'False',b'2013-01-12 12:15:38'
b'@scribe_prashant Muslim',b'1232006378769616896',b'Amith Singh',b'amithsingh17',"b'India, karnataka, Bangalore.'",b'A climate change adviser with an eye on a future',b'47',b'44',b'1',b'1479',b'217',b'False',b'False',b'True',b'False',b'2010-05-15 08:21:31'
