b'\\u0907\\u0928\\u0915\\u093e \\u0927\\u0930\\u094d\\u092e \\u0915\\u094d\\u092f\\u093e \\u0907\\u0928\\u0947 \\u0938\\u093f\\u0930\\u094d\\u092b \\u092a\\u0924\\u094d\\u0925\\u0930 \\u092e\\u093e\\u0930\\u0928\\u093e \\u0938\\u093f\\u0916\\u093e\\u0924\\u093e \\u0939\\u0948? \\u091a\\u093e\\u0939\\u0947 \\u0935\\u094b \\u0915\\u0936\\u094d\\u092e\\u0940\\u0930 \\u092e\\u0947\\u0902 \\u0939\\u094b \\u092f\\u093e \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u092f\\u093e \\u0905\\u0932\\u0940\\u0917\\u0922 #DelhiViolence\\u2026 https://t.co/k5p5vVSv3h',b'1231979760831483910',b'Ajay Singh Rawat',b'imjayrawat',"b'New Delhi, India'",b'Matter of choice | Views are personal',b'8',b'152',b'0',b'416',b'322',b'False',b'False',b'False',b'False',b'2011-05-05 15:22:39'
b'#CAAProtest https://t.co/nX4HCbgrIb',b'1231979655151800323',b'Rajeev Bansal',b'r_bansal123',"b'New Delhi, India'",b'\\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915 \\u0964 \\u092a\\u094d\\u0930\\u0936\\u093e\\u0938\\u0915 \\u0938\\u092e\\u093f\\u0924\\u093f \\u0964                                    Digital Research & Analytics',b'5159',b'22',b'1',b'1692',b'207',b'False',b'False',b'False',b'False',b'2009-10-07 09:15:53'
b'Wake up guys and girls to the games being played...\\n\\n#CAAProtest #AntiCAAProtest \\n\\nhttps://t.co/QLbmfra2BT',b'1231979580103286784',b'\\u265a Swami Says \\u265a \\U0001f1ee\\U0001f1f3',b'Swamii_says',b'Mumbai',"b""Straight jackets are by the wall, meds are in the boxes. Enjoy your stay! Evil is subjective. I prefer morally challenged!\\nTo Live is EVIL, and Lived is D'EVIL!""",b'4800',b'228',b'88',b'89698',b'51082',b'False',b'False',b'False',b'False',b'2009-05-18 10:04:15'
"b'\\u092e\\u094c\\u091c\\u092a\\u0941\\u0930 \\u092e\\u0947\\u0902 \\u092b\\u093e\\u092f\\u0930\\u093f\\u0902\\u0917 \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u0907\\u0938 \\u0936\\u0916\\u094d\\u0938 \\u0915\\u093e \\u0928\\u093e\\u092e \\u0936\\u093e\\u0939\\u0930\\u0941\\u0916 \\u092c\\u0924\\u093e\\u092f\\u093e \\u091c\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948, \\u0915\\u0939\\u093e\\u0901 \\u0917\\u090f \\u0924\\u092e\\u093e\\u092e \\u0938\\u0947\\u0915\\u094d\\u092f\\u0941\\u0932\\u0930???\\n#CAAProtest\\u2026 https://t.co/NlldL9XO3P'",b'1231979578005966860',b'Jitender Kr Sharma',b'jitendesharma',"b'NEW DELHI, INDIA'",b'Senior Journalist @TV9Bharatvarsh. Earlier with @INDIATV. Reports Crime & Investigation. Tweets & Retweets are in personal capacity.',b'596',b'635',b'0',b'905',b'2756',b'False',b'False',b'True',b'False',b'2012-04-28 01:58:14'
b'#CAAProtest https://t.co/gnlRIs8rCk',b'1231979531491250178',b'Madhur Agrawal',b'MadhurAgrawal',b'',b'',b'115',b'172',b'3',b'1256',b'2553',b'False',b'False',b'True',b'False',b'2009-03-09 05:30:14'
"b'\\u0935\\u094d\\u092f\\u0935\\u0939\\u093e\\u0930\\u0940 \\u0905\\u0930\\u094d\\u0925 \\u0915\\u093e\\u092f \\u0939\\u094b\\u0924\\u094b? \\u0924\\u0930 \\u0906\\u092e\\u094d\\u0939\\u093e\\u0932\\u093e \\u0938\\u0930\\u094d\\u0935\\u094b\\u091a\\u094d\\u091a \\u0928\\u094d\\u092f\\u093e\\u092f\\u093e\\u0932\\u092f \\u092e\\u093e\\u0928\\u094d\\u092f \\u0928\\u093e\\u0939\\u0940, \\u0939\\u0947 \\u0936\\u0939\\u093e\\u092c\\u093e\\u0928\\u0942\\u091a\\u094d\\u092f\\u093e \\u0928\\u093f\\u0915\\u093e\\u0932\\u093e\\u0928\\u0902\\u0924\\u0930 \\u0906\\u092e\\u094d\\u0939\\u0940 \\u0938\\u093f\\u0926\\u094d\\u0927 \\u0915\\u0947\\u0932\\u0947\\u0932\\u0947\\u091a \\u0906\\u0939\\u0947.\\u2026 https://t.co/I40Gi2oAhz'",b'1231979505176186880',b'Atul Yashwant Patil \\U0001f1ee\\U0001f1f3',b'atulpatil0707',b'Mumbai - The City of Dreams !',"b'c.o.e.p Engineer | \\u0938\\u094d\\u0935\\u093e\\u0924\\u0902\\u0924\\u094d\\u0930\\u094d\\u092f \\u0917\\u093e\\u0902\\u0927\\u0940\\u0902\\u0928\\u0940 \\u0928\\u093e\\u0939\\u0940, \\u092e\\u0939\\u093e\\u0930\\u093e\\u091c\\u093e\\u0902\\u091a\\u094d\\u092f\\u093e \\u0938\\u094d\\u0935\\u0930\\u093e\\u091c\\u094d\\u092f\\u093e\\u0928\\u0947 \\u092a\\u094d\\u0930\\u0947\\u0930\\u0940\\u0924 \\u0932\\u093e\\u0916\\u094b \\u0915\\u094d\\u0930\\u093e\\u0902\\u0924\\u093f\\u0915\\u0931\\u094d\\u092f\\u093e\\u0902\\u091a\\u094d\\u092f\\u093e \\u092c\\u0932\\u093f\\u0926\\u093e\\u0928\\u093e\\u0928\\u0947 \\u0926\\u093f\\u0932\\u0902\\u092f !\\n#Modi4India #\\u092c\\u093e\\u0933\\u093e\\u0938\\u093e\\u0939\\u0947\\u092c\\U0001f490 #\\u0936\\u0947\\u0924\\u0915\\u0930\\u0940'",b'312',b'145',b'1',b'11482',b'1811',b'False',b'False',b'True',b'False',b'2017-09-10 16:10:54'
b'India is not an Hindu nation...\\U0001f601\\n\\nThat HINDU RASHTRA crap will never happen...\\U0001f602\\n\\nThose bhakts who thinks India is o\\u2026 https://t.co/HBPEm0x4T0',b'1231979496917487620',b'(PRABHA) URBAN NAXAL 2.0 \\U0001f60a',b'mpk_prabha',b'Tiruvallur',"b""\\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0bcd\\U0001f60e \\n\\u0bae\\u0ba4\\u0b99\\u0bcd\\u0b95\\u0bb3\\u0bc8 \\u0b95\\u0b9f\\u0ba8\\u0bcd\\u0ba4\\u0bc1 \\u0bae\\u0ba9\\u0bbf\\u0ba4\\u0ba4\\u0bcd\\u0ba4\\u0bc8 \\u0ba8\\u0bc7\\u0b9a\\u0bbf\\U0001f60a\\nRT's are not endorsements\\U0001f607\\n\\u0b9a\\u0bbe\\u0ba4\\u0bbf\\u0baf\\u0bc1\\u0bae\\u0bcd, \\u0bae\\u0ba4\\u0bae\\u0bc1\\u0bae\\u0bcd \\u0bae\\u0ba9\\u0bbf\\u0ba4\\u0b95\\u0bc1\\u0bb2\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0bb1\\u0bcd\\u0b95\\u0bc1 \\u0b8e\\u0ba4\\u0bbf\\u0bb0\\u0bbe\\u0ba9\\u0bb5\\u0bc8\\U0001f60a\\n#\\u0baa\\u0bc6\\u0bb0\\u0bbf\\u0baf\\u0bbe\\u0bb0\\u0bcd #\\u0b85\\u0bae\\u0bcd\\u0baa\\u0bc7\\u0ba4\\u0bcd\\u0b95\\u0bb0\\u0bcd #\\u0b9a\\u0bae\\u0bc2\\u0b95\\u0ba8\\u0bc0\\u0ba4\\u0bbf\\U0001f60e\\n#MSDian...\\U0001f60d""",b'55',b'349',b'2',b'1698',b'193',b'False',b'False',b'False',b'False',b'2014-08-01 07:27:21'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u091c\\u0932 \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0914\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u093e \\u092c\\u0947\\u091f\\u093e @ArvindKejriwal \\u0938\\u093f\\u0930\\u094d\\u092b\\u093c \\u091f\\u094d\\u0935\\u093f\\u091f\\u0930 \\u092a\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u094b \\u092c\\u091a\\u093e\\u0928\\u0947 \\u0915\\u0947 \\u092a\\u094d\\u0930\\u092f\\u093e\\u0938 \\u0915\\u0930 \\u0930\\u0939\\u093e \\u0939\\u0948 \\u0964\\n#\\u0930\\u0924\\u094d\\u0928_\\u0932\\u093e\\u0932\\u2026 https://t.co/mk1Aud25Kt',b'1231979461744029696',b'Rahul_Numberdar',b'RahulKu71633188',"b'Sangam Vihar, New Delhi'",b'student of University of Delhi',b'5',b'56',b'0',b'101',b'336',b'False',b'False',b'True',b'False',b'2017-06-15 04:28:51'
b'#DelhiPolice #Delhi #DelhiViolence #CAA_NRC_NPR #CAAProtest \\nToday chaos and mayhem....by anti CAA protest..\\u2026 https://t.co/2HAFgN2YTX',b'1231979449358278656',b'VernacularTube\\U0001f5e8',b'vernaculartube',b'BHARAT',"b'BHARAT\\U0001f1ee\\U0001f1f3HINDU I am BRAMHAN when i think good,KHETRIYA when i fight against evil,VAISYA when i grow economy, SUDRA when i serve nation.'",b'1637',b'2213',b'2',b'13274',b'11338',b'False',b'False',b'False',b'False',b'2018-11-22 12:28:46'
b'@Uppolice @UPGovt @CMOfficeUP @IPS_Association @AmarUjalaNews @News18India @ani_digital @NBTLucknow @TOILucknow\\u2026 https://t.co/mHb4nd2I4W',b'1231979418941181956',b'Rajinder Singh',b'A_VictimHindu',b'India',"b'Vivekananda,s philosophy believer..\\u0938\\u092e\\u0930 \\u0936\\u0947\\u0937 \\u0939\\u0948, \\u0928\\u0939\\u0940\\u0902 \\u092a\\u093e\\u092a \\u0915\\u093e \\u092d\\u093e\\u0917\\u0940 \\u0915\\u0947\\u0935\\u0932 \\u0935\\u094d\\u092f\\u093e\\u0927...\\n\\u091c\\u094b \\u0924\\u091f\\u0938\\u094d\\u0925 \\u0939\\u0948\\u0902, \\u0938\\u092e\\u092f \\u0932\\u093f\\u0916\\u0947\\u0917\\u093e \\u0909\\u0928\\u0915\\u0947 \\u092d\\u0940 \\u0905\\u092a\\u0930\\u093e\\u0927..Ram Dhari Singh Dinkar ji'",b'375',b'228',b'15',b'33367',b'21548',b'False',b'False',b'True',b'False',b'2015-07-26 13:41:01'
