b'@avik9119 @LovableHindu @rheakatta @Aagneya2 @Nehr_who @JasjeevSinghTOI @TOIDelhi Jamia amu me dobara shuru nahi hu\\u2026 https://t.co/2X6RmqNM9F',b'1231934859058327558',b'Capt. Steep Rogers',b'SteepCapt',b'',b'Captain is here.',b'3',b'89',b'0',b'53',b'1114',b'False',b'False',b'True',b'False',b'2019-12-23 18:19:20'
"b""@DelhiPolice please arrest @KapilMishra_IND.\\nThis isn't about anti or pro CAA, he is responsible for the riots. Nee\\u2026 https://t.co/9DMJYtiO9k""",b'1231934846374563841',b'Raghav Bhatia',b'0RaghavBhatia',b'',b'',b'0',b'36',b'0',b'175',b'632',b'False',b'False',b'True',b'False',b'2012-04-14 13:43:30'
b'@BDUTT 100s of pro #CAA rallies happened all these days. @BDUTT never tweeted those rallies or supporters point of\\u2026 https://t.co/IJ3ulA0lr5',b'1231934841618190336',b'Harish Kulkarni \\u0cb9\\u0cb0\\u0cc0\\u0cb6 \\u0c95\\u0cc1\\u0cb2\\u0c95\\u0cb0\\u0ccd\\u0ca3\\u0cbf',b'harishkrcr',b'',"b""Nationalist. Proud of Bharat, it's ancient wisdom, knowledge, and heritage.\\nPersonally inspired by the life of Rahul Dravid.""",b'640',b'304',b'116',b'164028',b'50427',b'False',b'False',b'True',b'False',b'2015-02-11 16:35:51'
"b""This man's thigh have been sworded by Pro CAA goons/rioters at New Delhi @BBC @BBCHindi @AJEnglish @mehdirhasan\\u2026 https://t.co/kxe1THd47k""",b'1231934643005460485',b'Shaista Haider',b'ishaistahaider',b'',b'',b'45',b'65',b'0',b'1545',b'5049',b'False',b'False',b'True',b'False',b'2016-08-05 17:27:02'
b'@vinodjose @prafullaketkar Dear Jose u won\\u2019t feel ashamed for wrong reporting or do u want enemity to grow among re\\u2026 https://t.co/xDTJd82C4I',b'1231934604203843585',b'Vashista',b'Venky1971',b'Bengaluru(\\u0ca6)/Mangaluru/Hubli',b'RigVedhi!https://t.co/9D38HXklDp Bhyrappa\\u2019s !! SathaVadhaniGanesh#Sambhavani yuge yuge!#Bharathiya!RTs#endorsements#Farmer#MadhiraSalesMan#Shanbhog#Army#Politics#Dharma',b'862',b'217',b'44',b'66120',b'22179',b'False',b'False',b'True',b'False',b'2013-10-04 12:02:41'
"b""@srishti2804 This man should be arrested, whoever he is. Pro or Anti CAA doesn't matter. He should be arrested immediately""",b'1231934580778815488',b'Suboohi',b'subiism',b'\\u092d\\u093e\\u0930\\u0924',b'Unapologetic Indian Muslim.Feminist. Anti Fascist. Optimist.  Opinionated.',b'2136',b'177',b'33',b'18488',b'7643',b'False',b'False',b'False',b'False',b'2010-05-06 07:51:53'
b'@GautamGambhir @DelhiPolice Gautam sir aap ko kaise pata ye death anti CAA walo ne ke hai ya pro CAA walo ne.',b'1231934567214305281',b'khurshid alam',b'khurshid05_alam',b'',b'',b'5',b'43',b'0',b'71',b'0',b'False',b'True',b'True',b'False',b'2015-02-18 08:25:36'
"b'@Tweetingchintu Yup, they are clearly shouting Yes to CAA n wearing the badge of Pro CAA'",b'1231934539599138817',b'Arko Brad',b'arko_brad',b'',"b""Let's try to be a neutral voice. RT is only for that tweet. Nowhere m i endorsing the prsn who tweeted it.""",b'43',b'80',b'0',b'4014',b'4470',b'False',b'False',b'True',b'False',b'2010-04-16 10:15:00'
"b""@VijaytaL Pro CAA protesters ??? Oh..Scroll...should've guessed""",b'1231934440261201920',b'Papanasham',b'nasham_papa',b'',b'',b'37',b'1022',b'0',b'5917',b'4467',b'False',b'False',b'True',b'False',b'2019-01-31 14:24:26'
b'@mans_patel @Iam_SyedIrfan @JasjeevSinghTOI @zoo_bear @TOIDelhi Aur jo violence kr rha hai use dalwa do jail mai ch\\u2026 https://t.co/kPtzCtsXpP',b'1231934389107343361',b'The Drunken Dude',b'TheDrunkenDude',b'',"b'4 bottle vodka, kaam mere roj ka \\U0001f92b'",b'4',b'50',b'0',b'2148',b'353',b'False',b'False',b'True',b'False',b'2019-12-03 07:38:13'
