b'#DelhiBurning\\n#delhivoilence \\n#Maujpur \\n#Bhajanpura\\n #WhereIsKejriwal https://t.co/K7GcT00LRD',b'1232021808657899527',b'Khalid',b'iamSkhalid',b'probably at a concert',b'\\u200f\\u200f\\u200f\\u200f\\u0648\\u0644\\u0627 \\u063a\\u0627\\u0644\\u0628 \\u0627\\u0644\\u0623 \\u0627\\u0644\\u0644\\u0647',b'209',b'120',b'0',b'2822',b'16813',b'False',b'False',b'True',b'False',b'2016-09-19 12:06:20'
b'And it continues....\\n#DelhiViolence #DelhiBurning https://t.co/yxMasLETai',b'1232021804811579392',b'Karthik Bharadwaj| \\u0c95\\u0cbe\\u0cb0\\u0ccd\\u0ca4\\u0cbf\\u0c95\\u0ccd \\U0001f1ee\\U0001f1f3',b'h_s_Karthik',b'\\u0c95\\u0cb0\\u0ccd\\u0ca8\\u0cbe\\u0c9f\\u0c95',b'',b'268',b'295',b'0',b'7561',b'36736',b'False',b'False',b'True',b'False',b'2018-09-09 11:19:08'
b'Delhi 2020.\\nGujarat 2002.\\n\\nFace changed. Place changed.\\nMastermind remains the same\\n\\n@Syednadeemrafa1\\n\\n #DelhiBurning',b'1232021804463665152',b'MOIN AHMAD SHEIKH\\U0001f1ee\\U0001f1f3',b'Moin_Ahmad_kgn',"b'Khargone madhya pradesh, India'","b'Head of #IVAcademy Khargone ,\\n Social Activists, Adhura Shayar,\\npolitical interested \\nMember of #TM_Group_9'",b'877',b'226',b'1',b'9166',b'13504',b'False',b'False',b'True',b'False',b'2017-08-04 13:32:20'
b'#DelhiBurning\\nAnd now what are you doing ?\\n\\nRSS doesnt need BJP in power if CM like you in power there. Shame on yo\\u2026 https://t.co/mnQjuawGhR',b'1232021801196232704',b'Advocate Atifur Hussain',b'AdvocateAtifur',b'',"b""Lawyer,\\nLegal Advisor, All BTC minority student's union (ABMSU), Activist.""",b'69',b'370',b'0',b'961',b'445',b'False',b'False',b'True',b'False',b'2019-07-13 16:42:45'
"b""1984 likhe situation is being tried to create in New Delhi. It was Congress in 1984, it's congress Third hand this time.... \\n\\n#DelhiBurning""",b'1232021799677751296',b'\\u2744\\ufe0f Ankit Sinha \\u2744\\ufe0f \\U0001f1ee\\U0001f1f3',b'ankitsinha0880',b'',"b'Pankha of NarendraModi, LawLeo n DelhiLawyer.Baaki apne dost ekdum Jigar ke challe.Manku, Pooja, Sneha, Ansh, Prakash, Arahat, Sachidanand, Makanna, Rajeev.'",b'12234',b'379',b'158',b'192469',b'47636',b'False',b'False',b'False',b'False',b'2013-02-18 16:26:20'
b'This terrorist set ablaze a religious place in #India \\n@PTI_News @XHNews @nytimes @France24_en @AJEnglish @cnni\\u2026 https://t.co/6TR8x77da4',b'1232021795680718850',b'Taha Jaunpuri (1\\ufe0f\\u20e3) K \\u0637\\u06c1 \\u062c\\u0648\\u0646 \\u067e\\u0648\\u0631\\u06cc',b'ReallyDeshBhakt',b'Mumbi',b'Humanitarian and Peace Loving Boy',b'1155',b'640',b'0',b'3911',b'1216',b'False',b'False',b'True',b'False',b'2012-08-08 07:52:51'
"b""@AcharyaPramodk What's happening in Delhi is clear message for people in capital as well as Pan India that only\\u2026 https://t.co/ZxHSg24jYw""",b'1232021793185181698',b'Ankit Chaudhary',b'AnkitCh11091992',"b'Modinagar, Uttar Pradesh'",b'',b'56',b'141',b'0',b'675',b'7002',b'False',b'False',b'True',b'False',b'2016-07-17 18:04:30'
"b'Left Wing Secularism of India. \\nThose of you who think that you\\u2019ll be spared just because you\\u2019re a liberal, it will\\u2026 https://t.co/CHeeFlSVW2'",b'1232021791767326720',b'Pranoy Dixit \\U0001f1ee\\U0001f1f3',b'DixitVeen',"b'New Delhi, India'",b'\\u092d\\u093e\\u0930\\u0924\\u0935\\u093e\\u0926\\u0940',b'32',b'299',b'0',b'918',b'6244',b'False',b'False',b'True',b'False',b'2019-02-12 20:47:18'
"b'#DelhiBurning\\n\\u0935\\u094b \\u0938\\u094d\\u0935\\u0930\\u094d\\u0923 \\u0925\\u093e\\u0932 \\u092e\\u0947\\u0902 \\u0916\\u093e\\u0924\\u0947 \\u0930\\u0939\\u0947,\\n\\u0924\\u093e\\u091c \\u092a\\u0947 \\u092b\\u094b\\u091f\\u094b \\u0916\\u093f\\u0902\\u091a\\u093e\\u0924\\u0947 \\u0930\\u0939\\u0947\\u0964\\n\\u0939\\u092e \\u0935\\u0924\\u0928 \\u0905\\u092a\\u0928\\u093e \\u091c\\u0932\\u093e\\u0924\\u0947 \\u0930\\u0939\\u0947,\\n\\u0905\\u092a\\u0928\\u094b\\u0902 \\u0915\\u093e \\u0916\\u0942\\u0928 \\u092c\\u0939\\u093e\\u0924\\u0947 \\u0930\\u0939\\u0947\\u0964\\n\\u0939\\u2026 https://t.co/qXslgufnM9'",b'1232021779062968320',b'Kavi Kumar Ashok',b'Matethuwala',"b'Indore, India'","b'Official Twitter Account Of Kavi Kumar Ashok (The Poet) Sab Kahate Hai Mujhako Ek Pagal Diwana,Par Kahati Ho Tum Kya Batana Priye !'",b'616',b'441',b'2',b'4003',b'833',b'False',b'False',b'False',b'False',b'2015-11-20 13:11:09'
b'\\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932 \\u0926\\u0942\\u0938\\u0930\\u093e \\u092e\\u094b\\u0926\\u0940 \\u0939\\u0948 #\\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932_\\u0926\\u0942\\u0938\\u0930\\u093e_\\u092e\\u094b\\u0926\\u0940 #DelhiPolice #DelhiBurning #Maujpur #ArrestKapilMishra #CAAProtest\\u2026 https://t.co/3I2DsvmWwn',b'1232021775971749888',b'Baninder Bhangu(\\u0a2c\\u0a28\\u0a3f\\u0a70\\u0a26\\u0a30 \\u0a38\\u0a3f\\u0a70\\u0a18 \\u0a2d\\u0a70\\u0a17\\u0a42)',b'BaninderBhangu',"b'Sangrur, India'",b'+2 pass (\\u0a2c\\u0a3e\\u0a30\\u0a4d\\u0a39\\u0a35\\u0a40\\u0a02 \\u0a2a\\u0a3e\\u0a38)',b'701',b'1076',b'0',b'679',b'713',b'False',b'False',b'True',b'False',b'2018-04-23 19:11:11'
