b'\\u090f\\u0915 \\u0914\\u0930 \\u0906\\u0917\\u091c\\u093c\\u0928\\u0940 \\u0914\\u0930 \\u092c\\u0935\\u093e\\u0932 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u092e\\u091a\\u093e \\u0939\\u0948 \\u0914\\u0930 \\u0926\\u0942\\u0938\\u0930\\u0940 \\u0924\\u0930\\u092b \\u0909\\u0938\\u0940 \\u0924\\u0930\\u0939 \\u0915\\u0940 \\u0906\\u0917\\u091c\\u093c\\u0928\\u0940 \\u0914\\u0930 \\u0926\\u094b \\u0917\\u0941\\u091f \\u091f\\u094d\\u0935\\u093f\\u091f\\u0930 \\u092a\\u0930 \\u092c\\u0928\\u0947 \\u0939\\u0941\\u090f \\u0939\\u0948\\u0902\\u0964\\n\\n\\u092a\\u0924\\u094d\\u0930\\u0915\\u093e\\u0930\\u094b\\u0902\\u2026 https://t.co/t0hQ3krL0R',b'1232017252083326982',b'neeru bahl',b'Neeru_Bahl',"b'New Delhi, India'","b""Researcher, Archivist, Director's Asst, Production Manager Web series @Transparencyws\\nWriter & Marketing Executive https://t.co/Nv3zSGKagF\\nFmr Exec Mgr: NewsGram""",b'1032',b'315',b'62',b'27447',b'3841',b'False',b'False',b'False',b'False',b'2014-01-03 17:16:05'
b'Plzz @AmitShah act against dis islamic terrorism like @myogiadityanath has handled..They want only islamic rule in\\u2026 https://t.co/kEwwFVue5R',b'1232017251999584256',b'prince pandey',b'princep47291534',b'',b'',b'32',b'111',b'0',b'164',b'210',b'False',b'False',b'True',b'False',b'2015-08-28 15:09:35'
b'\\u0905\\u092a\\u0928\\u0947 \\u092c\\u0947\\u091f\\u0947 \\u0915\\u094b \\u092d\\u0947\\u091c \\u0926\\u094b \\u0938\\u0930 \\n\\u0926\\u0902\\u0917\\u094b\\u0902 \\u092e\\u0947 \\n\\n\\u0907\\u0938 \\u092a\\u0930 \\u0915\\u093e\\u0930\\u094d\\u092f\\u0935\\u093e\\u0939\\u0940 \\u0939\\u094b\\u0928\\u0940 \\u091a\\u093e\\u0939\\u093f\\u092f\\u0947 \\n#DelhiBurning https://t.co/zFEGLuTPPU',b'1232017249436827649',b'\\u0905\\u0928\\u093e\\u0930\\u094d\\u092f \\u0917\\u094c\\u0924\\u092e \\u0938\\u092e\\u094d\\u0930\\u093e\\u091f',b'G_B_Jadav',"b'Gujarat, India'","b'\\u091c\\u092f \\u092d\\u0940\\u092e, \\u091c\\u092f \\u092e\\u0940\\u092e, \\u091c\\u092f \\u092e\\u0942\\u0932\\u0928\\u093f\\u0935\\u093e\\u0938\\u0940, \\u091c\\u092f \\u0938\\u0902\\u0935\\u093f\\u0927\\u093e\\u0928 \\n\\u092a\\u094d\\u0930\\u092c\\u0941\\u0926\\u094d\\u0927 \\u092d\\u093e\\u0930\\u0924, \\u0938\\u092e\\u0943\\u0926\\u094d\\u0927 \\u092d\\u093e\\u0930\\u0924, \\u0905\\u0916\\u0902\\u0921 \\u092d\\u093e\\u0930\\u0924'",b'1298',b'2159',b'0',b'5133',b'4475',b'False',b'False',b'True',b'False',b'2019-11-03 11:52:50'
"b""Guy : 'Musl!ms are Terrorists'\\n\\n#DelhiRiots #DelhiBurning https://t.co/uZ5ldpQe5n""",b'1232017248354754561',b'Abhishek mishra',b'Abhishek_6333',"b'Uttar Pradesh, India'",b'\\u090f\\u0915 \\u0938\\u093e\\u0927\\u093e\\u0930\\u0923 \\u0935\\u094d\\u092f\\u0915\\u094d\\u0924\\u093f \\U0001f64f',b'9687',b'8564',b'1',b'2629',b'12092',b'False',b'False',b'True',b'False',b'2019-08-01 08:16:39'
"b""Today's headlines\\n1. Anti-CAA protestors and Urban terrorists killed 4 including police\\n2. Radical Islamists and an\\u2026 https://t.co/N9LqGjQtMV""",b'1232017245653463040',b'Amarnath Sarangula',b'amarhindu',b'Hyderabad',"b'Proud Hindu Nationalist, Entrepreneur, Political Strategist.'",b'1033',b'447',b'4',b'3242',b'359',b'False',b'False',b'False',b'False',b'2010-11-19 06:32:07'
"b'Their target is not just Delhi, you are also living there.\\n#StaySafe #TrustPolice and Watch #DelhiBurning'",b'1232017238984515587',b'\\u0932\\u093f\\u091f\\u094d\\u091f\\u0940 \\u091a\\u094b\\u0916\\u093e',b'LittiChokha4Pcs',b'\\u0938\\u0941\\u0936\\u093e\\u0938\\u0928 \\u092c\\u093e\\u092c\\u0942 \\u0915\\u0947 \\u092a\\u094d\\u0930\\u0926\\u0947\\u0936 \\u092e\\u0947\\u0902',b'\\u0916\\u093e\\u0928\\u093e \\u0914\\u0930 \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f \\u092a\\u0947 \\u0906\\u092a \\u092e\\u0941\\u091d\\u0938\\u0947 \\u092c\\u093e\\u0924 \\u0915\\u0930 \\u0938\\u0915\\u0924\\u0947 \\u0939\\u0948\\u0964\\n\\u0914\\u0930 \\u0939\\u093e\\u0902 \\u0917\\u093e\\u0932\\u0940 \\u0938\\u093f\\u0930\\u094d\\u092b \\u092e\\u0948 \\u0926\\u0942\\u0902\\u0917\\u093e \\u0906\\u092a \\u0926\\u0947\\u0902\\u0917\\u0947 \\u0924\\u094b \\u0935\\u093f\\u0915\\u094d\\u091f\\u093f\\u092e \\u0915\\u093e\\u0930\\u094d\\u0921 \\u0916\\u0947\\u0932\\u0928\\u0947 \\u0932\\u0917\\u0941\\u0902\\u0917\\u093e \\u0964\\u0964\\n\\u0905\\u0917\\u0930 \\u0906\\u092a \\u092c\\u0935\\u093e\\u0938\\u0940\\u0930 \\u0938\\u0947 \\u0917\\u094d\\u0930\\u0938\\u093f\\u0924 \\u0939\\u0948 \\u0924\\u094b \\u092e\\u0941\\u091d\\u0947 \\u092b\\u0949\\u0932\\u094b \\u0928 \\u0915\\u0930\\u0947\\u0964',b'150',b'64',b'1',b'31701',b'32984',b'False',b'False',b'True',b'False',b'2018-07-26 08:23:29'
b'@VishalDadlani saab aapke gano se jara samjhao @ArvindKejriwal ko #DelhiBurning',b'1232017238661582849',b'Vinay pullela',b'Iampullela',b'',b'',b'30',b'307',b'1',b'701',b'1897',b'False',b'False',b'True',b'False',b'2016-08-29 18:42:08'
b'@AyishaViews #DelhiBurning #DelhiPolice',b'1232017236753293313',b'hafeezullah kv',b'hafeezkv',b'India',b'I am What I am',b'1113',b'882',b'4',b'3210',b'1600',b'False',b'False',b'False',b'False',b'2009-09-27 04:17:01'
b'Yellow stars then started showing up on buildings that belonged to a particular community and religion. Millions of\\u2026 https://t.co/sRSP3Ez5yG',b'1232017236035919874',b'Malvika Singh',b'malvika_1',"b'London, England'",b'Political Economist | Editor-in-Chief @risk_insights | MSc @LSEGovernment',b'94',b'189',b'1',b'458',b'1881',b'False',b'False',b'False',b'False',b'2011-12-06 17:06:55'
b'\\u0b95\\u0bc1\\u0b9c\\u0bb0\\u0bbe\\u0ba4\\u0bcd\\u0ba4\\u0bc1 model \\u0b9f\\u0bc6\\u0bb2\\u0bcd\\u0bb2\\u0bbf\\u0baf\\u0bbf\\u0bb2\\u0bcd !\\n\\u0baa\\u0bbe\\u0b9c\\u0b95 RSS \\u0b95\\u0bbe\\u0bb5\\u0bbf \\u0baa\\u0baf\\u0b99\\u0bcd\\u0b95\\u0bb0\\u0bb5\\u0bbe\\u0ba4\\u0bbf\\u0b95\\u0bb3\\u0bcd! #DelhiBurning  #RejectCAA https://t.co/0Ov1wPvBJP',b'1232017234580602882',b'\\u0b95\\u0bbe\\u0bb0\\u0bcd\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0b95\\u0bcd \\u0ba4\\u0bae\\u0bbf\\u0bb4\\u0ba9\\u0bcd',b'UlagaTamizhar',b'',b'',b'317',b'433',b'0',b'759',b'122',b'False',b'False',b'True',b'False',b'2015-09-23 19:56:03'
b'\\u0938\\u0921\\u093c\\u0915 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u091c\\u093e\\u092e \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u0915\\u094c\\u0928? \\u092a\\u0925\\u0930\\u093e\\u0935 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u0915\\u093f\\u092f\\u093e?\\n\\u0906\\u0917\\u091c\\u0928\\u0940 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u0915\\u0940?\\n\\u0907\\u0928 \\u0938\\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u093e \\u090f\\u0915 \\u0939\\u0940 \\u091c\\u0935\\u093e\\u092c \\u0939\\u0948 #AntiCAAprotests.\\n\\u092b\\u093f\\u0930 \\u092d\\u0940\\u2026 https://t.co/mRKG7SqwZe',b'1232017223419678720',b'Subodh',b'subodh57329778',b'India',b'\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940 \\u0938\\u094b\\u091a \\u0915\\u0947 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0938\\u0947 \\u0939\\u0940 \\u0938\\u0902\\u092a\\u0930\\u094d\\u0915 \\u0930\\u0916\\u0924\\u093e \\u0939\\u0942\\u0902\\u0964\\n\\n\\U0001f4af% \\u092b\\u0949\\u0932\\u094b \\u092c\\u0948\\u0915 \\u0915\\u0940 \\u0917\\u093e\\u0930\\u0902\\u091f\\u0940\\u0964\\n\\n\\u0915\\u0941\\u091b \\u0926\\u093f\\u0928\\u094b\\u0902 \\u092c\\u093e\\u0926 \\u0905\\u0928\\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u092a\\u0930 \\u092a\\u0942\\u0930\\u0940 \\u0928\\u093f\\u0917\\u093e\\u0939 \\u0930\\u0939\\u0924\\u0940 \\u0939\\u0948\\u0964\\n\\n\\u0910\\u0938\\u0947 \\u0932\\u094b\\u0917 \\u0926\\u0942\\u0930 \\u0939\\u0940 \\u0930\\u0939\\u0947\\u0964',b'1226',b'1024',b'1',b'7327',b'41387',b'False',b'False',b'True',b'False',b'2012-10-17 19:13:03'
