b'Enough is enough #UrbanNaxals #DelhiPolice #Maujpur #CAAProtest',b'1231930661046452224',b'binayak tripathy',b'binayaktripathy',"b'Bhubaneshwar, India'",b'',b'21',b'181',b'1',b'1679',b'10039',b'False',b'False',b'True',b'False',b'2013-10-01 14:01:06'
b'CAA \\u0938\\u092e\\u0930\\u094d\\u0925\\u0915 \\u0914\\u0930 \\u0935\\u093f\\u0930\\u094b\\u0927\\u0940 \\u0938\\u092e\\u0942\\u0939\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0939\\u0941\\u0908 \\u091d\\u0921\\u093c\\u092a \\nhttps://t.co/KmXWIRSEVK\\n#CAA_NRC_NPR  #CAA_NRCProtests   #CAAProtest',b'1231930660929069058',b'Hindmata Mirror ( HM NEWS )',b'hindmatamirror',b'Mumbai',b'A Daily Newspaper from Mumbai\\nis Now Available on Youtube',b'194',b'273',b'0',b'1941',b'3',b'False',b'False',b'True',b'False',b'2013-12-27 13:33:54'
b'#DelhiPolice #CAAProtest https://t.co/LjxkduShw5',b'1231930631749279744',b'nitesh thakur',b'nitesh_93',b'',"b'A Sports Lover,An Electronics Engineer,A Versatile Boy'",b'8',b'75',b'0',b'99',b'132',b'False',b'False',b'False',b'False',b'2013-06-20 15:45:06'
b'\\u0924\\u0947\\u0930\\u0947 \\u092c\\u091a\\u094d\\u091a\\u0947 \\u0915\\u094b \\u092d\\u0947\\u091c \\u0928\\u093e \\u0936\\u0902\\u0916\\u0928\\u093e\\u0926 \\u0915\\u0930\\u0928\\u0947 ? \\n\\n\\u0926\\u0941\\u0938\\u0930\\u094b \\u0915\\u0947 \\u092c\\u091a\\u094d\\u091a\\u094b\\u0902 \\u0915\\u093e \\u092d\\u0935\\u093f\\u0937\\u094d\\u092f \\u0915\\u094d\\u092f\\u094b\\u0902 \\u0916\\u0930\\u093e\\u092c \\u0915\\u0930 \\u0930\\u0939\\u093e \\u0939\\u0948 \\u091a\\u093e\\u0926\\u0930\\u092e\\u094b\\u0921 ?\\n\\n#Jafrabad\\u2026 https://t.co/51AjdCu9up',b'1231930610647785472',b'Nitin Sehrawat B+',b'nitinsehra10',"b'Gurgaon, India'","b""I am a Person Who is Still Learning about Life and won't Stop till the last Breath""",b'1405',b'267',b'0',b'4083',b'7307',b'False',b'False',b'False',b'False',b'2017-10-28 06:26:09'
"b""Rahul Gandhi's reaction to the #CAAProtest's taking place: urges civilians not to react to provocations of RSS terr\\u2026 https://t.co/f7iByTAwNc""",b'1231930600216461313',b'CMA',b'CMASecurity',b'United Kingdom',b'Civil & Military Affairs. Intel watch.',b'56',b'2',b'0',b'110',b'2',b'False',b'False',b'True',b'False',b'2019-12-12 19:57:43'
b'Ha tere ke #CAAProtest',b'1231930499444150273',b'Zeshan',b'Zeshan80280446',b'',b'nothing special only fun and get find fun \\nwith friend',b'1',b'17',b'0',b'2',b'2',b'False',b'True',b'True',b'False',b'2020-02-22 07:09:47'
"b'So sad to see the state of #Delhi today! More than clashes of #CAAProtest #AntiCAA, these are clashes of ego, dirty\\u2026 https://t.co/NWKSiyDsJs'",b'1231930476710883328',b'Vertica Dvivedi',b'imVertica',"b'New Delhi, India'",b'Entrepreneur/ Speaker/ Writer/ Mastering Scaling-up/ Helping Women rise/ Coaching Busy Ppl adopt Hobby/ Reporting to a tiny\\U0001f467\\U0001f3fbmom/ \\u2665\\ufe0fSinging/ Wouldbe Author \\U0001f4d6',b'405',b'369',b'6',b'1451',b'1087',b'False',b'False',b'False',b'False',b'2009-10-03 07:05:07'
b'The violence going on streets of #Delhi is panic. An appeal to all people of #Dilli whether you are in support or a\\u2026 https://t.co/rV109VHFdP',b'1231930460646694913',b'Aditya',b'adity0205',"b'New Delhi, India'",b'Indian\\U0001f1ee\\U0001f1f3\\n\\n\\u0939\\u093f\\u0928\\u094d\\u0926\\u0941 \\u092e\\u0941\\u0938\\u094d\\u0932\\u093f\\u092e \\u0938\\u093f\\u0916 \\u0908\\u0938\\u093e\\u0908 \\u0906\\u092a\\u0938 \\u092e\\u0947\\u0902 \\u0938\\u092c \\u092d\\u093e\\u0908 \\u092d\\u093e\\u0908\\U0001f1ee\\U0001f1f3 \\nThis is my India\\U0001f1ee\\U0001f1f3',b'30',b'105',b'0',b'616',b'67',b'False',b'False',b'True',b'False',b'2019-06-25 10:42:27'
"b""Read This (Recent Political Trend in India) \\nWhat's your political identity ?\\naandhbhakt yhh Deshdarhi ?\\u2026 https://t.co/s2CCVNgOyZ""",b'1231930386403512322',b'// Rishi \\U0001f1ee\\U0001f1f3',b'Rishi_Tweets5',"b'Kolkata, India'","b'Freethinker. #Atheist -Activist, Book-Sports&Music lover, fighting for #peace & equal Rights- #Unity,\\nAlways Waiting for new people&Experience #loyal #Humanist'",b'100',b'213',b'0',b'811',b'1162',b'False',b'False',b'True',b'False',b'2016-02-27 12:10:28'
b'\\u0915\\u092c \\u0924\\u0915 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u0930\\u0935\\u093e\\u092f\\u0947\\u0917\\u093e ? @ArvindKejriwal \\n#CAAProtest #DelhiPolice #DelhiBurning https://t.co/7jJ0HoilXS',b'1231930381835919360',b'Tejas modi',b'TejasModi03',b'Ahmedabad',b'Instagram:3tejas',b'119',b'162',b'0',b'305',b'8163',b'False',b'False',b'True',b'False',b'2015-12-25 03:45:30'
b'Right\\n#CAAProtest \\n#Arrest_Kapil_Mishra https://t.co/B6tCwU9goK',b'1231930332041154560',b'\\u0930\\u093e\\u092e\\u092a\\u094d\\u0930\\u0935\\u0947\\u0936 \\u0938\\u093f\\u0902\\u0939 \\u0905\\u092e\\u094d\\u092c\\u0947\\u0921\\u0915\\u0930',b'Rampravesh1466',b'India',b'\\u092c\\u094c\\u0926\\u094d\\u0927 \\u0927\\u092e\\u094d\\u092e \\u0915\\u0940 \\u092f\\u0939\\u0940 \\u092a\\u0939\\u091a\\u093e\\u0928 \\u092e\\u093e\\u0928\\u0935- \\u092e\\u093e\\u0928\\u0935 \\u090f\\u0915 \\u0938\\u092e\\u093e\\u0928\\u0964',b'1464',b'867',b'0',b'3561',b'5009',b'False',b'False',b'True',b'False',b'2018-06-13 04:50:58'
