b'\\u090f\\u0915 #CAA \\u0935\\u093f\\u0930\\u094b\\u0927\\u0940 \\u0928\\u0947 \\u092a\\u0941\\u0932\\u093f\\u0938\\u0935\\u093e\\u0932\\u0947 \\u0915\\u094b \\u092a\\u0924\\u094d\\u0925\\u0930 \\u092e\\u093e\\u0930 \\u0914\\u0930 \\u0917\\u094b\\u0932\\u0940 \\u092e\\u093e\\u0930\\u0940 \\u0939\\u0924\\u094d\\u092f\\u093e \\u0915\\u0930 \\u0926\\u0940!\\n\\n\\u092f\\u0939\\u093e\\u0902 8 \\u0938\\u0948\\u0915\\u0902\\u0921 \\u0915\\u0940 \\u0935\\u093f\\u0921\\u093f\\u092f\\u094b \\u0915\\u094b PRO CAA  \\u0915\\u093e \\u0928\\u093e\\u092e \\u0926\\u0947\\u0915\\u0930\\u2026 https://t.co/SXbG3SygSM',b'1231939231649554434',b'\\u0927\\u0940\\u0930\\u091c \\u0938\\u093f\\u0902\\u0939 \\u092e\\u0932\\u093f\\u0915',b'DSMALIK_IND',b'NEW DELHI',b'\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0940\\u092f \\u0938\\u091a\\u093f\\u0935\\n\\u092d\\u093e\\u0930\\u0924\\u0940\\u092f \\u0915\\u093f\\u0938\\u093e\\u0928 \\u092f\\u0942\\u0928\\u093f\\u092f\\u0928 \\u092d\\u093e\\u0928\\u0941',b'108',b'498',b'4',b'5274',b'9257',b'False',b'False',b'False',b'False',b'2010-07-14 10:17:30'
b'@RoflGandhi_ disturbing trend going on now to tag the stone pelters/gunwavers as Anti CAA or Pro CAA. A Riot is a r\\u2026 https://t.co/7xHNSitcj9',b'1231939106696912897',b'Confused indian',b'kesarisedindia',b'',b'Insaniyat ke naam',b'0',b'53',b'0',b'8',b'62',b'False',b'False',b'True',b'False',b'2018-09-25 13:43:10'
b'@NewsNationTV @ArvindKejriwal He finds time to react when he sees pro CAA protestors replying to anti CAA terrorist\\u2026 https://t.co/zsseQ5e7LA',b'1231939058231738368',b'Joker',b'A2_delhi',b'la la land',b'This too shall pass!',b'309',b'292',b'27',b'21877',b'12793',b'False',b'False',b'False',b'False',b'2010-04-19 15:15:25'
"b'#SOS Chandbagh: Continuous stone pelting is going, Cars and public properties set on fire by Pro CAA, NRC protestor\\u2026 https://t.co/blgA8ttYZY'",b'1231938967961919488',b'BollywoodBasti',b'Bollywood_Basti',b'',b'Latest Entertainment News from Likee App',b'788',b'1875',b'0',b'104',b'0',b'False',b'False',b'True',b'False',b'2020-01-08 07:11:11'
b'@Realind23642609 @Bharatnama6 @RizviUzair @eaglepeacock2 @DelhiPolice You know that the person on screen might be of pro CAA rally',b'1231938911535976448',b'HisokaX',b'Hisoka___X',b'',b'',b'11',b'96',b'0',b'559',b'665',b'False',b'False',b'True',b'False',b'2016-06-05 10:48:10'
b'@SeemaSindhu Pro CAA wale.... danga bhadalane walo pe sab pe latth bajna chahiye pro ho ya anti https://t.co/FAY1cOxiqF',b'1231938899125121024',b'Truth Beyond Hype',b'TruthBeyondHype',b'',b'',b'171',b'194',b'0',b'3581',b'1292',b'False',b'False',b'True',b'False',b'2014-11-22 14:23:15'
"b'@manakgupta @news24tvchannel Killed by pro caa goons, and responsible is terrorist kapil mishra.'",b'1231938886215094274',b'Firdous \\u0641\\u0631 \\u062f\\u0648\\u0633',b'Firdous31355',b'',b'Ghulam e muhammad',b'25',b'103',b'0',b'4001',b'300',b'False',b'False',b'True',b'False',b'2018-01-17 07:40:34'
b'@vivekagnihotri @HMOIndia @AmitShahOffice This guy is a pro CAA supporter holding gun in his hand and shooting at t\\u2026 https://t.co/weRJdfm92Z',b'1231938884159754241',b'Michael',b'ma18k',b'Swarg',"b'Traveller , Coffee Addict , believe in Karma , Kind , Outdoorman ,Catlover , Witty \\U0001f62c'",b'10',b'118',b'0',b'1370',b'196',b'False',b'False',b'True',b'False',b'2010-06-30 16:55:14'
b'@_YogendraYadav Pro CAA protestors can\\u2019t even go close to those areas ... these were the houses of hindus burnt by Muslims !',b'1231938801808756737',b'Karan Kaul',b'KaranKaul62674',b'',b'',b'2',b'44',b'0',b'532',b'50',b'False',b'False',b'False',b'False',b'2014-05-20 13:48:21'
b'@_YogendraYadav This is simply govt sponsored terrorism. Citizens opposing CAA are protesting against law and court\\u2026 https://t.co/ZMYipitxqY',b'1231938772020776961',b'Laxman M',b'and_fair',b'',b'Fair and Square',b'182',b'299',b'0',b'7766',b'7823',b'False',b'False',b'True',b'False',b'2019-07-05 07:22:00'
b'Shocking &amp; Sad; Mob celebrates in jubilation the burning of an Islamic shrine in Delhi today. According to locals p\\u2026 https://t.co/EG96o0Bj6G',b'1231938771660103682',b'Sanwar Ali',b'AdvSanwar',"b'Chandigarh, India'",b'Injustice Anywhere Is Threat To Justice Everywhere #Legisperitus #Constitutional Lawyer #Criminal Lawyer  #Punjab&Haryana High Court',b'6139',b'2462',b'34',b'33077',b'21457',b'False',b'False',b'True',b'False',b'2015-10-11 09:04:44'
