b'#India doesn\\u2019t want another Gujarat 2002.\\nStop #DelhiViolence #DelhiPolice act like a public servant and arrest tho\\u2026 https://t.co/fz4f2aesD3',b'1232037994053369859',b'Bhavna GV',b'gorabhavna',b'World Citizen',"b'Producer- @ilmmovie | Associate Producer- @mantrathemovie | Co-Producer- @MaadathyTheFilm |Entrepreneur|Philanthropist|Writer- Maiya, Vittil'",b'866',b'289',b'17',b'4102',b'3366',b'False',b'False',b'False',b'False',b'2010-08-18 13:57:31'
b'what is happening in delhi rn is shocking. Shows how much of a divided failed nation india is atm. Respect to all p\\u2026 https://t.co/oxeRxKq57k',b'1232037950701043714',b'blank',b'Afnan_197',b'Pakistan',b'pakistani | muslim | a learner | INTP(Google)\\n\\n                   tweets not meant to offend but to discuss',b'21',b'235',b'0',b'610',b'11926',b'False',b'False',b'True',b'False',b'2017-08-13 03:37:01'
b'\\u0906\\u0924\\u0902\\u0915\\u0940 @KapilMishra_IND  \\u0915\\u0947 \\u0916\\u093f\\u0932\\u093e\\u092b \\u091c\\u0932\\u094d\\u0926 \\u0938\\u0947 \\u091c\\u0932\\u094d\\u0926 \\u0915\\u093e\\u0930\\u094d\\u092f\\u0935\\u093e\\u0939\\u0940 \\u0939\\u094b\\u0928\\u0940 \\u091a\\u093e\\u0939\\u093f\\u090f\\u0964\\n\\n#DelhiViolence \\n#DelhiPolice https://t.co/Xz8SKx9keo',b'1232037947299500032',b'Chanda Yadav',b'ChandaJMI',b'Delhi',b'Student Activist |\\nJMI | \\nAISA',b'206',b'104',b'0',b'92',b'182',b'False',b'False',b'True',b'False',b'2020-01-19 22:40:27'
b'#DelhiPolice \\n\\u090f\\u0915 \\u0928\\u093f\\u0939\\u0924\\u094d\\u0924\\u0947 \\u0915\\u0940 \\u0932\\u093f\\u0902\\u091a\\u093f\\u0917 \\u0915\\u0930\\u0924\\u0947 \\u0939\\u0941\\u090f \\u092d\\u0917\\u0935\\u093e \\u0906\\u0924\\u0902\\u0915\\u0940 https://t.co/CqpswUeyql',b'1232037811882209280',b'Ayan Malik',b'AyanMal09016847',b'',b'i proud to be a muslim\\nAllah is great\\nMuhammad S.A.W is prophet',b'10',b'101',b'0',b'22',b'41',b'False',b'False',b'True',b'False',b'2020-02-19 17:53:57'
"b'Its giving me chills, exactly how al-Qaeda terrorists dance after a bloody terrorist attack. Very similar.\\u2026 https://t.co/TtZiaGayEH'",b'1232037793397911560',b'Aditi Chauhan',b'9610Aditi',"b'\\u0928\\u0908 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'unfortunate citizen of a country who is led by most mind numbingly stupid pm.',b'104',b'99',b'0',b'1806',b'1176',b'False',b'False',b'True',b'False',b'2014-11-01 08:31:02'
b'Our left pseudos are playing useful idiots in the hands of ISI #DelhiRiots #DelhiPolice #DelhiViolence #',b'1232037779758075906',b'mohak joshi',b'mohakj',b'',"b'doctor,blogger,movie fanatic,and wanna be food traveller and an arm chair intellectual'",b'71',b'614',b'0',b'483',b'1257',b'False',b'False',b'True',b'False',b'2009-08-20 18:09:26'
b'\\u0914\\u0930 \\u0938\\u0941\\u0928\\u093e\\u0913 \\u092e\\u0941\\u092b\\u094d\\u0924\\u0916\\u094b\\u0930\\u094b\\u0902 \\u092e\\u091c\\u093e \\u0906 \\u0930\\u0939\\u093e \\u0939\\u0948 \\u0928\\u093e? \\n#DelhiViolence #DelhiCAAClashes #DelhiPolice #DelhiRiots #Delhi',b'1232037752990027776',b'Aditya Mishra',b'adityamishra150',"b'Pune, Agra '","b'#swamsevak, BJP supporter and Big Fan of Modi Ji and Yogi ji. #BharatBhagyaVidhata'",b'1006',b'850',b'0',b'5437',b'6580',b'False',b'False',b'True',b'False',b'2013-01-03 17:48:03'
b'\\u0627\\u0633\\u0679\\u06cc\\u062c #\\u0628\\u06be\\u0627\\u0631\\u062a \\u06a9\\u0627 \\u0645\\u0644\\u06a9 \\u0628\\u06be\\u0627\\u0631\\u062a \\u06a9\\u0627 \\u0645\\u062c\\u0645\\u0639 \\u0628\\u06be\\u0627\\u0631\\u062a \\u06a9\\u0627 \\u060c \\u062f\\u0648\\u0631\\u06c1 \\u0628\\u06be\\u0627\\u0631\\u062a \\u06a9\\u0627 \\u0627\\u0648\\u0631 #\\u0645\\u0633\\u0679\\u0631 #\\u0679\\u0631\\u0645\\u067e \\u0646\\u06d2 #\\u067e\\u0627\\u06a9\\u0633\\u062a\\u0627\\u0646 \\u06a9\\u06cc \\u062a\\u0639\\u0631\\u06cc\\u0641 \\u06a9\\u0631 \\u06a9\\u06d2 \\u0627\\u06cc\\u0633\\u0627 \\u06a9\\u0686\\u06be \\u0627\\u064f\\u0644\\u0679\\u2026 https://t.co/U9WHf24y30',b'1232037732786069506',b'Fakhra Gul',b'FakhraGul1',b'Italy',"b'https://t.co/lzfoH7XQjc  1st female writer of 100 words stories Novelist,Blogger,Author of 4 \\U0001f4daPresident PFC(Europe) Poetess..'",b'277',b'3',b'1',b'1018',b'2038',b'False',b'False',b'True',b'False',b'2016-05-25 18:25:54'
b'Which song I sing? \\nAisa desh h mera...\\nSandese aate h... \\nYeh jo desh h tera...or \\nNational anthem...or \\nVandemata\\u2026 https://t.co/8BgGQRhKo0',b'1232037716407222273',b'Arshad Ali',b'ali_arshad97',"b'New Delhi, India'","b'I am neither left nor right or center.\\nI am just neutral.\\nI am always die heart fan of Indian Constitution and authentic people.\\nJai Hind, Jai Bharat'",b'13',b'153',b'0',b'248',b'443',b'False',b'False',b'True',b'False',b'2014-10-10 09:09:58'
"b'\\u092e\\u094c\\u091c\\u092a\\u0941\\u0930 #Maujpur \\u0938\\u0947 \\u092f\\u0947 \\u0924\\u093e\\u091c\\u093c\\u093e \\u0924\\u0938\\u094d\\u0935\\u0940\\u0930\\u0947\\u0902 \\u0939\\u0948\\u0902, \\u0938\\u0930 \\u092a\\u0930 \\u0917\\u092e\\u091b\\u0947 \\u0915\\u093e \\u0930\\u0902\\u0917 \\u0915\\u093e\\u092b\\u0940 \\u0939\\u0948 \\u0938\\u092c \\u0915\\u0939\\u0928\\u0947 \\u0915\\u0947 \\u0932\\u093f\\u090f! \\n\\u0939\\u093e\\u0925\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0939\\u0925\\u093f\\u092f\\u093e\\u0930 \\u092d\\u0940 \\u0939\\u0948\\u0902... \\u0926\\u093f\\u2026 https://t.co/4ao9YiZ59j'",b'1232037712854704134',b'Nizamuddin Khan',b'Nizamud44120499',"b'Maharashtra, India'",b'Assalam alekum',b'831',b'1073',b'1',b'5370',b'3290',b'False',b'False',b'True',b'False',b'2018-03-17 07:39:06'
b'This has been the templates of the redical Islamist trick in the whole world.\\n\\n They will do everything to subjugat\\u2026 https://t.co/liSLM9ZcCW',b'1232037657414447110',b'kris\\U0001f383',b'khiladinumber',b'',"b'- Right arm over the wicket, fast.'",b'31',b'173',b'0',b'4629',b'2533',b'False',b'False',b'True',b'False',b'2018-03-19 13:21:55'
"b""\\u4f60\\u77e5\\u9053\\u55ce\\uff1f\\u5370\\u5ea6\\u6b63\\u767c\\u751f721\\u4e8b\\u4ef6\\u7ffb\\u7248\\n\\nCan't sleep. Pray for India.\\n\\n\\u5df2\\u4e0aTwitter 10\\u5927\\uff0c\\u53ef\\u6309\\u4ee5\\u4e0bhashtag\\u4e86\\u89e3\\n#DelhiViolence #DelhiBurning\\u2026 https://t.co/li8PUMxhid""",b'1232037649642217472',b'Fallout_HK',b'Fallout_HK',b'Hong Kong',"b'#FreeHK \\u9999\\u6e2f\\u4eba Hongkonger in Fallout HK | Hobby: Gaming, Reading, Sports | Share: News in HK/ Freedom/ Human Rights, my Hobbies,etc. | Language: \\u5ee3\\u6771\\u8a71\\u3001\\u570b\\u8a9e\\u3001English\\u3001\\u65e5\\u672c\\u8a9e'",b'509',b'1933',b'3',b'7828',b'9335',b'False',b'False',b'True',b'False',b'2010-11-09 12:40:49'
b'#MumbaiWithDelhi \\n#DelhiPolice #DelhiCAAClashes \\n#ArrestKapilMishra https://t.co/17A1kFk3XW',b'1232037637721952256',b'Maqsood Alam \\u0645\\u0642\\u0635\\u0648\\u062f \\u0639\\u0627\\u0644\\u0645 \\xae',b'umaqsoodalam',b'Mumbai',"b'President- FRATERNITY MOVEMENT, Mumbai, [Students & Youth wing of Welfare Party of India (WPI)],\\nPolitician, Student Activist.'",b'1293',b'3255',b'0',b'2207',b'3192',b'False',b'False',b'True',b'False',b'2011-10-15 06:16:55'
b'#IslamicTerrorism #Islamic_terrorism  #RadicalIslamicTerrorism  #IStandWithKapilMishra  #DelhiPolice https://t.co/PN0uwDChZi',b'1232037613521047552',b'keshav solanki',b'keshu807',"b'Ratlam, India'",b'remmeber the name\\u270c\\n\\u2764',b'26',b'56',b'0',b'29',b'227',b'False',b'False',b'True',b'False',b'2017-02-10 05:22:30'
b'@ArvindKejriwal We believe in non violence but we better know the @DelhiPolice Is under @PMOIndia And the results o\\u2026 https://t.co/hjFiUfygtV',b'1232037605421830146',b'Wasim raza\\U0001f1ee\\U0001f1f3',b'1473Wasim',"b'Jharkhand, India'",b'District -secretary \\nyouth wing (Gumla) \\nJharkhand mukti morcha',b'55',b'93',b'0',b'223',b'741',b'False',b'False',b'True',b'False',b'2018-08-02 12:42:07'
"b'\\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0930\\u094d\\u092e\\u093f\\u092f\\u094b\\u0902 \\u0915\\u0940 \\u0939\\u0924\\u094d\\u092f\\u093e\\u090f\\u0902 \\u0939\\u0941\\u092f\\u0940 \\u0939\\u0948 \\u0924\\u094b \\u091c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930\\u0940 \\u0938\\u0941\\u092a\\u094d\\u0930\\u0940\\u092e \\u0915\\u094b\\u0930\\u094d\\u091f \\u0915\\u094b \\u0932\\u0947\\u0928\\u0940 \\u092a\\u0921\\u093c\\u0947\\u0917\\u0940, \\u092f\\u0926\\u093f \\u0938\\u0941\\u092a\\u094d\\u0930\\u0940\\u092e \\u0915\\u094b\\u0930\\u094d\\u091f \\u092a\\u0939\\u0932\\u0947 \\u0926\\u093f\\u0928 \\u0939\\u0940 \\u0915\\u0939 \\u0926\\u0947\\u0924\\u093e\\u2026 https://t.co/VDgPD4Y9X9'",b'1232037604507316225',b'Chandra Prakash',b'Chandra955454',"b'Lucknow, India'","b'~Half Robinhood~\\n\\nIf you always do what you\\u2019ve always done, you\\u2019ll always get what you\\u2019ve always got.\\n \\u0927\\u0930\\u094d\\u092e\\u094b \\u0930\\u0915\\u094d\\u0937\\u0924\\u093f \\u0930\\u0915\\u094d\\u0937\\u093f\\u0924\\u0903\\n              *SO FAR SO GOOD*'",b'249',b'230',b'0',b'3037',b'4123',b'False',b'False',b'True',b'False',b'2017-10-23 03:33:05'
b'#DelhiPolice #DelhiViolence #CAAProtest #JafrabadViolence #Maujpur #Maujpur_Riots https://t.co/uilLos3AMA',b'1232037540955348992',b'Akash Srivastav',b'IndianRightist_',"b'Gujarat, India'",b'',b'2',b'30',b'0',b'14',b'310',b'False',b'False',b'True',b'False',b'2020-02-23 07:20:07'
"b'VIDEO : #Chandbagh\\nDelhi is burning, this is what the goverment wanted.\\n\\nDelhi is made into war zone by Rightwinger\\u2026 https://t.co/2qbmU1Mi9F'",b'1232037534085058562',b'\\u062d\\u0645\\u062f \\u0627\\u0644\\u0644\\u06c1',b'Hammadullah_',b'Allahabad',b'Go protest | \\u0935\\u093f\\u0930\\u094b\\u0927 \\u0915\\u0930\\u094b | \\u0627\\u062d\\u062a\\u062c\\u0627\\u062c \\u06a9\\u0631\\u06cc\\u06ba',b'20',b'20',b'0',b'76',b'54',b'False',b'False',b'True',b'False',b'2019-04-30 17:43:00'
b'I do not want to sleep because I do not want to wake up to a terrible news.\\n\\n#DelhiPolice \\n#DelhiViolence \\n#Delhi',b'1232037520424173569',b'Shivangi C\\u0336h\\u0336o\\u0336u\\u0336b\\u0336e\\u0336y\\u0336',b'ChoubeyShivangi',b'',"b'\\u091a\\u093e\\u092f, \\u092c\\u093f\\u0902\\u0926\\u0940, \\u0915\\u0935\\u093f\\u0924\\u093e, \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f\\u0964'",b'2744',b'278',b'5',b'5132',b'15862',b'False',b'False',b'True',b'False',b'2012-09-22 12:45:58'
"b'\\u091c\\u094b \\u0932\\u094b\\u0917 \\u0939\\u093f\\u0902\\u0938\\u093e \\u092d\\u0921\\u093c\\u0915\\u093e \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902, \\u0935\\u094b \\u0935\\u0930\\u094d\\u0926\\u0940 \\u0938\\u0947 \\u092d\\u0940 \\u092a\\u0939\\u091a\\u093e\\u0928\\u0947 \\u091c\\u093e \\u0938\\u0915\\u0924\\u0947 \\u0939\\u0948\\u0902\\u0964\\n#DelhiPolice https://t.co/1vH9oBEtfE'",b'1232037518385786880',b'Azam Alvi',b'azam717931',b' India',b'',b'3265',b'3636',b'0',b'604',b'10924',b'False',b'False',b'True',b'False',b'2015-09-08 13:14:05'
b'@antonioguterres @WHO #Genocide of #Muslims in #NortheastDelhi is going on by Majority community terrorists &amp;\\u2026 https://t.co/ug4FHXJqc6',b'1232037514694864897',b'Ghaus Ullah (An Aboriginal Indian )',b'GhausDr',"b'New Delhi, India'",b'Alumini of Aligarh Muslim University. Proud to be Indian.',b'112',b'2733',b'1',b'4012',b'1930',b'False',b'False',b'True',b'False',b'2019-08-02 12:24:12'
b'#DelhiPolice \\n#DelhiBurns https://t.co/LawpBcwe73',b'1232037506759176193',b'Abul Aala Subhani',b'abulaalasubhani',b'New Delhi',b'',b'283',b'44',b'0',b'354',b'403',b'False',b'False',b'True',b'False',b'2014-07-27 14:21:29'
b'#RSS #BJP #BJPSeDeshBachaoo #ArrestKapilMishra #DelhiIsBurning #MobLynching #DelhiViolence #DelhiPolice #terrorism https://t.co/obrbNE7A2m',b'1232037490237661185',b'MaeBo \\U0001f90d',b'Mahwassh',b'India',b'\\U0001f90d Quran 57:4 \\U0001f90d',b'101',b'202',b'2',b'1725',b'17554',b'False',b'False',b'False',b'False',b'2013-07-10 14:08:40'
