b'#DelhiBurning #DelhiPolice #DelhiRiots #Delhi',b'1232028539534266368',b'abdus samad',b'abdussa60285404',b'',b'',b'18',b'150',b'0',b'570',b'87',b'False',b'False',b'True',b'False',b'2015-07-10 06:38:52'
"b'There is a SOS from every street of North East Delhi.\\n\\nHar jagah se same, RSS Goons \\n\\n@LtGovDelhi @DelhiPolice\\u2026 https://t.co/37Dmt4x9c2'",b'1232028536615186434',b'Sajid Qureshi AAP',b'SajidAAP1',b'\\u092d\\u093e\\u0930\\u0924',"b'\\u0938\\u092c \\u0907\\u0902\\u0938\\u093e\\u0928 \\u092c\\u0930\\u093e\\u092c\\u0930 \\u0939\\u0948, \\u091a\\u093e\\u0939\\u0947 \\u0935\\u094b \\u0915\\u093f\\u0938\\u0940 \\u0927\\u0930\\u094d\\u092e \\u092f\\u093e \\u091c\\u093e\\u0924\\u093f \\u0915\\u0947 \\u0939\\u094b\\u0902\\u0964 \\u0939\\u092e\\u0947\\u0902 \\u0910\\u0938\\u093e \\u092d\\u093e\\u0930\\u0924 \\u092c\\u0928\\u093e\\u0928\\u093e \\u0939\\u0948 \\u091c\\u0939\\u093e\\u0901 \\u0938\\u092d\\u0940 \\u0927\\u0930\\u094d\\u092e \\u0914\\u0930 \\u091c\\u093e\\u0924\\u093f \\u0915\\u0947 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u092e\\u0947 \\u092d\\u093e\\u0908\\u091a\\u093e\\u0930\\u093e \\u0914\\u0930 \\u092e\\u094b\\u0939\\u092c\\u094d\\u092c\\u0924 \\u0939\\u094b\\u0964 \\u0928 \\u0915\\u093f \\u0928\\u092b\\u0930\\u0924 \\u0914\\u0930 \\u092c\\u0948\\u0930 \\u0939\\u094b\\u0964'",b'232',b'357',b'0',b'2515',b'15562',b'False',b'False',b'True',b'False',b'2019-01-24 17:14:10'
b'@sakshijoshii Sakshi ji soye huwe ko jagaya jaa sakta hai sone ka natak karne walo ko nahi #DelhiBurning\\u2026 https://t.co/rYoI15JZeo',b'1232028536204144642',b'Shaihzad shaikh \\u0634\\u06c1\\u0632\\u0627\\u062f',b'85_shaikh',"b'Maharashtra, India'","b""\\u201cBe a lamp, or a lifeboat, or a ladder. Help someone's soul heal. Walk out of your house like a shepherd.\\u201d""",b'65',b'400',b'0',b'7411',b'17979',b'False',b'False',b'True',b'False',b'2014-11-06 18:53:53'
b'All religions are equal all people are same as its very bad history written off nowadays black spots on Delhi name sad \\u2639\\ufe0f #DelhiBurning',b'1232028533905600512',b'Left or Right',b'sachin06',"b'New Delhi, India'",b'Indian',b'187',b'549',b'3',b'16308',b'2287',b'False',b'False',b'False',b'False',b'2009-06-10 06:41:33'
"b'WHAT THE HELL IS THIS??\\n\\nThese injured people are laying down on the ground, singing National Anthem and Security f\\u2026 https://t.co/Y26P3fDgFu'",b'1232028518634205185',b'Hussain Azam',b'HussainAzamPage',b'India',"b'Freelance Journalist,Critic,Social Activist, Political Activist   \\n                     \\U0001f449\\U0001f3fb \\u092c\\u0947\\u092c\\u093e\\u0915 \\u0906\\u0935\\u093e\\u091c\\u093c\\n                https://t.co/IcGtX2VAfN'",b'2557',b'65',b'3',b'1765',b'1274',b'False',b'False',b'False',b'False',b'2014-10-17 12:59:22'
b'Thank you @narendramodi for showing the real face of India to World during Trump visit. \\nNow face the result of you\\u2026 https://t.co/DUd3ovcwSy',b'1232028518630002688',b'Bilal Tawakkal \\U0001f1f5\\U0001f1f0',b'BilalTawakkal',"b'Lahore, Pakistan'",b'CA Finalist      \\n|I will never be a well behaved man|',b'6532',b'7006',b'0',b'2172',b'6786',b'False',b'False',b'True',b'False',b'2018-05-24 15:46:15'
b'\\u062f\\u0634\\u0645\\u0646 \\u06c1\\u0645\\u0627\\u0631\\u06d2 \\u06a9\\u062a\\u0646\\u0627 \\u0642\\u0631\\u06cc\\u0628 \\u0622\\u062a\\u0627 \\u062c\\u0627\\u0631\\u06c1\\u0627 \\u06c1\\u06d2\\n\\u0627\\u0648\\u0631 \\u0633\\u0645\\u062c\\u06be \\u0646\\u06c1\\u06cc\\u06ba \\u067e\\u0627\\u0631\\u06c1\\u06d2 \\u06c1\\u06cc\\u06ba\\n\\u0622\\u067e\\u0633 \\u0645\\u06cc\\u06ba \\u0644\\u0691\\u062a\\u06d2 \\u06c1\\u06cc\\u06ba\\u060c \\u06a9\\u06cc\\u0648\\u06ba \\u0627\\u067e\\u0646\\u0648\\u06ba \\u0645\\u06cc\\u06ba \\u0644\\u0691\\u062a\\u06d2 \\u06c1\\u0648\\n\\u0627\\u06cc\\u06a9 \\u0628\\u0646 \\u06a9\\u0631 \\u0631\\u06c1\\u0648 \\u0645\\u062a\\u2026 https://t.co/moTTOYiUyJ',b'1232028515316326401',b'Rizwan khan \\u0631\\u0636\\u0648\\u0627\\u0646',b'Rizwanbstk',b'',b'\\u0939\\u0941\\u0938\\u094d\\u0928 \\u0924\\u0926\\u092c\\u0940\\u0930 \\u0938\\u0947 \\u091c\\u093e\\u0917 \\u0909\\u0920\\u0924\\u093e \\u0939\\u0948 \\u0915\\u094c\\u092e\\u094b\\u0902 \\u0915\\u093e \\u0928\\u0938\\u0940\\u092c \\u0924\\u0915\\u093c\\u0926\\u0940\\u0930 \\u0915\\u092d\\u0940 \\u092c\\u0926\\u0932\\u0924\\u0940 \\u0928\\u0939\\u0940\\u0902 \\u0905\\u0930\\u092e\\u093e\\u0928\\u094b\\u0902 \\u0938\\u0947',b'66',b'58',b'0',b'382',b'1469',b'False',b'False',b'True',b'False',b'2016-07-17 09:34:52'
b'I can see that this same style they use in  they earlier before delhi election. And why I just seen Muslims is only\\u2026 https://t.co/GalMAi2oyd',b'1232028514339082240',b'Himanshu',b'Himanshu0007_',b'',b'\\u262e\\ufe0f\\U0001f60e\\u270c\\ufe0f\\nunique in my own way\\U0001f91f',b'107',b'69',b'1',b'1089',b'14867',b'False',b'False',b'True',b'False',b'2016-09-03 20:57:58'
"b'@aajtak \\u092c\\u0940\\u092b \\u092c\\u0930\\u094d\\u0917\\u0930 \\u0916\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u092d\\u0915\\u094d\\u0924 \\u0907\\u0924\\u0928\\u093e \\u0916\\u0941\\u0936 \\u0939\\u094b\\u0930\\u0939\\u0947, \\u0915\\u094d\\u092f\\u094b\\u0902? \\n\\u0914\\u0930 @aajtak \\u0915\\u094b \\u092a\\u0924\\u093e \\u0928\\u0939\\u0940 \\u0939\\u0948 \\u0915\\u094d\\u092f\\u093e  #DelhiBurning \\u0914\\u0930 \\u0928\\u094d\\u2026 https://t.co/Rnv9WE1RYh'",b'1232028510417371136',b'Azam',b'DeshKaJwan',b'',"b'We Reject CAA, NPR, NRC'",b'507',b'200',b'0',b'7397',b'5420',b'False',b'False',b'True',b'False',b'2017-06-19 19:40:35'
b'#SOSDELHI #DelhiBurning https://t.co/MGEoCCmk5v',b'1232028502087491585',"b""will the real 'good hindoo' pls stand up?""",b'qpr009',b'India',b'',b'73',b'43',b'23',b'6020',b'7411',b'False',b'False',b'False',b'False',b'2016-04-18 12:25:25'
b'@imMAK02 @DelhiPolice #DelhiBurning \\n#DelhiPoliceWithBhagwaTerror \\n#DelhiViolence \\n#DelhiPolice',b'1232028499101257728',b'FLY like an EAGLE#AS\\U0001f643',b'AayetSaher',b'',b'QISMAAT',b'445',b'209',b'0',b'2023',b'2410',b'False',b'False',b'True',b'False',b'2019-06-17 09:11:18'
"b'\\u0938\\u0941\\u0928\\u093e \\u0925\\u093e \\u0915\\u093f \\u092c\\u0947\\u0939\\u0926 \\u0938\\u0941\\u0928\\u0939\\u0930\\u0940 \\u0939\\u0948 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940,\\n\\u0938\\u092e\\u0902\\u0926\\u0930 \\u0938\\u0940 \\u0916\\u093c\\u093e\\u092e\\u094b\\u0936 \\u0917\\u0939\\u0930\\u0940 \\u0939\\u0948 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 !\\n\\u0928 \\u0938\\u0941\\u0928 \\u092a\\u093e\\u092f\\u0947 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u0940 \\u0930\\u0942\\u0926\\u093e\\u0926, \\u091a\\u0940\\u0916\\u093c\\u0947\\u0902,\\n\\u0924\\u094b \\u0932\\u0917\\u0924\\u093e \\u0939\\u0948\\u2026 https://t.co/Aw2TK7DCtN'",b'1232028495355764736',b'Janey Aalam',b'janeyaalam792',"b'Moradabad, India'",b'Alhamdulillah For Everything',b'150',b'373',b'1',b'1411',b'36',b'False',b'False',b'True',b'False',b'2017-01-20 10:26:58'
b'This is the Gujarat model he kept talking about. State-supported mob out on the street while cops choosing to be th\\u2026 https://t.co/kynJgVmBc4',b'1232028490683187200',b'Sanu Nair',b'Sanusays',"b'Edmonton, Alberta'","b'Father. Dispossessed Malayali. Opinionated. Football fan. Convener- FREED (Forum for Equality, Empowerment and Democracy)'",b'410',b'770',b'26',b'4639',b'6224',b'False',b'False',b'False',b'False',b'2011-05-09 06:24:34'
