b'@sardesairajdeep What is a Pro CAA protestor?',b'1232013919343919104',b'vishalvirsingh \\u0648\\u0634\\u0627\\u0644 \\u0648\\u06cc\\u0631 \\u0633\\u0646\\u06af\\u06be',b'vishalvirsingh',b'Delhi',b'Gentleman of leisure. Love the Kumaon hills.. Tea drinker.. Blues & Jazz aficionado with a sweet tooth..',b'534',b'555',b'36',b'41350',b'37712',b'False',b'False',b'False',b'False',b'2008-11-28 05:04:18'
b'@sandymridul Angutha chhap jahil. There is NO pro caa protest as media is telling you...',b'1232013912926650368',b'Raj M',b'Sanity86',b'Bombay and Bhopal',"b'All tweets, re-tweets are personal views.'",b'34',b'953',b'0',b'4190',b'21808',b'False',b'False',b'True',b'False',b'2010-11-30 19:29:28'
"b'@Vipra_s @Kritika_Kamra Please I request you tell me\\n\\nWhat is a pro CAA ""Protestor""?'",b'1232013891304972288',b'Taeth Saeb',b'TaethSaeb',b'Azkaban',b'Grandson of Taeth Saeb. Taeth saebas eeas chache (chattabal) kadlas pyath lukh pyaraan asaan. Ki tim wayn hayn waqah.',b'0',b'4',b'0',b'172',b'21',b'False',b'False',b'True',b'False',b'2019-02-23 18:16:02'
b'@MentallySpeciol @MughalonKaRaja @KapilMishra_IND @DelhiPolice Look how you people are justifying everything?? That\\u2026 https://t.co/GzfN5zWiFI',b'1232013876385980423',b'Rajat',b'Rajat61629418',b'',b'mind',b'23',b'200',b'0',b'6994',b'171',b'False',b'True',b'True',b'False',b'2019-12-03 10:32:11'
"b'70 days of Anti CAA protests not a single case of violence.\\n1st day of pro CAA protest, Delhi starts to burn.\\u2026 https://t.co/pSNlMYuGek'",b'1232013873781202944',b'Mohammed Naved',b'Mohamme41827529',b'',b'INDIAN\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\nhttps://t.co/0NnyuKJBV3',b'10',b'36',b'0',b'79',b'59',b'False',b'False',b'True',b'False',b'2020-01-30 09:16:31'
b'@AMISHDEVGAN Which group ? Pro CAA or Anti CAA ?\\nJinnah or Sardar ?',b'1232013867326136320',b'Anand Vyas',b'anandrvyas0',"b'Gujarat, India'",b'\\u092c\\u094d\\u0930\\u093e\\u0939\\u094d\\u092e\\u0923\\u0964 \\u091c\\u092f \\u092a\\u0930\\u0936\\u0941\\u0930\\u093e\\u092e\\u0964 \\u091c\\u092f \\u092e\\u0939\\u093e\\u0926\\u0947\\u0935\\u0964 \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f\\u0964\\u0964\\u0964\\n\\n\\u0938\\u0928\\u093e\\u0924\\u0928 \\u0938\\u0902\\u0938\\u094d\\u0915\\u0943\\u0924\\u093f\\u0964\\u0964\\u0964',b'171',b'221',b'2',b'8280',b'11082',b'False',b'False',b'True',b'False',b'2010-01-10 09:52:26'
b'This is not pro CAA. This is anti Muslim. Anti national. Anti constitution. Anti humanity. Delhi burns because of t\\u2026 https://t.co/E9U3sKailp',b'1232013799013703682',b'Ashraf Mahmoodi',b'ashrafmahmoodi',b'',b'\\u2022\\ufdfd\\u2022  Verily in the remembrance of Allah do hearts find rest! \\u2764\\ufe0f',b'71',b'22',b'0',b'21',b'19',b'False',b'False',b'False',b'False',b'2013-01-17 07:30:27'
b'Can we expect a candlelight march by @RahulGandhi and other leftist standing n solidarity wth braveheart cop who is\\u2026 https://t.co/gwUOSNJmWK',b'1232013757573844992',b'NationalistMinion',b'jil_jang',b'',"b'Rightist , music , tennis , Modi  , Msd , Ajith! Indian_Tamizhan :)'",b'49',b'30',b'0',b'1488',b'3736',b'False',b'False',b'True',b'False',b'2019-12-24 07:24:55'
"b""Enough with this pro CAA BS, let's call it what it is. This is anti-Muslim violence. It started with social media p\\u2026 https://t.co/a3u4bUjQ2m""",b'1232013609821200393',b'Hasiba Amin \\U0001f308',b'HasibaAmin',b'Goa | Delhi',"b'National Convenor, INC digital communications dept | Future Leaders Connect fellow, British Council & Cambridge Uni | Ex State President & National GS, NSUI'",b'94350',b'1139',b'177',b'41246',b'24478',b'True',b'False',b'False',b'False',b'2012-07-15 16:00:26'
b'There is nothing called Pro CAA.\\nThey are Anti-Muslims.\\nPeriod.\\n#DelhiBurning #RSS_Is_Terrorist_Organization #RSSTerror',b'1232013589310885889',b'Zain Al Abideen',b'AbidIJFA',"b'Calicut, Kerala'",b'Humanist - Communist - Secularist',b'83',b'231',b'0',b'4066',b'274',b'False',b'False',b'True',b'False',b'2011-07-28 13:02:49'
b'@Kritika_Kamra didi police wale ko kisne mara ?\\nPro caa ya anti caa protester?\\npaisa milraha hai iska matlab kissi bhi had tak girjaogee',b'1232013521421885440',b'Mayank Soumyasankha',b'ms_behera',b'Bhubaneswar',"b'sports lover,proud NATIONALIST'",b'542',b'3558',b'11',b'19036',b'31868',b'False',b'False',b'False',b'False',b'2010-04-20 11:34:54'
"b'@theskindoctor13 No sir @HMOIndia  and @AmitShah are busy attending and entertaining White House, so they are not a\\u2026 https://t.co/XTs4uhvwBY'",b'1232013466120093698',b'utkarsh bhatt',b'Deadman_cool',b'',b'',b'67',b'190',b'0',b'5684',b'15244',b'False',b'False',b'True',b'False',b'2012-06-26 03:30:10'
"b""@rupasubramanya @ShoaibDaniyal every body from pm to cm to hm to pro CAA to Rss to west, trump, Israeli's are respo\\u2026 https://t.co/KuTmrTmQZm""",b'1232013443248672774',b'sirYahooSinghJi',b'yahoosingh2',b'here there everywhere',b'Islam se Azadi & save India from colonized Hindu',b'11',b'292',b'0',b'1393',b'360',b'False',b'False',b'True',b'False',b'2020-01-08 02:10:19'
"b'\\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0947 \\u0915\\u093e\\u0917\\u091c \\u092d\\u0940 \\u092c\\u0915\\u0930\\u093e \\u0916\\u093e \\u0917\\u092f\\u093e??\\n If Pro CAA is Anti Muslim,  than ANTI CAA is rightly called Anti National Or Pro Te\\u2026 https://t.co/O6dOKYgziY'",b'1232013336641970176',b'\\u0906\\u092b\\u0924 \\u0922\\u093f\\u0902\\u0922\\u094b\\u0930\\u0940\\U0001f1ee\\U0001f1f3',b'LalitBisht4',b'New Delhi ',b'',b'77',b'229',b'0',b'4688',b'3029',b'False',b'False',b'False',b'False',b'2011-08-23 13:41:26'
b'@anuragkashyap72 Iss bat se main sehmat huin pro caa ka matlab jehadi virodhi aur anti caa ka mansube dekh k yahi keh skte ki jehad hi hai',b'1232013315502637058',b'Shashi Tripathi',b'st0795',"b'New Delhi, India'","b'Socialist ,Nationlist Leader'",b'129',b'151',b'2',b'2300',b'368',b'False',b'False',b'False',b'False',b'2010-04-17 06:25:28'
b'Idk he is pro or anti CAA.. \\nBut he was lynched to death... Itna hi kafi h bs',b'1232013260255264772',b'S\\u03b1m\\u03b1ir\\u03b1',b'hellishtouch',b'hadd mai',b'S H E R N I    B A N K E  \\U0001f525                                                                       Soulmate : @Daniahype \\U0001f451',b'1613',b'177',b'4',b'16399',b'8515',b'False',b'False',b'True',b'False',b'2019-10-12 04:38:57'
b'@Redcorner_25 Not on basis of religion but nationality but CAB which now become CAA brought that communal color to\\u2026 https://t.co/3dww1iG2iD',b'1232013151815618560',b'Addy\\U0001f3ae',b'addykted_',"b'Pune, India'",b'\\U0001f1ee\\U0001f1f3Made in India\\r\\n\\u26bdLiverpool FC\\r\\n\\U0001f393ITEngineer\\r\\n\\U0001f453Geeky\\r\\n\\U0001f4aaLazy guy #1Life1LoveLFC #YNWA \\nFollow for the like',b'560',b'443',b'20',b'30819',b'5171',b'False',b'False',b'False',b'False',b'2008-12-07 11:33:34'
b'Sunday after Pro CAA rally called by #KapilMishra #DelhiUnderTerrorAttack #DelhiBurning #DelhiRiots https://t.co/poL1f8zoyX',b'1232013136837758976',b'Javed Shah\\U0001f3af',b'theshahjaved',"b'Delhi, India'",b'Be ALways With Right THings and Justice. To SPreaD LOve & PEace in WHole UNiverse. \\U0001f607',b'59',b'172',b'0',b'1187',b'1880',b'False',b'False',b'False',b'False',b'2014-11-28 14:24:53'
b'@Deadman_cool @goel_naman @NegiDeekshant @jyotikarawat @ThePlacardGuy @anjanaomkashyap Yaar tum itna andha kaise ho\\u2026 https://t.co/Bg6pJGS2Qv',b'1232013102335561735',b'Anshul Thakur',b'AnshulThakur21',b'',"b'Tounge tied and twisted....\\njust an earth bound misfit, I....'",b'4',b'44',b'0',b'26',b'26',b'False',b'False',b'True',b'False',b'2020-01-29 17:55:14'
"b'Hi, both pro and anti CAA protesters are there at this place and reporter clearly shares that it is difficult to id\\u2026 https://t.co/bq08yaAbNR'",b'1232013063085268992',b'Sarthak Agasti',b'saga_258',b'Mumbai',b'',b'54',b'70',b'2',b'6927',b'9994',b'False',b'False',b'True',b'False',b'2014-05-16 10:41:42'
"b""The videos are gut wrenching! Now, it's not about Pro CAA or Anti CAA, its far more than that,People are losing the\\u2026 https://t.co/ksAUkDJUFY""",b'1232013045896863746',b'charu agrawal',b'charuag35825279',b'',b'\\u091c\\u093f\\u0902\\u0926\\u0917\\u0940 \\u0917\\u0941\\u0932\\u091c\\u093c\\u093e\\u0930 \\u0939\\u0948 \\U0001f60a',b'56',b'277',b'0',b'121',b'238',b'False',b'False',b'True',b'False',b'2019-08-05 13:51:39'
"b'Yeah Saba, @altnews just verified this. Here is the proof. Shahrukh was so panicked that he is clearly seen handing\\u2026 https://t.co/ZlDRieopaT'",b'1232012991266217988',b'Robinhood Pandey',b'roflbaba',"b'Mumbai, India'",b'I tweet chilling truth',b'20629',b'505',b'166',b'47009',b'12566',b'False',b'False',b'False',b'False',b'2010-01-29 08:37:48'
b'@Pkbarwad @PressTV You are lieing dude\\U0001f923 both Pro CAA and police were firing and pelting stones is this the democrac\\u2026 https://t.co/1XCTzKZaO5',b'1232012895464108032',b'Qasem Soleimeni',b'riazrajuwa',"b'Islamabad ,Pakistan '",b'Hussaini by love\\U0001f495| philanthropist | Master of philosophy\\U0001f393 Quaidian | Anti-Zionist | \\u0639\\u0644\\u06cc \\u0639 \\u0627\\u0645\\u0627\\u0645 \\u0645\\u0646 \\u0627\\u0633\\u062a \\u0648 \\u0645\\u0646\\u0645 \\u063a\\u0644\\u0627\\u0645 \\u0639\\u0644\\u06cc \\u0639 \\U0001f64c | Member of \\n@HussainiLashkar  \\n  \\u2764\\ufe0f',b'1072',b'5001',b'1',b'13901',b'16883',b'False',b'False',b'False',b'False',b'2013-08-15 09:23:40'
"b'Police Constable, Three Civilians Killed in Clashes during Violent CAA Protests in Northeast Delhi\\n\\n#DelhiViolence\\u2026 https://t.co/1pYm9qGf6P'",b'1232012884537794561',b'Waqar Jamil',b'The_WaqarJamil',b'In your heart ',"b'A man out of time.\\nEngineer. Designer. Writer.\\n\\nDevoid of feelings, I sought to understand. The real meaning of where I stand...'",b'79',b'268',b'0',b'4359',b'5835',b'False',b'False',b'True',b'False',b'2015-02-22 12:11:17'
b'Pro CAA means anti Muslim..\\nIts clear today. https://t.co/1BvqxB6cey',b'1232012865705594880',b'\\u0938\\u094c\\u0928\\u091a\\u093f\\u0930\\u0948\\u092f\\u093e',b'littlebird121',"b'Uttar Pradesh, India'",b'My religion humanity.\\nMy caste Indian.',b'2005',b'461',b'4',b'17341',b'19598',b'False',b'False',b'True',b'False',b'2010-12-06 16:55:39'
"b'What is going on in Delhi right now is abhorrent. This is  fascism in action, blatantly in the open. I could cry wi\\u2026 https://t.co/HNBV3wC6pm'",b'1232012787024564230',b'Felix Rau',b'fxru',"b'Cologne, sometimes Odisha'","b'research data juggler, part-time archivist, linguistic fieldwork and data fancier, data whatchamacallit wannabe, ...'",b'443',b'1233',b'48',b'729',b'2945',b'False',b'False',b'False',b'False',b'2009-07-02 18:49:38'
"b""Flag march in Delhi's Maujpur area after clashes between pro and anti CAA protesters\\n\\n#DelhiPolice \\n#DelhiBurning \\n#Jaffrabad""",b'1232012702987370496',b'Rohit Sharma',b'indiajourno',b'',b'Journalist',b'11578',b'7643',b'7',b'14454',b'116666',b'False',b'False',b'True',b'False',b'2013-09-01 10:26:13'
"b""Pls check highlighted  NDTV's H\\xa5pocrisy:\\U0001f620\\n\\nPro &amp; anti CAA protsters  clashd on Sunday aftr BJ\\xb6 leadr Kapi| Mi$hra w\\u2026 https://t.co/HjQ0qmx5cE""",b'1232012700676313088',b'Black_Cobra\\U0001f5e8BlueTick\\U0001f61c|\\u0b95\\u0bb0\\u0bc1\\u0ba8\\u0bbe\\u0b95\\u0bae\\u0bcd|\\u0c95\\u0caa\\u0ccd\\u0caa\\u0cc1 \\u0ca8\\u0cbe\\u0c97\\u0cb0\\u0cb9\\u0cbe\\u0cb5\\u0cc1|',b'Kaala_Nag',b'Wakanda',"b""CEO of Trollywood(Parody) \\U0001f1ee\\U0001f1f3\\U0001f1fa\\U0001f1f8\\n\\n-  Those who don't like my tweets pls RETWEET & Those who like pls hit the LIKE\\n\\n- You scratch my back & I'll scratch yours""",b'1331',b'953',b'0',b'4634',b'7286',b'False',b'False',b'True',b'False',b'2019-08-15 08:36:07'
b'@Kritika_Kamra Before anti CAA are Indians \\nNow pro CAA are anti Muslim \\nSo anti CAA people are Muslims and pro CAA are Indians\\nMind it',b'1232012423282003969',b'vee kee',b'veekramyaadav',b'Earth',b'narcissist\\nambivert\\n\\nRTs nt endorsement\\nindependent',b'122',b'117',b'0',b'13402',b'52114',b'False',b'False',b'True',b'False',b'2017-10-09 17:31:02'
"b'Pro, anti-CAA groups clash as northeast Delhi boils for second straight day; three civilians, one constable killed,\\u2026 https://t.co/AKEwnQaQjb'",b'1232012261801238528',b'Chicago News Bench\\u2122 \\U0001f525',b'ChiNewsBench',"b'Houston, TX'","b'Anti-Left since 1971. Truth, Country, Party - In that order. Recovering Journalist; Writer for Hire. #MAGA #KAG2020 #Trump2020'",b'7801',b'5212',b'335',b'200566',b'52195',b'False',b'False',b'False',b'False',b'2009-02-04 00:22:22'
