"b'Whoever is involved in the violance whether they are anti/pro CAA protesters, they should be punished.\\nThe preparat\\u2026 https://t.co/5O2bzUdy3F'",b'1231970102272151554',b'Akshay Gadikar',b'ak_gadikar',b'',b'',b'7',b'143',b'0',b'90',b'2294',b'False',b'True',b'True',b'False',b'2018-10-04 04:56:42'
b'@republic Why this moron came on only after violence erupted. Why he did not appeal to people not to block roads. N\\u2026 https://t.co/cklTwdZ9CE',b'1231970044915007489',b'ketan Satnalia',b'kesa1917',b'kolkata',b'',b'8',b'49',b'0',b'2424',b'1750',b'False',b'False',b'True',b'False',b'2013-12-14 03:25:50'
b'@Irfu39 @fayedsouza Yes pro CAA as evident from these pics. https://t.co/l98t8OaG7a',b'1231969997393514498',b'Subodh Singh\\U0001f1ee\\U0001f1f3',b'Sanganesh_',"b'Jharkhand, India'",b'Love my country \\U0001f1ee\\U0001f1f3 | Proud Hindu | Nationalist | Movie junkie |\\nI think too much and comes up with nothing | Follow Back',b'272',b'373',b'0',b'2148',b'38451',b'False',b'False',b'True',b'False',b'2018-03-11 04:27:46'
b'They are not pro CAA they are just anti muslim \\nSo called world largest democracy',b'1231969966800265216',b'Shad Akhtar',b'ShadAkhtarSR',"b'Pune, Maharashtra'",b'#chemical engineer #bvpian#pune#',b'72',b'392',b'0',b'1911',b'595',b'False',b'False',b'True',b'False',b'2015-11-23 19:57:46'
"b'In photos: CAA supporters attack Muslims at Delhi protest, hurl stones and petrol bombs  https://t.co/snmZZUzsnc vi\\u2026 https://t.co/1tSOd3AXYo'",b'1231969951831019520',b'Dr.Faysal Khan\\xae\\ufe0f',b'DrBrain76',b'',"b'Journalist,Truthful,Assertive,positive critic,Author, Trainer, Coach, Guide,NRI #CNN #BBC My MP is a #Terrorist \\U0001f620\\U0001f620\\U0001f620'",b'128',b'337',b'3',b'4346',b'3003',b'False',b'False',b'False',b'False',b'2011-10-07 15:07:44'
"b""Exactly!!! Let's stop calling it clash between anti and pro CAA groups. It was a communal riot. https://t.co/3k5QmevA9T""",b'1231969928422408192',b'Ananya Bhardwaj',b'BhardwajAnanya',"b'New Delhi, India'","b'Senior Assistant Editor, ThePrint @ThePrintIndia / Past: Hindustan Times @httweets. The Indian Express @IndianExpress'",b'9521',b'614',b'63',b'4111',b'2464',b'True',b'False',b'True',b'False',b'2013-02-12 13:07:39'
"b""@MrsGandhi How you can anti CAA have you any proof ? If I say he is killed pro CAA protester. Can u believe ? Don't blame baseless boomber""",b'1231969879366029313',b'Md Arshad Ali',b'arshad_Activist',"b'Kolkata, India'",b'I want 2 always be A Student. Failure is my best teacher. try 2 make the relationshiop b/n administration and citizen is like father and son.',b'149',b'675',b'0',b'11805',b'22154',b'False',b'False',b'True',b'False',b'2019-09-29 04:00:14'
b'@NrcProtest What the hell is happening in Delhi\\nGod help those people \\nThe police should have controlled this yeste\\u2026 https://t.co/ORDttl8SmP',b'1231969869664542720',b'SM Turab Ul Haq',b'TurabHaq',b'Hyderabad India',b'Proud Indian\\nMedico Dr. to be\\nFootball \\u26bd\\nHyderabadi',b'10',b'71',b'0',b'975',b'2273',b'False',b'False',b'True',b'False',b'2012-11-19 16:41:44'
"b""Dumb ass @TheTanveerAhmed , pro caa will call for 'goli maro', and its the anti caa who actually show it #EndThisViolence""",b'1231969859581296640',b'rishi b',b'rishitwt',b'',"b'Take pride in being an Indian, take pride in being a hindu. My retweets are my endorsements, my favourites are actually bookmarks and not necessarily favourites'",b'570',b'552',b'43',b'70520',b'365',b'False',b'False',b'False',b'False',b'2010-02-02 09:59:42'
"b""Prestitutes are at work by blaming pro CAA protestors. Where as truth is otherwise. That's what has happened in las\\u2026 https://t.co/8SL1QmGqrp""",b'1231969817730535426',b'Nava Mohan Rao \\U0001f1ee\\U0001f1f3',b'rao_nava',"b'Hyderabad, India'","b'Indian, Foodie, Traveler, Proud Hindu, Narendra Modi Bhakt.\\n\\nI am a Loaner but not a Defaulter..'",b'3159',b'689',b'7',b'59526',b'97686',b'False',b'False',b'True',b'False',b'2019-03-10 16:17:35'
