b'@AT85886072 @fayedsouza Obviously he is feeling safe with Pro CAA protesters',b'1231925292811223040',b'Anonymous27',b'Anonymo44297148',b'',b'anonymous',b'1',b'1',b'0',b'47',b'320',b'False',b'True',b'True',b'False',b'2019-09-30 07:42:04'
b'@RBN43617474 Pura video theek se dekh aur petrol pump bhi road k dusri hai aur Pro CAA bhi wahi hain itna illogical\\u2026 https://t.co/4wTCaLM8Lm',b'1231925282392510464',b'Shoaib Zaidi',b'ShoaibZaidi4254',"b'New Delhi, India'",b'AAP Volunteer since 2015.\\n                                               \\u092a\\u0942\\u0930\\u093e \\u091c\\u0940\\u0935\\u0928 \\u0939\\u0940 \\u0938\\u0902\\u0918\\u0930\\u094d\\u0937 \\u0939\\u0948 \\u0914\\u0930 \\u092f\\u0939 \\u0938\\u0902\\u0918\\u0930\\u094d\\u0937 \\u091c\\u093e\\u0930\\u0940 \\u0930\\u0939\\u0947\\u0917\\u093e\\u0964\\n\\u0935\\u0924\\u0928 \\U0001f1ee\\U0001f1f3 \\u0915\\u0940 \\u092e\\u094b\\u0939\\u092c\\u094d\\u092c\\u0924 \\u0908\\u092e\\u093e\\u0928 \\u0915\\u093e \\u091c\\u0941\\u091c\\u093c \\u0939\\u0948\\u0964',b'152',b'463',b'0',b'7573',b'9159',b'False',b'False',b'True',b'False',b'2016-03-23 06:52:11'
b'Faye reporting clashes  between pro and anti CAA groups in North East Delhi right now. Media not reporting and busy with Trump.',b'1231925210720288769',b'Abdul Hameed',b'AbdulOHameed',b'',"b'Proud Indian, Proud Muslim, Proud Humanist, Liberal and Modern - Never been member of any political party.'",b'817',b'534',b'9',b'16128',b'82',b'False',b'False',b'True',b'False',b'2009-07-16 04:06:05'
b'They are only right wing rioters with police protection not pro CAA @HibaBeg @AbhinandanSekhr @pbhushan1\\u2026 https://t.co/gFc3kgGFLH',b'1231925169347629056',b'Sayyed Asif Ali',b'AsifAli_cal',b'',b'',b'23',b'277',b'0',b'2889',b'2210',b'False',b'False',b'True',b'False',b'2015-11-05 17:39:07'
b'@ShivAroor What is the message about Pro CAA gunmen on the screen? @ShivAroor',b'1231925045368258560',b'Ram V',b'ramanan1949',b'',"b""Indian first, sanatana dharma, oncologist, healthcare IT. world is the best play ground, dyslexic RT not endorsements  indian welsh proud \\U0001f1ee\\U0001f1f3  '""",b'183',b'178',b'2',b'4515',b'7241',b'False',b'False',b'False',b'False',b'2014-07-01 10:00:23'
b'@fayedsouza The one who are showing activity done by pro caa people is good but the one showing anti caa people doi\\u2026 https://t.co/jychVwtJGZ',b'1231925027085410306',b'shobhit prakash',b'shobhit001177',b'meerut',b'',b'73',b'299',b'1',b'366',b'427',b'False',b'False',b'False',b'False',b'2012-06-20 03:55:12'
"b""@iyersaishwarya @bandookdari82 @TheQuint Still you'll work biased nd will blame Pro CAA guys.""",b'1231925017228795904',b'\\u0917\\u094c\\u0930\\u0935\\u2122',b'Banarasiya____',b'Sohagibarwan WildlifeSanctuary',b'Movie Buff\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n@ShraddhaKapoor\\n\\n@SunRisers',b'35',b'296',b'0',b'1247',b'19745',b'False',b'False',b'True',b'False',b'2020-01-29 14:55:59'
b'Pro and anti #CAA protesters The central govt is the reason for the clash between the two groups\\nThe Central Govt h\\u2026 https://t.co/iy6ACTBpfd',b'1231925001483251712',b'vipin kumar',b'vipinvipiin',"b'Palam, New Delhi'","b""help someone for get happiness. We are all one so don't do anything that which is hurt anyone else by you. I have much love with the Constitution of India""",b'25',b'57',b'0',b'970',b'12633',b'False',b'False',b'True',b'False',b'2016-01-25 15:59:51'
b'None of the pro CAA protesters will be seen like this bcoz they believe in violence only https://t.co/L6H7DuTbrD',b'1231924905517690882',b'Manisha Verma',b'Manisha11074027',b'India',"b'Patriot, Dreamer, Ambitious, Kick Boxer...'",b'27',b'127',b'0',b'1212',b'563',b'False',b'False',b'True',b'False',b'2019-07-04 07:16:02'
"b""@BDUTT Pro #CAA protesters kaha dikh rahe hai issey? It's radical islamic terrorism""",b'1231924840484880385',b'Varun Jain',b'RotsJain',"b'New Delhi, India'","b'Retweets are not endorsements II Feminist equals to Anti-National II Gender equality Laws much needed, so in offices policies, views are personal.'",b'418',b'441',b'13',b'16778',b'6453',b'False',b'False',b'True',b'False',b'2015-04-12 12:24:22'
