b'@SecPompeo Any words on #DelhiBurning?',b'1232066669096423425',b'Sohail Aziz',b'sohailAziz',b'Pakistan ~ Germany ',b'\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u062e\\u062f\\u0627 \\u06a9\\u06d2 \\u0639\\u0627\\u0634\\u0642 \\u062a\\u0648 \\u06c1\\u06cc\\u06ba \\u06c1\\u0632\\u0627\\u0631\\u0648\\u06ba\\u060c \\u0628\\u0646\\u0648\\u06ba \\u0645\\u06cc\\u06ba \\u067e\\u06be\\u0650\\u0631\\u062a\\u06d2 \\u06c1\\u06cc\\u06ba \\u0645\\u0627\\u0631\\u06d2 \\u0645\\u0627\\u0631\\u06d2\\u060c \\n\\u0645\\u06cc\\u06ba \\u0627\\u064f\\u0633 \\u06a9\\u0627 \\u0628\\u0646\\u062f\\u06c1 \\u0628\\u0646\\u0648\\u06ba \\u06af\\u0627 \\u062c\\u0633 \\u06a9\\u0648 \\u062e\\u062f\\u0627 \\u06a9\\u06d2 \\u0628\\u0646\\u062f\\u0648\\u06ba \\u0633\\u06d2 \\u067e\\u06cc\\u0627\\u0631 \\u06c1\\u0648 \\u06af\\u0627 ~\\u0627\\u0642\\u0628\\u0627\\u0644',b'393',b'464',b'6',b'47426',b'39283',b'False',b'False',b'False',b'False',b'2009-06-05 09:04:28'
"b""Muslims pls recite this du'a with full conviction in your heart &amp; STAND TALL AND FIRM in the face of tyranny\\u2026 https://t.co/Pq8web9GIQ""",b'1232066645750771713',"b""will the real 'good hindoo' pls stand up?""",b'qpr009',b'India',b'',b'78',b'43',b'23',b'6031',b'7413',b'False',b'False',b'False',b'False',b'2016-04-18 12:25:25'
"b'\\U0001f335While #DelhiBurning \\n\\n\\U0001f6a8Fintech investments in India doubled to $3.7bn in 2019, 3rd largest mkt globally\\U0001f947\\n\\n\\U0001f538Investm\\u2026 https://t.co/0i3hNNCybU'",b'1232066615904264192',b'#RatanLal exActivist\\U0001f6d5\\U0001f6a9',b'PatharBaaz',b'PrayagRaj',b'Engineer turned Activist | Raised 10+ crores in 5 yrs for Dharma | https://t.co/MNQ3PjBT23 | #YNWA | Telegram @PatharBaaz',b'1895',b'104',b'4',b'9130',b'78',b'False',b'False',b'True',b'False',b'2019-12-29 22:35:02'
b'#DelhiBurning\\n\\nStop police brutality. @narendramodi_in @AmitShah\\n\\nYou ask to respect police\\n\\nIs it respectable act.\\u2026 https://t.co/QxjlOmewVR',b'1232066584820273153',b'Muzaik',b'Muzzzaaiiik',"b'Dammam, KSA'",b'GraduateResearcher@KFUPM\\n\\n#KFUPM\\n#control_Engineering\\n\\n#politicalEnthusiast\\n#Debator\\nMuslim\\U0001f495 Indian\\U0001f1ee\\U0001f1f3\\U0001f495\\nThinker\\U0001f914 Thoughts are personal \\U0001f60e\\nVoice for Justice\\u2696',b'25',b'254',b'0',b'809',b'325',b'False',b'False',b'False',b'False',b'2014-08-11 06:22:39'
b'#DelhiBurning \\n#ArrestTerroristKapilMishra',b'1232066571998244865',b'Aman Insaaf',b'AmanInsaaf',b'',b'',b'52',b'42',b'0',b'275',b'103',b'False',b'False',b'True',b'False',b'2019-12-09 23:38:04'
"b""@DreamDetective1 An Islamophobic mob violently beat this Muslim man, who was protesting Modi's bigoted policies, in\\u2026 https://t.co/TSwSTrsAJT""",b'1232066568508583936',b'Md Afzal Ansari',b'Thedream_man',"b'Ramgarh,Ranchi,Jharkhand,India'","b'Atheist, Empath, Human\\ni believe in human race'",b'160',b'284',b'1',b'352',b'40',b'False',b'False',b'False',b'False',b'2012-09-17 06:01:33'
"b'\\u0915\\u093f\\u0938 \\u092c\\u093e\\u0924 \\u0915\\u093e \\u091c\\u0941\\u0930\\u094d\\u092e\\u093e\\u0928\\u093e \\u0939\\u0948, \\u092f\\u0947 \\u0915\\u0948\\u0938\\u093e \\u0936\\u0941\\u0932\\u094d\\u0915 \\u0939\\u0948?\\n\\u092f\\u0915\\u0940\\u0902 \\u0928\\u0939\\u0940 \\u0939\\u094b\\u0924\\u093e, \\u0915\\u094d\\u092f\\u093e \\u092f\\u0947 \\u092e\\u0947\\u0930\\u093e \\u092e\\u0941\\u0932\\u094d\\u0915 \\u0939\\u0948?       \\n\\u092f\\u0947 \\u0915\\u0939\\u093e\\u0901 \\u0906 \\u0917\\u090f \\u0939\\u092e \\U0001f62d\\U0001f62d #SOS\\u2026 https://t.co/ExFduq4wrb'",b'1232066558425321472',b'Sagar Shahnawaz',b'iSagarShahnawaz',"b'\\u0928\\u0908 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'\\u0939\\u092e \\u0926\\u0947\\u0916\\u0947\\u0902\\u0917\\u0947!\\n\\u0932\\u093e\\u091c\\u093c\\u093f\\u092e \\u0939\\u0948 \\u0915\\u093f \\u0939\\u092e \\u092d\\u0940 \\u0926\\u0947\\u0916\\u0947\\u0902\\u0917\\u0947!!',b'44',b'221',b'0',b'143',b'50',b'False',b'False',b'True',b'False',b'2017-09-08 11:39:41'
b'#DelhiBurning #DelhiViolence Rioters captured for you @DelhiPolice ...please act ! @ashlinpmathew @SidrahDP\\u2026 https://t.co/7CaLVHXe6W',b'1232066494567071744',b'Shakeel Gundagi',b'shaqueelsinai',b'Pune',b'IAM Proud Indian Armyman Muslim necessarily in that order!!',b'493',b'638',b'88',b'88058',b'9489',b'False',b'False',b'True',b'False',b'2012-11-27 04:29:54'
b'@BDUTT @narendramodi succeed what he did in2002 gujarat riots same now #DelhiBurning dangerous @realDonaldTrump\\u2026 https://t.co/WN5cRyhDRm',b'1232066490968485888',b'riazsheiq',b'riazsheiq',"b'Nevada City, CA'",b'',b'369',b'1944',b'0',b'41283',b'38364',b'False',b'False',b'True',b'False',b'2019-12-11 21:26:19'
b'@MrsGandhi #DelhiViolence #DelhiBurning \\n#IslamicTerrorism https://t.co/dE1UHhF8rv',b'1232066474279223296',b'Mein dunga Azadi',b'Neelgupta92',"b'Navsari, India'","b""Can't change the past, but ll definitely change the future.\\n\\n#\\u0938\\u0928\\u093e\\u0924\\u0928_\\u0927\\u0930\\u094d\\u092e \\u0938\\u0930\\u094d\\u0935\\u0936\\u094d\\u0930\\u0947\\u0937\\u094d\\u0920 \\u0939\\u0948\\n\\n\\u092c\\u094b\\u0932\\u094b\\u0902_\\u0938\\u093f\\u092f\\u093e\\u0935\\u0930_\\u0930\\u093e\\u092e\\u091a\\u0928\\u094d\\u0926\\u094d\\u0930_\\u091c\\u0940_\\u0915\\u0940_\\u091c\\u092f""",b'85',b'196',b'0',b'2824',b'2067',b'False',b'False',b'True',b'False',b'2017-11-14 15:11:08'
b'Shame #DelhiBurning https://t.co/ke4M628Erg',b'1232066448367013891',b'Aabid Ahmad',b'AabidDhanva',b'',b'',b'1',b'22',b'0',b'1',b'0',b'False',b'False',b'True',b'False',b'2019-05-31 05:50:46'
