b'@ShivAroor What is the message about Pro CAA gunmen on the screen? @ShivAroor',b'1231925045368258560',b'Ram V',b'ramanan1949',b'',"b""Indian first, sanatana dharma, oncologist, healthcare IT. world is the best play ground, dyslexic RT not endorsements  indian welsh proud \\U0001f1ee\\U0001f1f3  '""",b'183',b'178',b'2',b'4515',b'7241',b'False',b'False',b'False',b'False',b'2014-07-01 10:00:23'
b'@fayedsouza The one who are showing activity done by pro caa people is good but the one showing anti caa people doi\\u2026 https://t.co/jychVwtJGZ',b'1231925027085410306',b'shobhit prakash',b'shobhit001177',b'meerut',b'',b'73',b'299',b'1',b'366',b'427',b'False',b'False',b'False',b'False',b'2012-06-20 03:55:12'
"b""@iyersaishwarya @bandookdari82 @TheQuint Still you'll work biased nd will blame Pro CAA guys.""",b'1231925017228795904',b'\\u0917\\u094c\\u0930\\u0935\\u2122',b'Banarasiya____',b'Sohagibarwan WildlifeSanctuary',b'Movie Buff\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n@ShraddhaKapoor\\n\\n@SunRisers',b'35',b'296',b'0',b'1247',b'19745',b'False',b'False',b'True',b'False',b'2020-01-29 14:55:59'
b'Pro and anti #CAA protesters The central govt is the reason for the clash between the two groups\\nThe Central Govt h\\u2026 https://t.co/iy6ACTBpfd',b'1231925001483251712',b'vipin kumar',b'vipinvipiin',"b'Palam, New Delhi'","b""help someone for get happiness. We are all one so don't do anything that which is hurt anyone else by you. I have much love with the Constitution of India""",b'25',b'57',b'0',b'970',b'12633',b'False',b'False',b'True',b'False',b'2016-01-25 15:59:51'
b'None of the pro CAA protesters will be seen like this bcoz they believe in violence only https://t.co/L6H7DuTbrD',b'1231924905517690882',b'Manisha Verma',b'Manisha11074027',b'India',"b'Patriot, Dreamer, Ambitious, Kick Boxer...'",b'27',b'127',b'0',b'1212',b'563',b'False',b'False',b'True',b'False',b'2019-07-04 07:16:02'
"b""@BDUTT Pro #CAA protesters kaha dikh rahe hai issey? It's radical islamic terrorism""",b'1231924840484880385',b'Varun Jain',b'RotsJain',"b'New Delhi, India'","b'Retweets are not endorsements II Feminist equals to Anti-National II Gender equality Laws much needed, so in offices policies, views are personal.'",b'418',b'441',b'13',b'16778',b'6452',b'False',b'False',b'True',b'False',b'2015-04-12 12:24:22'
b'@kkkash_if Sale tuje ye Tak pata nhi h k ratan Lal dcp tha ya constebal aur gya de raha Mara kisne ..kabhi bolte ho\\u2026 https://t.co/6CrS46BQ8g',b'1231924804707635200',b'kapil',b'Kapil04051902',b'',b'follow me u will know batter',b'8',b'59',b'0',b'273',b'36',b'False',b'False',b'True',b'False',b'2019-03-02 13:31:47'
b'#Islamic_terrorism \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u092a\\u0942\\u0930\\u0947 \\u091a\\u0930\\u092e \\u092a\\u0930 \\u0939\\u0948 \\u0964\\n\\u0939\\u093f\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\u0915\\u094b \\u0938\\u0940\\u0930\\u093f\\u092f\\u093e \\u092c\\u0928\\u093e\\u0928\\u0947 \\u0915\\u0940 \\u0938\\u093e\\u091c\\u093f\\u0936 \\u0930\\u094b\\u0915\\u0928\\u0947 \\u0915\\u093e \\u0935\\u0915\\u094d\\u0924 \\u0906 \\u0917\\u092f\\u093e \\u0939\\u0948 \\u0964\\n\\n#PRO_CAA_NRC_NPR',b'1231924800265670656',b'Om singh',b'2B7MNb8jnh3f9Ak',b'',b'\\u0938\\u094b\\u0936\\u0932 \\u090f\\u0915\\u094d\\u091f\\u093f\\u0935\\u093f\\u0938\\u094d\\u091f \\u0964 \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0939\\u093f\\u0924 \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930\\u093f \\u0964\\u0935\\u0928\\u094d\\u0926\\u0947 \\u092e\\u093e\\u0924\\u0930\\u092e\\u094d \\u0964\\u0928\\u092e\\u094b \\u0938\\u092e\\u0930\\u094d\\u0925\\u0915 .',b'10524',b'5783',b'7',b'14657',b'2577',b'False',b'False',b'True',b'False',b'2018-01-31 07:09:03'
b'@AMISHDEVGAN B&amp;D seedha seedha bol pro CAA walon ne police k sath milke jalaya hai',b'1231924798386622464',b'Abhishek',b'abhi_nandwani',"b'New Delhi, India'",b'Manchester United | Punjabi | Scotch | Delhite',b'123',b'207',b'0',b'2164',b'890',b'False',b'False',b'True',b'False',b'2019-11-20 09:28:46'
b'Hypothizing that  Delhi police were given instructions not to take any action and observe restraint in view of trum\\u2026 https://t.co/K0Bgn0e5T2',b'1231924797434548224',b'Illiberal Democrat',b'Me_Predictor',b'',b'',b'289',b'4358',b'9',b'27686',b'5657',b'False',b'False',b'True',b'False',b'2013-08-17 04:20:19'
"b""The CAA protests have been peaceful from the beginning And day after ultimatum by BJP's Kapil Mishra that all prote\\u2026 https://t.co/abrcrm8nVs""",b'1231924748751339520',b'Umar Saalim',b'umarsaalim7',"b'New Delhi, India'",b'XXV - VII - MCMXCVI | On the way to be your next lawyer',b'18',b'139',b'0',b'372',b'3266',b'False',b'False',b'True',b'False',b'2017-08-17 09:10:23'
b'@Khushbookhan_ \\u091a\\u093e\\u0926\\u0930\\u092e\\u094b\\u0926 pro CAA \\u0928\\u0939\\u0940 anti CAA rioters \\u0939\\u0948 \\u0935\\u094b \\u0932\\u094b\\u0917',b'1231924733760770048',b'\\u092a\\u093e\\u092a\\u093e \\u0930\\u0902\\u091c\\u0940\\u0924\\U0001f4a5',b'baisedABPnDTV',"b'\\u092c\\u0948\\u0902\\u0917\\u0932\\u0941\\u0930\\u0941, \\u092d\\u093e\\u0930\\u0924'","b'\\u0938\\u092d\\u0940 \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940 \\u092d\\u093e\\u0908 \\u092c\\u0939\\u0928\\u094b \\u0915\\u094b \\u0928\\u093f\\u0938\\u094d\\u0935\\u093e\\u0930\\u094d\\u0925 follow \\u0915\\u0930\\u0924\\u093e \\u0939\\u0942\\U0001f642\\U0001f64f\\u0906\\u092a \\u092d\\u0940follow\\u0915\\u0930\\u0947\\u0902\\U0001f64f \\u0924\\u093e\\u0915\\u093f \\u090f\\u0915\\u091c\\u0941\\u091f \\u0939\\u094b\\u0915\\u0930 \\u0915\\u093e\\u0902\\u0917\\u0940, \\u0935\\u093e\\u092e\\u0940,\\u0906\\u092a\\u093f\\u092f\\u094b \\u0915\\u0940 \\u092c\\u091c\\u093e \\u0938\\u0915\\u0947\\U0001f600\\U0001f44dProud Hindu &100% real secular'",b'544',b'544',b'3',b'10962',b'11149',b'False',b'False',b'True',b'False',b'2014-01-16 22:02:35'
b'Pro caa people has hit him... https://t.co/eOJijx5yIg',b'1231924699141214209',b'\\u092e\\u0941\\u0902\\u092c\\u0908 Matter\\u2122\\ufe0f \\u2744\\U0001f684',b'MumbaiMatter',"b'Maharashtra, India'","b'Sharing all Kinds of Updates !\\nof Mumbai News, Events, Campaigns, Sports, Arts, \\ndo Tag Us for RT!'",b'79',b'390',b'0',b'715',b'1296',b'False',b'False',b'True',b'False',b'2019-08-31 12:11:17'
"b'@NavbharatTimes \\u0907\\u0924\\u0928\\u0947 \\u0926\\u093f\\u0928 \\u0938\\u0947 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940Anti CAA\\u092a\\u094d\\u0930\\u094b\\u091f\\u0947\\u0938\\u094d\\u091f \\u0938\\u0947 \\u0915\\u094b\\u0908 \\u0928\\u0939\\u0940\\u0902 \\u092e\\u0930 \\u0930\\u0939\\u093e \\u0925\\u093e,\\n\\u0938\\u0902\\u0918\\u0940\\u092f\\u094b\\u0902 \\u0915\\u0947 Pro CAA \\u0938\\u0947 \\u092a\\u0942\\u0932\\u093f\\u0938 \\u092c\\u093e\\u0932\\u0947 \\u092e\\u0930\\u0928\\u0947 \\u0932\\u0917\\u0947\\u0964\\n\\u0915\\u094c\\u0928 \\u092e\\u093e\\u0930 \\u0930\\u0939\\u093e \\u0939\\u0948??'",b'1231924698763558912',b'AmirAzad',b'Amirazadd',b'',b'nothing',b'24',b'477',b'0',b'3438',b'525',b'False',b'False',b'True',b'False',b'2019-12-02 06:11:35'
"b'@msisodia The Delhi Metro closed entry and exit at the Jaffrabad, Maujpur-Babarpur, Gokulpuri, Johri Enclave and Sh\\u2026 https://t.co/w2Qb97L1Oh'",b'1231924679528591367',b'Outlook Magazine',b'Outlookindia',"b'New Delhi, India'",b'The fully loaded news magazine from India',b'212374',b'52',b'1542',b'353012',b'173',b'True',b'False',b'False',b'False',b'2009-03-04 12:45:00'
b'@JamaliNahela Ye TOI ki hai.\\nAhmedabad...\\n\\nOpssss shayad pro CAA wale hogeye log.\\n\\nQuint filter ne inko anti se pro\\u2026 https://t.co/tEvvukQpsg',b'1231924595428659200',b'Kunal Singh Solanki',b'_ksSolanki',"b'Banswara, Rajasthan, India'","b""Let's do,what we are denying since/ \\u092d\\u0915\\u094d\\u0924 can also follow/Civil Engineer/LIBERAL backed by CONSERVATIVE thoughts/Official account--Tweets are signed & archived""",b'157',b'230',b'2',b'13417',b'10211',b'False',b'False',b'False',b'False',b'2015-03-06 14:35:06'
"b'@VijaytaL @hridayeshjoshi Did you interviewed the "" pro CAA "" protestors and asked their political leaning ?'",b'1231924552390729729',b'Abhinav Krishna',b'ak1kio8me002',"b'Amravati, India'","b'\\u0915\\u0930\\u094d\\u092e\\u0923\\u094d\\u092f\\u0947\\u0935\\u093e\\u0927\\u093f\\u0915\\u093e\\u0930\\u0938\\u094d\\u0924\\u0947 \\u092e\\u093e \\u092b\\u0932\\u0947\\u0937\\u0941 \\u0915\\u0926\\u093e\\u091a\\u0928\\u0964Tweets are personal, RTs  not endorsement.'",b'91',b'395',b'1',b'1212',b'2772',b'False',b'False',b'True',b'False',b'2015-01-20 11:48:31'
"b'SOS: #Chandbagh situation is getting worse, vehicles set ablaze, stone pelting is going on as well the public prope\\u2026 https://t.co/OHR2r6NN7U'",b'1231924532199342081',b'\\U0001f341 \\u0633\\u0639\\u064a\\u062f \\u0623\\u0646\\u0648\\u0631',b'Saeed_IAS',b'Indian',b'IAS aspirant POET & AUTHOR',b'17737',b'14390',b'6',b'14940',b'29365',b'False',b'False',b'True',b'False',b'2019-06-29 08:16:31'
"b""Mr @dibang i know u have some compulsion of paid things , but Twitter is where u can't lie..the peaceful protesters\\u2026 https://t.co/bmmFPUQdFE""",b'1231924477153308673',b'Manish Patel',b'Manishpatel81',b'INDIA',"b'software professional, Believes in Modi and big fan of modism..'",b'122',b'769',b'1',b'11871',b'5376',b'False',b'False',b'False',b'False',b'2009-11-07 16:16:22'
b'Pro CAA protester pointing GUN at Police. https://t.co/UkyjE6dOV7',b'1231924473483464706',b'14all - Not the Angry One',b'Phoenix19942',"b'Mangalore, India'","b""Just Desi. Hindus are strong doesn't mean others are weak. Religion not equal to nationalism. If those in power are wrong they are wrong. No adjustments.""",b'167',b'282',b'0',b'4405',b'6645',b'False',b'False',b'True',b'False',b'2019-08-21 13:32:17'
"b""Dear @DelhiPolice He is pro or anti CAA I don't know, and doesn't matter, he is anti-national and terrorist for sur\\u2026 https://t.co/laj4UkHXTu""",b'1231924471134597120',b'iPDG Rajiv',b'rajivWORLD',b'World is my playground',"b""I like humour, am bit crazy but not talkative as I need to have my space. I hate fear & don't like to be worried. #RotaryConnectsTheWorld #iPDG #D3030 #Rotary""",b'1837',b'642',b'86',b'97945',b'10997',b'False',b'False',b'False',b'False',b'2009-04-18 14:39:30'
b'@VijaytaL Do you have proof of pro CAA setting the shop on fire. How do you know they were pro CAA',b'1231924419557126144',b'MLK',b'MLK77837996',b'',b'Integrity',b'5',b'140',b'0',b'850',b'967',b'False',b'True',b'True',b'False',b'2020-01-10 14:18:29'
b'@BDUTT Pro CAA and C@@ protester :\\nIt is Muslims attacking Hindus - do not give false info.',b'1231924419016019968',b'Harikesh Yadav',b'hkgyadav',b'',"b'Investing, Technology, Veda . Make India great\\nRTs are not endorsements\\n\\u0928\\u093e \\u0915\\u093e\\u0939\\u0942 \\u0938\\u0947 \\u0926\\u094b\\u0938\\u094d\\u200d\\u0924\\u0940, \\u0928 \\u0915\\u093e\\u0939\\u0942 \\u0938\\u0947 \\u092c\\u0948\\u0930!'",b'20',b'59',b'1',b'2710',b'245',b'False',b'True',b'True',b'False',b'2013-02-12 19:02:27'
