b'#DelhiBurning \\n#Jafrabad \\n#Maujpur \\n#ShaheenBagh \\n#JamiaMilliaIslamia \\n#JNU \\n#ShameOnDelhiPolice\\u2026 https://t.co/aKRvGca3jB',b'1232081540135305217',b'shadab raza',b'pareshan_archi',b'new delhi',b'architect under construction',b'139',b'374',b'0',b'6446',b'1987',b'False',b'False',b'False',b'False',b'2009-12-20 20:18:21'
"b'The kind of day that we shuddered about. That was coming along gradually, was being carved with each policy and eac\\u2026 https://t.co/QBAXd1lsno'",b'1232081528156491781',b'Ruhi',b'RuhiKhusi',"b'Bengaluru, India'",b'I am not on the \\u201cLeft\\u201d or \\u201cRight\\u201d and I wish we had more in the centre !!\\nWhat I feel strongly about are Climate Change and Equality !',b'250',b'302',b'2',b'1448',b'645',b'False',b'False',b'True',b'False',b'2011-07-18 21:17:43'
b'#DelhiBurning Satta k liye kisi had tak girne k liye tayyar Cong ye bhi acchi tarah samajhti hai ki nikat bhavishya\\u2026 https://t.co/GsE4Yi0EWE',b'1232081488344223744',b'Amit Mishra',b'mishrap4876',b'',b'hindu nationalist.hate hypocrisy.strongly anti cong. love 2 analyse current pol scenario.dream 2 mak comm of +ve ppl with clear vision on how 2 build new INDIA.',b'1482',b'966',b'22',b'25199',b'8881',b'False',b'False',b'False',b'False',b'2012-03-24 08:50:50'
"b""I can't believe this is happening in my own country. So much of hate for one another. #DelhiBurning #DelhiPolice https://t.co/ooJdhxA6tv""",b'1232081488319041537',b'its_catt\\xf6',b'its_cattoo',b'',b'',b'19',b'108',b'0',b'88',b'415',b'False',b'False',b'True',b'False',b'2019-11-03 15:30:50'
b'#DelhiBurning https://t.co/eng7oLD4i2',b'1232081446623268865',"b""will the real 'good hindoo' pls stand up?""",b'qpr009',b'India',b'',b'80',b'43',b'23',b'6037',b'7419',b'False',b'False',b'False',b'False',b'2016-04-18 12:25:25'
b'\\u0915\\u093f\\u0938 \\u0924\\u0930\\u0939 \\u092a\\u094d\\u0930\\u0940 \\u092a\\u094d\\u0932\\u093e\\u0928 \\u0924\\u0930\\u0940\\u0915\\u0947 \\u0938\\u0947 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u094b \\u0905\\u0902\\u091c\\u093e\\u092e \\u0926\\u093f\\u092f\\u093e \\u0917\\u092f\\u093e \\u0939\\u0948 \\n\\u092f\\u0939 \\u092b\\u094b\\u091f\\u094b \\u0907\\u0938\\u0938\\u0947 \\u090f\\u0915 \\u0930\\u093e\\u0924 \\u092a\\u0939\\u0932\\u0947 \\u0915\\u0940 \\u0939\\u0948 \\u0964 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0938\\u0947 \\u092a\\u0939\\u0932\\u0947 \\u091f\\u094d\\u0930\\u0949\\u0932\\u0940 \\u092d\\u0930 \\u0915\\u0930\\u2026 https://t.co/mVzltBT17c',b'1232081434451566593',b'Zala\\u2066\\u2066\\u2069\\u2069\\U0001f6e1\\ufe0f',b'zalaisking',b'India',"b'\\u092c\\u0926\\u0932 \\u091c\\u093e\\u0913 \\u0935\\u0915\\u094d\\u0924 \\u0915\\u0947 \\u0938\\u093e\\u0925,\\n\\u092f\\u093e \\u0935\\u0915\\u094d\\u0924 \\u0915\\u094b \\u092c\\u0926\\u0932\\u0928\\u093e \\u0938\\u093f\\u0916\\u094b, \\n\\u092e\\u091c\\u092c\\u0942\\u0930\\u093f\\u092f\\u094b\\u0902 \\u0915\\u094b \\u092e\\u0924 \\u0915\\u094b\\u0938\\u094b,\\n\\u0939\\u0930 \\u0939\\u093e\\u0932 \\u092e\\u0947\\u0902 \\u091a\\u0932\\u0928\\u093e \\u0938\\u093f\\u0916\\u094b\\u0964'",b'2010',b'2012',b'0',b'371',b'869',b'False',b'False',b'True',b'False',b'2019-12-10 18:23:08'
b'#DelhiBurning\\n\\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0947 \\u0939\\u0947\\u0921 \\u0915\\u0949\\u0928\\u094d\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 \\u0930\\u0924\\u0928\\u0932\\u093e\\u0932 \\u0915\\u0947 \\u0938\\u093f\\u0930 \\u092a\\u0930 \\u091a\\u094b\\u091f \\u0932\\u0917\\u0928\\u0947 \\u0938\\u0947 \\u092e\\u094c\\u0924 \\u0939\\u094b \\u0917\\u092f\\u0940\\u0964 \\u092d\\u091c\\u0928\\u092a\\u0941\\u0930\\u093e \\u0915\\u0947 \\u092b\\u0941\\u0930\\u0915\\u093e\\u0928 \\u0915\\u0940 \\u092e\\u093e\\u0930\\u092a\\u0940\\u091f \\u092e\\u0947\\u0902 \\u092e\\u094c\\u0924\\u2026 https://t.co/1u1uMp4LoN',b'1232081417690992640',b'Krishan',b'anandkkrishan',b'',b'',b'21',b'41',b'0',b'107',b'11',b'False',b'False',b'True',b'False',b'2018-02-25 04:44:39'
b'@ippatel And these assholes will say that peaceful protesters were attacked \\U0001f44f\\U0001f44f\\U0001f44f thodi sharm karo saalo! #DelhiBurning',b'1232081416994746368',b'Mayank Kothari',b'mayankaddiction',"b'\\u0928\\u0908 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'',b'11',b'61',b'0',b'908',b'1564',b'False',b'False',b'True',b'False',b'2017-03-12 02:29:49'
"b'Why is no one, absolutely NO ONE is asking for #AmitShah resignation!!!!!  #DelhiBurning #DelhiViolence @ArvindKejriwal'",b'1232081385583566848',b'Digital Marketer',b'Rashmi1984',b'Global',b'Digital Evangelists',b'192',b'304',b'2',b'2568',b'3118',b'False',b'False',b'False',b'False',b'2009-04-30 06:35:36'
b'@ArvindKejriwal is a most helpless and selfie CM that Delhi has ever had. \\n#Chandbagh #DelhiBurning #DelhiPolice https://t.co/POlZOmghHu',b'1232081338901114880',b'Sahil___Against CAA NRC & NPR',b'Sahil_M12',"b'on  Earth, The Temporary world'",b'Nature lover Animal lover & fuckin thinker',b'497',b'68',b'1',b'5166',b'8758',b'False',b'False',b'True',b'False',b'2016-01-24 07:33:36'
"b'#DelhiBurning\\U0001f622\\n\\n\\u0905\\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u0947 \\u092a\\u0941\\u091c\\u093e\\u0930\\u0940 \\u092c\\u093e\\u092a\\u0942 \\u0915\\u093e \\u0926\\u0947\\u0936 \\u0906\\u091c \\u0939\\u093f\\u0902\\u0938\\u093e\\u0935\\u093e\\u0926\\u093f \\u0924\\u0924\\u094d\\u0935\\u094b\\u0902 \\u0915\\u0940 \\u0938\\u093e\\u092e\\u094d\\u092a\\u094d\\u0930\\u0926\\u093e\\u092f\\u093f\\u0915 \\u092e\\u093e\\u0928\\u0938\\u093f\\u0915\\u0924\\u093e \\u0915\\u0947 \\u0938\\u092c\\u092c \\u091c\\u0932 \\u0930\\u0939\\u093e, \\u0918\\u0930\\u094b\\u0902 \\u0914\\u0930 \\u0926\\u0941\\u2026 https://t.co/0UEvNxuLpJ'",b'1232081336221028352',b'Mainuddin Mohammad Israr \\U0001f1ee\\U0001f1f3 (\\U0001f4af%Follow\\U0001f519)',b'MainuddinIsrar',"b'New Delhi, India'",b'\\u0918\\u0930 \\u0915\\u094b \\u0932\\u0917\\u0940 \\u0939\\u0948 \\u091c\\u094b \\u0906\\u0917 \\u0918\\u0930 \\u0915\\u0947 \\u091a\\u093f\\u0930\\u093e\\u0917 \\u0938\\u0947!\\n\\n\\u0939\\u092e \\u0905\\u0939\\u0932\\u0947 \\u0939\\u093f\\u0928\\u094d\\u0926 \\u092d\\u0940 \\u0915\\u0939\\u093e \\u0921\\u0930\\u0924\\u0947 \\u0939\\u0948\\u0902 \\u0926\\u093e\\u0917 \\u0938\\u0947!! \\n\\n\\u0918\\u0930 \\u0915\\u094b \\u092c\\u091a\\u093e\\u0928\\u0947 \\u0906\\u092f\\u0940 \\u0939\\u0948 \\u091c\\u092c \\u0918\\u0930 \\u0915\\u0940 \\u092c\\u0947\\u091f\\u093f\\u092f\\u0949! \\n\\n\\u0932\\u094b \\u0907\\u0902\\u0915\\u0932\\u093e\\u092c \\u0917\\u0942\\u0901\\u091c\\u093e \\u0939\\u0948 \\u0936\\u093e\\u0939\\u0940\\u0928 \\u092c\\u093e\\u0917 \\u0938\\u0947!!\\nTM. Group.',b'3387',b'3799',b'0',b'6021',b'5517',b'False',b'False',b'True',b'False',b'2019-12-25 06:01:39'
