b'@IvankaTrump Namaste Madam!\\nYou too looking beautiful. \\n#IvankaTrump',b'1231944191351017472',b'\\U0001f1ee\\U0001f1f3RAMDAS\\U0001f1ee\\U0001f1f3',b'akpurohitngr',"b""No Men's Land""",b'Proud \\U0001f6a9Hindu \\U0001f1ee\\U0001f1f3Indian\\nEx- Armed soldier.\\nMy first & Last Love Is Ma BHARTI.\\nAlways Right\\U0001f6a9\\n#IndianArmy\\n#JaHind\\n\\U0001f1ee\\U0001f1f3VNDEMATRAM\\U0001f1ee\\U0001f1f3\\n\\U0001f6a9\\u0950\\u0950\\U0001f6a9',b'3936',b'3555',b'10',b'58611',b'59860',b'False',b'False',b'False',b'False',b'2010-07-25 00:09:22'
"b""Today's pic moment at Ahmadabad airport #NamasteyTrump #DonaldTrump #DonaldTrumpIndiaVisit #IvankaTrump\\u2026 https://t.co/M6joJAKxDA""",b'1231944016574500865',b'Sawant Computers',b'SawantComputers',b'',b'Email:-- sawantcomputers@yahoo.com',b'2',b'9',b'0',b'11',b'3',b'False',b'False',b'True',b'False',b'2018-06-18 18:27:54'
"b'I love you dear Ivanka\\U0001f49b, am pagal hogaya today.@IvankaTrump\\n\\nSorry you already married but still I love you so much\\u2026 https://t.co/4mcMAxBN1C'",b'1231944000329977856',b'\\u0cb6\\u0cbe\\u0c82\\u0ca4\\u0cb0\\u0cbe\\u0c9c\\u0ccd(\\u0c95\\u0ca8\\u0ccd\\u0ca8\\u0ca1\\u0cbf\\u0c97)Shantharaj.\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3',b'Shantha78227320',"b'Mandya, India'","b'\\u0cb9\\u0cc6\\u0cae\\u0ccd\\u0cae\\u0cc6\\u0caf \\u0c95\\u0ca8\\u0ccd\\u0ca8\\u0ca1\\u0cbf\\u0c97 | \\u0ca1\\u0cbf \\u0cac\\u0cbe\\u0cb8\\u0ccd,\\u0c95\\u0cbf\\u0c82\\u0c97\\u0ccd \\u0c95\\u0cc6\\u0cc2\\u0cb9\\u0ccd\\u0cb2\\u0cbf,\\u0cac\\u0cbf \\u0c8e\\u0cb8\\u0ccd \\u0cb5\\u0cc8,\\u0cae\\u0ccb\\u0ca6\\u0cbf\\u0c9c\\u0cc0 \\u0c85\\u0ca8\\u0cc1\\u0caf\\u0cbe\\u0caf\\u0cbf | \\u0cb9\\u0cbf\\u0c82\\u0ca6\\u0cc2 \\u0cb8\\u0ca8\\u0cbe\\u0ca4\\u0ca8\\u0cbf\\U0001f6a9\\U0001f6a9\\U0001f6a9 | Suspended Account.\\U0001f44a'",b'64',b'301',b'0',b'7946',b'5986',b'False',b'False',b'True',b'False',b'2020-01-08 18:53:09'
"b""Trump addresses 'Namaste Trump' event at Motera World's largest cricket stadium.\\n\\n#DonaldTrump  #IvankaTrump\\u2026 https://t.co/srsvkUVw07""",b'1231943695320129536',b'Sportsji',b'SportsJi_India',b'india',b'',b'96',b'12',b'0',b'40',b'3',b'False',b'False',b'True',b'False',b'2019-09-17 08:31:57'
b'@IvankaTrump \\n#IvankaTrump \\n#TajMahal \\n#NamasteyTrump \\n#BestPicture \\n@realDonaldTrump https://t.co/bu5KAPdMri',b'1231943649858138113',b'Ravi Patel \\U0001f1ee\\U0001f1f3',b'ravipolara',b'India',b'\\U0001f1ee\\U0001f1f3 Jay Sardar Jay Kishan \\U0001f473 \\u2692\\ufe0f \\U0001f64f Jay Jawan \\U0001f46e\\n#Gujarat #Patidar #Patel',b'1696',b'300',b'8',b'15505',b'10457',b'False',b'False',b'False',b'False',b'2014-12-13 12:04:46'
b'Yeh #Do_Lund trump kon hai bhai?????\\U0001f923\\U0001f923\\U0001f923\\n#NamasteyTrump #TrumpInIndia #TrumpIndiaVisit #GoBackTrump #Maujpur\\u2026 https://t.co/D4QmF0Ft4o',b'1231943570912894983',b'Uzair Aziz',b'uzair_2020',b'Pakistan',b'',b'387',b'1156',b'2',b'3250',b'3763',b'False',b'False',b'True',b'False',b'2013-02-20 17:06:39'
b'#NamasteyTrump and Simple yet classy Fashion statements by  US First lady #MelaniaTrump and #IvankaTrump #fashion\\u2026 https://t.co/7yPHqMnZpR',b'1231943528374124545',b'filmykeema',b'filmykeema',b'',"b'filmykeema- Your daily source for the best in - #BollywoodNews, #HollywoodNews,#SouthIndianMovies, #moviereviews, #celebfashion,celeb talk, #TVshows & more...'",b'61',b'254',b'0',b'1413',b'382',b'False',b'False',b'True',b'False',b'2019-09-03 09:55:38'
"b'One of the most beautiful , lovely @IvankaTrump in front of Temple of love #TajMahal . Welcome You @IvankaTrump .\\u2026 https://t.co/EY9UsuOVkV'",b'1231943401173549058',b'Gautam Rishi',b'imgautam_rishi',b'',"b'Political researcher, strategist & writer'",b'3',b'16',b'0',b'49',b'143',b'False',b'False',b'True',b'False',b'2019-02-11 07:14:58'
b'@IvankaTrump future president #IvankaTrump of \\U0001f1fa\\U0001f1f8meets future Prime Minister of\\U0001f1ee\\U0001f1f3 #Yogi.\\n\\n#TrumpIndiaVisit\\u2026 https://t.co/WbfMZpXERr',b'1231943282718117889',b'Joydeep Roy',b'IjoydeepRoy',"b'DefenceColony,Kandivali,Mumbai'","b'PhD-Quantum Physics, Ex-IIT. For MoD, India.'",b'2924',b'2289',b'4',b'7241',b'29854',b'False',b'False',b'False',b'False',b'2017-03-22 02:24:14'
b'#IvankaTrump https://t.co/LDpXRIjAW3',b'1231943264355397634',b'Vishal Gaur',b'VishalG05319826',b'',b'a youth who knows what is right or wrong for his country/ criticise the wrong thing is my duty/...\\nhttps://t.co/rvIxylto1m',b'10',b'28',b'0',b'121',b'127',b'False',b'False',b'True',b'False',b'2020-01-29 02:29:19'
b'@IvankaTrump Yes. And made hideous with you standing in front of it. #IvankaTrump',b'1231943016795058177',b'Alfred Wasilewski',b'gmenblogger',"b'40.619198,-74.643943'","b'Healthcare PR exec., tennis player, culinary genius, raconteur, funnyman, know it all, NY Giants super fan. Follow my food blog on Facebook: Eataly 2020.'",b'126',b'495',b'7',b'1918',b'48',b'False',b'False',b'False',b'False',b'2009-03-11 02:00:45'
b'Pic1 :Desi Girl                                           Pic2 : Pardesi Girl          #IvankaTrump #Ivanka\\u2026 https://t.co/UcSv5BM4NC',b'1231942899941728256',b'Dhiraj',b'DhirajK52008047',"b'Pune, India'",b'Proud Indian. Proud Maratha. Patriot. Optimist. Lifeholic.  Animal lover. Cricket lover.',b'16786',b'13862',b'3',b'1673',b'110042',b'False',b'False',b'True',b'False',b'2017-11-09 21:03:31'
