"b""@DreamDetective1 An Islamophobic mob violently beat this Muslim man, who was protesting Modi's bigoted policies, in\\u2026 https://t.co/TSwSTrsAJT""",b'1232066568508583936',b'Md Afzal Ansari',b'Thedream_man',"b'Ramgarh,Ranchi,Jharkhand,India'","b'Atheist, Empath, Human\\ni believe in human race'",b'160',b'284',b'1',b'352',b'40',b'False',b'False',b'False',b'False',b'2012-09-17 06:01:33'
b'@JohnTory @CABR_Toronto Where is the White Youth Internship Program?\\n\\nWhere is the Brown Youth Internship Program?\\u2026 https://t.co/EWogTRHv6w',b'1232066566147182592',b'Shredded Tweet',b'shreddedtweet48',b'Canada',"b'\\u26ab\\ufe0f\\U0001f3d2\\U0001f945\\U0001f341\\U0001f1e8\\U0001f1e6 \\n\\nCalls \'em like I sees \'em! \\n\\nPeople don\'t want to hear the truth!\\n""You can\'t handle the truth!""\\n\\nTwitter - a battle of wits!'",b'198',b'55',b'1',b'7162',b'26777',b'False',b'False',b'False',b'False',b'2008-09-27 13:27:01'
"b'@fans_voice @RealFGSilva Exactly, she was young &amp; curious, I\\u2019m sure there are some real doozy\\u2019s  of Barry &amp; Micheal\\u2026 https://t.co/x4wObw0QUq'",b'1232066511927418885',b'Brian Andrews',b'brian10617688',"b'Wilder, KY'","b'CHRISTIAN,MARRIED TO PAMELA,PATRIOT, TRUMP SUPPORTER,DOG LOVER , WHITE MALE, UNAPOLOGETIC, WWG1WGA, MAGA'",b'345',b'545',b'0',b'2531',b'1241',b'False',b'False',b'True',b'False',b'2018-11-05 13:00:29'
"b'Hello\\nAm Ifeoluwa by name, but people knows me as IfeLiyne because of my talent(music) but not yet sign in.\\nAm livi\\u2026 https://t.co/cHLk3RTIYU'",b'1232066507552829441',b'Lil IfeLiyne',b'LIfeliyne',b'Osun State',"b'My name is Oni Ifeoluwa a.k.a IfeLiyne, am a Hip pop musician but not yet sign in.'",b'1',b'39',b'0',b'3',b'26',b'False',b'False',b'True',b'False',b'2020-02-24 20:38:08'
"b'@cov_Gretchen @TheRISEofROD She\'s the muslim  ""Crazy Eddie."" She\'s INSANE!!!!!!!!!!'",b'1232066504641961986',b'Steven E. Zack',b'StevenEZack1',"b'Long Island, N.Y.'",b'College dropout - only 16 credits.\\nSeriously allergic to those with TDS. \\nMAGA! KAG!',b'643',b'787',b'0',b'3127',b'9169',b'False',b'False',b'True',b'False',b'2019-01-24 22:56:16'
"b""@nazmaaman The ghettos in muslim areas have become too suffocated,  ladies don't work just spread rumors in localit\\u2026 https://t.co/SGGhEfKJZw""",b'1232066483871789056',b'athar',b'athar15898220',"b'London, England'","b'Eat , Live , Die for startups'",b'9',b'319',b'1',b'233',b'134',b'False',b'False',b'True',b'False',b'2019-01-03 14:47:07'
"b""@66ALW99 @JacquiDillon The Muslim Women's Network reported on abuse against Muslim women; that is their purpose, to\\u2026 https://t.co/YRXy5nAUW5""",b'1232066473167814656',b'Dic Aberdaron',b'welshchauvinist',b'Cymru',b'Welsh pride worldwide \\U0001f3f4\\U000e0067\\U000e0062\\U000e0077\\U000e006c\\U000e0073\\U000e007f \\U0001f548',b'271',b'1161',b'1',b'1057',b'3766',b'False',b'False',b'True',b'False',b'2019-08-21 20:13:15'
b'@AkhAmin @jannahthegoal I have seen many a muslim who have gone to the masjid and found a job and.even accommodatio\\u2026 https://t.co/yDI5xwBTsz',b'1232066466486407169',b'\\u0645\\u0648\\u0633\\u0649',b'Moosa____',b'Traveller - Musaafir',b'Aspire to Inspire \\nAs Jannat is what we desire. \\nI tweet reminders firstly for myself.\\n@ or DM if you have any questions.',b'2824',b'164',b'32',b'41774',b'8718',b'False',b'False',b'False',b'False',b'2011-01-10 02:21:41'
b'Hindu Terr0rists are carrying out massacre against Indian Muslims by the order of Indian govt. Hindu Terr0rists &amp; P\\u2026 https://t.co/lrA50VPmUi',b'1232066457313267713',b'Walid Ahmed',b'masudwalid',b'Earth',b'Assalamu alaikum.',b'3083',b'602',b'10',b'1748',b'4589',b'False',b'False',b'True',b'False',b'2015-01-21 12:47:48'
b'@Ryder72145623 @KhaledBeydoun This Muslim terrorist SHOT and killled a police officer https://t.co/CPmLCHn85V',b'1232066448308097024',b'JustoneK7\\u2122',b'JustoneK7',"b'Black Earth, WI'",b'Kafirs of the world unite against Radical Islamic Terrorism !!',b'627',b'2769',b'29',b'49141',b'64586',b'False',b'False',b'False',b'False',b'2014-01-10 03:47:04'
b'Islam confers on men a god-like status. It is belief that islam places more respect or adoration on men than woman\\u2026 https://t.co/nsMlL53ykM',b'1232066446810865670',b'Hasreem.M.A',b'MAhasreem',b'ALKHOBAR',b'',b'66',b'141',b'6',b'5927',b'88',b'False',b'False',b'False',b'False',b'2011-01-16 10:17:03'
b'@1117ashish Last year I went their on the invitation of one of my Muslim friend... When I went their every one acce\\u2026 https://t.co/cDGz7Zqqe4',b'1232066437956530178',b'Rudra',b'Rudra00233546',b'',b'',b'1',b'35',b'0',b'217',b'35',b'False',b'True',b'True',b'False',b'2019-12-22 10:18:13'
b'Feel such high regard for Mecca and Islam \\u2014 they value their values. Al-salam\\xfc \\u2018alayk\\xfcm dear Muslim brothers &amp; sist\\u2026 https://t.co/ExcnLdXXih',b'1232066432600403968',b'@artMISSIONARY Fan',b'ArtmissionaryF',b'',b'Faithful member of The Church of Jesus Christ of Latter-day Saints. Fan of artful Latter-day Saint creativity.',b'6',b'9',b'0',b'95',b'822',b'False',b'False',b'True',b'False',b'2019-12-10 23:30:28'
