b'\\u0926\\u0902\\u0917\\u093e\\u0908\\u092f\\u094b\\u0902 \\u0915\\u094b \\u0924\\u094b \\u0915\\u093e\\u092c\\u0942 \\u092e\\u0947\\u0902 \\u0915\\u0930 \\u0932\\u094b\\u0917\\u0947 \\u0932\\u0947\\u0915\\u093f\\u0928 \\u0926\\u0902\\u0917\\u093e\\u0907\\u092f\\u094b\\u0902 \\u0915\\u094b \\u092d\\u0921\\u093c\\u0915\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0940 \\u092e\\u0940\\u0921\\u093f\\u092f\\u093e \\u0915\\u094b \\u0915\\u092c \\u0915\\u093e\\u092c\\u0942 \\u092e\\u0947\\u0902 \\u0915\\u0930\\u094b\\u0917\\u0947..? #CAAProtest #DelhiPolice',b'1231939497295851520',b'\\u0918\\u0941\\u092e\\u0915\\u094d\\u0915\\u0921\\u093c \\U0001f1ee\\U0001f1f3',b'wandererlko',b'\\u092d\\u093e\\u0930\\u0924',b'',b'592',b'277',b'6',b'38316',b'48001',b'False',b'False',b'True',b'False',b'2010-02-12 13:20:45'
b'Media also faced the ire of #CAAProtest activists in #Jaffarabad #Bhajanpura #Karawalnagar \\n\\nWatch report\\n\\nhttps://t.co/lLvdn3bnl0',b'1231939389825007622',b'Contributors',b'contributors18',b'',"b""\\U0001f399Upcoming digital media platform\\U0001f399\\n\\U0001f3a4Voice for India's vibrant democracy\\U0001f3a4\\n\\nhttps://t.co/DziskTUV7v""",b'9',b'6',b'0',b'189',b'6',b'False',b'False',b'True',b'False',b'2020-01-20 11:44:56'
b'\\u091c\\u093f\\u0928 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u0940 \\u092d\\u093e\\u0930\\u0924 \\u092e\\u0947\\u0902 \\u0930\\u0939\\u0928\\u0947 \\u0915\\u0940 \\u0914\\u0915\\u093e\\u0924 \\u0928\\u0939\\u0940\\u0902 \\u0935\\u094b \\u0939\\u094b \\u0910\\u0938\\u093e \\u0926\\u0947\\u0936\\u0926\\u094d\\u0930\\u094b\\u0939\\u0940 \\u091c\\u0948\\u0938\\u093e \\u0918\\u093f\\u0928\\u094c\\u0928\\u093e \\u0915\\u093e\\u092e \\u0915\\u0930 \\u0938\\u0915\\u0924\\u0947 \\u0939\\u0948\\u0964\\nCAA \\u0915\\u0947 \\u0935\\u093f\\u0930\\u094b\\u0927 \\u092a\\u0930 \\u0928\\u093e\\u092e \\u092a\\u0930 \\u091c\\u094b\\u2026 https://t.co/Tg1qoDBYrH',b'1231939372200517638',b'sanjay chaudhary',b'sanjayc94501046',b'',b'',b'36',b'617',b'0',b'198',b'128',b'False',b'False',b'True',b'False',b'2013-11-23 03:25:11'
b'#CAAProtest | The protesters in #Salem condemned the State government for supporting the Citizenship Amendment Act.\\u2026 https://t.co/p3Fnq3PmgU',b'1231939337123745793',b'The Hindu',b'the_hindu',"b'Chennai, India'","b""News feeds from India's National Newspaper""",b'5763332',b'200',b'6020',b'299334',b'142',b'True',b'False',b'False',b'False',b'2009-02-13 06:04:24'
b'Sorry @PMOIndia @HMOIndia @AmitShahOffice this is absolutely your ministry\\u2019s failure. Do you even realise that the\\u2026 https://t.co/nRF8LKtz44',b'1231939332174303234',b'Abhinandan Singh',b'Abhisingh____',"b'Ghaziabad, India'","b'Thinker..\\nPart time writer, full time reader'",b'19',b'236',b'0',b'66',b'183',b'False',b'False',b'True',b'False',b'2013-05-29 06:48:12'
"b""you're not only blind in your hatred, you've become also a very bad soul. \\nTruly pathetic tweet to divert the issue\\u2026 https://t.co/UuT8VhLhb3""",b'1231939244370857985',b'Jay Dhar \\U0001f1ee\\U0001f1f3',b'JBD_87',b'France',"b'Researcher at France, collaborations with India.'",b'76',b'435',b'0',b'1234',b'27160',b'False',b'False',b'True',b'False',b'2014-10-10 04:46:04'
b'\\u0d05\\u0d32\\u0d3f\\u0d17\\u0d21\\u0d3f\\u0d32\\u0d4d\\u200d \\u0d35\\u0d3f\\u0d26\\u0d4d\\u0d2f\\u0d3e\\u0d30\\u0d4d\\u200d\\u0d24\\u0d4d\\u0d25\\u0d3f\\u0d15\\u0d33\\u0d46 \\u0d06\\u0d15\\u0d4d\\u0d30\\u0d2e\\u0d3f\\u0d1a\\u0d4d\\u0d1a \\u0d2a\\u0d4a\\u0d32\\u0d40\\u0d38\\u0d41\\u0d15\\u0d3e\\u0d30\\u0d4d\\u200d\\u0d15\\u0d4d\\u0d15\\u0d46\\u0d24\\u0d3f\\u0d30\\u0d46 \\u0d28\\u0d1f\\u0d2a\\u0d1f\\u0d3f \\u0d0e\\u0d1f\\u0d41\\u0d15\\u0d4d\\u0d15\\u0d23\\u0d02 - \\u0d2f\\u0d41\\u0d2a\\u0d3f \\u0d38\\u0d30\\u0d4d\\u200d\\u0d15\\u0d4d\\u0d15\\u0d3e\\u0d30\\u0d3f\\u0d28\\u0d4b\\u0d1f\\u0d4d \\u0d05\\u0d32\\u0d39\\u0d2c\\u0d3e\\u0d26\\u0d4d \\u0d39\\u0d48\\u0d15\\u0d4d\\u0d15\\u0d4b\\u0d1f\\u0d24\\u0d3f\\u2026 https://t.co/3KocrOAWSP',b'1231939240872665088',b'Azhimukham',b'azhimukham',b'Kerala',b'New Mainstream. Free & Fair. Bold & Beautiful. News & Views.',b'3022',b'427',b'26',b'50723',b'1656',b'False',b'False',b'False',b'False',b'2013-04-12 12:59:40'
"b'""Entry &amp; exit gates of Udyog Bhawan, Patel Chowk, Central Secretariat and Janpath have been closed"": Delhi Metro Ra\\u2026 https://t.co/Dv9zVTHMR2'",b'1231939198061404160',b'NDTV',b'ndtv',b'India',b'Breaking news alerts from India',b'12139419',b'14',b'12548',b'690094',b'0',b'True',b'False',b'False',b'False',b'2009-05-01 20:34:48'
b'\\u0938\\u0941\\u092c\\u0939 \\u0939\\u0940 \\u092e\\u0941\\u091d\\u0947 \\u0932\\u0917 \\u0930\\u093e\\u0939\\u093e \\u0925\\u093e \\u0915\\u0940 \\u0906\\u091c \\u092b\\u093f\\u0930 \\u0938\\u0947 \\u092f\\u0926\\u093f \\u091c\\u093f\\u0928\\u094d\\u0939\\u093e \\u0935\\u093e\\u0932\\u0940 \\u0906\\u091d\\u093e\\u0926\\u0940 \\u092e\\u093f\\u0932\\u0928\\u0947 \\u0915\\u0947 \\u0932\\u093f\\u092f\\u0947 \\u0917\\u094b\\u0932\\u093f\\u092f\\u093e \\u091a\\u0932\\u0947\\u0917\\u0940 \\u0924\\u094b \\u0915\\u094b\\u0908 \\u0906\\u0936\\u094d\\u091a\\u0930\\u094d\\u092f \\u0928\\u0939\\u0940\\u0902 \\u0939\\u094b\\u0917\\u093e\\u0964\\n\\n\\u0915\\u094d\\u2026 https://t.co/5Dg4IJVoTX',b'1231939114372460545',b'Sachin Manisha Satish Lambute',b'SLambute30',"b'\\u092a\\u0941\\u0923\\u0947 \\u0935\\u093f\\u0936\\u094d\\u0935\\u0935\\u093f\\u0926\\u094d\\u092f\\u093e\\u0932\\u092f, \\u092a\\u0941\\u0923\\u0947'",b'\\U0001f1ee\\U0001f1f3\\u0936\\u093f\\u0915\\u094d\\u0937\\u093e \\u091c\\u0940\\u0935\\u0928 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0914\\u0930 \\u091c\\u0940\\u0935\\u0928 \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0915\\u0947 \\u0932\\u093f\\u090f \\U0001f1ee\\U0001f1f3',b'55',b'236',b'0',b'740',b'1294',b'False',b'False',b'True',b'False',b'2015-05-19 12:23:00'
b'Our Jawan Abhinandan was saved from Pakistan...An external enemy.\\n\\nBut we failed in saving Ratan Lal from the inter\\u2026 https://t.co/WTt4pFVQT0',b'1231939032810164224',b'RITURAJ SINGH',b'ThinknThought',b'Bihar | France ',"b'Pursuing Ph.D. in Computer Science & Engg, Alumnus - #IIT, Data Science, ML, #BiharKiBattain , Politics and Policies, Mithila aur Maithili'",b'95',b'329',b'0',b'909',b'413',b'False',b'False',b'False',b'False',b'2013-02-18 10:38:28'
b'CAA Protestors Burned Petrol pump in Delhi #Delhi #DelhiBurning #DelhiPolice #CAAProtest https://t.co/vALDOCm8r3',b'1231939023721115648',b'PAWAN NANDA',b'PAWANNA22703691',"b'New Delhi, India'",b'An Indian Citizen Who Gets The Right To Speak (on Twitter)..\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f',b'0',b'20',b'0',b'36',b'59',b'False',b'False',b'True',b'False',b'2019-12-14 22:17:49'
