b'\\u201cI\\u2019m not Muslim but fuck the police\\u201d \\U0001f92f cause they don\\u2019t eat pork... ! @PDE_YOUNGNUDY',b'1232094443131559936',b'CARDO \\u24cb',b'RicardoAlan_',b'trap',"b'tx, #txst22'",b'541',b'252',b'4',b'2010',b'4050',b'False',b'False',b'True',b'False',b'2014-02-21 15:31:24'
b'@irenaakbar Hey Frustrated Muslim lady Taj was built by indian ruler',b'1232094437108592642',b'Deepak Kumar',b'deepak3527',"b'Begusarai, India'",b'Chartered Accountant',b'39',b'181',b'0',b'733',b'3751',b'False',b'False',b'True',b'False',b'2011-10-10 17:10:04'
b'How much ridleysolodyad energy do you have?\\n\\n10% muslim \\n10% bi \\n10% reylo \\n10% both light &amp; darkside \\n10% loves si\\u2026 https://t.co/mWAeXuLgIF',b'1232094408453083136',b'\\U0001d426\\U0001d41e\\U0001d41d\\U0001d422\\U0001d427\\U0001d41a',b'ridleysolodyad',b'she/her | multifandom ',b'#BENSOLO: ow',b'2479',b'2947',b'29',b'32441',b'55045',b'False',b'False',b'False',b'False',b'2011-09-08 20:20:16'
b'@kkkash_if Rioters are muslim',b'1232094380556636161',b'Pr',b'Prasanna0409',b'',b'',b'5',b'20',b'0',b'560',b'421',b'False',b'True',b'True',b'False',b'2019-09-28 06:26:04'
b'@Kritika_Kamra You are a muslim? \\n\\nLet me know so that i can be against you',b'1232094373921210368',b'aramb hai prachand',b'Manikaiyer',b'',"b""super proud sevika. ex journalist, ex blogger, complete bhakt of modiji. plan to run gaushala, whatever i write is my FOE, &nobody's business\\U0001f60e\\U0001f60e""",b'3721',b'3889',b'27',b'77072',b'65739',b'False',b'False',b'False',b'False',b'2013-10-05 09:09:32'
b'@djaycoholyc Beda cerita kalo Ahok dari awal muslim.\\n\\nPemikiran primordial',b'1232094349254463488',b'\\u02c1Ustanak\\u02c0',b'Popopokarimu',b'',b'Pengen Zumba \\U0001f57a\\U0001f3fb malah Zuma \\U0001f438',b'12',b'112',b'0',b'1835',b'135',b'False',b'False',b'True',b'False',b'2018-12-12 21:42:59'
"b'@lowles_nick @JackDromeyMP @hopenothate @CST_UK Considering so many of them are proven correct, and the establishme\\u2026 https://t.co/bk0DrDFen8'",b'1232094335430221824',b'Olly Connelly',b'olly_connelly',"b'London, England'","b'Producer, Daily Chaos, in an ordo ab chao kind of a world.\\n\\nLive Wednesdays 9pm GMT ~ https://t.co/98W3LgEoYl'",b'11130',b'241',b'191',b'18922',b'1036',b'False',b'False',b'False',b'False',b'2009-02-18 19:03:17'
b'@__R_a_j_ Pray and hope that his strong sense of duty and martyrdom do not go wasted. Strong action against the Mus\\u2026 https://t.co/RRl94YQfgM',b'1232094332561379329',b'KanuSbn',b'KanuS28',b'',"b""Sri Krishna Saranam Mamah. Sanatana/Vedic Dharma & believer & supporter of Bharat Civilization & Heritage/History. Versatility is important.. don't miss it.""",b'249',b'123',b'1',b'5673',b'9921',b'False',b'False',b'False',b'False',b'2012-05-23 16:06:56'
"b'@jeparaleather @yettiaka Jgnlah bermain jg pd isu2 spt ini, Utk apaa..???\\nTlnglah semua org hendaknya menghargai jg\\u2026 https://t.co/p1KpgBGH3O'",b'1232094330954768384',b'Adli Furqan',b'yazid_fadhlan',"b'Kota Bukittinggi, Sumatera Bar'",b'Ber-Islamlah.. maka kau kan selamat..',b'627',b'1394',b'0',b'42383',b'53083',b'False',b'False',b'True',b'False',b'2018-07-11 15:27:26'
b'@TeaPainUSA So did Muhammad. So I guess we can put an end to that Muslim ban.',b'1232094279981506560',b'DFJefferies',b'DocJ2001',"b'Missouri, USA'","b'Philologist. Professor. Very little original content. I try to be funny (i.e., amuse myself).'",b'35',b'483',b'0',b'1029',b'2749',b'False',b'False',b'True',b'False',b'2016-08-03 16:20:49'
b'@navsszz @satadru2010 @KashifMD Every islamic folk is potential terrorist .54 islamic country not a single country\\u2026 https://t.co/cHrMpg9y6o',b'1232094265544757249',b'JAI BHIM',b'bagadbillaa',"b'Tirunelveli, India'",b'Followed by @asadowaisi & @swamy39',b'123',b'376',b'1',b'5777',b'4549',b'False',b'False',b'False',b'False',b'2013-07-02 14:25:38'
b'@L_Ragland_Jr He was also just endorsed by a major muslim group.',b'1232094261887111168',b'SnakeRiverPatriot',b'PhilCam30960791',"b'Washington, USA'","b'\\U0001f46e\\u200d\\u2642\\ufe0fLaw Enforcement, Armed Forces, First Responders, 2A, Retired, Secured borders, liberalism is a mental disorder! No Sharia ever! #KAG, #MAGA\\U0001f694\\U0001f4af'",b'1542',b'1957',b'1',b'4890',b'9090',b'False',b'False',b'False',b'False',b'2018-08-30 05:17:43'
b'@_sabanaqvi A fanatical Muslim masquerading as a liberal journalist. The mask had to tear off some day. \\nCAA the la\\u2026 https://t.co/QYeW3VHq8F',b'1232094260654067713',b'Ivar',b'ravicha47372787',b'',b'Standup for Dharma. Nothing else matters',b'151',b'440',b'0',b'23035',b'21184',b'False',b'True',b'True',b'False',b'2014-06-21 04:22:11'
b'Redneck Muslim | 2018 Online Film Festival | PBS https://t.co/7E4TO3JH6x via @YouTube',b'1232094247735697408',b'Gnama Griffin',b'liveN2love',"b'Manhattan, NY'","b'Warrior, Survivor, Super Mom, \\nBusiness Owner, Entrepreneur\\n Author & Financial Services Coach\\nFrench,English & Spanish\\nStudying languages'",b'2480',b'3827',b'21',b'90459',b'21733',b'False',b'False',b'False',b'False',b'2014-02-28 19:47:52'
"b'I have had so many questions from friends about this documentary. Yes, I am from Newark. No, I have not watched the\\u2026 https://t.co/13QvKo67C5'",b'1232094212696559616',b'Dr. Tahirah Walker \\U0001f44a\\U0001f3fd\\u2764\\U0001f4aa\\U0001f3fe',b'tahirahbagheera',b'In the books @blackbooklady',b'Carol\\u2019s other daughter. This is not my work twitter account. I think about allotta stuff and tweet various angles of it all. Love me some books @blackbooklady.',b'307',b'522',b'12',b'4694',b'2900',b'False',b'False',b'False',b'False',b'2012-09-07 10:01:37'
"b'@sagarikaghose Ask ur Muslim friend who started it. Gunman arrested name shahrukh. I doubt, picture seems anti CAA\\u2026 https://t.co/JzQxmr3fCR'",b'1232094158484987904',b'Souman Chanda',b'soumanchanda',b'Delhi',b'',b'36',b'186',b'0',b'1649',b'983',b'False',b'False',b'False',b'False',b'2010-09-04 03:41:32'
"b'What would be their reaction if this girl, and her grandfather, were black and/or Muslim?\\n\\nGirl, 11, brings AR-15 t\\u2026 https://t.co/d7bLQOF7QV'",b'1232094141296861190',b'Robert Messina',b'calibur12001',"b'New Jersey, USA'","b'Gamer, horror & scifi fan, cat enthusiast, and GM for life.'",b'374',b'220',b'42',b'58861',b'94908',b'False',b'False',b'False',b'False',b'2015-09-27 16:34:04'
b'Do you know? That Sharia is the law that regulates the daily life of a Muslim and serves as a guide for living by islamic principles.',b'1232094130232229889',b'\\u0639\\u0648\\u064a\\u0636\\u0647 \\u0627\\u0644\\u0642\\u0631\\u0646\\u064a',b'zeyado142789',b'',b'\\u200f\\u200f\\u0627\\u0633\\u062a\\u063a\\u0641\\u0631 \\u0627\\u0644\\u0644\\u0647 \\u0627\\u0644\\u0639\\u0638\\u064a\\u0645 \\u0627\\u0644\\u0630\\u064a \\u0644\\u0627 \\u0625\\u0644\\u0647 \\u0625\\u0644\\u0627 \\u0647\\u0648 \\u0627\\u0644\\u062d\\u064a \\u0627\\u0644\\u0642\\u064a\\u0648\\u0645 \\u0648\\u0623\\u062a\\u0648\\u0628 \\u0625\\u0644\\u064a\\u0647',b'601',b'390',b'5',b'19701',b'712',b'False',b'False',b'True',b'False',b'2013-05-17 13:21:59'
b'Pernyataan tergoblok sepanjang aku jadi muslim nih. Bola bali junjungane gub DKI https://t.co/I8DT2DYzWj',b'1232094117213032448',b'Arfian Bachdim',b'akbararfiannp',"b'Kota Tangerang, Banten'","b'bapakmu mbien wedi tetak, saiki wedi mbokmu'",b'96',b'295',b'0',b'8011',b'199',b'False',b'False',b'True',b'False',b'2019-04-26 15:38:26'
b'Indian Muslim women are tough. Respect \\U0001f4aa https://t.co/ShZfOoOCti',b'1232094101014581248',b'DM',b'universalgtk',"b'Los Angeles, CA'",b'\\u262a\\ufe0f\\U0001f9d5\\U0001f3fcJustice|Kashmiri|MA Intl Rlns #GenX \\U0001f1f5\\U0001f1f0born \\U0001f1fa\\U0001f1f8raised FREE #Kashmir #EastTurkistan \\u0627\\u0644\\u0652\\u062a\\u064e\\u0651\\u0635\\u064e\\u0648\\u064f\\u0651\\u0641 He is both Journey &Destination \\u0671\\u0644\\u0644\\u064e\\u0651\\u0647\\u064f',b'112',b'327',b'0',b'3215',b'10343',b'False',b'False',b'True',b'False',b'2018-07-18 08:33:57'
b'@kangsemproel @viraexol7 Lah dia non muslim sok2an nulis kek gitu \\U0001f602\\U0001f602\\U0001f602 provokator betina',b'1232094098548375552',b'#\\U0001f1ee\\U0001f1e9\\U0001f30f\\U0001f54b#freeUyghur#freePalestine',b'FBU72',"b'Jakarta Capital Region, Indone'",b'Membela yang Haq dan Menentang Kebathilan&Kezholiman...\\U0001f448 #FreePalestine #YerusalemPalestineCapital #SaveMuslimUyghur',b'1398',b'697',b'0',b'35802',b'30246',b'False',b'False',b'True',b'False',b'2018-05-25 07:10:52'
"b'@Iqra_K_ #ISLAMOPHOBIA vs #HINDUPHOBIA:\\n\\nMuslims doing #CAA_NRC_NPR protests for letting ""ILLEGAL MUSLIM IMMIGRANTS\\u2026 https://t.co/SFrp9XBV7d'",b'1232094074934444033',b'RadhaKrishnan... \\U0001f30e\\U0001f30d\\U0001f30f',b'RadaCristhna',"b'Tamil Nadu, India'",b'FREEDS SEEDS NEEDS LEADS GREEDS n WEEDS\\n\\n\\n\\n\\ncheck your shadowban status at https://t.co/9KbyEQ2fMg',b'217',b'2274',b'4',b'25962',b'327',b'False',b'False',b'False',b'False',b'2016-12-20 04:41:48'
b'@Fillaoucene @yamskz__213 @ajplusfrancais Les plus beaux p\\xe8lerins sont le peuple du Y\\xe9men.- bukhari muslim \\U0001f61c',b'1232094046883057664',b'Allday@Byday',b'AMaytruth',b'',b'vote with rigged machines for soulless machines. we are Q',b'46',b'121',b'1',b'8117',b'240',b'False',b'False',b'False',b'False',b'2010-02-22 13:02:34'
"b'@Emsaw574 @Keljo1991 @DGomezTruj @xkenut @yalinunez @BernieSanders @realDonaldTrump Yeah, I want all the Muslim imm\\u2026 https://t.co/pBqZTcQKIz'",b'1232094027924697088',b'Alec Barton',b'AlecBarton97',b'',b'',b'5',b'74',b'0',b'22',b'606',b'False',b'True',b'True',b'False',b'2009-06-16 05:38:31'
"b'You can tell who a person really is by the company they keep. BERNIE HAS QUITE THE FOLLOWING TO INCLUDE OMAR, TLAIB\\u2026 https://t.co/RGPDAYSwNp'",b'1232094025882177538',b'Djs',b'FOXFAN48',"b'Nashville, TN'",b'I believe in God and the power of one!  #MAGA #PresdentTrump #Conservative  I have an Open Mind but not enough to let my brain fall out!',b'618',b'1032',b'10',b'14696',b'6313',b'False',b'False',b'False',b'False',b'2012-10-23 20:31:33'
"b""@KashifMD Hatered for hinduism is evident from your post .Chill bro we won't bomb or destroy your place of worship\\u2026 https://t.co/mnRL08qAxB""",b'1232093998640254976',b'JAI BHIM',b'bagadbillaa',"b'Tirunelveli, India'",b'Followed by @asadowaisi & @swamy39',b'123',b'376',b'1',b'5777',b'4549',b'False',b'False',b'False',b'False',b'2013-07-02 14:25:38'
b'@ShefVaidya Lol. Look who is talking. This Kejri is the original founder of this jihadi movement for muslim votes.\\u2026 https://t.co/uQNMYGl6sU',b'1232093990855548928',b'Nand Garg',b'narwania',b'USA',b'',b'41',b'54',b'0',b'5478',b'6517',b'False',b'False',b'False',b'False',b'2010-10-18 22:11:15'
b'Its Always that 1 Muslim that SLACKS OFF after Prison \\U0001f602\\U0001f602\\U0001f602\\U0001f602\\U0001f602\\U0001f602 https://t.co/eLHV59xv5K',b'1232093966713180161',b'DRUSKI',b'Druski2Funny',b'',b'FOR BOOKING INQUIRIES: DruskiBookings@gmail.com',b'111070',b'157',b'48',b'4724',b'881',b'False',b'False',b'True',b'False',b'2018-11-15 04:35:05'
"b'Modi-Trump Meeting Highlights Anti-Muslim Sentiment in Both Government\\u2019s Policies via YubaNet: WASHINGTON, Feb. 24,\\u2026 https://t.co/Vt09SBVfcb'",b'1232093946572103688',b'YubaNet',b'YubaNet',"b'Nevada City, CA'",b'We Deliver News to the Sierra. Fire news on @yubanetfire',b'5887',b'1521',b'188',b'76439',b'4166',b'False',b'False',b'False',b'False',b'2008-11-07 20:30:23'
b'@theAGGRESSI0N @MARINE_99ZULU https://t.co/6nzYU2w6eg.',b'1232093864313442310',b'Richard',b'Richard221957',b'United States',"b'Retired USAF, Masters Degree in Sociology. Long time gun collector. 2X cancer survivor. 2A supporter. MAGA\\U0001f1fa\\U0001f1f8\\U0001f1fa\\U0001f1f8'",b'5091',b'5497',b'2',b'7117',b'6584',b'False',b'False',b'True',b'False',b'2018-01-29 15:34:19'
"b'#Delhi #DelhiIsBurning is not a riot, It is fully planned attack to dilute the actual issue of #CAA_NRC_NPR protest\\u2026 https://t.co/Kdu81wftEE'",b'1232093854905458688',b'Sandeep Pal',b'Sandeep88574773',"b'Bengaluru, India'",b'Live for Equality and Always Speak Reality...!',b'21',b'92',b'0',b'756',b'126',b'False',b'False',b'True',b'False',b'2020-01-08 10:41:17'
"b""@bu_noor89 Bro these ppl seriously\\U0001f621\\U0001f621 what really triggers me is they call themselves 'Muslim'.  Nah bro, this ain't islam""",b'1232093854230294528',b'L.H.',b'LH04281760',b'',b'',b'1',b'53',b'0',b'118',b'713',b'False',b'True',b'True',b'False',b'2020-01-08 01:17:15'
b'@brettachapman @anndavisgarvin The foreign travel bans are symbolic actions by Trump for his symbol-minded follower\\u2026 https://t.co/e6NVZj5qkU',b'1232093815424659456',b'Wahid',b'WahidSakaKhan',b'',b'Look around once in a while...',b'104',b'527',b'0',b'5017',b'7836',b'False',b'False',b'True',b'False',b'2019-12-21 19:45:00'
"b""@RahulGandhi @TVMohandasPai Whn people're harrassed in name of protests,where was your wisdom then?Anything in exce\\u2026 https://t.co/zWxeUnUyZn""",b'1232093809732980738',b'Rajesh R Upadhyay.',b'RajeshRUpadhya2',b'vadodara.',"b'A citizen of a Nation which somewhen happened to be SONE KI CHIDIYA, HOPE THIS TO BE YAAVASCHANDRAH DIWAKARAUH. TILL THE EXISTANCE OF SUN & MOON.'",b'158',b'65',b'10',b'20824',b'17899',b'False',b'False',b'True',b'False',b'2015-04-17 15:56:37'
b'@Aamir39314871 @surekhapillai @ColdCigar @DelhiPolice @Uppolice #ISLAMOPHOBIA vs #HINDUPHOBIA:\\n\\nMuslims doing\\u2026 https://t.co/JlThZkVHya',b'1232093799234461696',b'RadhaKrishnan... \\U0001f30e\\U0001f30d\\U0001f30f',b'RadaCristhna',"b'Tamil Nadu, India'",b'FREEDS SEEDS NEEDS LEADS GREEDS n WEEDS\\n\\n\\n\\n\\ncheck your shadowban status at https://t.co/9KbyEQ2fMg',b'217',b'2274',b'4',b'25962',b'327',b'False',b'False',b'False',b'False',b'2016-12-20 04:41:48'
"b'Ingrate? Who the fuck are you? The owner of America? \\n\\nThis book, comments under this post are wanton expression of\\u2026 https://t.co/2PaurikUx6'",b'1232093796994879489',b'Abdul Basit Adeel',b'abadeeel',b'PK/TR/US',b'Le Bo\\u015f | PDF candidate @binghamtonu | @sehiruniversite Alumnus | Agent-based Models | Networks | Collective Violence |',b'1164',b'171',b'8',b'7015',b'9545',b'False',b'False',b'False',b'False',b'2012-02-24 16:54:31'
b'@yettiaka Salat? Wudu? Diberkahi? Tuhan?\\n\\nBahasa yang Gak lazim ditulis sama muslim/muslimah\\n\\nPositif aja gaess mun\\u2026 https://t.co/Xy0t5GpfSU',b'1232093795333767169',b'Satrio Simanjuntak',b'siman_satrio',b'',b'',b'49',b'306',b'0',b'1065',b'5077',b'False',b'False',b'True',b'False',b'2016-01-16 07:05:41'
"b""@outrooyoongii I'm not even Muslim but I LOVE THIS""",b'1232093790506188801',b'\\xb0\\u2022bangtan.army\\u2022\\xb0\\u2077 \\U0001f49c\\U0001f3f3\\ufe0f\\u200d\\U0001f308',b'EvaMari87539871',b'',"b""Hi!! I'm ARMY \\U0001f49c \\xb0\\u2022ARMY\\u2022\\xb0 \\xb0\\u2022BTS\\u2022\\xb0 \\xb0\\u2022TAE AND OT7 BIASED\\u2022\\xb0  I PURPLE YOU ALL\\U0001f49c\\U0001f3f3\\ufe0f\\u200d\\U0001f308""",b'116',b'233',b'0',b'13296',b'12206',b'False',b'False',b'True',b'False',b'2019-10-30 16:39:34'
"b'Alhamdulillah, Vaughan Jamaat (Ahmadiyya Muslim Community) acquires new Namaz centre\\u2764\\ufe0f https://t.co/CQRQd74FPz'",b'1232093781295542273',b'saima khan',b'5aima_khan',b'',b'',b'13',b'174',b'0',b'7',b'112',b'False',b'False',b'True',b'False',b'2020-01-13 15:16:02'
b'@AzzamIzzulhaq liat ktp nya...ngaku muslim tapi meragukan',b'1232093766023933954',b'Yin&Yang',b'Nurhasim_wingon',b'Indonesia',"b'Hidup adalah perjalanan, Carilah bekal dengan apa apa yang dihalalkan Alloh.Semoga Alloh meridhoi kita memasuki jannahNya. Aamiin'",b'654',b'1266',b'2',b'8608',b'21658',b'False',b'False',b'True',b'False',b'2009-11-19 04:29:53'
