"b""@lusmahs62 @sahouraxo #login\\nAll people living on this Planet Earth are\\nGod's chosen ones. All man made Gods\\nwill n\\u2026 https://t.co/sSGf7cqfbK""",b'1232114815109222400',b'John $ Tweddle',b'JohnTweddle3',"b'New Mexico, USA'","b'I am individual life form. I belong to no club, religion, or culture except: American liberty and justice for all. I am an artist. \\nCopyrights of tweets mine.'",b'400',b'45',b'2',b'3227',b'1685',b'False',b'False',b'False',b'False',b'2018-08-12 22:14:41'
"b'@ClastonB @sofiegeorge And She hates America, Christians, Jews and anyone that does not support Sharia Law or become Muslim.'",b'1232114810478907393',b'OldTelePicker',b'kd4epg',b'St. Louis',"b""Christian, Veteran, Conservative, Ham operator, Cardinal,  Blues  fan, Guitar teacher, love Music. Didn't have history in school, called Current Events..""",b'4961',b'5456',b'51',b'58816',b'1436',b'False',b'False',b'True',b'False',b'2012-10-29 10:36:08'
b'@_sabanaqvi What an evolution from a full time journalist to a muslim journalist..',b'1232114800588574721',b'jspandey \\u0b9c\\u0bc7.\\u0b8e\\u0bb8\\u0bcd.\\u0baa\\u0bbe\\u0ba3\\u0bcd\\u0b9f\\u0bc7 \\u091c\\u0947.\\u090f\\u0938.\\u092a\\u093e\\u0923\\u094d\\u0921\\u0947\\u092f',b'jspandey_',"b'Lucknow, India'","b'hardcore modi supporter,mother tongue-HINDI bt fluent in TAMIL,nation 1st RTs not endorsement,modiji will take this great nation 2new glories,My tweets in likes'",b'38641',b'19342',b'355',b'634192',b'38544',b'False',b'False',b'False',b'False',b'2009-07-31 02:55:36'
"b""I'm inspired by the Prophet Muhammad's sunnah - he never collected wealth. He taught that whatever you give away is\\u2026 https://t.co/EUZG7UK8LP""",b'1232114787875729410',b'Shabana Mir #MedicareForAll',b'ShabanaMir1',"b'Ancestral territory of the Three Fires Confederacy, Ojibwe, Odawa, and Potawatomi'","b""Anthropologist, professor, author of only ethnographic book on US Muslim college students 'Muslim American Women on Campus.' Cancer survivor. Opinions mine.""",b'5602',b'1413',b'136',b'27750',b'48658',b'False',b'False',b'False',b'False',b'2014-02-16 18:43:39'
"b""@knicks_tape99 Muslim, Named Kareem Abdul Jabbar, didn't like interviews, wasnt big on marketing and branding. That\\u2026 https://t.co/tM0egg2Xww""",b'1232114780112064513',b'Amor\\xe9 King',b'AmoreKingTIO',"b'Louisville, KY'",b'American rapper \\u2022 Songwriter \\u2022\\nFounder of @butisitdopetho\\n #BlessedByGod #TheImmaculateOnes  https://t.co/GSUGMQwkjs\\u2026',b'3132',b'1476',b'58',b'54751',b'6874',b'False',b'False',b'False',b'False',b'2009-03-31 06:09:45'
b'@sonamakapoor @BDUTT Made by a Mughal Muslim ruler on the INDIAN soil.',b'1232114778702843905',b'Shrinath Vijay Kole',b'shrinathkole',b'United States',b'Industrial Engineer',b'6',b'138',b'0',b'4',b'61',b'False',b'False',b'True',b'False',b'2014-11-13 11:52:33'
b'@IlhanMN I will be a jailed\\n\\nHijabi \\nMuslim \\nBlack\\nForeign born\\nRefugee \\nSomali\\nThere fixed it!',b'1232114758695997441',b'\\U0001f4a5HopeIHelped!\\U0001f953',b'papajhorn',"b'Tennessee, USA'","b'lean right, pray up, work hard, stand for anthem, all lives matter, Trump is President of the United States \\U0001f1fa\\U0001f1f8, facts don\\u2019t care about feelings, #MAGA#KAG'",b'3052',b'3192',b'3',b'16203',b'2480',b'False',b'False',b'True',b'False',b'2013-03-01 21:04:08'
"b'@mohdmuk61061423 @rupasubramanya @abhisar_sharma Are bhai, LG &amp; Police ko apna kaam karne do. All the above steps w\\u2026 https://t.co/3777o87gzf'",b'1232114754144985088',b'soch bhavan',b'sochbhavan',b'',b'',b'1',b'20',b'0',b'23',b'5',b'False',b'False',b'True',b'False',b'2014-03-07 21:53:04'
"b'""Sesungguhnya barang siapa yang tidak menyayangi\\nmaka dia tidak akan disayangi."" [HR.Muslim]'",b'1232114732162678784',b'HADISTKU',b'Arif_permana12',b'',"b'MEDIA BERBAGI HADIST,MENERUSKAN DAKWAH NABI BESAR KITA RASULULLAH SAW| PIN : 5787A1AF | Jangan Di Unfollow Oke | Foto? Cek Favorit | Selamat Membaca ^_^'",b'1503',b'86',b'4',b'82795',b'27',b'False',b'False',b'False',b'False',b'2015-06-02 21:22:26'
b'@Kritika_Kamra Whereas there is nothing against Muslim in CAA. Forcing your view on others by disturbing peace and\\u2026 https://t.co/fF1b9qndZC',b'1232114724881330176',b'Ved Saini',b'vedsaini_',b'',b'',b'66',b'907',b'0',b'3180',b'9146',b'False',b'False',b'True',b'False',b'2016-02-13 14:06:43'
