b'@TheDeshBhakt @ReutersIndia @dansiddiqui Peaceful #CAAProtest in one pic https://t.co/V47BTkADx0',b'1232136591335780352',b'Saravana Siva',b'sivasailamsiob',b'singapore',b'',b'45',b'288',b'1',b'10234',b'17277',b'False',b'False',b'True',b'False',b'2014-09-04 15:19:50'
"b'"" #Democracy Dies in Darkness""\\n#NamasteyTrump #TrumpInIndia \\n#CAAProtest #DelhiRiots #DelhiBurning \\n\'This is no cel\\u2026 https://t.co/7eHDE3YCnW'",b'1232136586537488385',b'Muzzammil Khan\\u24c2\\ufe0f \\u0645\\u0632\\u0645\\u0644 \\u062e\\u0627\\u0646',b'MohdMuzzammilK',"b'Hyderabad, India'","b""Caution\\U0001f525Road not taken!\\n(Ex Assoc-Prof)\\nEntrepreneur, Consultant & Adviser \\n'Politics Inquilab'\\nNGOs & Public Interest\\n(#Sufism #Rumi #WhirlingDervish History)""",b'4266',b'3296',b'388',b'62471',b'119720',b'False',b'False',b'False',b'False',b'2011-03-27 20:34:31'
"b'There was a movie where lead said that he is a khan and not a terrorist.\\nHowever, ""His"" name is Shahrukh and he is\\u2026 https://t.co/vMFpje2yi0'",b'1232136565918400512',b'Utkarsh',b'Usharmaalld',b'one in 1 point 35 billion',b'National Socialist',b'36',b'41',b'2',b'4061',b'758',b'False',b'False',b'True',b'False',b'2010-10-25 17:08:40'
b'#Kejriwal #Nayak movie ka woh #AmrishPuri ho Gaya hai\\n\\n#Delhi #Election ke chakar Mai kuch kara nahi or ab\\u2026 https://t.co/zNHQOLcsV4',b'1232136489003343873',b'\\U0001f1ee\\U0001f1f3\\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928\\u0940\\U0001f1ee\\U0001f1f3',b'SarcasticBouy',b'India',"b'\\U0001f1ee\\U0001f1f3 above all cast and religion.\\n#Engineer by Profession, #DeshBhakt by \\u2764\\ufe0f'",b'24',b'267',b'0',b'826',b'1003',b'False',b'False',b'True',b'False',b'2013-03-29 20:13:26'
b'Bilkul Sahi bAat kahi hai Sir ne!\\n#DelhiBurning #DelhiPolice #Delhi #CAAProtest #CAA_NRC_NPR #CAA_NRC_Protests https://t.co/xp6KnydMZg',b'1232136486528540672',b'Ayshaa',b'kicktotrolls',b'If there were no Borders..',b'Cinema savouring/Travel Junky/Monsoon embracing /Conspiracy Digging/Avid Reader/Proud Leo/Environment Activist/#dissectingtrolls /against #zaharbhare',b'376',b'411',b'9',b'8090',b'3880',b'False',b'False',b'False',b'False',b'2010-01-06 09:15:00'
b'@flufy_brown_grl @ArvindKejriwal @ArvindKejriw\\nne Anti-CAA protesters Ko Aise disown kar diya hei jaise...\\nNarendra\\u2026 https://t.co/9MOH8zACXj',b'1232136438185168900',b'Ayush Sethi',b'Ayushsayso',b'',b'Bol ke lab aazad hain',b'19',b'156',b'0',b'171',b'544',b'False',b'False',b'True',b'False',b'2018-06-12 17:06:53'
b'#CAAProtest \\u0915\\u0947 \\u0928\\u093e\\u092e \\u092a\\u0930 \\u091c\\u094b #DelhiBurning #DelhiViolence \\u0915\\u093f\\u092f\\u093e \\u0917\\u092f\\u093e \\u092f\\u0947 \\u090f\\u0915 \\u092a\\u094d\\u0930\\u092f\\u094b\\u091c\\u093f\\u0924 \\u0926\\u0947\\u0936 \\u092e\\u0947 \\u090f\\u0915 \\u0935\\u093f\\u0936\\u0947\\u0937 \\u0927\\u0930\\u094d\\u092e \\u0915\\u094b \\u091f\\u093e\\u0930\\u0917\\u0947\\u091f \\u0915\\u0930\\u0928\\u0947\\u2026 https://t.co/70cZWfIXDb',b'1232136269788057602',b'ADVOCATE. VIVEK',b'vivekkumar84',b'High Court Lucknow',"b'I M liberal by views: \\u092e\\u0947\\u0930\\u0947 \\u0935\\u094d\\u092f\\u0915\\u094d\\u0924\\u093f\\u0917\\u0924 \\u0935\\u093f\\u091a\\u093e\\u0930 \\u092e\\u0947\\u0930\\u0947 \\u0938\\u0902\\u0935\\u0948\\u0927\\u093e\\u0928\\u093f\\u0915 \\u0905\\u0927\\u093f\\u0915\\u093e\\u0930 \\u0939\\u0948\\u0902\\u0964 \\u090f\\u0915 \\u0905\\u0927\\u093f\\u0935\\u0915\\u094d\\u0924\\u093e \\u0915\\u093e \\u092e\\u0942\\u0932 \\u0915\\u0930\\u094d\\u0924\\u0935\\u094d\\u092f \\u0939\\u0948- \\u0915\\u093e\\u0928\\u0942\\u0928 \\u092a\\u0930 \\u091a\\u0930\\u094d\\u091a\\u093e,\\u0938\\u0941\\u091d\\u093e\\u0935,\\u0915\\u094d\\u0930\\u093f\\u092f\\u093e\\u0928\\u094d\\u0935\\u0928, \\u0938\\u0902\\u0936\\u094b\\u0927\\u0928,\\u0905\\u0928\\u0941\\u092a\\u093e\\u0932\\u0928 \\u0915\\u0930\\u0935\\u093e\\u0928\\u093e \\U0001f490'",b'4247',b'230',b'2',b'3283',b'3289',b'False',b'False',b'True',b'False',b'2016-01-04 16:20:14'
b'Heartiest Congratulations @BJP4India for safely and securely implementing gujrat danga model across #India...\\u2026 https://t.co/mbrgn1vKGy',b'1232136122710532097',b'sky high',b'sidm0633',b'',b'',b'67',b'175',b'0',b'197',b'447',b'False',b'False',b'False',b'False',b'2010-01-06 07:02:41'
"b""@PMOIndia @RSS4India if You haven't seen Yet !! The World is Talking about us Like Never Before!! #Hitler\\u2026 https://t.co/71ELObZ1Fa""",b'1232135978485043200',b'Ayshaa',b'kicktotrolls',b'If there were no Borders..',b'Cinema savouring/Travel Junky/Monsoon embracing /Conspiracy Digging/Avid Reader/Proud Leo/Environment Activist/#dissectingtrolls /against #zaharbhare',b'376',b'411',b'9',b'8090',b'3880',b'False',b'False',b'False',b'False',b'2010-01-06 09:15:00'
b'Tweet from Times of India (@timesofindia) Times of India (@timesofindia) Tweeted: We received total 45 fire calls s\\u2026 https://t.co/1FyRLOpELb',b'1232135954401353729',b'Basheer sainudeen',b'Basheersainude2',b'',b'',b'42',b'213',b'0',b'4990',b'9042',b'False',b'False',b'True',b'False',b'2017-03-06 13:06:38'
