b'\\u0915\\u092a\\u0921\\u093c\\u094b\\u0902 \\u0938\\u0947 \\u0928\\u0939\\u0940\\u0902 \\u092a\\u0939\\u091a\\u093e\\u0928 \\u0938\\u0915\\u0924\\u0947\\n\\u0928\\u093e\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092a\\u0939\\u091a\\u093e\\u0928\\u094b\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0906\\u0917 \\u0932\\u0917\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u094b \\U0001f621\\U0001f621  @ShayarImran #DelhiBurning https://t.co/iKtrAoll8J',b'1232131062332973056',b'SHAIKH MERAZ UDDIN',b'OfficialMeraz',"b'Kunda, India'",b'student',b'115',b'197',b'0',b'348',b'2329',b'False',b'False',b'True',b'False',b'2017-06-18 23:28:57'
b'@ethicalsid Yeh @BJP4India walo ki fitrat hai desh ko jalao aur election jeet jao.\\n#DelhiBurning #DelhiPoliceWithBhagwaTerror',b'1232131040749088768',b'Zoman Hussain',b'HussainZoman',"b'Hyderabad, India'",b'BE civil engineering \\nofficial social media administrator of asaduddin owaisi\\ninspiration @asaduddinowaisi @akberuddinowasisi',b'15',b'35',b'0',b'944',b'2431',b'False',b'False',b'True',b'False',b'2017-08-10 17:54:10'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u091c\\u0932 \\u0930\\u0939\\u0940 \\u0939\\u0948..... \\u0906\\u092a \\u0915\\u0902\\u0939\\u093e \\u0939\\u094b... \\U0001f621\\U0001f621 \\u0910\\u0938\\u0947 \\u091a\\u0941\\u092a \\u0930\\u0939\\u0928\\u0947 \\u0915\\u093e \\u092e\\u0924\\u0932\\u092c \\u0915\\u094d\\u092f\\u093e \\u0938\\u092e\\u091d\\u0947.. \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940\\u0935\\u093e\\u0932\\u0947...\\u0905\\u0930\\u0935\\u093f\\u0928\\u094d\\u0926 \\u0938\\u0930.. \\n\\u0906\\u092a\\u0915\\u094b \\u0938\\u093e\\u092e\\u0928\\u0947 \\u0906\\u0928\\u093e\\u2026 https://t.co/rr24ldcSYZ',b'1232131026584993793',b'Yogi 007',b'TayadeYogi',b'',b'Never Give Up...\\n\\u0905\\u0902\\u0927\\u092d\\u0915\\u094d\\u0924 \\u0926\\u0942\\u0930 \\u0930\\u0939\\u0947..',b'342',b'380',b'0',b'7204',b'4747',b'False',b'False',b'True',b'False',b'2020-01-16 13:35:06'
"b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0906\\u0917 \\u0932\\u0917 \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0924\\u094b \\u0915\\u094d\\u092f\\u093e \\u0939\\u0941\\u0906\\u0964 \\u092c\\u093f\\u091c\\u0932\\u0940 \\u092b\\u094d\\u0930\\u0940 \\u0939\\u0948 TV \\u092a\\u0930 \\u0926\\u0902\\u0917\\u0947 \\u0926\\u0947\\u0916\\u094b\\u0964 \\u092c\\u0938 \\u092b\\u094d\\u0930\\u0940 \\u0939\\u0948, \\u092c\\u0948\\u0920\\u0915\\u0930 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0938\\u0947 \\u092c\\u093e\\u0939\\u0930 \\u091a\\u0932\\u0947 \\u091c\\u093e\\u0913\\u0964 \\u0914\\u0930 \\u0905\\u0917\\u2026 https://t.co/72WTpQzGW7'",b'1232131020465614848',b'Ravindra Chaudhary',b'RKChaudharyBJP',b'Mathura',"b'A Proud Indian, Engineer, Reader, Hindu Nationalist, Hate Seculars, & Finally I m a Bhakt.'",b'194',b'354',b'0',b'545',b'9018',b'False',b'False',b'True',b'False',b'2012-11-11 15:00:44'
b'A Radical Islamic Terrorist like Mohammed Shahrukh is safe coz he has got a gun\\n#DelhiBurning #DelhiRiots https://t.co/XPKmRK57eq',b'1232131005806522370',b'Anoop Chathoth',b'AnoopChathoth',b'Bangalore | Kannur | Wayanad',b'Technology | Internet | News | Music | Movie | Sarcasm | Photography | Now a 280 character blogger | After 10 years on Twitter now back in a new profile',b'46',b'19',b'0',b'5543',b'17',b'False',b'False',b'True',b'False',b'2019-03-11 23:01:18'
b'@realDonaldTrump #DelhiBurning https://t.co/eaEITMTCd1',b'1232131004447576070',b'KashmirStillUnderCurfew',b'Nazreen68',b'',b'@FalconsPakistan',b'631',b'924',b'0',b'68197',b'56526',b'False',b'False',b'True',b'False',b'2018-10-11 18:08:45'
"b'One thing is clear, people need very little incitement to come out on the streets, what makes it worst in Delhi is\\u2026 https://t.co/j9PSNFV6a3'",b'1232131000303575040',b'Sumeer Sodhi',b'sumeersodhi',b'New Delhi',"b""Advocate-on-Record (supreme court of india), Environmentalist, Vegetarian, Aryaveer's father.""",b'424',b'475',b'4',b'1659',b'2003',b'False',b'False',b'False',b'False',b'2011-06-15 13:21:08'
b'\\u0936\\u093e\\u0939\\u0940\\u0928 \\u092c\\u093e\\u0917 \\u092e\\u0947\\u0902 \\u0907\\u0928 \\u0938\\u0941\\u0905\\u0930\\u094b\\u0902 \\u0915\\u094b \\u0938\\u093f\\u0915\\u094d\\u0916\\u094b\\u0902 \\u0928\\u0947 \\u0916\\u093e\\u0928\\u093e \\u0916\\u093f\\u0932\\u093e\\u092f\\u093e \\u0932\\u0902\\u0917\\u0930 \\u0932\\u0917\\u093e\\u0915\\u0930\\u0964 \\u0906\\u091c \\u091c\\u093e\\u092b\\u0930\\u093e\\u092c\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u092f\\u0947 \\u0938\\u0941\\u0905\\u0930 \\u0938\\u093f\\u0915\\u094d\\u0916\\u094b\\u0902 \\u092a\\u0930 \\u0939\\u092e\\u0932\\u093e \\u0915\\u0930 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902 \\u0914\\u0930\\u2026 https://t.co/LhDnzyigrQ',b'1232130997908430848',b'Ravindra Fauzdar BJP',b'RSFFBD',b'Faridabad',"b'\\u0935\\u0928\\u094d\\u0926\\u0947 \\u092e\\u093e\\u0924\\u0930\\u092e\\u094d \\u0938\\u0941\\u091c\\u0932\\u093e\\u0902 \\u0938\\u0941\\u092b\\u0932\\u093e\\u0902 \\u092e\\u0932\\u092f\\u091c\\u0936\\u0940\\u0924\\u0932\\u093e\\u092e\\u094d \\u0936\\u0938\\u094d\\u092f \\u0936\\u094d\\u092f\\u093e\\u092e\\u0932\\u093e\\u0902 \\u092e\\u093e\\u0924\\u0930\\u0902 . \\u0936\\u0941\\u092d\\u094d\\u0930 \\u091c\\u094d\\u092f\\u094b\\u0924\\u094d\\u0938\\u094d\\u0928 \\u092a\\u0941\\u0932\\u0915\\u093f\\u0924 \\u092f\\u093e\\u092e\\u093f\\u0928\\u0940\\u092e \\u092b\\u0941\\u0932\\u094d\\u0932 \\u0915\\u0941\\u0938\\u0941\\u092e\\u093f\\u0924 \\u0926\\u094d\\u0930\\u0941\\u092e\\u0926\\u0932\\u0936\\u094b\\u092d\\u093f\\u0928\\u0940\\u092e\\u094d, \\u0938\\u0941\\u0939\\u093e\\u0938\\u093f\\u0928\\u0940\\u0902 \\u0938\\u0941\\u092e\\u0927\\u0941\\u0930 \\u092d\\u093e\\u0937\\u093f\\u0923\\u0940\\u092e\\u094d . \\u0938\\u0941\\u0916\\u0926\\u093e\\u0902 \\u0935\\u0930'",b'33585',b'11108',b'10',b'30370',b'204473',b'False',b'False',b'False',b'False',b'2017-08-01 02:01:51'
"b'This is not any ordinary mob violence,We need to understand this process!It is called as Jihad in their words. It w\\u2026 https://t.co/LAlnJncXLi'",b'1232130983492751361',b'Avilash Panda',b'PandaAvilash',"b'Bhubaneshwar, India'",b'State Org Secy @abvpodisha ||Ex National Secretary @ABVPVoice\\n || Ex Gen. Secy Ravenshaw University || Proud Hindu || Nationalist ||Tweets are personal Views',b'1488',b'145',b'3',b'1288',b'1960',b'False',b'False',b'True',b'False',b'2016-03-18 15:48:24'
"b'\\u0938\\u0940\\u0930\\u093f\\u092f\\u093e, \\u0915\\u0936\\u092e\\u0940\\u0930, \\u092b\\u093f\\u0932\\u093f\\u0938\\u094d\\u0924\\u0940\\u0928, \\u091c\\u093e\\u0928\\u0947 \\u0915\\u0939\\u093e \\u0915\\u0939\\u093e \\u0915\\u094d\\u092f\\u093e \\u0915\\u094d\\u092f\\u093e \\u0939\\u094b \\u0930\\u0939\\u093e \\u0925\\u093e \\u0939\\u092e \\u0916\\u093c\\u093e\\u092e\\u094b\\u0936 \\u0925\\u0947 \\u0936\\u093e\\u092f\\u0926 \\u0905\\u092a\\u0928\\u0940 \\u092c\\u093e\\u0930\\u0940 \\u0915\\u093e \\u0907\\u0902\\u0924\\u091c\\u093c\\u093e\\u0930 \\u0915\\u0930 \\u0930\\u0939\\u0947 \\u0925\\u0947\\n\\u092f\\u093e \\u0936\\u093e\\u092f\\u0926\\u2026 https://t.co/HwEgMKlCJ8'",b'1232130982741860354',b'Shadab Alam',b'shadabalam712',b'Mumbai India',b'Law student and Joined Political Party Of All India Majlis-e- Ittehadul Muslimeen',b'159',b'29',b'0',b'5593',b'9211',b'False',b'False',b'True',b'False',b'2014-09-01 18:37:14'
b'The RSS is known for creating planned riots since it formation. Delhi has become the latest victim of RSS poison.\\u2026 https://t.co/DU7mtejSGk',b'1232130974546186240',b'ASHFAQ_ANSHU',b'AAnshu58',b'',b'\\U0001f170\\ufe0f.Good lawyer knows the LAW-.A Great lawyer knows the JUDGE.\\u2665\\ufe0f [When injustice becomes the law. Be on the side of justice ]',b'7',b'38',b'0',b'45',b'154',b'False',b'False',b'True',b'False',b'2019-12-11 07:11:26'
