b'@PDChina LABOUR (Marx-Greens: 33.33%): POLICE PIGS (JESUS 33.33 B.C.): WOMEN (MARY:EGGS:JESUS)!\\n1: AMERICAN $: 2: A\\u2026 https://t.co/pQ55cRZqsK',b'1232136235734458369',b'Paul V. Cassidy',b'PaulVCassidy3',b'',b'',b'24',b'54',b'1',b'4972',b'6800',b'False',b'True',b'True',b'False',b'2019-03-19 19:34:09'
"b""@IlhanMN You are the one trigger by anyone or anything that isn't:\\n\\nHijabi \\nMuslim \\nBlack\\nForeign born\\nRefugee \\nSomali""",b'1232136234539134976',b'Mona Payne',b'MonaforTrump202',b'',"b""just a good old southern gal....married...grand daughters Trump2020. I'm not a bot. It's a new account because I offend the left and get suspended (4 times)""",b'28',b'145',b'0',b'370',b'680',b'False',b'False',b'True',b'False',b'2019-12-23 05:14:57'
b'Horrifying photo of a lone Muslim man being attacked by armed goons. Once again the international press goes where\\u2026 https://t.co/UixlzEHFh0',b'1232136232731389952',b'Meraj bhat',b'Meraj85231834',b'Mumbai india',"b""It's our humanity which makes us spiritual and our spirit which makes us human.""",b'14',b'292',b'0',b'459',b'547',b'False',b'False',b'True',b'False',b'2019-12-03 02:35:27'
"b'@Singhaniyaaaaa @AxiJ5 @kamalsharmaok @dilipkpandey @_aftabalamkhan @AamAadmiParty Aap bhi muslim lagte ho, fir bhi\\u2026 https://t.co/9KuiEwwWMZ'",b'1232136213022117888',b'Sanatani Balak.',b'pareekgirish78',b'',b'\\u0926\\u094d\\u0935\\u0928\\u094d\\u0926\\u094d\\u0935 \\u0915\\u0939\\u093e\\u0902 \\u0924\\u0915 \\u092a\\u093e\\u0932\\u093e \\u091c\\u093e\\u092f\\u0947 \\n\\u092f\\u0941\\u0926\\u094d\\u0927 \\u0915\\u0939\\u093e\\u0902 \\u0924\\u0915 \\u091f\\u093e\\u0932\\u093e \\u091c\\u093e\\u092f\\u0947 \\n\\u0924\\u0941 \\u0935\\u0936\\u0902\\u091c \\u0939\\u0948 \\u092e\\u0939\\u093e\\u0930\\u093e\\u0923\\u093e \\u0915\\u093e\\n\\u092b\\u0947\\u0902\\u0915 \\u091c\\u0939\\u093e\\u0902 \\u0924\\u0915 \\u092d\\u093e\\u0932\\u093e \\u091c\\u093e\\u092f\\u0947',b'83',b'896',b'0',b'8195',b'27467',b'False',b'False',b'True',b'False',b'2012-08-22 22:41:50'
"b'WTF @BernieSanders lost any worldwide respect after he caved to Hillary Clinton, that is not a Commander in chief b\\u2026 https://t.co/O5Uv0QXRPR'",b'1232136211101364229',b'thecloudwizard',b'thecloudwizard',b'United States',"b'Eccentric Granny, artist and Lego enthusiast'",b'368',b'260',b'0',b'6359',b'60916',b'False',b'False',b'True',b'False',b'2018-06-10 14:21:06'
b'@sandymridul Then go and STOP these Divine Muslims from disturbing country with fake drama. Showing their frustrati\\u2026 https://t.co/KAM2RyCW43',b'1232136207124971520',b'Archana SS',b'NeeraliNirmal',b'',b'Creator & Creation',b'20',b'93',b'0',b'604',b'1314',b'False',b'False',b'True',b'False',b'2013-08-17 09:12:20'
"b'@SelissenWill @lisag827 @keitel44903094 @GlenWoodfin @IlhanMN And listen, EVERYONE in the M.E. needs a brain. I lik\\u2026 https://t.co/QiPvDU6xcl'",b'1232136190335344641',b'Stephen Strange',b'stryker1999',b'',"b'30-plus (plus) yr old, home musician, recording engineer, writer, artist, philosopher, theologian, hopefully voice over artist soon'",b'161',b'46',b'6',b'6116',b'23359',b'False',b'False',b'False',b'False',b'2010-07-05 20:31:37'
b'@collegemenfess ilmu ekonomi dan keuangan islam. membuka pikiran kita kalo seandainya ekonomi islam diterapin di in\\u2026 https://t.co/ExJvWNS2Wu',b'1232136164192112640',b'siapa?',b'auahmagerr',b'',b'',b'2212',b'2194',b'1',b'11014',b'1765',b'False',b'False',b'True',b'False',b'2016-05-26 08:22:27'
b'Christians stand with our Muslim neighbors! Sign this @FaithfulAmerica petition with me calling on Congress to pass\\u2026 https://t.co/43W92tmNec',b'1232136155212189696',b'James Harriman Jr',b'JamesHarrimanJr',"b'Sheboygan Falls, WI'","b'RETIRED staff psychologist Sheboygan Cty HSD, guitarist, singer, golfer, gardener.  and fighter for Social Justice'",b'30',b'28',b'0',b'1618',b'1217',b'False',b'False',b'True',b'False',b'2013-10-09 02:12:36'
"b'Ya Allah ampunilah ksalahan,kebodohan &amp; keterlaluanku dlm sgala urusan. Ampuni pula sgl dosa yg Engkau lbh mngetahui drpd aku. (HR.Muslim)'",b'1232136149201649664',b'Ardika Darwis',b'ardikadarwis',"b'Makassar, Indonesia'","b'Sejatinya tulisan ini untuk menasehati diriku sendiri, bukan untuk menggurui siapapun-'",b'5596',b'19',b'4',b'141028',b'1',b'False',b'False',b'False',b'False',b'2012-01-23 15:23:08'
b'@TanveerAnas @meetKool @The_RealBan @hebbarsuraj @wokebhakt @samirsaran @bainjal @ReallySwara Which is that context\\u2026 https://t.co/BmMqBcAVg3',b'1232136144839557120',b'Sharat Gowda',b'sharat15',"b'Indiana, USA'","b'Spirit of Sport, Gamer. Badminton lover, Software developer!'",b'38',b'162',b'0',b'307',b'38',b'False',b'False',b'False',b'False',b'2010-09-10 17:12:10'
b'@scottbix Not funny that a Muslim girl got shot imo',b'1232136137126416385',b'White Paddock',b'Never_Harassed',b'',"b'CIA handler, group DM division'",b'365',b'262',b'2',b'1526',b'9316',b'False',b'False',b'True',b'False',b'2020-01-16 04:49:35'
"b'@Si_lv_er @fgautier26 Kerala govt pays two lakh mullahs to teach koran to muslim kids,  that is illegal as per cons\\u2026 https://t.co/BH05saBGkz'",b'1232136125730312194',b'Krishna N',b'Krishna59503528',b'',b'politician',b'4',b'333',b'0',b'730',b'917',b'False',b'False',b'True',b'False',b'2020-01-05 08:54:32'
b'Muslim mukt bharat sun lo muslim bag ready rakho pakistan jao ek ek muslim ko ghar se nikal denge yaad rakhna bahau\\u2026 https://t.co/NtWdR6JFMb',b'1232136106801541121',b'Manan Dalal',b'manan_dalal_46',b'',b'Casting DirectorBollywood Film Industry\\nYuva Janta Party (Politician)',b'23',b'32',b'0',b'1190',b'1',b'False',b'False',b'True',b'False',b'2018-09-11 12:49:37'
b'@Kritika_Kamra @ChakraNews The bill is passed in the parliament. The elected representatives in parliament had got\\u2026 https://t.co/tUmpySAbwI',b'1232136101604687873',b'Virus \\U0001f1ee\\U0001f1f3',b'spotanish',"b'\\u092e\\u0941\\u0902\\u092c\\u0908, \\u092d\\u093e\\u0930\\u0924'",b'Lazy bone',b'40',b'149',b'3',b'7056',b'16656',b'False',b'False',b'True',b'False',b'2013-09-14 03:28:23'
