"b'\\u0926\\u0902\\u0917\\u0932\\u0940 \\u0918\\u0921\\u0935\\u0923\\u093e\\u0930\\u0947 \\u0928\\u0947\\u0924\\u0947,\\u091a\\u093f\\u0925\\u093e\\u0935\\u0923\\u0940\\u0916\\u094b\\u0930 \\u092d\\u093e\\u0937\\u0923\\u0947 \\u0926\\u0947\\u0923\\u093e\\u0930\\u0947 \\u0928\\u0947\\u0924\\u0947 \\u092a\\u0923 \\u092e\\u093e\\u0930\\u0923\\u093e\\u0930 \\u092e\\u093e\\u0924\\u094d\\u0930 \\u092a\\u094b\\u0932\\u093f\\u0938\\u0935\\u093e\\u0932\\u0947,\\u0936\\u093f\\u0935\\u094d\\u092f\\u093e \\u0916\\u093e\\u0923\\u093e\\u0930\\u0947 \\u092a\\u094b\\u0932\\u093f\\u0938\\u0935\\u093e\\u0932\\u0947 \\u0935\\u093e\\u0939!\\u2026 https://t.co/IcZpDEsImd'",b'1232144461263564800',b'\\U0001d400\\U0001d41b\\U0001d421\\U0001d422\\U0001d42c\\U0001d421\\U0001d41e\\U0001d424 \\U0001d407\\U0001d428\\U0001d425\\U0001d426\\U0001d42e\\U0001d424\\U0001d421\\U0001d41e',b'AbhiHolmukhe',b'\\u092a\\u0941\\u0923\\u094d\\u092f\\u093e\\u0924',b'Video Editor Photographer Writer Graphic Designer Music Lover',b'37',b'361',b'0',b'812',b'5253',b'False',b'False',b'False',b'False',b'2011-11-29 10:24:21'
b'@anjanaomkashyap Agar news channels ne roz Hindu Muslim mandir masjid ka propaganda chalake logo ke andar ye zeher\\u2026 https://t.co/Cqk4OdtOfR',b'1232144441084764160',b'Abudujana',b'Abuduja57720875',b'',b'reading books news playing sports social workes',b'10',b'171',b'0',b'501',b'1115',b'False',b'False',b'True',b'False',b'2020-01-18 11:35:25'
"b'@CPDelhi \\u0926\\u0947\\u0916 \\u0932\\u094b \\u0938\\u0930, \\u0906\\u092a\\u0915\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0936 \\u0917\\u0941\\u0902\\u0921\\u093e \\u092c\\u0928 \\u091a\\u0941\\u0915\\u0940 \\u0939\\u0948\\u0964\\n\\u0938\\u0947\\u0902\\u091f\\u094d\\u0930\\u0932 @DelhiPolice \\u0916\\u0941\\u0926 \\u0905\\u092a\\u0928\\u0947 \\u0926\\u0947\\u0936\\u0935\\u093e\\u0936\\u093f\\u092f\\u094b \\u0915\\u0947 \\u0938\\u093e\\u0925 \\u0915\\u0948\\u0938\\u093e \\u092c\\u0930\\u094d\\u0924\\u093e\\u0935 \\u0915\\u0930 \\u0930\\u0939\\u0940\\u2026 https://t.co/7Wb2KaQgEo'",b'1232144437096177665',b'RAJAN_\\U0001f1ee\\U0001f1f3',b'rajan_ind',"b'Patna, India'",b'Proud to be an #Indian\\U0001f1ee\\U0001f1f3\\nIndian Secular-Socialist.\\n#Social-Activist.\\nWe the People of India\\U0001f1ee\\U0001f1f3 \\U0001f64f',b'143',b'390',b'0',b'1142',b'23380',b'False',b'False',b'True',b'False',b'2016-03-08 01:59:27'
b'\\u0926\\u0947\\u0916\\u093f\\u090f \\u0915\\u092a\\u093f\\u0932 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e \\u091c\\u0948\\u0938\\u0947 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u0940 \\u0939\\u093f\\u092e\\u094d\\u092e\\u0924 ! \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0947 \\u0938\\u093e\\u092e\\u0928\\u0947 \\u0927\\u092e\\u0915\\u0940 \\u0926\\u0947 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902 ! \\u0915\\u094d\\u092f\\u093e \\u0907\\u0938\\u0915\\u0947 \\u0916\\u093f\\u0932\\u093e\\u092b\\u093c \\u0915\\u0921\\u093c\\u0940 \\u0915\\u093e\\u0930\\u094d\\u092f\\u0935\\u093e\\u0939\\u0940 \\u0928\\u093e \\u0915\\u0930\\u0928\\u093e\\u2026 https://t.co/3utgaixKP7',b'1232144405500485633',b'Bilal Ali Khan',b'bilalalikhn',b'',"b'Fulfill the Trust for the one who Entrusted you, And do not Cheat who Created you.\\n#KnowMuhammad'",b'8',b'15',b'0',b'61',b'7',b'False',b'False',b'True',b'False',b'2019-11-10 11:59:06'
"b'\\u0915\\u092a\\u093f\\u0932 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e \\u0926\\u0902\\u0917\\u093e \\u092b\\u0948\\u0932\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948, \\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932 \\u091a\\u0941\\u092a \\u0939\\u0948\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0906\\u092a\\u0915\\u0947 \\u092a\\u093e\\u0938 \\u0928\\u0939\\u0940\\u0902, \\u0920\\u0940\\u0915 \\u0939\\u0948\\n\\u092a\\u0930 \\u092e\\u0941\\u0902\\u0939 \\u092e\\u0947 \\u091c\\u092c\\u093e\\u0928 \\u0924\\u094b \\u0906\\u092a\\u0915\\u0947 \\u092a\\u093e\\u0938 \\u0939\\u0948?\\u2026 https://t.co/tHlsTUdloe'",b'1232144404393218048',b'Nirala Chandan',b'NiralaChandan1',"b'New Delhi, India'","b'|Digital Campaign Coordinator @IYC| An MBA| Devotee of Lord Krishna| Entrepreneur by Profession, Politician by Hobby| @INCIndia |Yadav|Bihari|'",b'1508',b'1929',b'0',b'6675',b'5653',b'False',b'False',b'True',b'False',b'2018-10-30 17:17:28'
"b'Free water, free bus for women , free electricity bill  \\nhow was it ?\\n #Bhajanpura #DelhiBurning\\n #DelhiPolice\\u2026 https://t.co/SXFufhW4kg'",b'1232144368355536897',"b'\\u0905shwin , \\u0623\\u0634\\u0648\\u064a\\u0646'",b'ashwinpanchari1',"b'Yadgir, India'",b'\\u092f\\u0939\\u093e\\u0901 \\u0924\\u0915 \\u0906 \\u0939\\u0940 \\u0917\\u090f \\u0939\\u094b \\u0924\\u094b FOLLOWING \\u0915\\u093e \\u092c\\u091f\\u0928 \\u0926\\u092c\\u093e \\u0939\\u0940 \\u0926\\u094b\\u0965',b'356',b'787',b'0',b'1442',b'1829',b'False',b'False',b'True',b'False',b'2015-05-10 18:29:37'
b'#ISupportKapilMishra \\n#IsupportCAA \\n#Radical_Islamic_Terrorism \\n#IslamicTerrorism \\n#DelhiViolence \\n#DelhiBurning\\u2026 https://t.co/raM64skr6i',b'1232144363314012160',b'Rupesh Kataria \\U0001f1ee\\U0001f1f3',b'RupeshKatariaRK',b'India',"b'Ordinary, tax paying citizen of India || Fitness Enthusiast || Investor || Businessman || Strongly believe in \\u092e\\u094b\\u0926\\u0940_\\u0939\\u0948_\\u0924\\u094b_\\u092e\\u0941\\u092e\\u0915\\u093f\\u0928 \\u0939\\u0948 || RTs are not endorsements'",b'50',b'145',b'0',b'1518',b'2401',b'False',b'False',b'True',b'False',b'2015-08-16 07:24:52'
b'https://t.co/BH6gO3O95J #DelhiPolice',b'1232144336487215105',b'Sam',b'sam96330704',b'',b'',b'29',b'30',b'0',b'2052',b'2289',b'False',b'False',b'True',b'False',b'2019-11-01 14:12:03'
"b'Delhi Traffic: \\u0918\\u0930 \\u0938\\u0947 \\u092c\\u093e\\u0939\\u0930 \\u0928\\u093f\\u0915\\u0932 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902, \\u0924\\u094b \\u091c\\u0930\\u0942\\u0930 \\u092a\\u0922\\u0947\\u0902 \\u092f\\u0947 \\u0916\\u092c\\u0930, \\u0907\\u0928 \\u0907\\u0932\\u093e\\u0915\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0932\\u0917 \\u0938\\u0915\\u0924\\u093e \\u0939\\u0948 \\u092d\\u093e\\u0930\\u0940 \\u091c\\u093e\\u092e\\n#newsstate #delhincr\\u2026 https://t.co/jssvvkhXvq'",b'1232144294829416449',b'News State',b'NewsStateHindi',"b'Noida, India'","b'News State covers breaking news on politics, world, business, sports and cinema. Follow us for the latest updates! Download our App :- https://t.co/pQ7UUHoM5K'",b'29334',b'145',b'87',b'104851',b'138',b'True',b'False',b'False',b'False',b'2016-02-25 05:39:16'
b'\\u091c\\u092c \\u0938\\u092c #\\u0917\\u0943\\u0939\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u0915\\u0940 \\u092f\\u093e \\u092e\\u094b\\u0926\\u0940 \\u0915\\u0940 #\\u091c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930\\u0940 \\u0939\\u0948 \\u0924\\u094b \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940  \\u092e\\u0947\\u0902 \\u092e\\u0941\\u0916\\u094d\\u092f\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u0915\\u0940 \\u091c\\u0930\\u0942\\u0930\\u0924 \\u0915\\u094d\\u092f\\u093e \\u0939\\u0948?\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u094b #\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u092a\\u0924\\u093f \\u0936\\u093e\\u0938\\u2026 https://t.co/ZJ4BpK42jB',b'1232144285077733377',b'ANKIT YADAV',b'Ankitarmy82',b'',b'',b'14',b'110',b'0',b'334',b'11',b'False',b'False',b'True',b'False',b'2015-05-20 09:33:33'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u092c\\u094d\\u0930\\u0939\\u094d\\u092e\\u092a\\u0941\\u0930\\u0940 \\u0907\\u0932\\u093e\\u0915\\u0947 \\u092e\\u0947\\u0902 \\u0906\\u091c \\u0938\\u0941\\u092c\\u0939 \\u0926\\u094b \\u0917\\u0941\\u091f\\u094b\\u0902 \\u0915\\u0947 \\u092c\\u0940\\u091a \\u092a\\u0924\\u094d\\u0925\\u0930\\u092c\\u093e\\u091c\\u0940 \\u0939\\u0941\\u0908\\u0964\\n#DelhiBurning #DelhiPolice #DelhiRiots https://t.co/Y8Tm4Tv809',b'1232144254090145792',b'Ritam | \\u090b\\u0924\\u092e\\u094d',b'TheRitamApp',b'Delhi',b'Ritam App - Thoughts At Your Threshold | Available on Android and iOS | Stay Informed | Download App -bit.ly/TheRitamApp',b'6655',b'107',b'18',b'8153',b'164',b'False',b'False',b'False',b'False',b'2018-11-19 11:39:49'
b'@ArvindKejriwal #ArvindKejriwal #DelhiBurning #DelhiPolice #CAAProtest https://t.co/gRZSiOfxC6',b'1232144239695253504',b'ihidayath',b'ihidayath',b'Kollam',b'',b'46',b'74',b'3',b'12008',b'1081',b'False',b'False',b'False',b'False',b'2009-09-13 09:29:50'
