"b'\\u0939\\u093f\\u0902\\u0938\\u093e \\u092e\\u0947\\u0902 \\u0939\\u0947\\u0921 \\u0915\\u0949\\u0928\\u094d\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 \\u0938\\u092e\\u0947\\u0924 \\u0924\\u0940\\u0928 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u0940 \\u092e\\u094c\\u0924,  \\u0915\\u0908 \\u092a\\u0941\\u0932\\u093f\\u0938\\u0915\\u0930\\u094d\\u092e\\u0940 \\u0914\\u0930 \\u092a\\u094d\\u0930\\u0926\\u0930\\u094d\\u0936\\u0928\\u0915\\u093e\\u0930\\u0940 \\u0917\\u0902\\u092d\\u0940\\u0930 \\u0930\\u0942\\u092a \\u0938\\u0947 \\u0918\\u093e\\u092f\\u0932, \\u0915\\u0908 \\u0907\\u0932\\u093e\\u0915\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u092d\\u093e\\u2026 https://t.co/VCe1kL8AdS'",b'1231980550736556033',b'Zara khan (10k)',b'ZaraKhan337',b'',"b'social activists, Muslim activist, The voice of oppressed and helpless people, no DM\\u2026'",b'10126',b'251',b'2',b'5071',b'5618',b'False',b'False',b'True',b'False',b'2019-11-26 06:14:34'
"b'In photos: CAA supporters attack Muslims at Delhi protest, hurl stones and petrol bombs  https://t.co/VsTsaYKsBq via @scroll_in'",b'1231980544738701312',b'mohammad ejaz',b'ejaztalib',b'',b'',b'43',b'209',b'0',b'1391',b'1638',b'False',b'False',b'True',b'False',b'2010-02-27 07:32:38'
"b'In photos: CAA supporters attack Muslims at Delhi protest, hurl stones and petrol bombs  https://t.co/vcIYXbJpbH vi\\u2026 https://t.co/vjm5bvUYdZ'",b'1231980515873480704',b'Kaveri \\U0001f1ee\\U0001f1f3',b'ikaveri',b'Here and There',b'Twitter is where I come to hide. In full public view.',b'58681',b'2705',b'771',b'372950',b'21974',b'False',b'False',b'False',b'False',b'2009-06-27 20:51:46'
"b'they call them ""Pro CAA protestors"" so they can conveniently come up with headlines like ""CAA related protests turn\\u2026 https://t.co/HVKdf5VOSL'",b'1231980463046172673',b'Divya \\U0001f338\\U0001f62d',b'BigCringeEnergy',"b'Pune, India'",b'She/Her\\n\\U0001f578\\U0001f3f3\\ufe0f\\ufe0f\\u2660\\U0001f49c\\nUnconditional solidarity.',b'883',b'90',b'0',b'1809',b'33441',b'False',b'False',b'True',b'False',b'2019-06-13 04:15:12'
"b""@SushmaAnand89 @_sabanaqvi @SunTV news reported that this was a pro CAA person. What's the truth? @sumanthraman""",b'1231980447195787264',b'Aravind Shankar',b'ashankarx',"b'Chennai, Tamil Nadu, India'","b'Proud Indian, Happy that Twitter increased the number of characters in a tweet. I suck at short hand.'",b'15',b'21',b'1',b'553',b'269',b'False',b'False',b'False',b'False',b'2010-01-20 07:45:48'
"b'#CAA supporters attack Muslims at Delhi protest, hurl stones &amp; petrol bombs\\nThe #DelhiPolice tried to quell the pro\\u2026 https://t.co/c8XbcNMYtW'",b'1231980360516259840',b'Dr Jwala Gurunath',b'DrJwalaG',b'Earth ',"b'Doctor (ICU+Anesthesia), Insomniac, Dancer & Painter .Views are Personal.\\n#RIP dad .Stay real stay loyal or stay away from me .'",b'32139',b'817',b'184',b'44061',b'65258',b'False',b'False',b'True',b'False',b'2014-09-22 14:43:50'
b'Have you ever heard of employee protesting for bonuses??? Logically never right.\\n\\nWhile you may see employee protes\\u2026 https://t.co/yysNtRCPN7',b'1231980355604758528',b'Anti Butthurt Jaahil Pogromist',b'ParallellyD',b'',b'Standing up for TRUTH is true bravery!!',b'71',b'205',b'0',b'5665',b'4149',b'False',b'False',b'True',b'False',b'2019-09-30 11:09:19'
"b'Dear senior journalists, \\n\\nCAA is already an act. \\n\\nThere can be no such thing as \\u2018Pro CAA protestors\\u2019. \\n\\nThose who\\u2026 https://t.co/hsQqzh3Iz6'",b'1231980225174659072',b'Pankaj Raina',b'Raination1',"b'New Delhi, India'",b'Raination',b'42',b'92',b'0',b'298',b'2841',b'False',b'False',b'True',b'False',b'2016-11-23 16:22:46'
"b'@sardesairajdeep Please correct Pro CAA to Muslim hater, and be real.'",b'1231980225153654785',b'Saira Bano \\u0938\\u093e\\u092f\\u0930\\u093e \\u092c\\u093e\\u0928\\u094b \\u0633\\u0627\\u0626\\u0631\\u06c1 \\u0628\\u0627\\u0646\\u0648',b'iamsairabano',b'India',"b'Let\\u2019s Be the Indian Firstly and Lastly !! From the land of Gandhi, Bose , Patel ,Bhagat Singh & Ashfaqulla Khan!!!'",b'345',b'1444',b'1',b'10990',b'7767',b'False',b'False',b'True',b'False',b'2011-02-14 03:52:57'
"b""@BDUTT Please don't legitimize killing by labeling it as pro and anti CAA protesters clash.""",b'1231980175476215808',b'Constable \\u0935\\u093f\\u0926\\u094d\\u0930\\u094b\\u0939\\u0940\\u0964 \\u0928\\u092e\\u0903 \\u0936\\u093f\\u0935\\u093e\\u092f\\u0964',b'Sanjay_wa',b'India',b'Islamic terrorism will end. Once they start loving their children more than they hate us!\\nFlwd by @PiyushGoyalOffc & @ravibhadoria Blkd by @AudreyTruschke',b'423',b'414',b'22',b'26167',b'47503',b'False',b'False',b'True',b'False',b'2014-05-18 06:41:54'
