b'#DelhiPolice',b'1232171930024738816',b'Ganesamurthy',b'ganeshmurthy19',b'chennai',b'BUSINESS',b'6',b'90',b'0',b'99',b'1493',b'False',b'False',b'False',b'False',b'2013-01-29 10:12:23'
b'@SwetaSinghAT #IslamicJihad #Radical_Islamic_Terrorism \\nHai ye. #DelhiPolice  inko chun chun ke thoko salon ko. #ShahrukhMuslimTerrorist',b'1232171929391583234',b'Vishal Jat',b'vishjat_jh',b'India',b'\\u091c\\u092f \\u0939\\u093f\\u0928\\u094d\\u0926 \\U0001f6a9 \\u092d\\u093e\\u0930\\u0924 \\u092e\\u093e\\u0924\\u093e \\u0915\\u0940 \\u091c\\u092f \\U0001f1ee\\U0001f1f3',b'18',b'17',b'0',b'959',b'568',b'False',b'False',b'True',b'False',b'2015-01-21 04:33:22'
b'@aajtak @Ramkinkarsingh LG \\u0915\\u094b \\u092b\\u093e\\u092f\\u0930 \\u092c\\u093f\\u0917\\u094d\\u0930\\u0947\\u0921 \\u0938\\u092e\\u091d \\u0930\\u0916\\u093e \\u0939\\u0948 \\u091c\\u094b \\u0906\\u0917 \\u092c\\u0941\\u091d\\u093e\\u090f\\u0917\\u0947\\u0964 \\u092f\\u0947 \\u0939\\u0948 AAP \\u0915\\u093e \\u0935\\u093f\\u0915\\u093e\\u0938 \\u092e\\u0949\\u0921\\u0932\\u0964\\n#DelhiBurning\\u2026 https://t.co/X155Ykdt4Z',b'1232171912312315904',b'Sundeep Singh Katiyar',b'SundeepSinghKa2',b'',b'',b'2',b'119',b'0',b'195',b'82',b'False',b'False',b'True',b'False',b'2020-01-11 18:40:15'
"b'\\u092e\\u0930\\u0947 \\u0939\\u0941\\u090f \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u094b \\u092e\\u093e\\u0930\\u093e \\u091c\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948 \\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0917\\u093e\\u0928 \\u0914\\u0930 \\u0935\\u0902\\u0926\\u0947 \\u092e\\u093e\\u0924\\u0930\\u092e \\u0917\\u093e\\u0928\\u0947 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0939 \\u0930\\u0939\\u0940 \\u0939\\u0948,\\u092f\\u0947 \\u0938\\u092c \\u092a\\u0941\\u0932\\u093f\\u0938 \\u092d\\u0917\\u0935\\u093e \\u0917\\u0941\\u0902\\u0921\\u094b\\u0902\\u2026 https://t.co/60qFo6Tkca'",b'1232171905873932288',b'Zakir Ali Tyagi',b'ZakirAliTyagi',"b'New Delhi, India'","b'Journalist,Social Worker,Motivational Speaker and Social Activist,Writer.Fact finder,ground reporter.thank you twitter.'",b'10428',b'337',b'2',b'6009',b'61048',b'False',b'False',b'True',b'False',b'2017-01-25 02:54:42'
b'\\u092f\\u0947 \\u0939\\u0948 \\u0905\\u0938\\u0932\\u0940 \\u091a\\u0947\\u0939\\u0930\\u093e \\u0907\\u0928 \\u092c\\u0941\\u0930\\u094d\\u0915\\u093e \\u092a\\u0939\\u0928\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0940 \\u0914\\u0930\\u0924\\u094b \\u0915\\u093e \\u091c\\u094b \\u0915\\u092a\\u0921\\u093c\\u0947\\u0902 \\u0915\\u0940 \\u0906\\u0921\\u093c \\u092e\\u0947\\u0902 \\u091b\\u0941\\u092a\\u093e\\u092f\\u0947 \\u0930\\u0939\\u0924\\u0940 \\u0939\\u0948! \\u0907\\u0928\\u0938\\u0947 \\u0936\\u093e\\u0902\\u0924\\u093f \\u0915\\u0940 \\u0909\\u092e\\u094d\\u092e\\u0940\\u0926 \\u0932\\u0917\\u093e\\u0928\\u093e \\u092c\\u0947\\u0915\\u093e\\u0930\\u2026 https://t.co/SKI7sc7bNR',b'1232171898949103621',b'Ashi Kashyap \\u0926\\u093f\\u0932 \\u2764\\ufe0f \\u0938\\u0947 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928\\u0940 \\U0001f1ee\\U0001f1f3',b'ashishkr75',"b'Lucknow, India'","b'\\u0928\\u093e \\u0924\\u094b \\u0938\\u0930\\u0915\\u093e\\u0930 \\u092e\\u0947\\u0930\\u0940 \\u0939\\u0948, \\u0928\\u093e \\u0930\\u094c\\u092c \\u092e\\u0947\\u0930\\u093e \\u0939\\u0948, \\u0914\\u0930 \\u0928\\u093e \\u0939\\u0940 \\u092c\\u0921\\u093c\\u093e \\u0938\\u093e \\u0928\\u093e\\u092e \\u092e\\u0947\\u0930\\u093e \\u0939\\u0948 !\\n\\u092e\\u0941\\u091d\\u0947 \\u0924\\u094b \\u090f\\u0915 \\u091b\\u094b\\u091f\\u0940 \\u0938\\u0940 \\u092c\\u093e\\u0924 \\u0915\\u093e \\u0917\\u0930\\u094d\\u0935 \\u0939\\u0948\\u0902, \\u092e\\u0948\\u0902 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\U0001f1ee\\U0001f1f3 \\u0915\\u093e \\u0939\\u0942\\u0901 \\u0914\\u0930 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\U0001f1ee\\U0001f1f3 \\u092e\\u0947\\u0930\\u093e \\u0939\\u0948\\u0964'",b'214',b'477',b'1',b'527',b'284',b'False',b'False',b'False',b'False',b'2014-04-22 02:36:33'
b'This Picture Broke My Heart \\U0001f494. \\nThose who ruin this Happy Family should be punished.\\n.\\n.\\n@HMOIndia @AmitShah\\u2026 https://t.co/b9Dtzqh91r',b'1232171888979234816',b'Dr. Rahul Yadav',b'Rahul27yadav',"b'Jaipur, India'",b'\\u0928\\u092e\\u0938\\u094d\\u0924\\u0947 \\u0938\\u0926\\u093e \\u0935\\u0924\\u094d\\u0938\\u0932\\u0947 \\u092e\\u093e\\u0924\\u0943\\u092d\\u0942\\u092e\\u0947\\n\\u0924\\u094d\\u0935\\u092f\\u093e \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u092d\\u0942\\u092e\\u0947 \\u0938\\u0941\\u0916\\u0902 \\u0935\\u0930\\u094d\\u0927\\u093f\\u0924\\u094b\\u0939\\u092e\\u094d\\u0964\\U0001f549\\U0001f6a9\\nMBBS Student',b'42',b'267',b'0',b'512',b'3320',b'False',b'False',b'True',b'False',b'2018-10-08 18:25:54'
b'\\u0b26\\u0b3f\\u0b32\\u0b4d\\u0b32\\u0b40 \\u0b39\\u0b3f\\u0b02\\u0b38\\u0b3e\\u0b15\\u0b41 \\u0b28\\u0b47\\u0b07 \\u0b0f\\u0b2e\\u0b3f\\u0b24\\u0b3f \\u0b15\\u0b39\\u0b3f\\u0b32\\u0b47 \\u0b15\\u0b47\\u0b1c\\u0b4d\\u0b30\\u0b3f\\u0b71\\u0b3e\\u0b32\\n#CAAProtest \\n#DelhiViolence \\n#DelhiPolice \\nhttps://t.co/0biQ8HgN9A',b'1232171884780781568',b'ZEE Odisha',b'ZeeOdisha',b'Bhubneshwar',b'ZEE Odisha is 24x7 Odia news channel in Odisha which delivers update news bulletins and different current affairs programmes for its viewers.',b'51820',b'86',b'85',b'46577',b'4309',b'False',b'False',b'False',b'False',b'2013-11-21 16:23:59'
"b'@UmarFarookh9 @anjanaomkashyap \\u0930\\u093e\\u092e \\u091a\\u0902\\u0926\\u094d\\u0930 \\u0915\\u0939 \\u0917\\u090f \\u0938\\u093f\\u092f\\u093e \\u0938\\u0947 \\u0910\\u0938\\u093e \\u0915\\u0932\\u093f\\u092f\\u0941\\u0917 \\u0906\\u090f\\u0917\\u093e,\\n\\u0932\\u093e\\u0932 \\u0915\\u093c\\u092e\\u0940\\u091c\\u093c \\u0935\\u093e\\u0932\\u093e \\u0936\\u093e\\u0939\\u0930\\u0941\\u0916\\u093c \\u0936\\u0941\\u0915\\u094d\\u0932\\u093e \\u0927\\u093e\\u0901\\u092f \\u0938\\u0947 \\u0917\\u094b\\u0932\\u0940\\u2026 https://t.co/am1zBokfi5'",b'1232171880532062209',b'Jayesh Chhangani',b'JayeshPushkarna',b'\\u092a\\u094b\\u0915\\u0923',"b'report \\u0938\\u0947 \\u091c\\u093c\\u094d\\u092f\\u093e\\u0926\\u093e \\u0915\\u0941\\u091b \\u090a\\u0916\\u093e\\u0921\\u093c \\u0938\\u0915\\u0924\\u0947 \\u0928\\u0939\\u0940\\u0902 \\u0924\\u0941\\u092e \\u092e\\u0947\\u0930\\u093e, \\u0936\\u094c\\u0915\\u093c \\u0938\\u0947 \\u0915\\u0940\\u091c\\u093f\\u090f \\u0939\\u0915\\u093c \\u0939\\u0948 \\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u093e\\u0964\\U0001f1ee\\U0001f1f3'",b'12',b'89',b'0',b'230',b'279',b'False',b'False',b'True',b'False',b'2011-01-04 04:01:35'
"b'\\u092e\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0939\\u0947\\u0921 \\u0915\\u0949\\u0928\\u094d\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 \\u092d\\u0940 \\u0936\\u093e\\u092e\\u093f\\u0932, \\u0906\\u091c \\u0938\\u0941\\u092c\\u0939 \\u092d\\u0940 \\u092e\\u094c\\u091c\\u092a\\u0941\\u0930 \\u0914\\u0930 \\u092c\\u094d\\u0930\\u0939\\u094d\\u092e\\u092a\\u0941\\u0930\\u0940 \\u0907\\u0932\\u093e\\u0915\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u092a\\u0924\\u094d\\u0925\\u0930\\u092c\\u093e\\u091c\\u0940 \\u0915\\u0940 \\u0918\\u091f\\u0928\\u093e\\u090f\\u0902 \\u0939\\u0941\\u0908\\n\\u0932\\u0947\\u2026 https://t.co/yKUKmsvRKn'",b'1232171880355774464',b'Quint Hindi',b'QuintHindi',b'India',"b'\\u092e\\u0940\\u0921\\u093f\\u092f\\u093e \\u0938\\u0947 \\u0917\\u093e\\u092f\\u092c \\u092e\\u0941\\u0926\\u094d\\u0926\\u0947, \\u0916\\u092c\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u0917\\u093e\\u092f\\u092c \\u091c\\u093e\\u0928\\u0915\\u093e\\u0930\\u0940, \\u092c\\u093f\\u0928\\u093e \\u092e\\u0938\\u093e\\u0932\\u0947 \\u0915\\u093e \\u0924\\u0921\\u093c\\u0915\\u093e \\u0914\\u0930 \\u092a\\u0942\\u0930\\u0940 \\u091c\\u093f\\u092e\\u094d\\u200d\\u092e\\u0947\\u0926\\u093e\\u0930\\u0940, \\u092f\\u0939\\u093e\\u0902 \\u0906\\u092a\\u0915\\u094b \\u0938\\u092c \\u092e\\u093f\\u0932\\u0947\\u0917\\u093e.'",b'29112',b'26',b'134',b'74818',b'49',b'True',b'False',b'False',b'False',b'2015-06-26 07:54:47'
"b""Reality of @DelhiPolice, they're now openly acting like fascists, shame on them. \\nDelhi's cops are racist facist \\nI\\u2026 https://t.co/sU1E4p0sfg""",b'1232171775649169409',b'Ahbab Anwer\\U0001f1ee\\U0001f1f3\\u0627\\u062d\\u0628\\u0627\\u0628 \\u0627\\u0646\\u0648\\u0631',b'AhbabAnwer786',"b'Purnia,Bihar India'",b'\\u200f\\u200f\\u0627\\u0644\\u0641\\u0640\\u0640\\u0640\\u0640\\u0640\\u0640\\u0627\\u0638 \\u062a\\u0648 \\u0633\\u0628 \\u06c1\\u06cc \\u0633\\u0645\\u0640\\u0640\\u0640\\u0640\\u0640\\u0640\\u062c\\u06be \\u0644\\u06cc\\u062a\\u0640\\u0640\\u0640\\u0640\\u0640\\u0640\\u06d2 \\u06c1\\u06cc\\u06ba\\u06d4\\u06d4\\u06d4\\n\\n\\u0645\\u0640\\u0640\\u0640\\u0640\\u0640\\u0640\\u0632\\u06c1 \\u062a\\u0648 \\u062a\\u0628 \\u06c1\\u06d2 \\u06a9\\u06c1 \\u06a9\\u0648\\u0626\\u06cc \\u062e\\u0627\\u0645\\u0648\\u0634\\u0640\\u0640\\u0640\\u0640\\u0640\\u0640\\u06cc\\u0627\\u06ba \\u0628\\u06be\\u06cc \\u0633\\u0645\\u062c\\u06be\\u06d2 .\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3\\U0001f1f9\\U0001f1f7\\U0001f1f9\\U0001f1f7\\nIslamic scholar.',b'196',b'172',b'0',b'3503',b'19162',b'False',b'False',b'True',b'False',b'2019-06-23 02:06:50'
