"b'So sollten wir nicht &amp; d\\xfcrfen wir nicht miteinander umgehen... this so sad to See, this Pictures... my wish for the\\u2026 https://t.co/24mnjXolgm'",b'1232182841112481794',b'Absurde_Existenz',b'Wiesel_Flink',b'',b'',b'420',b'144',b'77',b'107980',b'0',b'False',b'False',b'False',b'False',b'2012-06-13 23:44:26'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0928\\u0947 \\u0907\\u0928 \\u0926\\u0902\\u0917\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0915\\u094d\\u092f\\u093e \\u0930\\u094b\\u0932 \\u0928\\u093f\\u0902\\u092d\\u092f\\u093e \\u0939\\u0948 \\u0909\\u0938\\u0915\\u093e \\u090f\\u0915 \\u0928\\u092e\\u0942\\u0928\\u093e \\u0926\\u0947\\u0916\\u093f\\u090f \\u0914\\u0930 \\u0938\\u094b\\u091a\\u093f\\u090f \\u0915\\u0940 \\u0935\\u0930\\u094d\\u0926\\u0940 \\u091c\\u092c \\u0928\\u093f\\u0937\\u094d\\u092a\\u0915\\u094d\\u0937 \\u0928\\u0939\\u0940\\u0902 \\u0930\\u0939\\u0924\\u0940 \\u0924\\u094b \\u0915\\u094d\\u092f\\u093e\\u2026 https://t.co/oIORDAEner',b'1232182840676290560',b'Syed Suhail | \\u200f\\u200e\\u200e\\u200e\\u0633\\u06cc\\u062f \\u0633\\u06c1\\u06cc\\u0644',b'imsyedsuhail',b'Delhi',"b'Journalist at NEWS18 INDIA | ITA,ENBA, Narad Samman Winner | Aadhi Haqeeqat Aadha Fasana | Views are personal, RTs not endorsement.'",b'1721',b'228',b'15',b'4141',b'385',b'False',b'False',b'False',b'False',b'2009-10-17 11:27:06'
b'#DelhiBurning because of #Muslims who #USING #CAA_NRC_Protests AS THEIR SHIELD TO COVER THE ATTACK N THROW OUT HIND\\u2026 https://t.co/QfwkH8CKhF',b'1232182829661876224',b'\\u0938\\u0941\\u0916 \\u091c\\u0940\\u0924',b'Jaspa37984406',b'Thailand',b'\\U0001f549\\U0001f1ee\\U0001f1f3\\u2638',b'191',b'414',b'0',b'1905',b'4598',b'False',b'False',b'True',b'False',b'2019-09-15 05:16:25'
"b'\\u092e\\u0947\\u0939\\u092e\\u093e\\u0928 \\u0915\\u094b \\u091a\\u0932\\u0947 \\u091c\\u093e\\u0928\\u0947 \\u0926\\u094b, \\u092b\\u093f\\u0930 \\u0936\\u093e\\u092f\\u0926 \\u092a\\u093f\\u0924\\u093e\\u091c\\u0940 \\u0905\\u091a\\u094d\\u091b\\u0947 \\u0938\\u0947 \\u0915\\u0941\\u091f\\u093e\\u0908 \\u0915\\u0930 \\u0926\\u0947\\u0964\\u0964\\n#DelhiBurning \\n@AmitShah @KapilMishra_IND @myogiadityanath'",b'1232182822816931841',b'Jagdamba Gupta',b'jagdambag4',b'',b'\\u0938\\u093e\\u0930\\u0947 \\u091c\\u0939\\u093e \\u0938\\u0947 \\u0905\\u091a\\u094d\\u091b\\u093e \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e \\u0939\\u092e\\u093e\\u0930\\u093e \\u0939\\u092e \\u092c\\u0941\\u0932\\u092c\\u0941\\u0932\\u0947 \\u0939\\u0948 \\u0907\\u0938\\u0915\\u0947 \\u092f\\u0947 \\u0917\\u0941\\u0932\\u0938\\u093f\\u0924\\u093e \\u0939\\u092e\\u093e\\u0930\\u093e \\u0939\\u092e\\u093e\\u0930\\u093e\\U0001f1ee\\U0001f1ea\\U0001f1ee\\U0001f1ea\\U0001f1ee\\U0001f1ea\\n\\U0001f1ee\\U0001f1ea\\U0001f1ee\\U0001f1ea\\U0001f1ee\\U0001f1ea\\U0001f1ee\\U0001f1eaNAMO FAN\\U0001f1e8\\U0001f1ee\\U0001f1e8\\U0001f1ee\\U0001f1e8\\U0001f1ee',b'252',b'243',b'0',b'11484',b'16042',b'False',b'False',b'True',b'False',b'2018-07-09 07:53:27'
b'And no role and responsibility of CM of Delhi to stop these riots ??\\n#DelhiBurning #DelhiViolence https://t.co/5VzOkf5DKm',b'1232182821327953921',b'\\U0001d538\\U0001d55f\\U0001d552\\U0001d55f\\U0001d565 \\U0001d54a\\U0001d55a\\U0001d55f\\U0001d558\\U0001d559\\U0001d552\\U0001d55d',b'AnantSinghal13',b'India',b'Karma is like  69  you get what you give...\\u2764\\u2764',b'291',b'76',b'0',b'31991',b'76559',b'False',b'False',b'True',b'False',b'2015-11-24 14:16:14'
"b'Er....would recommend a mirror before we begin building bridges. Selective reporting and romanticizing the ""revolut\\u2026 https://t.co/AScnWfMb11'",b'1232182818794430464',b'Sujata Suri',b'sujatasuri',"b'New Delhi, India'",b'Proactive Citizen. Marketing strategist. Health Coach. Love music/trekking/adventure sports. Dislike pseudos. RTs not endorsements.',b'3499',b'525',b'35',b'34338',b'69670',b'False',b'False',b'False',b'False',b'2010-07-12 19:18:21'
b'\\u0939\\u092e\\u093e\\u0930\\u0947 \\u092d\\u0917\\u0935\\u093e\\u0928 (\\u0930\\u093e\\u092e \\u091c\\u0940 ) \\u0928\\u0947 \\u0928\\u093e \\u0915\\u092d\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e \\u0915\\u0930\\u0928\\u0947 \\u0915\\u094b \\u092c\\u094b\\u0932\\u093e \\u0914\\u0930 \\u0928 \\u0939\\u0940 \\u0910\\u0938\\u0940 \\u092d\\u093e\\u0937\\u093e \\u092c\\u094b\\u0932\\u0940 \\u0964 \\u0924\\u094b \\u0915\\u094c\\u0928 \\u0939\\u0948 \\u092f\\u0947 \\u0932\\u094b\\u0917 \\u091c\\u094b \\u092d\\u0917\\u0935\\u093e\\u0928 \\u0915\\u093e \\u0928\\u093e\\u092e \\u0932\\u0947\\u0915\\u0930\\u2026 https://t.co/xdHLRoK7b9',b'1232182817838321664',b'\\u0938\\u093e\\u0902\\u0935\\u0932\\u0940 \\u0938\\u0932\\u094b\\u0928\\u0940 \\U0001f469',b'baba_ke_bhakt',"b'Bhopal, India'",b'MSc. Vegetable Science (Horticulturist ) \\n  Agriculture \\u0935\\u093e\\u0932\\u094b\\u0902 follow back \\u0915\\u0930\\u094b...\\U0001f60a\\U0001f4aa',b'94',b'568',b'0',b'1760',b'950',b'False',b'False',b'True',b'False',b'2014-06-10 01:43:53'
b'#IslamicTerrorism\\n#DelhiBurning\\n#DelhiPolice https://t.co/5Xhts2cc01',b'1232182814637948928',b'\\u273a\\u1d18\\u1d00\\u0280\\u1d0d\\u1d0f\\u1d05 s\\u029c\\u1d00\\u0280\\u1d0d\\u1d00\\u273a\\U0001f4af',b'Parmod_007',b'Delhi \\U0001f6eb \\u0905\\u092f\\u094b\\u0927\\u094d\\u092f\\u093e \\U0001f6ec India \\U0001f1ee\\U0001f1f3',b'\\u2734[\\u1d04\\u026a\\u1d20\\u026a\\u029f \\u1d07\\u0274\\u0262\\u026a\\u0274\\u1d07\\u1d07\\u0280\\u026a\\u0274\\u0262 s\\u1d1b\\u1d1c\\u1d05\\u1d07\\u0274\\u1d1b] \\u2734[\\u1d04\\u1d00\\u1d0d\\u1d18\\u1d00\\u026a\\u0262\\u0274 @bjp4delhi] \\u2734[\\u0926\\u0947\\u0916 \\u0932\\u093f\\u092f\\u093e \\u0939\\u094b \\u0299\\u026a\\u1d0f \\u0924\\u094b \\u0915\\u0930 \\u092d\\u0940 \\u0926\\u094b \\u0493\\u1d0f\\u029f\\u029f\\u1d0f\\u1d21 \\ufe0f]\\U0001f60e\\u2734[\\u1d0d\\u028f \\u1d1b\\u1d21\\u1d07\\u1d07\\u1d1bs \\u1d00\\u0280\\u1d07 \\u026a\\u0274 \\u029f\\u026a\\u1d0b\\u1d07s\\u2665]\\u2734 FB \\U0001f4af in 24h',b'6386',b'5433',b'0',b'16144',b'789',b'False',b'False',b'True',b'False',b'2019-12-10 06:20:15'
b'@badass_pande @majorgauravarya Andar k Kam pad rahe the to kuch Itali se mangaye Gaye.....\\n\\n#DelhiBurning \\n#DelhiPolice \\n#DelhiViolence',b'1232182813652180992',b'Vaishnavi Tiwari',b'Vaishna69777209',"b'Bhusawal, India'",b'Namo and Sid fan',b'516',b'1071',b'0',b'1893',b'2138',b'False',b'False',b'True',b'False',b'2019-12-06 19:59:04'
"b""If CM @ArvindKejriwal @DelhiCMOffice can't help and Can't do anything for this riots. Then who the he'll he is?? Wh\\u2026 https://t.co/2VcVMUKq90""",b'1232182808086376448',b'Just Saying | \\u0b9a\\u0bc1\\u0bae\\u0bcd\\u0bae\\u0bbe \\u0b9a\\u0bca\\u0bb2\\u0bcd\\u0bb2\\u0bc1\\u0b99\\u0bcd\\u0b95 | \\u0cb8\\u0cc1\\u0cae\\u0ccd\\u0cae\\u0ca8\\u0cc6 \\u0cb9\\u0cc7\\u0cb3\\u0cc1\\u0cb5\\u0cc1\\u0ca6\\u0cc1',b'just_imply',b'India',b'Anti Indian for #Bhakths \\u2022 Software Engineer \\u2022 Centrist \\u2022 Views & Opinions are Personal \\u2022 Dravidian \\u2022 Optimist \\u2022 Politics \\u2022',b'35',b'79',b'3',b'3882',b'6728',b'False',b'False',b'True',b'False',b'2015-07-20 13:44:03'
