b'\\u0625\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627 \\u062a\\u0631\\u0627\\u0645\\u0628 \\u062a\\u0638\\u0647\\u0631 \\u0628\\u0627\\u0644\\u062d\\u062c\\u0627\\u0628 \\u0641\\u064a \\u0645\\u0633\\u062c\\u062f \\u0627\\u0644\\u0634\\u064a\\u062e \\u0632\\u0627\\u064a\\u062f \\u0628\\u0623\\u0628\\u0648\\u0638\\u0628\\u064a\\n\\n#\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 #\\u0623\\u062e\\u0628\\u0627\\u0631_\\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 #ivankatrump #\\u0627\\u0644\\u0627\\u0645\\u0627\\u0631\\u0627\\u062a #\\u0623\\u0628\\u0648\\u0638\\u0628\\u064a\\u2026 https://t.co/5sIQNg0uN9',b'1229076737008467968',b'Foochia - \\u0641\\u0648\\u0634\\u064a\\u0627',b'foochia',b'Middle East',b'\\u0645\\u0648\\u0642\\u0639 \\u064a\\u0647\\u062a\\u0645 \\u0628\\u0634\\u0624\\u0648\\u0646 \\u0648\\u0634\\u062c\\u0648\\u0646 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629 \\u0627\\u0644\\u0639\\u0631\\u0628\\u064a\\u0629\\u060c \\u0645\\u0646\\u0647 \\u0646\\u0637\\u0644 \\u0639\\u0644\\u0649 \\u0639\\u0627\\u0644\\u0645 \\u0627\\u0644\\u0623\\u0632\\u064a\\u0627\\u0621\\u060c \\u0627\\u0644\\u062c\\u0645\\u0627\\u0644\\u060c \\u0627\\u0644\\u0631\\u0634\\u0627\\u0642\\u0629 \\u0648\\u0627\\u0644\\u0644\\u0628\\u0627\\u0642\\u0629\\u060c \\u0648\\u0646\\u062a\\u0627\\u0628\\u0639 \\u0623\\u062e\\u0628\\u0627\\u0631 \\u0627\\u0644\\u0645\\u0634\\u0627\\u0647\\u064a\\u0631 \\u0648\\u0627\\u0644\\u0641\\u0646 \\u0648\\u0627\\u0644\\u062b\\u0642\\u0627\\u0641\\u0629.',b'129654',b'511',b'137',b'76679',b'734',b'True',b'False',b'False',b'False',b'2015-01-21 05:39:38'
"b'@GypseyBarke @IvankaTrump @BrandonBeckham_ Botox eye lift chin implant lipo, breast implants ckeek implants false t\\u2026 https://t.co/Wp8vMfRAfi'",b'1229076302100983808',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22482',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
b'@MagaTee1 @PhilLacio2 @pjcadams @kathlee73732050 @IvankaTrump Now now calm down hillbilly....give that lib 200k pla\\u2026 https://t.co/rpP46sVGkT',b'1229073767743098880',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22482',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
b'@MBazilian @MaxBoot Handbags made in @SenTomCotton Wuhan super lab.\\n\\n#TrumpCrimeFamily #IvankaTrump #moron',b'1229073491699388416',b'Pat Toomey\\u2019s Bravery',b'BraveryPat',b'Laying low @ Keystone State',"b'Focused on the issues that matter only to me. Unflinchingly brave in the face of calm seas. Obviously, Jeff Flake\\u2019s last friend. Live by Occam\\u2019s razor!'",b'30',b'71',b'2',b'1123',b'407',b'False',b'False',b'True',b'False',b'2019-10-21 17:55:59'
b'@realDonaldTrump Flush the turd November 3rd!!  HA HA HA!!! #realDonaldTrump #WhiteHouse #Melaniatrump\\u2026 https://t.co/xRFquPtjNl',b'1229073228972212225',b'Andy Burning Bush',b'andy_burning',"b'Seattle, Washington'",b'I used to be the quiet one  \\U0001f642 Now...#resist I am HORRIFIED by what this entire TRUMP CRIME FAMILY is doing to this country.  I am so sorry America.',b'794',b'751',b'0',b'46280',b'15262',b'False',b'False',b'False',b'False',b'2009-04-15 07:20:07'
b'@FifiLarue2 @IvankaTrump That should enrage al q...the taliban...and isis...#Ivankatrump.',b'1229073031437271040',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22482',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
"b""@IvankaTrump @HHShkMohd Why are they allowing a woman who supports caging women and children a voice at a women's s\\u2026 https://t.co/NGUxQb7wFK""",b'1229071702287691781',b'Weneedleadership',b'Nursesleadwell',"b'Wisconsin, USA'",b'Wife. Mother. Sister. Friend.  Registered Nurse. Graduate of University of Wisconsin.  Past Nursing Leader. Badger Fan. Packers Fan. Avid Reader. Avid gardener.',b'325',b'498',b'2',b'15886',b'1851',b'False',b'False',b'True',b'False',b'2016-03-08 18:29:11'
"b'#IvankaTrump said: ""The #UAE takes upon itself a leading role in the field of women\'s support at the regional level\\u2026 https://t.co/Voxq1lxks8'",b'1229071659094749187',b'Maitha Alktebi',b'Maitha_alktebii',b'',b'\\u062d\\u064f\\u0628\\u064f \\u0627\\u0644\\u0648\\u0637\\u0646 \\u0644\\u064a\\u0633\\u064e \\u0625\\u062f\\u0639\\u0627\\u0621\\u060c \\u062d\\u064f\\u0628\\u064f \\u0627\\u0644\\u0648\\u0637\\u0646 \\u0639\\u0645\\u0644\\u064c \\u062b\\u0642\\u064a\\u0644\\u060c \\u0648\\u062f\\u0644\\u064a\\u0644\\u064f \\u062d\\u064f\\u0628\\u064a \\u064a\\u0627 \\u0628\\u0644\\u0627\\u062f\\u064a \\u0633\\u064a\\u0634\\u0647\\u062f \\u0628\\u0647 \\u0627\\u0644\\u0632\\u0645\\u0646\\u064f \\U0001f607\\u2764',b'85',b'252',b'0',b'213',b'145',b'False',b'False',b'True',b'False',b'2020-01-16 09:11:42'
b'Her lousy outfit was probably made by a sleep deprived hungry 5 year old...#IvankaTrump  #dubai #GWFD2020',b'1229071081840889856',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22482',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
b'The kushners didnt want vanky as a daughter in law...#IvankaTrump',b'1229070001081946113',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22482',b'402',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
