b'@SwamiGeetika They were pro CAA',b'1232002257404616704',b'Life At Light Speed',b'LifeAtLightSpe1',b'',"b'Startups, personal care, tech, innovation, future, law of large numbers.'",b'2',b'80',b'0',b'110',b'256',b'False',b'False',b'True',b'False',b'2020-02-02 02:16:43'
b'More than two months of anti CAA protests in New Delhi and no major instance of violence from the protesters.\\nOne p\\u2026 https://t.co/pLGZsO0uLR',b'1232002135308587009',b'Tanishi Agrawal',b'_coco1206',b'',"b""wounds become scars . you heal , but you'll always remember . And that's ok . growth starts not with forgetting but with accepting :)""",b'1',b'16',b'0',b'9',b'36',b'False',b'False',b'True',b'False',b'2020-02-11 18:56:38'
b'@DyutimanB_advt @RanaAyyub Violence is wrong. But it is being perpetrated only in places BJP has control of police\\u2026 https://t.co/jFqUbfxpfp',b'1232002110662811650',b'IbnulHind',b'HindIbnul',b'USA',"b'Researcher on Indian history specially on development within Hinduism, Islam & Christianity and Indian composite culture.\\nRTs, Likes # Endorsement'",b'30',b'207',b'0',b'875',b'440',b'False',b'True',b'True',b'False',b'2020-01-13 21:48:27'
b'This is not pro caa. This is anti Muslim. Anti national. Anti constitution. Anti humanity. Delhi burns because of t\\u2026 https://t.co/Y2lzSBap5D',b'1232002011161231360',b'Jeeshan Ahamad',b'realjeeshan',"b'Muzaffarnagar, India'","b'Journalist, Social activists, Singer, Writer/Editor, worked at Director of UKF Entertainment,\\n\\n\\n \\n\\u092d\\u0915\\u094d\\u0924 \\u0926\\u0942\\u0930 \\u0930\\u0939\\u0947'",b'651',b'707',b'0',b'898',b'4810',b'False',b'False',b'True',b'False',b'2019-12-11 16:35:23'
b'Exactly what does this pro cAa protest means? \\U0001f602 It actually sounds funnny to me https://t.co/iC58lMsDyK',b'1232001972061868032',b'Harshit \\U0001f62a\\U0001f62a',b'harshit30003',b'inderprastha',b'\\U0001f1ee\\U0001f1f3\\U0001f549\\ufe0f.\\n20//dead',b'349',b'204',b'0',b'11300',b'28378',b'False',b'False',b'True',b'False',b'2018-05-22 15:07:57'
"b'#muslims burn the police booth, pelt stones at the pro CAA protest. Killed a policemen and injured several others.\\u2026 https://t.co/AJukp4pxIy'",b'1232001938805252096',b'Mumbai_cha_pora\\U0001f92a',b'Nitesh02620788',b'',b'Against pseudo-Liberals and political opportunists',b'61',b'144',b'0',b'4074',b'13997',b'False',b'False',b'True',b'False',b'2017-12-20 11:14:50'
b'@sardanarohit Sardana ko yeh photo  abhi tak nahin mili. Kyunki  yeh pro CAA wala banda hai https://t.co/uy4PYwtkxG',b'1232001883583197184',b'Alex',b'Alex17063910',b'',b'',b'14',b'77',b'0',b'2244',b'3641',b'False',b'True',b'True',b'False',b'2019-07-30 05:49:49'
b'@Gabruuuuuuuuuu @t_d_h_nair Ha but thats what is happening. Nothing against the pro CAA goons',b'1232001839379304448',b'AmarAkbarAnthony',b'manusmritihater',b'',b'Views are personal. Bhakts stay away.',b'449',b'1427',b'0',b'6516',b'2099',b'False',b'False',b'True',b'False',b'2014-11-02 07:56:51'
b'CAA exists now so anti CAA protests are understandable but what is the relevance of Pro CAA protest and protest aga\\u2026 https://t.co/QV8DWSgYZV',b'1232001820370853891',b'osama warsi',b'osama_warsii',b'',b'',b'21',b'67',b'0',b'194',b'78',b'False',b'False',b'True',b'False',b'2015-01-27 19:22:33'
b'@amolparashar @gaurav1392 @sirfgaurav It would be gracious to consider about boosting their morale.\\nThey were only\\u2026 https://t.co/gCIvWE9H3q',b'1232001630595428353',b'Thedecent1\\U0001f1ee\\U0001f1f3',b'Thedecentone3',b'India',b'Enjoy Interaction\\U0001f60a\\U0001f609|News Junkie\\U0001f4af\\U0001f523|Love My Country\\U0001f1ee\\U0001f1f3|Anti Dynasty\\U0001f6ab|Political Observer|Own Views Here|\\nWas Born Intelligent But Education Ruined Me....\\U0001f607\\U0001f635',b'20',b'189',b'0',b'3761',b'3573',b'False',b'False',b'True',b'False',b'2019-03-07 16:52:41'
