b'NASA puts a price on a 2024 Moon landing\\n\\nhttps://t.co/cROQ2eMdIB\\n#DelhiBurning #MeToo #DelhiPolice #DelhiViolence\\u2026 https://t.co/LUbT7COw47',b'1232167765936672768',b'Ironical Creation',b'IronicalC',b'',"b""The aim of this blog is to make our generation aware about fundamental concept of environment so that they can appreciate the importance of individual's effort""",b'580',b'1584',b'3',b'216',b'9',b'False',b'False',b'True',b'False',b'2019-08-09 17:57:31'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0940 \\u0939\\u093e\\u091c\\u093c\\u0930\\u0940 \\u092e\\u0947\\u0902 \\u092a\\u0942\\u0930\\u094d\\u0935\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0916\\u0941\\u0932\\u0947 \\u0906\\u092e \\u0911\\u091f\\u094b \\u0914\\u0930 \\u0917\\u093e\\u0921\\u093c\\u093f\\u092f\\u093e\\u0902 \\u0930\\u094b\\u0915\\u0915\\u0930 \\u092a\\u0939\\u091a\\u093e\\u0928 \\u092a\\u0924\\u094d\\u0930 \\u0926\\u0947\\u0916\\u0947 \\u091c\\u093e \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902 \\u092e\\u0941\\u0938\\u094d\\u0932\\u093f\\u092e \\u0939\\u094b\\u0928\\u0947\\u2026 https://t.co/HGRN4o10zb',b'1232167752984489985',b'Kashif Alvi (\\u06a9\\u0627\\u0634\\u0641)',b'Ksf_alvi',b'New Delhi',b'Detective nature as my name meaning follow. ongoing way to serve the Country.Jai Hind\\u2665\\n#OutSpoken #StraightForward #SocialSecurity #SocialJustice #EducatedIndia',b'197',b'416',b'0',b'3595',b'13247',b'False',b'False',b'False',b'False',b'2011-01-26 07:01:08'
"b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 #CAA \\u0915\\u0947 \\u0935\\u093f\\u0930\\u094b\\u0927 \\u092e\\u0947\\u0902 \\u092a\\u0925\\u0930\\u093e\\u0935, \\u0906\\u0917\\u091c\\u0928\\u0940 \\u0914\\u0930 \\u0939\\u093f\\u0902\\u0938\\u093e \\u092e\\u0947\\u0902 \\u0936\\u0939\\u0940\\u0926 \\u0939\\u0941\\u090f \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0939\\u0947\\u0921 \\u0915\\u093e\\u0902\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 \\u0936\\u094d\\u0930\\u0940 \\u0930\\u0924\\u0928 \\u0932\\u093e\\u0932 \\u091c\\u0940 \\u0915\\u094b \\u092d\\u093e\\u091c\\u092a\\u093e\\u2026 https://t.co/8kyFBRAqnP'",b'1232167733187502080',b'Azad Singh Mehrauli',b'AzadSinghBjp',"b'Mehrauli, New Delhi'","b'Former Distt. President, Mehrauli Vidhan Sabha\\nFormer Vice-President BJP, Delhi State'",b'3078',b'4161',b'0',b'2693',b'6692',b'False',b'False',b'True',b'False',b'2018-04-26 11:28:05'
"b'Is this the consequence of a ""Secular India""? Or result of oppression in the name of law? Or the cost of lenience i\\u2026 https://t.co/hvLd1WksAO'",b'1232167712077410304',b'\\u0c30\\u0c35\\u0c3f \\u0c15\\u0c3f\\u0c30\\u0c23\\u0c4d | Ravi Kiran \\U0001f1ee\\U0001f1f3',b'pvpravikiran',"b'Chennai, India'",b'',b'72',b'911',b'3',b'656',b'1627',b'False',b'False',b'False',b'False',b'2010-01-03 02:10:57'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0947 \\u0938\\u0942\\u0924\\u094d\\u0930\\u094b\\u0902 \\u0915\\u0947 \\u092e\\u0941\\u0924\\u093e\\u092c\\u093f\\u0915  \\u0938\\u0902\\u0935\\u093f\\u0927\\u093e\\u0928 \\u0915\\u0940 \\u0930\\u0915\\u094d\\u0937\\u093e \\u0915\\u0930 \\u0930\\u0939\\u093e \\u0914\\u0930 \\u0917\\u094b\\u0932\\u0940 \\u091a\\u0932\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948 \\u092f\\u0939 \\u0936\\u093e\\u0902\\u0924\\u093f\\u0926\\u0942\\u0924 \\u0936\\u093e\\u0939\\u0926\\u0930\\u093e \\u0915\\u093e \\u0930\\u0939\\u0928\\u0947 \\u0935\\u093e\\u0932\\u093e \\u0939\\u0948 \\u0914\\u2026 https://t.co/Ec7XgbumL9',b'1232167711943405568',b'Abhishek Singh Rajput\\U0001f1ee\\U0001f1f3',b'_Real_Abhishek',"b'\\u0909\\u0924\\u094d\\u0924\\u0930 \\u092a\\u094d\\u0930\\u0926\\u0947\\u0936, \\u092d\\u093e\\u0930\\u0924'",b'\\u2022  \\u092d\\u093e\\u0930\\u0924  \\U0001f1ee\\U0001f1f3   Proud Indian A 18 years\\nNationalist.\\U0001f6a9 \\U0001f6a9 \\u0905\\u0902\\u0924\\u0930\\u094d\\u092e\\u0928 \\u0915\\u093e \\u0909\\u0926\\u094d\\u0917\\u093e\\u0930 \\u0939\\u0948 \\u092d\\u0917\\u0935\\u093e..\\n\\u0906\\u0938\\u094d\\u0925\\u093e \\u0915\\u093e \\u091c\\u094d\\u0935\\u093e\\u0930 \\u0939\\u0948 \\u092d\\u0917\\u0935\\u093e..\\n\\u0938\\u0928\\u093e\\u0924\\u0928\\u0940 \\u0938\\u0902\\u0938\\u094d\\u0915\\u093e\\u0930 \\u0939\\u0948 \\u092d\\u0917\\u0935\\u093e',b'763',b'1362',b'0',b'1223',b'2281',b'False',b'False',b'True',b'False',b'2020-01-07 16:57:57'
b'@ssrajputINC Yahan #DelhiPolice hi desh ki dushman hai.. Un gaddaron ka kya karenge.. Koi ye kyun nahi kah raha.. J\\u2026 https://t.co/DfjdSwU78q',b'1232167700140580865',b'\\u067e\\u06ba\\u0627\\u0648\\u06cc\\u0646 \\u0633\\u0646\\u06be\\u0627',b'godIsMyth',"b'Mumbai, India'",b'Nothing much',b'43',b'505',b'1',b'3696',b'5696',b'False',b'False',b'True',b'False',b'2018-08-05 03:25:20'
b'Is there any difference between the Kashmiri terrorists and the Delhi terrorists?\\nI can see no difference at all.\\u2026 https://t.co/gOkXtrkGEk',b'1232167692855107584',b'Alabhya Dhamija',b'alabhyadhamija',b'Delhi',"b'Advocate Supreme Court in the daylight, cyclist in the dark. INDIA FIRST. Nationalist. Proud Hindu.'",b'172',b'224',b'2',b'1119',b'688',b'False',b'False',b'False',b'False',b'2009-08-07 14:41:02'
b'\\u0907\\u0924\\u093f\\u0939\\u093e\\u0938 \\u0917\\u0935\\u093e\\u0939 \\u0939\\u0948 \\u0915\\u0940 \\u092c\\u091a\\u094d\\u091a\\u094b \\u0915\\u0940 \\u0915\\u0941\\u091f\\u093e\\u0908 \\u092e\\u0947\\u0939\\u092e\\u093e\\u0928\\u094b\\u0902 \\u0915\\u0947  \\u091c\\u093e\\u0928\\u0947 \\u0915 \\u092c\\u093e\\u0926 \\u0939\\u094b\\u0924\\u0940 \\u0939\\u0948 \\u0964\\u0964\\n\\n\\u0907\\u0902\\u0924\\u091c\\u093c\\u093e\\u0930 \\u0915\\u0930 \\u092c\\u0947\\u091f\\u0947\\u0964\\n#DelhiBurning #DelhiPolice\\u2026 https://t.co/CA7k63zZ0m',b'1232167682381959168',b'Gaurav Choudhary',b'GauravC48725923',b'',"b""\\u092e\\u0948\\u0902 \\u091d\\u0941\\u0915 \\u0928\\u0939\\u0940 \\u0938\\u0915\\u0924\\u093e, \\u0936\\u094c\\u0930\\u094d\\u092f \\u0915\\u093e \\u0905\\u0916\\u0923\\u094d\\u0921 \\u092d\\u093e\\u0917 \\u0939\\u0942\\u0902\\n\\u091c\\u0932\\u093e \\u0926\\u0947, \\u091c\\u094b \\u0905\\u0927\\u0930\\u094d\\u092e \\u0915\\u0940 \\u0930\\u0942\\u0939 \\u0915\\u094b, \\u092e\\u0948\\u0902 \\u0935\\u0939\\u0940 \\u092e\\u0939\\u093e\\u0926\\u0947\\u0935 \\u0915\\u093e '\\u0926\\u093e\\u0938' \\u0939\\u0942\\u0902\\u0964\\u0964""",b'20',b'446',b'0',b'510',b'1908',b'False',b'False',b'True',b'False',b'2019-12-15 13:19:26'
b'@KapilMishra_IND Ys.. Very true\\n. But prob is Akal ke andho ko Roshani bhi andhera najar aati hai aur vaise bhi laa\\u2026 https://t.co/rkP8GTsu6B',b'1232167680527847424',b'United India',b'ssbc2020',b'Kuwait ',"b""India will be n always First for me! Won't allow some stupid coward selfish elements to rotten or disrespect  my motherland.. Indians  be united!!!!!!""",b'79',b'198',b'0',b'9774',b'10297',b'False',b'False',b'True',b'False',b'2018-03-19 04:22:10'
"b'#DonaldTrumpIndiaVisit | On Day 2, Donald Trump and wife Melania meet President Ram Nath Kovind and his wife Savita\\u2026 https://t.co/AxSqxIkaDD'",b'1232167636600909824',b'News90Degree',b'N90Degree_Tweet',b'New Delhi',"b'We are Providing Breaking, Trending, Unbiased and Straight News.'",b'12',b'144',b'0',b'955',b'142',b'False',b'False',b'True',b'False',b'2019-11-10 14:33:35'
