b'#dillidekhoamitshah #dillitodegibjpkaghamand #DelhiBurning #DelhiViolence #delhivoilence #CAA_NRC_NPR #CAAProtest\\u2026 https://t.co/mGzQIeXOcp',b'1232160052997390336',b'Arshan Amrohvi',b'arshanamrohvi',b'India',b'Singer | Writer | Lyricist | Achalasian | from Amroha city India\\nFb: arshanamrohvi\\nInsta: arshan_amrohvi',b'1',b'57',b'0',b'18',b'13',b'False',b'False',b'True',b'False',b'2012-05-20 17:47:06'
b'@HRajaBJP \\u0b9f\\u0bc6\\u0bb2\\u0bcd\\u0bb2\\u0bbf\\u0baf\\u0bbf\\u0bb2\\u0bcd 5 \\u0baa\\u0bc7\\u0bb0\\u0bc8 \\u0baa\\u0bb2\\u0bbf \\u0b95\\u0bca\\u0ba3\\u0bcd\\u0b9f \\u0baa\\u0baf\\u0b99\\u0bcd\\u0b95\\u0bb0 \\u0bb5\\u0ba9\\u0bcd\\u0bae\\u0bc1\\u0bb1\\u0bc8\\u0b95\\u0bcd\\u0b95\\u0bc1 \\u0b95\\u0bbe\\u0bb0\\u0ba3\\u0bae\\u0bcd \\u0baa\\u0bbe\\u0b9c\\u0b95\\u0bb5\\u0bbf\\u0ba9\\u0bcd \\u0b95\\u0baa\\u0bbf\\u0bb2\\u0bcd \\u0bae\\u0bbf\\u0bb8\\u0bcd\\u0bb0\\u0bbe!  https://t.co/XKDrPlV0XH\\u2026 https://t.co/QCHBnQ3TB5',b'1232159957195210755',b'\\u0b85.\\u0b85\\u0baa\\u0bc1\\u0ba4\\u0bbe\\u0bb9\\u0bbf\\u0bb0\\u0bcd',b'abuthaher001',b'ooty',b'8th std',b'72',b'493',b'0',b'150',b'593',b'False',b'False',b'True',b'False',b'2014-05-26 09:51:50'
"b'\\u0b9f\\u0bc6\\u0bb2\\u0bcd\\u0bb2\\u0bbf\\u0baf\\u0bbf\\u0bb2\\u0bcd \\u0b9a\\u0bbf\\u0b8f\\u0b8f \\u0b86\\u0ba4\\u0bb0\\u0bb5\\u0bbe\\u0bb3\\u0bb0\\u0bcd\\u0b95\\u0bb3\\u0bcd-\\u0b8e\\u0ba4\\u0bbf\\u0bb0\\u0bcd\\u0baa\\u0bcd\\u0baa\\u0bbe\\u0bb3\\u0bb0\\u0bcd\\u0b95\\u0bb3\\u0bcd \\u0b87\\u0b9f\\u0bc8\\u0baf\\u0bc7 \\u0ba8\\u0bbf\\u0b95\\u0bb4\\u0bcd\\u0ba8\\u0bcd\\u0ba4 \\u0bae\\u0bcb\\u0ba4\\u0bb2\\u0bbf\\u0bb2\\u0bcd \\u0baa\\u0bb2\\u0bbf \\u0b8e\\u0ba3\\u0bcd\\u0ba3\\u0bbf\\u0b95\\u0bcd\\u0b95\\u0bc8 5\\u0b86\\u0b95 \\u0b89\\u0baf\\u0bb0\\u0bcd\\u0bb5\\u0bc1, 105 \\u0baa\\u0bc7\\u0bb0\\u0bcd \\u0b95\\u0bbe\\u0baf\\u0bae\\u0b9f\\u0bc8\\u0ba8\\u0bcd\\u0ba4\\u0bc1\\u0bb3\\u0bcd\\u0bb3\\u2026 https://t.co/VQV00Ycxih'",b'1232159947531513858',b'Madhimugam TV',b'MadhimugamTV',"b'Chennai, India'",b'\\u0bae\\u0b95\\u0bcd\\u0b95\\u0bb3\\u0bcd \\u0ba4\\u0bbf\\u0ba9\\u0bae\\u0bc1\\u0bae\\u0bcd \\u0bae\\u0bc1\\u0b95\\u0bae\\u0bcd \\u0b95\\u0bbe\\u0ba3\\u0bc1\\u0bae\\u0bcd \\u0ba4\\u0bca\\u0bb2\\u0bc8\\u0b95\\u0bcd\\u0b95\\u0bbe\\u0b9f\\u0bcd\\u0b9a\\u0bbf',b'994',b'365',b'6',b'14387',b'6',b'False',b'False',b'False',b'False',b'2016-06-24 21:00:50'
"b'#CAAProtest\\nKapil Mishra and his goons have started poisoning the atmosphere of the national capital, which has ang\\u2026 https://t.co/7nwghjjZVv'",b'1232159938224410624',b'VEER BHAGAT SINGH LOVER',b'inzamam_junaid',b'',b'VEER BHAGAT SINGH lover',b'46',b'46',b'0',b'5534',b'4450',b'False',b'False',b'True',b'False',b'2019-07-16 04:42:57'
b'Hatsoff to @DelhiPolice for trying to control the situation but someone must take steps to stop/control all these p\\u2026 https://t.co/vIa8fvgzoP',b'1232159862349451264',b'Himanshu Shivnani',b'himanshushivnan',b'',b'',b'309',b'262',b'3',b'872',b'303',b'False',b'False',b'True',b'False',b'2010-01-17 03:51:24'
b'It is extremely sad to hear about the death of senoir officer ratan lal ji during #caaprotest. These type of incide\\u2026 https://t.co/kjXsYIObxg',b'1232159791788642304',b'Shivansh Dubey',b'Shivans24408599',b'',b'I spoke and give my opinions. \\npolitical opinions. \\neconomic discussion. \\nmake India free from corruption.  \\nagriculture is pillar.follow me. \\U0001f466\\n#hindu. #indian',b'14',b'74',b'0',b'263',b'779',b'False',b'False',b'True',b'False',b'2019-05-29 06:52:49'
"b'\\u0aa8\\u0ab5\\u0ac0 \\u0aa6\\u0abf\\u0ab2\\u0acd\\u0ab9\\u0ac0: \\u0aa4\\u0acd\\u0ab0\\u0ac0\\u0a9c\\u0abe \\u0aa6\\u0abf\\u0ab5\\u0ab8\\u0ac7 \\u0ab9\\u0abf\\u0a82\\u0ab8\\u0a95 \\u0aaa\\u0acd\\u0ab0\\u0aa6\\u0ab0\\u0acd\\u0ab6\\u0aa8 \\u0a9c\\u0abe\\u0ab0\\u0ac0, \\u0aac\\u0acd\\u0ab0\\u0ab9\\u0acd\\u0aae\\u0aaa\\u0ac1\\u0ab0\\u0ac0-\\u0aae\\u0acb\\u0a9c\\u0aaa\\u0ac1\\u0ab0\\u0aae\\u0abe\\u0a82 \\u0aab\\u0ab0\\u0ac0 \\u0aaa\\u0aa5\\u0acd\\u0aa5\\u0ab0\\u0aae\\u0abe\\u0ab0\\u0abe\\u0aa8\\u0ac0 \\u0a98\\u0a9f\\u0aa8\\u0abe\\n\\nhttps://t.co/NkPdDuRi6a\\u2026 https://t.co/Kq0oe6hDl3'",b'1232159675040161792',b'VTV Gujarati News and Beyond',b'VtvGujarati',b'Ahmedabad',"b""VTVGujarati is a digital publication; an intersection of news & entertainment as new-age content & independent journalism form young India's voice.""",b'67965',b'541',b'92',b'136758',b'425',b'False',b'False',b'False',b'False',b'2012-05-23 11:36:33'
b'Aap chronology smajhye \\n# Pehle @ArvindKejriwal flowers gift karega \\n- phir #WarisPathan n owaisi #CAAProtest ko di\\u2026 https://t.co/Bnc4cUAzU6',b'1232159494601199616',b'RePupLick',b'sid80dude',b'',"b'patriot journalick formerly at tomynow network,these days working at Rape-public ,Phd in \\u201centire political science\\u201dfrom Jio Institute,an institute of eminence.'",b'168',b'312',b'4',b'8539',b'3668',b'False',b'False',b'True',b'False',b'2015-10-06 14:31:43'
"b'\\u091c\\u093e\\u0917\\u093f\\u092f\\u0947 \\u092e\\u0947\\u0930\\u0947 \\u092d\\u093e\\u0907\\u092f\\u094b\\u0902, \\u0939\\u094b\\u0936 \\u092e\\u0947\\u0902 \\u0906\\u0907\\u092f\\u0947 \\u0907\\u0938 \\u092a\\u094d\\u0930\\u0915\\u093e\\u0930 \\u0938\\u0947 \\u0915\\u092d\\u0940 \\u0939\\u092e\\u093e\\u0930\\u093e \\u0926\\u0947\\u0936 \\u0915\\u092d\\u0940 \\u0930\\u093e\\u092e \\u0914\\u0930 \\u0915\\u0943\\u0937\\u094d\\u0923\\u093e \\u0915\\u093e \\u0926\\u0947\\u0936 \\u0928\\u0939\\u0940\\u0902 \\u092c\\u0928 \\u092a\\u093e\\u090f\\u0917\\u093e\\u0964 \\u0907\\u0938 \\u0930\\u0942\\u0922\\u093c\\u093f\\u0935\\u093e\\u0926\\u0940 \\u092e\\u093e\\u2026 https://t.co/mbLA2Hwiyt'",b'1232159445490077697',b'krishna yadav',b'krish12468',b'',b'ordinary guy wid extraordinary dreams......@invincible',b'14',b'257',b'0',b'213',b'360',b'False',b'False',b'False',b'False',b'2014-06-21 01:43:42'
b'#DelhiBurning #CAAProtest #Islamic_terrorism',b'1232159363671789568',b'Puja Tiwari\\U0001f1ee\\U0001f1f3',b'pujatiwariBJP',b'New Delhi',b'Mgmt IT Consultant/Ex-McKinsey/#TEDx Speaker/#NLP/\\u091c\\u0928\\u0938\\u0902\\u0918 \\u092a\\u0930\\u093f\\u0935\\u093e\\u0930/Socio-Political Analyst/Panelist/ \\U0001f1ee\\U0001f1f3Honored 2 b followed by Sh @narendramodi ji\\n\\U0001f64f\\U0001f1ee\\U0001f1f3',b'17806',b'1551',b'35',b'25019',b'35594',b'False',b'False',b'True',b'False',b'2013-11-20 08:40:54'
