b'@gaurav_bharatha @Polytikle @Prashan74584003 @DelhiPolice @crpfindia @AmitShah @HMOIndia @UN @hrw \\u0905\\u092c\\u0947 \\u091a\\u092e\\u0928 \\u091a\\u093f\\u0928\\u094d\\u0926\\u0940 \\u091c\\u093f\\u2026 https://t.co/0TqenvWqw8',b'1232018334964535296',b'Sunil Ambhore',b'SunilAmbhore20',b'',b'\\u201cI measure the progress of a community by the degree of progress which women have achieved.\\u201d -- Dr. Babasaheb Ambedkar',b'994',b'967',b'1',b'7933',b'24669',b'False',b'False',b'True',b'False',b'2019-07-03 16:44:08'
b'M surprised ppl r still fighting like pro CAA and anti CAA. Abbey now issue isnt abt CAA at all. Apas mey ladte rah\\u2026 https://t.co/ObeP6IcXIM',b'1232018279503294464',b'Cricfam',b'cricfam',b'',"b'Politics , Cricket'",b'906',b'1560',b'2',b'25244',b'26845',b'False',b'False',b'True',b'False',b'2019-01-17 15:53:46'
"b""@yogital @realDonaldTrump Instead of 'Unruly Hindu and Muslim crowds', it should be 'Unruly anti and pro CAA crowds\\u2026 https://t.co/AtXVBX29dB""",b'1232018278656045057',b'Michael Fernandes \\U0001f1ee\\U0001f1f3',b'MiFe007',b'',"b'Hate religious hate-mongers, pseudoseculars, leftists, fundamentalists. A proud Indian.'",b'42',b'63',b'1',b'4447',b'1724',b'False',b'False',b'True',b'False',b'2017-01-03 08:58:05'
b'Delhi violence: Jafrabad shooter falsely identified as part of pro-CAA mob https://t.co/Rwa3AjIyNX via @AltNews',b'1232018273098616832',b'Padma Priya D',b'priyakamal',"b'Hyderabad, India'",b'Editor & co- founder @sunoindia_in. #publichealth #politics #environment #gender #adoption. Views my own',b'2738',b'2228',b'70',b'15000',b'15068',b'False',b'False',b'False',b'False',b'2009-03-10 21:39:41'
"b'*Anti CAA protestors*- Lets sit on a peaceful Dharna ,worship all gods of all religion to demonstrate unity , till\\u2026 https://t.co/0n9qnobuU4'",b'1232018093490278404',b'Hritik Singh',b'ItsMeHritik',"b'New Delhi, India'",b'A Guy Who Is Busy Attaining Something Worth Striving For.',b'4',b'43',b'0',b'12',b'7',b'False',b'False',b'False',b'False',b'2017-03-04 17:34:38'
b'@anuragkashyap72 \\u0906\\u091c Delhi \\u0915\\u0940 \\u0918\\u091f\\u0928\\u093e \\u0915\\u093e \\u092c\\u093e\\u0926 \\u092f\\u0947 \\u0938\\u093e\\u092c\\u093f\\u0924 \\u0939\\u094b \\u0917\\u092f\\u093e \\u0915\\u0940 PRO CAA \\u0915\\u093e \\u092e\\u0924\\u0932\\u092c \\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928\\u0940 ANTI CAA \\u0915\\u093e \\u092e\\u0924\\u0932\\u092c \\u0935\\u093f\\u0926\\u0947\\u0936\\u0940 \\u092e\\u0941\\u0938\\u2026 https://t.co/jZlr0jZtr5',b'1232017999608963072',b'Raj Baid',b'rajjbaid',"b'Jaipur,India'",b'love India & Indians',b'34',b'178',b'0',b'1403',b'770',b'False',b'True',b'True',b'False',b'2011-04-26 21:06:17'
"b""@Proletarian1917 She's calling the pro CAA stance an anti Muslim stance which is a fact.""",b'1232017945204752385',b'name witheld',b'jchakrab0rty',b'BLR',b'very boring person\\n\\ncurrent favourite : https://t.co/AcFKBdCTMa\\n\\n#glazersout #woodwardout #modiout #bjpout #rssout',b'134',b'665',b'0',b'6388',b'21091',b'False',b'False',b'True',b'False',b'2019-07-05 17:53:16'
b'AT THIS TIME PRO CAA SUPPORTERS CAN BE SPELLED AS TERRORISTS.',b'1232017898995998721',b'BILLA NO. 786',b'FuckOffZo',b'CNB-DEL-DXB-HYD-BOM',b'EAT. PRAY. PROTEST.',b'423',b'178',b'7',b'23713',b'5192',b'False',b'False',b'False',b'False',b'2011-11-24 11:59:42'
b'CM/UP handled well in curbing wrong protest over CAA. In Delhi AAP govt rules. AK tries to be identified as pro Mus\\u2026 https://t.co/RvqG927PWT',b'1232017861180305411',b'Rabindra Kumar Jha',b'rkjha111',b'India',b'Retd IRly Personnel.',b'603',b'657',b'20',b'58809',b'25137',b'False',b'False',b'True',b'False',b'2013-02-23 18:39:08'
b'@msisodia Sir tweet Karne se Kya hoga? Ghar se Bahar aaye and solve this problem. Anti or Pro CAA but these ppl tom\\u2026 https://t.co/m14o3OKgXm',b'1232017842104651777',b'Mayank Arora',b'manky8613',"b'New Delhi, India'","b'Turning dreams into reality, making people travel. #Travel #entrepreneur #Cricket'",b'65',b'287',b'1',b'1518',b'1480',b'False',b'False',b'False',b'False',b'2012-06-25 19:22:34'
