b'Current affairs 25th February \\n\\nMust Watch Guys\\n\\nhttps://t.co/ySsWZf0kOh\\n\\n#CurrentAffair \\n#H1N1\\n#Kotigobba3\\u2026 https://t.co/CeROyeIG6I',b'1232210802364469249',b'Shindee',b'StudyCornerr',b'',b'Follow ur Dreams',b'1',b'14',b'0',b'86',b'33',b'False',b'False',b'True',b'False',b'2019-12-24 13:35:03'
"b""@Swamy39 It's sure that only 2-3 QRTs of #IndianArmy will send protesters to their home.\\n#DelhiBurning \\n#IslamicTerrorism \\n#Delhi""",b'1232210802205061120',b'Adventures Aazad\\U0001f1ee\\U0001f1f3',b'AnilAdventures',"b'Agra, India'","b'Interest in National Security & Counter Terrorism, Political Analyst, Tweets are based on facts & opinions. Views Are Personal\\nLove to shooting & going on hikes'",b'55',b'249',b'1',b'2121',b'4979',b'False',b'False',b'True',b'False',b'2018-07-27 10:22:55'
b'\\u0936\\u093f\\u0935\\u093e \\u0914\\u0930 \\u0924\\u094d\\u092f\\u093e\\u0917\\u0940 \\u0938\\u0941\\u0930\\u0915\\u094d\\u0937\\u093f\\u0924 \\u0939\\u0948...\\u091c\\u093c\\u0941\\u0932\\u094d\\u092b\\u093c\\u093f\\u0915\\u093e\\u0930 \\u092e\\u0932\\u093f\\u0915 \\u0915\\u093e \\u0926\\u0941\\u0915\\u093e\\u0928 \\u091c\\u0932\\u093e \\U0001f525\\u0926\\u093f\\u092f\\u093e \\u0917\\u092f\\u093e..\\U0001f62d\\U0001f62d\\n#DelhiBurning #DelhiRiots #DelhiViolence\\u2026 https://t.co/R32xguu65Z',b'1232210799512424448',b'Kapil Verma.\\U0001f4af%\\u095e\\u0949\\u0932\\u094b\\U0001f449\\u092c\\u0948\\u0915',b'kapilverma73',"b'Lucknow, India'",b'\\u0915\\u0941\\u091b \\u092c\\u095c\\u0940 #\\u0938\\u0916\\u094d\\u0938\\u093f\\u092f\\u0924 \\u092e\\u0941\\u091d\\u0947 \\u092d\\u0940 #\\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u0924\\u0940 \\U0001f447\\n             @bhavsarhardiik\\n@Real_Anuj\\n@AlokTiwari9335\\n@Priyanka7461\\n@Jetha_Live\\n@khiladisArpita\\n@Amrita_Pandey1',b'15119',b'13371',b'8',b'199225',b'152347',b'False',b'False',b'True',b'False',b'2015-01-07 10:36:55'
b'Jab danda le ke itne swag se khade hai hamare police wale too socho haath main gun ki permission mil gai too inke l\\u2026 https://t.co/RxLamsPvCl',b'1232210798803423232',b'\\u0932\\u094b\\u0932',b'smithmaheshwari',"b'Surat, India'",b'Bewajah bekar hoon main\\U0001f642',b'764',b'254',b'2',b'8496',b'23129',b'False',b'False',b'True',b'False',b'2013-11-15 08:07:12'
b'just in....still in some part of #Jafrabad violence is happening\\n#DelhiBurning #DelhiRiots #delhipolice https://t.co/KyTvoWqbKO',b'1232210798354681856',b'Sameer Ahmad',b'SameerAhmad961',"b'Delhi, India'","b""I'm indian...\\n& Telicom operater..""",b'40',b'30',b'0',b'1322',b'1011',b'False',b'False',b'True',b'False',b'2020-01-06 07:44:31'
"b'\\u201c \\u0926\\u0947\\u0936 \\u0915\\u0947 \\u0917\\u093c\\u0926\\u094d\\u0926\\u093e\\u0930\\u094b\\u0902 \\u0915\\u094b \\n  \\u0917\\u094b\\u0932\\u0940 \\u092e\\u093e\\u0930\\u094b\\u0902 \\u0938\\u093e\\u0932\\u094b\\u0902 \\u0915\\u094b "" \\n#DelhiBurning #DelhiRiots #DelhiViolence #Bhajanpura #IslamicJihad\\u2026 https://t.co/wL6wvbEyeW'",b'1232210797545361409',b'Rohan Singh',b'amRohanSingh',"b'Chandigarh, India'",b'Youth Activitist BJP | RSS | Strategist | Poet | Environmentalist | Motivator | Rashtriya Sarv Pratham ! Nationalist .',b'181',b'152',b'0',b'1945',b'12576',b'False',b'False',b'True',b'False',b'2017-11-04 11:53:53'
"b'\\u090f\\u0915 \\u0932\\u0921\\u093c\\u0915\\u0947 \\u0936\\u093e\\u0939\\u0930\\u0941\\u0916 \\u0915\\u094b \\u0932\\u0947\\u0915\\u0930 \\u0907\\u0924\\u0928\\u093e \\u092c\\u0935\\u093e\\u0932 \\u0915\\u093e\\u091f\\u093e \\u091c\\u093e \\u0930\\u0939\\u093e \\u0939\\u0948, \\u091c\\u092c\\u0915\\u093f \\u092e\\u0948\\u0902 \\u0914\\u0930 \\u0924\\u092e\\u093e\\u092e \\u0938\\u093e\\u0925\\u0940 \\u0915\\u0932 \\u0939\\u0940 \\u0915\\u0939 \\u091a\\u0941\\u0915\\u0947 \\u0939\\u0948\\u0902 \\u0915\\u093f \\u0935\\u094b \\u0915\\u093f\\u0938\\u0940 \\u092d\\u0940 \\u092a\\u0915\\u094d\\u0937 \\u0938\\u0947 \\u0939\\u094b\\u2026 https://t.co/Xri6M1waK1'",b'1232210793443287042',b'\\u092e\\u092f\\u0902\\u0915 \\u0932\\u0916\\u0928\\u0935\\u0940',b'_MayankSaxena',"b'Mumbai, India'","b'Wrote #KGFHindi Dialogues, Film Writer/Lyricist/Poet/Musician, Founder @TheBannedindia ..Chronic Activist at Anti Citizenship Amendment Bill and NRC Movement'",b'1347',b'326',b'3',b'15616',b'1608',b'False',b'False',b'False',b'False',b'2015-07-06 16:54:39'
b'Neither @KapilMishra_IND nor the @asadowaisi will be affected by the communal violence. Hatred brings nothing excep\\u2026 https://t.co/RN1H5hsaS7',b'1232210790238781440',b'Meraj Siddiqui',b'MirajSiddiqui',"b'Ankara, Turkey'","b'MD, Department of Paediatrics\\nLokman Hekim Hospital\\nHamdardian'",b'131',b'290',b'1',b'805',b'2406',b'False',b'False',b'True',b'False',b'2013-08-29 19:55:50'
b'\\u0905\\u092c \\u090f\\u0915 \\u0939\\u0940 \\u0909\\u092a\\u093e\\u092f \\u0939\\u0948 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u094b \\u0916\\u0941\\u0932\\u0940 \\u091b\\u0942\\u091f \\u0926\\u0947 \\u0926\\u094b #DelhiBurning',b'1232210788795838465',b'jemish italia\\U0001f1ee\\U0001f1f3',b'jemish_italiya',"b'Surat, India'",b'',b'14',b'43',b'0',b'109',b'61',b'False',b'False',b'True',b'False',b'2013-06-02 07:45:35'
b'Why is their no statement been issued by the #PMO or the #Homeministry ??? #DelhiRiots #DelhiBurning',b'1232210784668790790',b'RJ_tweets',b'rohiit_jain',b'India',b'Founder And Co Owner of Zapatoes',b'175',b'690',b'20',b'18806',b'7740',b'False',b'False',b'False',b'False',b'2013-08-11 18:14:47'
