b'@IvankaTrump @Cisco Continued thanks and Bravo \\U0001f44bfor YOUR AMAZING WORK #IvankaTrump BRILLIANT AS ALWAYS\\u270a\\U0001f1fa\\U0001f1f8WWG1WGA\\u270a\\U0001f1fa\\U0001f1f8',b'1230207572113707008',b'GmaT',b'GmaT54667043',"b'California, USA'",b'#UnitedNotDivided #POTUS\\u270a\\U0001f1fa\\U0001f1f8#WWG1WGA\\u270a\\U0001f1fa\\U0001f1f8 2020\\u270c #KeepAmericaGreat',b'61',b'138',b'0',b'5411',b'6799',b'False',b'False',b'True',b'False',b'2019-01-13 20:48:27'
b'@JohnCornyn Trump will never be hard on China! Too much personal business there!! #IvankaTrump #DonaldTrump #TrumpCrimeFamily',b'1230205498890178560',b'Jewels803',b'Jewels8031',"b'Washington, USA'","b'All Lives Matter! #RESIST #VOTEBLUE Say NO to racism, hatred and Trump!!'",b'450',b'1129',b'0',b'22574',b'17919',b'False',b'False',b'True',b'False',b'2018-06-16 01:22:26'
"b'@IvankaTrump Who thinks #IvankaTrump has EVER been on a farm, ranch,  or community garden?\\n\\n#SureIvanka https://t.co/aw2KVho4Oe'",b'1230204498108276736',b'Trisha Cullen Loves Pete \\u2764\\ufe0f\\U0001f434\\U0001f308\\U0001f1fa\\U0001f1f8',b'trishacullen',"b'Silicon Valley, CA'","b'Producer, Business Owner #Resister #Empath #VoteBlueToSaveAmerica #SurvivingParent #FBR #Liberal #Democrat #Buttigieg #PeteButtigieg'",b'6163',b'6780',b'28',b'24017',b'23519',b'False',b'False',b'False',b'False',b'2009-03-25 01:04:17'
b'#IvankaTrump #TrumpCrimeFamily https://t.co/xlhuWfLx8o',b'1230201812851941376',b'jay vee',b'oso1mex',"b'Lake Balboa, Los Angeles'","b'Fun n freewheeling, too pragmatic for my own good, Govt seems to forget who they work for regardless if u voted for them or not: We the Ppl\\U0001f1fa\\U0001f1f8Wake Up\\u203c\\ufe0fI RESIST'",b'972',b'1812',b'2',b'84046',b'27479',b'False',b'False',b'True',b'False',b'2014-06-26 19:25:46'
b'@annalecta @IvankaTrump @TrumpGolfDubai Gross #realDonaldTrump #IvankaTrump #trumpgolfdubai',b'1230195384808460288',b'GretchenAnn Froelich',b'gfrolika',"b'Seattle Washington, USA'","b'I love my family, my Harley-Davidson motorcycle, and my garden. Travel IS an education. Live with gratitude. #impeach45 #ImpeachmentTaskForce'",b'108',b'572',b'0',b'1597',b'6538',b'False',b'False',b'False',b'False',b'2012-01-18 08:35:08'
"b'former head of the #US Office of Government #ethics has mocked\\xa0@IvankaTrump\\xa0for a recent trip to\\xa0#Dubai, which the\\u2026 https://t.co/0nXXHd6bIV'",b'1230187227814088704',b'Liana Clark \\U0001f5fd&\\u2696\\ufe0f4\\U0001f1fa\\U0001f1f8',b'mshemispheres',b'So. Cal.',"b'Learning to fly....tweet, tweet.\\nLiberal, American citizen\\U0001f1fa\\U0001f1f8, \\U0001f1e8\\U0001f1e6Canadian made, Valley girl...\\nPurple monkey dishwasher...'",b'807',b'1653',b'3',b'35662',b'69695',b'False',b'False',b'False',b'False',b'2010-03-21 19:24:09'
b'@realDonaldTrump 3. #IvankaTrump  #MoneyLaundering  #Panama &amp; #Azerbaijan\\n\\n#Trump/#Kushner/#Russia - #DeutscheBank\\u2026 https://t.co/jjTfeQdtmM',b'1230183159716864000',b'Andrew',b'Andrew00041995',b'',b'',b'10',b'64',b'0',b'1903',b'2704',b'False',b'True',b'True',b'False',b'2013-07-10 16:01:09'
"b""@cozumeldeb Yes. Read it. It's high class sleazy the way #IvankaTrump manipulated #SCOTUS""",b'1230181922569097216',b'Lois Bernard',b'blknwite',b'USA',"b'lover of images and truth-tellers, no DMs'",b'1235',b'2639',b'38',b'25799',b'116388',b'False',b'False',b'False',b'False',b'2009-04-19 13:33:45'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/HmRS0qDfwn""",b'1230181759561527296',b'cindibarr',b'cindibarr',"b'Branson, Mo'",b'',b'7',b'15',b'0',b'145',b'0',b'False',b'False',b'True',b'False',b'2008-09-18 04:04:36'
b'#DonaldTrump #POTUS @realDonaldTrump #StableGenius\\n#WhinyLittleBitch #FoxNews #FoxAndFriends #MikePence\\u2026 https://t.co/UHpglmky4E',b'1230179744970207232',b'Trump Hating Vet',b'BayAreaHorndog',b'San Francisco Bay Area',b'An old guy who believes that Donald Trump is a disgrace to America and humanity who has already proven himself to be the worst President in US history! Sad!',b'244',b'15',b'54',b'54212',b'63',b'False',b'False',b'False',b'False',b'2010-07-07 15:38:27'
