"b""Irresponsible reporting will breed only hatred. @AJENews should resist from terming India's citizenship law as anti\\u2026 https://t.co/IidcYyZxvg""",b'1232220592440475650',b'India Vs Disinformation',b'IndiavsDisinfo',b'noida',b'India against Disinformation',b'7369',b'1016',b'10',b'620',b'203',b'False',b'False',b'True',b'False',b'2019-10-30 04:51:09'
b'@Tanveershaikh87 @asadowaisi This is muslim killing muslim..Just the way muslim massacred prophets family in the name of Ollaw.',b'1232220591450710016',b'The Theorist',b'SanjeevMum',b'India',b'In IT Field',b'74',b'149',b'0',b'3157',b'5720',b'False',b'False',b'True',b'False',b'2014-01-21 16:05:49'
b'@PatidarSuyog Huh! Judging crores of Muslim with the act of a handful. Smart! Not! #fuckingdumbidiot',b'1232220588917260288',b'P J Zain',b'PJZain1',b'',"b'a football enthusiast, \\ndangerously nerdy tendencies towards life sciences and geography,\\nlove for music and sports\\n#gymboy #gayboy\\nA star in the morning!'",b'62',b'147',b'1',b'92',b'472',b'False',b'False',b'True',b'False',b'2018-08-07 02:25:47'
"b'@sharimohan121 @DPRArohana @_sabanaqvi What are these ""Muslim Areas"" ? @ramprasad_c @Sanjay_Dixit @Arvindharmapuri\\u2026 https://t.co/9kxd3tV4j7'",b'1232220582932045825',b'G.V.Vamsi Krishna\\U0001f1ee\\U0001f1f3',b'vk_wcc',"b'Hyderabad, India'",b'Proud & Unapologetic #Hindu \\U0001f1ee\\U0001f1f3',b'189',b'604',b'5',b'8583',b'5371',b'False',b'False',b'True',b'False',b'2016-05-09 19:46:59'
"b""@radicool1924 @KateStewart22 It's not, Islam urged for every person to follow his governing ruler &amp; 2 advise them &amp;\\u2026 https://t.co/6Jr9X6oZ6Y""",b'1232220580620972032',b'Deep dreams',b'DeepSharbi',b'',b'(\\u0642\\u064e\\u062f\\u0652 \\u062c\\u064e\\u0627\\u0621\\u064e\\u0643\\u064f\\u0645 \\u0628\\u064e\\u0635\\u064e\\u0627\\u0626\\u0650\\u0631\\u064f \\u0645\\u0650\\u0646 \\u0631\\u0651\\u064e\\u0628\\u0651\\u0650\\u0643\\u064f\\u0645\\u0652 \\u06d6 \\u0641\\u064e\\u0645\\u064e\\u0646\\u0652 \\u0623\\u064e\\u0628\\u0652\\u0635\\u064e\\u0631\\u064e \\u0641\\u064e\\u0644\\u0650\\u0646\\u064e\\u0641\\u0652\\u0633\\u0650\\u0647\\u0650 \\u06d6 \\u0648\\u064e\\u0645\\u064e\\u0646\\u0652 \\u0639\\u064e\\u0645\\u0650\\u064a\\u064e \\u0641\\u064e\\u0639\\u064e\\u0644\\u064e\\u064a\\u0652\\u0647\\u064e\\u0627 \\u06da \\u0648\\u064e\\u0645\\u064e\\u0627 \\u0623\\u064e\\u0646\\u064e\\u0627 \\u0639\\u064e\\u0644\\u064e\\u064a\\u0652\\u0643\\u064f\\u0645 \\u0628\\u0650\\u062d\\u064e\\u0641\\u0650\\u064a\\u0638\\u064d)',b'271',b'208',b'1',b'14901',b'16563',b'False',b'False',b'True',b'False',b'2016-02-22 16:34:19'
"b'@J4is_H3rnomo Kenapa umat Muslim terus yg didzolimi? Apa karna umat muslim perilakunya jujur, adil, menegakkan kebe\\u2026 https://t.co/hg8huONMyY'",b'1232220574274838528',b'Nurul Cholifsh',b'NCholifsh',b'',b'',b'158',b'75',b'0',b'4319',b'12',b'False',b'False',b'True',b'False',b'2019-08-08 11:07:28'
"b'Daripada Abi Darda\\u2019 RA, bahawa Rasulullah SAW bersabda:\\nTidak ada seorang hamba yang muslim apabila berdoa kepada s\\u2026 https://t.co/amhcj5seKv'",b'1232220572228210688',b'\\u0645\\u0630\\u06a9\\u0651\\u0650\\u0640\\u0631\\u2066\\U0001f1f2\\U0001f1fe\\u2069',b'Mzakkir_z',b'H7 Mosir',b'\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u200f\\u0644\\u064e\\u0627 \\u0625\\u0650\\u0644\\u0640\\u0670\\u0640\\u0640\\u0647 \\u0625\\u0650\\u0644\\u0651\\u064e\\u0627 \\u0627\\u0644\\u0644\\u0651\\u064e\\u0640\\u0640\\u0647\\u064f\\u2066\\u2066\\u261d\\ufe0f\\u2069\\u2066',b'269',b'379',b'0',b'2163',b'6540',b'False',b'False',b'True',b'False',b'2015-12-28 16:25:26'
b'Kurang greget semestinya muslim pejuang\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #LBHPelitaUmat . #KawalKetuaLBHPU\\n#BSB3\\n\\n@BwiDhira',b'1232220571997392896',b'ecianggraini',b'ecianggraini97',b'',b'#Khilafah ajaran islam',b'73',b'55',b'0',b'550',b'1',b'False',b'False',b'True',b'False',b'2019-03-17 03:04:15'
"b""@donpenguinii Are you kidding me? You can hate a political party but don't be blinded by the hate, have you seen wh\\u2026 https://t.co/ZKOjWQtza0""",b'1232220569237516288',b'Adityeah',b'SaffronBatman',"b'Hyderabad, India'",b'Socially Liberal. Culturally Hindu. Religiously Atheist. Politically Incorrect. Technically you\\u2019re wrong.',b'163',b'387',b'0',b'3489',b'34515',b'False',b'False',b'True',b'False',b'2019-04-10 10:03:09'
b'@anjanaomkashyap Amit sah chahenge to sab control ho sakta hai \\nMagar kuch nahi hindu muslim nahi insaan ki kharabhi',b'1232220568646291456',b'Tazansari',b'tazansai',b'Bhopal ',b'Apno ki talaash hai koi to milega',b'8',b'209',b'0',b'122',b'57',b'False',b'False',b'True',b'False',b'2017-11-10 13:40:49'
b'Jangan hanya karna aktifis muslim yang kritis hukim diarahkan kepadanya\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #LBHPelitaUmat\\u2026 https://t.co/Zrq4A2D8nN',b'1232220560823685120',b'Mayak2',b'Mayak210',b'',b'berjuang',b'127',b'155',b'0',b'738',b'12',b'False',b'False',b'True',b'False',b'2019-08-12 00:01:30'
