b'#DelhiBurning https://t.co/FDKIuswzPo',b'1232242804182654977',b'priyanka chaturvedi',b'PriyankaC1604',"b'New Delhi, India'",b'advocate\\nBJP supporter\\n\\u0939\\u093f\\u0902\\u0926\\u0941\\u0938\\u094d\\u0924\\u093e\\u0928 \\u091c\\u093f\\u0902\\u0926\\u093e\\u092c\\u093e\\u0926\\U0001f1ee\\U0001f1f3\\n\\u092e\\u094b\\u0926\\u0940 \\u092d\\u0915\\u094d\\u0924\\n\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940\\U0001f6a9\\U0001f6a9\\U0001f6a9\\U0001f6a9\\U0001f6a9',b'181',b'216',b'0',b'1058',b'5759',b'False',b'False',b'True',b'False',b'2018-09-12 13:07:40'
b'One side some liberal media supporting the police and another side they are also blaming for Delhi Police for Delhi\\u2026 https://t.co/yA9Yj4Ha9C',b'1232242798176407552',b'\\u092d\\u093e\\u0928\\u0942 \\u0935\\u093f\\u0936\\u094d\\u0935\\u0915\\u0930\\u094d\\u092e\\u093e bhanu Vishwakarma',b'BhanuVishwaka7',"b'Bellary, India'",b'2nd puc student \\n18 year old \\nI support right wing @BJP4India @abvpvoice @narendramodi @RSSorg @adgpi \\nI stand with army and police in any situation',b'27',b'197',b'0',b'400',b'74',b'False',b'False',b'True',b'False',b'2017-10-17 05:14:02'
"b""\\u0915\\u092a\\u093f\\u0932 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e \\u092a\\u0930 \\u092d\\u0921\\u093c\\u0915\\u0947 @SanjayAzadSln , \\u092c\\u094b\\u0932\\u0947- \\u0915\\u093e\\u0936! \\u0907\\u0938 '\\u092d\\u093e\\u091c\\u092a\\u093e\\u0908 \\u0917\\u0941\\u0902\\u0921\\u0947' \\u0915\\u094b \\u091c\\u0947\\u0932 \\u092e\\u0947\\u0902 \\u0921\\u093e\\u0932 \\u0926\\u093f\\u092f\\u093e \\u0917\\u092f\\u093e \\u0939\\u094b\\u0924\\u093e \\u0924\\u094b \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u091c\\u0932\\u0924\\u0940 \\u0928\\u0939\\u0940\\u0902\\u2026 https://t.co/vRmxy5xr0q""",b'1232242787195719682',b'The_Bhim_Voice',b'Bhim_Voice',"b'Mumbai, India'",b'#jay #bhim \\U0001f4aa\\U0001f4aa\\U0001f4aa\\U0001f4aa',b'110',b'441',b'0',b'1184',b'1033',b'False',b'False',b'True',b'False',b'2020-02-13 09:21:58'
b'@jimmykimmel @realDonaldTrump Trump spoke about Islamic terrorism and further provocated people. Our city is burnin\\u2026 https://t.co/RIPOcDXVcp',b'1232242786788925441',b'\\U0001f369',b'Donut_b_blind',b'',b'I love donuts!',b'12',b'145',b'0',b'714',b'607',b'False',b'False',b'True',b'False',b'2019-10-05 18:33:45'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0939\\u093f\\u0902\\u0938\\u093e-\\u092e\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u0940 \\u0938\\u0902\\u0916\\u094d\\u092f\\u093e 7 \\u0913\\u0930 \\u0918\\u093e\\u092f\\u0932\\u094b\\u0902 \\u0915\\u0940 60 \\u0938\\u0947 \\u0905\\u0927\\u093f\\u0915\\nCM \\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932 \\u0928\\u0947 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0938\\u0947 \\u0936\\u093e\\u0902\\u0924\\u093f \\u092c\\u0928\\u093e\\u090f \\u0930\\u0916\\u0928\\u0947 \\u0915\\u0940 \\u0905\\u092a\\u0940\\u0932 \\u0915\\u0940\\u0964 \\u0939\\u092e\\u2026 https://t.co/sXOtAZJjlb',b'1232242783173267456',b'Crat News',b'NewsCrat',"b'New Delhi, India'",b'Follow for Delhi local news.\\n\\nJoin Telegram channel - https://t.co/HIFZVfyUmw\\n\\nDownload Android App now - https://t.co/MPyRRYojsT',b'10',b'147',b'0',b'77',b'1',b'False',b'False',b'True',b'False',b'2020-01-25 10:31:10'
b'@TajinderBagga \\u092e\\u0947\\u0939\\u092e\\u093e\\u0928 \\u0906\\u0928\\u0947 \\u092a\\u0930 \\u092c\\u0926\\u092e\\u093e\\u0936 \\u092c\\u091a\\u094d\\u091a\\u0947 \\u0925\\u094b\\u0921\\u093c\\u0947 \\u091c\\u094d\\u092f\\u093e\\u0926\\u093e \\u0939\\u0940 \\u0927\\u092e\\u093e\\u0932 \\u092e\\u091a\\u093e\\u0924\\u0947 \\u0939\\u0948 \\u0915\\u094d\\u092f\\u094b\\u0902\\u0915\\u093f \\u0935\\u094b \\u091c\\u093e\\u0928\\u0924\\u0947 \\u0939\\u0948 \\u0915\\u093f \\u0905\\u092d\\u0940 \\u092e\\u0947\\u0939\\u092e\\u093e\\u0928 \\u0939\\u0948 \\u0924\\u094b \\u092a\\u093e\\u092a\\u093e\\u2026 https://t.co/pEdLI5JwfD',b'1232242777162948615',b'Sachin Bhasin',b'sachinbhasin3',"b'New Delhi, India'",b'',b'38',b'204',b'0',b'1086',b'2780',b'False',b'False',b'True',b'False',b'2015-05-10 07:19:24'
b'\\u0930\\u093e\\u0938\\u094d\\u0924\\u0947 \\u092c\\u0902\\u0926 \\u0939\\u0948\\u0902 \\u0924\\u094b \\u0915\\u094d\\u092f\\u093e \\u0939\\u0941\\u0906 \\u091f\\u0940\\u0935\\u0940 \\u0926\\u0947\\u0916\\u094b #\\u092c\\u093f\\u091c\\u0932\\u0940 \\u092b\\u094d\\u0930\\u0940 \\u0939\\u0948 \\n\\u092d\\u093e\\u0917\\u0928\\u093e \\u092a\\u0921\\u093c\\u0947 \\u0924\\u094b #\\u092c\\u0938 \\u092d\\u0940 \\u092b\\u094d\\u0930\\u0940 \\u0939\\u0948 \\n\\u0936\\u0930\\u094d\\u092e \\u0938\\u0947 \\u0921\\u0942\\u092c \\u092e\\u0930\\u0928\\u093e \\u091a\\u093e\\u0939\\u094b \\u0924\\u094b #\\u092a\\u093e\\u0928\\u0940\\u2026 https://t.co/vySb7Qn9EJ',b'1232242775531323393',b'Lakhan singh Solanki',b'LakhanS14698087',"b'Indore, India'",b'motivetr by swchch bharat abhiyan (sbm)\\nlakhan solanki indore \\n\\u091c\\u092f \\u0936\\u094d\\u0930\\u0940 \\u0930\\u093e\\u092e\\U0001f1ee\\U0001f1f3',b'221',b'594',b'0',b'382',b'20294',b'False',b'False',b'True',b'False',b'2018-02-26 03:47:24'
b'Trump\\u2019s favorite \\u2018walls\\u2019 are being constructed hastily in Ahmedabad to cover the real face of Narendra Modi\\u2019s \\u2018Guja\\u2026 https://t.co/GbcumUVL50',b'1232242762629701632',b'PatriotBukhari',b'BukhariPatriot',b'',b'Long Live Pakistan',b'230',b'619',b'0',b'3439',b'36',b'False',b'False',b'True',b'False',b'2019-09-23 07:50:38'
"b'I am thinking of applying for a licensed arms/weapon, it would be helpful in the time of distress and state sponsor\\u2026 https://t.co/EqFCrRlavT'",b'1232242760167673856',b'Zeeshan',b'Zee_Siddiq',b'\\u092d\\u093e\\u0930\\u0924',"b'""Laws too gentle are seldom obeyed; too severe seldom executed."" - Benjamin Franklin'",b'295',b'989',b'1',b'11343',b'10906',b'False',b'False',b'True',b'False',b'2019-09-18 16:05:17'
"b""28 February 2002: they burned down Gujrat\\n25 February 2020: they're burning Delhi.\\n\\n#DelhiBurning #DelhiViolence""",b'1232242756145168384',b'Sana Rahman',b'SanaRah40_95',b'citizen of world',b'A girl is no one!!!\\U0001f49e\\nRTs are DEFINITELY endorsement.',b'1312',b'259',b'3',b'12127',b'252787',b'False',b'False',b'True',b'False',b'2017-02-03 18:38:32'
b'Kitna farak hai dekho .\\nJinka kuch bhi nuksaan nhi hua woh log Puri #Delhi me atank macha diye.\\nAur\\nJho logo ka Nuk\\u2026 https://t.co/Hs5tRnNVD1',b'1232242754660585472',b'#TheHinduUnitedNations',b'The_HinduUN',b'India',b'',b'52',b'135',b'0',b'942',b'1493',b'False',b'False',b'True',b'False',b'2018-11-22 19:38:45'
b'\\u0905\\u0917\\u0930 \\u091a\\u0941\\u0928\\u093e\\u0935 \\u092e\\u0947\\u0902 \\u0928 \\u091c\\u0940\\u0924 \\u092a\\u093e\\u0913 \\u0924\\u094b \\u0936\\u0939\\u0930 \\u091c\\u0932\\u093e \\u0926\\u094b  \\U0001f620\\U0001f620\\U0001f620\\n#DelhiBurning #DelhiRiots #DelhiCAAClashes',b'1232242740819382272',b'Hitler/\\u0939\\u093f\\u091f\\u0932\\u0930',b'hitler_2_',b'',b'\\U0001f4e2 \\u092d\\u0915\\u094d\\u0924\\u091c\\u0928\\u094b\\u0902\\u093d\\u093d\\u093d..... \\u0915\\u0948\\u0938\\u0947 \\u0939\\u094b \\u0938\\u093e\\u0932\\u094b\\u0902 ???',b'53',b'303',b'2',b'1179',b'9825',b'False',b'False',b'True',b'False',b'2015-11-30 13:47:43'
b'@ippatel Police ko shoot krna allowed kr do.. dekhte hai kitne samne aate hai...\\n#DelhiBurning #DelhiRiots',b'1232242738743119873',b'A Snehal',b'AiwaleSnehal',"b'Maharashtra, India'",b'',b'93',b'122',b'0',b'22428',b'15232',b'False',b'False',b'True',b'False',b'2019-07-20 19:02:11'
b'Amit Shah as Gujarat HM : Gujarat burnt.\\n\\nAmit Shah as India HM : Delhi burnt.\\n\\n#DelhiBurning #DelhiViolence #DelhiRiot',b'1232242737082036224',b'Amit Tyagi',b'hiambuj',"b'GZB, NDLS, MZN, INDB'","b'Traveler, Trekker, Himalaya lover. Love Kashmir & Kashmiri hospitality. Son of late Ex-serviceman turned farmer. Here to express personal views.'",b'5094',b'191',b'21',b'4677',b'573',b'False',b'False',b'False',b'False',b'2010-01-04 10:01:06'
"b'\\u0935\\u093e\\u0930\\u093f\\u0938 \\u092a\\u0920\\u093e\\u0928 \\u0914\\u0930 \\u0915\\u092a\\u093f\\u0932 \\u092e\\u093f\\u0936\\u094d\\u0930\\u093e, \\u0926\\u094b\\u0928\\u094b\\u0902 \\u0939\\u0940 \\u091c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930 \\u0939\\u0948\\u0964\\n\\n\\u0915\\u0947\\u0902\\u0926\\u094d\\u0930 \\u092e\\u0947\\u0902 \\u092c\\u0948\\u0920\\u0940 \\u092c\\u0940\\u091c\\u0947\\u092a\\u0940 \\u0938\\u0930\\u0915\\u093e\\u0930 \\u0915\\u094d\\u092f\\u093e \\u0915\\u0930 \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0909\\u0938\\u0915\\u0940 \\u091c\\u093f\\u092e\\u094d\\u092e\\u0947\\u0926\\u093e\\u0930\\u0940 \\u0939\\u0948 \\u0907\\u2026 https://t.co/rJzNVCY9mi'",b'1232242730933399553',b'Sushil K Kashyap',b'SushilKashyap01',"b'Uttar Pradesh, India'",b'Ex Secretary AAP Youth Wing Delhi |\\nAAP NC Member |\\nAAP National SM Team Member |',b'32692',b'5439',b'80',b'25588',b'8176',b'True',b'False',b'False',b'False',b'2012-02-27 12:10:00'
b'#DelhiViolence \\u092e\\u093e\\u092e\\u0932\\u0947 \\u092e\\u0947\\u0902 \\u0915\\u0930\\u093e\\u0935\\u0932 \\u0928\\u0917\\u0930 \\u092e\\u0947\\u0902 \\u0926\\u094b\\u0928\\u094b\\u0902 \\u0924\\u0930\\u092b \\u0938\\u0947 \\u0938\\u0921\\u093c\\u0915 \\u092c\\u0902\\u0926 \\u0915\\u0940 \\u0917\\u0908\\n#DelhiBurning #DelhiCAAClashes https://t.co/jBFvAvQCPh',b'1232242724763340800',b'HS News',b'HSnewsLive',b'',"b""India's oldest news agency, serving in 14 national languages.""",b'14530',b'305',b'22',b'50337',b'451',b'False',b'False',b'False',b'False',b'2011-12-10 13:38:29'
b'@ZaidZamanHamid sir!!!\\nIndia burns really or it is a game from which we r unaware\\n#DelhiBurning #DelhiRiots https://t.co/cc11Fxbxbx',b'1232242723652014080',b'Muhammad Musa',b'dr_musa99',b'Mardan KP',"b'MBBS student,DR. to B InshaAllah.. \\nHafiz-e-Quran.. \\nproud Pakistani\\U0001f1f5\\U0001f1f0 & Pashtoon... \\nObviously Interested in Nature, Poetry & Politics'",b'17',b'566',b'1',b'650',b'872',b'False',b'False',b'True',b'False',b'2019-09-20 08:45:19'
"b'\\u0915\\u094c\\u092e \\u0939\\u0948,\\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0940 \\u092f\\u0947 \\u092e\\u0941\\u0917\\u0932 \\u0938\\u0932\\u094d\\u0924\\u0928\\u0924 \\u0925\\u094b\\u0921\\u093c\\u0940 \\u0939\\u0948,\\n\\u0918\\u0941\\u0932 \\u092e\\u093f\\u0932 \\u0928\\u0939\\u0940\\u0902 \\u0938\\u0915\\u0924\\u0947 \\u0924\\u094b \\u0926\\u0947\\u0936 \\u0938\\u0947 \\u091a\\u0932\\u0947 \\u0915\\u094d\\u092f\\u094b\\u0902 \\u0928\\u0939\\u0940\\u0902 \\u091c\\u093e\\u0924\\u0947\\u0964\\u0964\\n#DelhiBurning\\u2026 https://t.co/vFaFHcAZ9G'",b'1232242722129371136',b'kumar ashish',b'kumarashishbjym',"b'Lucknow, India'",b'social & political activist | devisinol vice president | @bjp4up  lucknow central-1\\n\\n\\u0938\\u0902\\u0918 \\u092a\\u0930\\u093f\\u091a\\u092f:- \\u092c\\u093e\\u0932\\u094d\\u092f\\u0915\\u093e\\u0932 \\u0938\\u094d\\u0935\\u092f\\u0902\\u0938\\u0947\\u0935\\u0915',b'4405',b'4973',b'0',b'12573',b'13282',b'False',b'False',b'False',b'False',b'2016-08-29 15:33:28'
b'@sharmasupriya @makesyoucakes @scroll_in #DelhiBurning https://t.co/ETVzRS88EM',b'1232242700616904705',b'The Immoralist!! and 69 others',b'tada_rl',b'',"b""Anarcho Communist. \\nHere 2 troll the fascists. Proud nt to b followed by the hindu terrorist Narendra Modi. Rt's are probably endorsements. Pls don't follow me.""",b'45',b'148',b'0',b'7777',b'19898',b'False',b'False',b'True',b'False',b'2012-11-20 00:21:16'
"b'Somebody please tell Modiji that we wanted Swachh Bharat for cleanliness in our streets, not ethnic cleansing in ou\\u2026 https://t.co/mSTyTzaBRM'",b'1232242698012299264',b'Kaivalya Rawal',b'KaivalyaRawal',b'',b'Reductionist. Opinionated. Views change and are non-static. Tweets are a function of time.',b'41',b'154',b'0',b'225',b'1334',b'False',b'False',b'False',b'False',b'2013-04-02 05:55:15'
b'who do you call when RSS (and hence the Police) attacks?  \\n\\n#DelhiBurning #IndiasMuslims #SOSDelhi https://t.co/8fSiZlKqNm',b'1232242695428427783',"b""will the real 'good hindoo' pls stand up?""",b'qpr009',b'India',b'',b'85',b'43',b'23',b'6069',b'7417',b'False',b'False',b'False',b'False',b'2016-04-18 12:25:25'
"b""Throughout the history, Delhi's destruction was followed by a change of regime. Loop continues..... #DelhiBurning""",b'1232242689455906816',b'Muhammad Umair\\U0001f1f5\\U0001f1f0',b'MUKashmiri',"b'Azad Kashmir,Pakistan'",b'#ProudMuslim #KASHMIRI by Bood. #Pakistani by heart. Sports Enthusiast. \\U0001f1f5\\U0001f1f0\\U0001f1f5\\U0001f1f8\\n\\u062f\\u064a\\u0646\\u0646\\u0627 \\u0628\\u062f\\u0631 \\u0623\\u0646\\u0627\\u0631 \\u0641\\u064a \\u0627\\u0644\\u0644\\u064a\\u0627\\u0644\\u064a\\n\\u0645\\u0631\\u06af \\u0628\\u0631 \\u0622\\u0645\\u0631\\u064a\\u0643\\u0627\\nVive la libert\\xe9! Viva la revoluci\\xf3n!',b'946',b'952',b'2',b'1812',b'624',b'False',b'False',b'False',b'False',b'2013-03-12 10:24:49'
"b'To hide the ugly &amp; real face of India, Modi regime hides slums by erecting walls and pumps fresh water into a dirty\\u2026 https://t.co/W3oJBTRj9m'",b'1232242686096265216',b'PatriotBukhari',b'BukhariPatriot',b'',b'Long Live Pakistan',b'230',b'619',b'0',b'3439',b'36',b'False',b'False',b'True',b'False',b'2019-09-23 07:50:38'
b'Pay heed friends.\\nDont fall for propagandas.\\n#DelhiBurning https://t.co/Vbi8yWFx7b',b'1232242684502446080',b'\\u0fd7Ravi\\u0fd7',b'joinIAF',"b'Kolkata and Ranchi, India.'",b'JaiHind\\nJaiShreeRam',b'333',b'284',b'0',b'15644',b'20029',b'False',b'False',b'False',b'False',b'2016-02-05 12:16:30'
"b""If #Delhipolice is acting like national lampoon... it's time to call Army \\U0001f4aa\\n\\n#DelhiBurning #DelhiViolence #Delhi #bjplies #bjpfails""",b'1232242682304483328',b'Abhijeet',b'Now_Abhi82',b'Here ...Now...Abhi ...Yahan !',b'\\xaf\\\\_(\\u30c4)_/\\xaf',b'180',b'319',b'7',b'12633',b'14939',b'False',b'False',b'False',b'False',b'2009-01-06 09:11:01'
b'Arrest and hang #ArrestTerroristKapilMishra #Arrest_Kapil_Mishra #ArrestKapilMishra #DelhiBurning #DelhiViolence\\u2026 https://t.co/ChdeVF1pWY',b'1232242675207663616',b'Aazam Ali',b'AazamAl44542730',b'',b'Proud Indian. standing with peace.',b'14',b'85',b'0',b'698',b'1680',b'False',b'False',b'True',b'False',b'2017-12-07 16:25:07'
"b""No matter You're Hindu or Muslim if You stay silent on what happened in Delhi, You are not just human.\\u2026 https://t.co/nGdMo6HemQ""",b'1232242673391677440',b'Malik Ibraheem',b'MalikIbraheem29',b'',b'Muslim~Proud Pakistani ~ Student ~ Cricket lover ~ Old Fashioned ~ Unpredictable ~ Chai aur biscuits',b'238',b'196',b'2',b'909',b'3697',b'False',b'False',b'True',b'False',b'2017-05-03 05:28:39'
b'@ArvindKejriwal \\u092a\\u0939\\u0932\\u0947 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u0906\\u0917 \\u0915\\u0940 \\u0915\\u094d\\u0930\\u094b\\u0928\\u094b\\u0932\\u0949\\u091c\\u0940 \\u0938\\u092e\\u091d\\u0928\\u0947 \\u0915\\u0940 \\u0915\\u094b\\u0936\\u093f\\u0936 \\u0915\\u0930\\u093f\\u092f\\u0947...\\U0001f64a\\n\\n#\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940\\u0915\\u0940\\u0915\\u094d\\u0930\\u094b\\u0928\\u094b\\u0932\\u0949\\u091c\\u0940 \\n#DelhiBurning',b'1232242668035440641',b'A M Kunal',b'arunkunal',b'New Delhi',b'film publicist',b'387',b'463',b'6',b'13824',b'6361',b'False',b'False',b'False',b'False',b'2010-05-12 17:02:18'
