b'@IvankaTrump\\n#IvankaTrump\\nhttps://t.co/s6G9LiVsr9',b'1230907830867288065',b'Xixxioux',b'xixxioux',"b'Toronto, Ontario'",b'',b'329',b'1891',b'0',b'20587',b'41967',b'False',b'False',b'True',b'False',b'2009-03-14 20:55:40'
b'@atrupar #TrumpPutin #bros #RussianAsset  43 years via #TrumpOrg #IvankaTrump Hebrew namesake GC #IBEX n #ORION on#\\u2026 https://t.co/gLg9LDmgp3',b'1230906729472217088',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1337',b'2189',b'0',b'443',b'812',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
b'@richsignorelli @ProjectLincoln Done \\u2705 Thanks Richard \\U0001f44d\\U0001f60a\\U0001f44b I am Back on my New account - can not shut down #IBEX inf\\u2026 https://t.co/I6t7dBDfoX',b'1230880077992222720',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1337',b'2189',b'0',b'443',b'812',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
b'@maggieNYT @richsignorelli #IvankaTrump Hebrew namesake GC of WallSt NYC till they destroyed it n #AndyFrankl go De\\u2026 https://t.co/8XK6HRmGH5',b'1230879091034689536',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1337',b'2189',b'0',b'443',b'812',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
b'@Ian_Fraser @atrupar @AhmedBaba_ see above \\U0001f3af\\U0001f4af\\U0001f6a7\\U0001f30e\\U0001f6a7. #IvankaTrump should have gone to jail #NYCSD too #AndyFrankl took\\u2026 https://t.co/UnzRoI9cA1',b'1230873348604776448',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1337',b'2189',b'0',b'443',b'812',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
b'#IvankaTrump Haircolour in the hair world is known as \\u201cskunk stripes\\u201d. She deserves every one of them.',b'1230868661705039889',b'Dawn Rivard',b'DawnRivard',b'CA/USA/EU',"b'EMMY & CANADIAN ACADEMY WINNING HAIR & MAKEUP DESIGNER. HUSBAND & CLIENTS ARE FAMOUS, I HIDE BEHIND THE SCENES. IATSE 873 (NOT YELLING, JUST A LOUD TALKER)'",b'1835',b'425',b'0',b'5815',b'2873',b'False',b'False',b'False',b'False',b'2011-02-23 23:31:07'
b'@Ian_Fraser @atrupar This Was my work world 2012-2014 in #IBEX #IvankaTrump Hebrew namesake GC #WallSt #NYC n GC fo\\u2026 https://t.co/8fuDbOB977',b'1230867017042886657',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1337',b'2189',b'0',b'443',b'812',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
b'@JohnMTalmadgeMD @SuziReynolds2 Hi Dr - Deb here \\U0001f44b I had to start a 2nd Twitter acct as I was screaming my #IBEX tr\\u2026 https://t.co/6w8CMG7tNH',b'1230864372144070661',b'Debra Weller Olson',b'OlsonWeller',b'United States',"b'2012-2014 FormerNYC-WallSt\\u201dGC\\u201d #IBEX BayleyConst\\u201dGC\\u201d-Seattle, ATnT-Seattle.JGD CPAFirmLaJollaCA #TheResistance #Resist #NeverAgain #WTP \\U0001f30e\\U0001f483\\U0001f3fb#ORION @dogfishdeb'",b'1337',b'2189',b'0',b'443',b'812',b'False',b'False',b'True',b'False',b'2020-02-19 12:15:58'
"b'Judge says conditions in overcrowded border holding cells violate the Constitution, bans sleeping in bathrooms\\u2026 https://t.co/sLwVGz62Ty'",b'1230854650418647042',b'Tanisha Alicea-ortega',b'AliceaOrtega',"b'Miami, FL'",b'',b'15',b'19',b'0',b'2625',b'48',b'False',b'False',b'True',b'False',b'2018-05-18 21:13:09'
"b'@BritneyHiatus Disgusting, @hillaryclinton got the photo op but this supposed ""womens champion"" hasn\'t used her pow\\u2026 https://t.co/ZmOaHwQOu3'",b'1230852532689395712',b'ilovedotstoo \\u2b50\\u2b50\\u2b50',b'ilovedotstoo',b'USA!',b'#TheBestIsYetToCome\\n\\n#IStandWithGenFlynn #prolife #KAG #MAGA #freebritney',b'1329',b'3277',b'0',b'1278',b'26543',b'False',b'False',b'True',b'False',b'2019-05-23 05:07:56'
b'#DonaldTrump #POTUS @realDonaldTrump #StableGenius\\n#WhinyLittleBitch #FoxNews #FoxAndFriends #MikePence\\u2026 https://t.co/Md0Ad6Niwc',b'1230848771979796480',b'Trump Hating Vet',b'BayAreaHorndog',b'San Francisco Bay Area',b'An old guy who believes that Donald Trump is a disgrace to America and humanity who has already proven himself to be the worst President in US history! Sad!',b'244',b'15',b'54',b'54212',b'63',b'False',b'False',b'False',b'False',b'2010-07-07 15:38:27'
