b'@vikrantkumar @KapilMishra_IND #ArrestTerroristKapilMishra  #ArrestKapilMishra #DelhiBurning #DelhiBurning #DelhiRiots #DelhiCAAClashes',b'1232253204617932800',b'Jawed \\u0917\\u093c\\u093e\\u091c\\u093c\\u0940\\u092a\\u0941\\u0930\\u0940 \\U0001f1ee\\U0001f1f3',b'JawedGhazipuri',b'\\u0917\\u093c\\u093e\\u091c\\u093c\\u0940\\u092a\\u0941\\u0930',b'IT Engineer | Political Critic| \\U0001f1ee\\U0001f1f3 by birth |Aligarh Muslim University | One day i will be in Indian Parliament l RT not endorsement |',b'88',b'4160',b'0',b'2880',b'3013',b'False',b'False',b'True',b'False',b'2015-08-06 15:40:18'
b'He is a real Chowkidar. \\n\\nStanding before the wife of American President like her peon. \\n\\n56 inch has shrunk to 15\\u2026 https://t.co/ymG6LTTvpg',b'1232253203128840193',b'Khaleel Ahmed Savanur',b'savanur_khaleel',b'',b'',b'1',b'76',b'0',b'240',b'72',b'False',b'False',b'True',b'False',b'2020-01-29 20:01:29'
b'\\u0917\\u094c\\u0924\\u092e \\u0928\\u0947 \\u0906\\u091c \\u092c\\u0921\\u093c\\u0940 \\u0917\\u0902\\u092d\\u0940\\u0930 \\u092c\\u093e\\u0924 \\u0915\\u0940........  \\n#DelhiRiots #DelhiBurning #DelhiViolence #gautamgambhir https://t.co/KfvdZ2Uvqq',b'1232253197613355009',b'syed sarim rizvi',b'syedsarimrizvi',"b'Meerut, India'",b'',b'11',b'40',b'0',b'37',b'24',b'False',b'False',b'True',b'False',b'2018-05-28 14:51:35'
"b'\\u26d4\\ufe0f#FakeNews\\u26d4\\ufe0f\\n\\nNo, this video is not from Delhi. The incident it depicts took place in Aurangabad district of Mahar\\u2026 https://t.co/HT3vq9UQ8P'",b'1232253193859416064',b'Mayur Deokar',b'mndeokar',b'',"b'In search of lies, fake and propaganda.'",b'75',b'155',b'1',b'260',b'39',b'False',b'False',b'True',b'False',b'2016-01-07 20:04:14'
b'\\u0926\\u0947\\u0916\\u094b \\u0926\\u0947\\u0916\\u094b \\u0917\\u094c\\u0930 \\u0938\\u0947 \\u0926\\u0947\\u0916\\u094b\\u0964\\n#DelhiBurning https://t.co/P7Nu3eo6Yi',b'1232253175337496577',b'Sachin Bade',b'sachin_bade11',"b'New Delhi, India'","b'Multimedia Journalist,\\nWork at @inshorts, Previously @SakalMediaNews Reporter.\\nViews Personal,\\nRetweets (RTs) are not endorsement.'",b'134',b'280',b'0',b'1550',b'3575',b'False',b'False',b'True',b'False',b'2016-05-25 12:27:02'
b'#KejriwalDilliBachao  ye to mahendra shing dhoni se bhi jyada cool hai \\n#DelhiBurning \\n#Delhi \\n#\\u092e\\u0930\\u093e\\u0920\\u093f #',b'1232253173122732032',b'Yesganesh /\\u0917\\u0923\\u0947\\u0936 \\u0921\\u093e\\u092a\\u0915\\u0930 \\u092e\\u0941\\u0902\\u0921\\u0947',b'Yesganesh12',b'',b'#Hindu aor #secular hu/\\nstudent at #vdf latur/\\n   \\U0001f4cd#latur|#Nagpur|#gondia|#parbhani|\\n / \\U0001f3e1\\U0001f4cd#parlikar/\\nDG|MUN|GI',b'33',b'105',b'0',b'306',b'487',b'False',b'False',b'True',b'False',b'2019-02-01 13:41:53'
"b'This is not an anti-CAA protest, this is a well planned and organised anarchy in the capital city of India.\\nAnd som\\u2026 https://t.co/fVgLtfS5bx'",b'1232253167582224384',b'\\u0938\\u0930\\u094d\\u0935\\u0947\\u0936 \\u0935\\u093f\\u0915\\u094d\\u0930\\u092e \\u0938\\u093f\\u0902\\u0939',b'svsraj',b'vadodara',"b'Mechanical Engineer,\\nNIT Bhopal,\\nExecutive @ L&T'",b'348',b'587',b'4',b'3187',b'1248',b'False',b'False',b'True',b'False',b'2012-06-22 05:17:50'
b'Interesting angle in #DelhiViolence is of @BhimArmyChief Bhim Army. dey r the main perpetrators who instigated Musl\\u2026 https://t.co/ktMtvejbvg',b'1232253161932410880',b'Zubair Kashmiri',b'LiberalKashmiri',b'',b'A Proud Indian Kashmiri| Tweets about Kashmir and other social-political issues| Liberal Muslim| Stand for humanity',b'286',b'1393',b'0',b'261',b'1120',b'False',b'False',b'True',b'False',b'2017-05-09 05:34:01'
b'The state intelligence bureau report suggested that the entire violence was orchestrated and was aimed at embarrass\\u2026 https://t.co/sxe04wzucY',b'1232253154332332032',b'OneIndia',b'Oneindia',b'India',"b'https://t.co/b2BCDYhPGV is a gamut of online resources. From breaking stories, top news, current affairs to sports update, movies & entertainment.'",b'60287',b'663',b'989',b'334954',b'349',b'True',b'False',b'False',b'False',b'2008-12-16 09:44:12'
b'#DelhiRiots #DelhiBurning #DelhiViolence #Delhi #DelhiPolice #IslamicJihad #Isupportdelhipolice \\n#Jafrabad\\u2026 https://t.co/bwax8OuSzc',b'1232253149190053889',b'Prakash K Jha',b'prakashjhatweet',b'',"b'BJP,CONGRESS, JDU, RJD. LJP. RLSP, JAP. HAM. CPI.CPM .BIHAR POLITICS. ELECTION RESULT\\n\\nFounder of LMG MEDIA .\\n\\nNon Residential Maithil.\\nBorn In Madhubani India.'",b'1578',b'133',b'2',b'1091',b'50',b'False',b'False',b'False',b'False',b'2015-11-21 04:11:52'
b'@ArvindKejriwal Then Y r u The CM of Delhi..????\\n\\n#DelhiBurning',b'1232253138947670017',b'faz_Vampi',b'FazluNaaz',b'',b'',b'14',b'41',b'0',b'1723',b'4175',b'False',b'False',b'True',b'False',b'2018-08-24 11:24:34'
