"b'@ZeeNewsHindi \\u092d\\u0940\\u092e \\u0906\\u0930\\u094d\\u092e\\u0940 \\u091c\\u0948\\u0938\\u0947 \\u0906\\u0924\\u0902\\u0915\\u0940 \\u0938\\u0902\\u0917\\u0920\\u0928 \\u0916\\u0941\\u0932 \\u0915\\u0947 \\u0907\\u0938\\u094d\\u0932\\u093e\\u092e\\u093f\\u0915 \\u0926\\u0902\\u0917\\u093e\\u0908\\u092f\\u094b\\u0902 \\u0915\\u093e \\u0938\\u093e\\u0925 \\u0926\\u0947 \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902, \\u0907\\u0928\\u0915\\u0947 \\u0939\\u093e\\u0925 \\u092d\\u0940 \\u0909\\u0924\\u0928\\u0947 \\u0939\\u0940 \\u0916\\u0942\\u0928 \\u0938\\u0947 \\u0930\\u0902\\u2026 https://t.co/i53mRZvEeG'",b'1232243745644523521',b'Amit Sharma',b'AmitSha78146031',b'Hindustan',b'\\U0001f6a9\\u0927\\u0930\\u094d\\u092e \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u094d\\u0930\\u093f\\u092f\\U0001f6a9 ||\\n\\nBlocked by @RahulGandhi',b'801',b'834',b'1',b'5259',b'10541',b'False',b'False',b'True',b'False',b'2019-03-11 07:18:05'
b'Dear Protesters on you mark get set go. \\U0001f3c3\\U0001f3c3\\n\\nOnce President Trump will return for US you will get VIP class treatmen\\u2026 https://t.co/EZzOpds32M',b'1232243701751005186',b'Ibn Sina',b'Ibne_Sena',"b'Srinagar J&K, India'","b'Journalist with Interest in National Security | Tracking \\U0001f441\\ufe0f Terrorism, Violence & Radicalization | Tweets are based on facts and opinions- Views Are Personal.'",b'74487',b'697',b'182',b'28361',b'120371',b'False',b'False',b'False',b'False',b'2013-03-25 15:26:43'
"b""#DelhiViolence: #AnilBaijal Says 'Both CM &amp; I Want Peace &amp; Harmony to Remain Intact in the National Capital'\\u2026 https://t.co/8M0x4FtXY2""",b'1232243686441988097',b'LatestLY',b'latestly',"b'Mumbai, India'","b'https://t.co/U4rHOvnjZj focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news.'",b'54589',b'339',b'82',b'96225',b'68',b'True',b'False',b'False',b'False',b'2017-02-07 05:41:28'
b'@sardesairajdeep @GautamGambhir No action required against Shri @KapilMishra_IND as he did nothing wrong.\\nOf course\\u2026 https://t.co/M0dVkLRwxH',b'1232243682537025539',b'Youth4bjp',b'youth4bjp',b'Delhi',b'Young professionals inspired with what BJP stands for came together and gave birth to spark named- Youth4BJP',b'7847',b'830',b'50',b'47710',b'6449',b'False',b'False',b'True',b'False',b'2010-05-24 03:51:27'
b'@aajtak \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0932\\u0917\\u0940 \\u0906\\u0917 \\u0938\\u0947 \\u0938\\u092e\\u091d \\u0906 \\u0917\\u092f\\u093e #\\u0915\\u0947\\u091c\\u0930\\u0940\\u0935\\u093e\\u0932 \\u0928\\u0947 #\\u0915\\u092a\\u093f\\u0932_\\u092e\\u093f\\u0936\\u094d\\u0930\\u093e \\u0915\\u094b \\u092a\\u093e\\u0930\\u094d\\u091f\\u0940 \\u0938\\u0947 \\u0932\\u093e\\u0924 \\u0915\\u094d\\u092f\\u094b\\u0902 \\u092e\\u093e\\u0930\\u0940 \\u0925\\u0940\\u2026 https://t.co/iJjqcLuKHc',b'1232243680553185280',b'prashant jain',b'itsrealpk',b'India',"b'Journalist, Writer, Educationalist\\n\\U0001f4faNews Network Of Rajasthan\\U0001f441\\ufe0f\\n\\U0001f493Rajasthan is my heartbeat \\U0001f493\\n\\U0001f49bKyunki Dil Hein Rajasthani'",b'225',b'3539',b'0',b'15686',b'19300',b'False',b'False',b'False',b'False',b'2012-07-09 04:06:44'
b'No one can feel the pain of those who lost something \\n\\n#DelhiViolence\\n#AmitShahResign \\n#DelhiRiots \\n#CAAProtest\\u2026 https://t.co/Yz7nBVyvuO',b'1232243665617195008',b'Biswajit Majumder',b'BiswajitINC',"b'Agartala, India'","b'Ex-SM Co-coordinator of Tripura Pradesh Congress,Member @INCIndia ID:TR18W0010117,Ex-State GS\\U0001f607Tripura State NSUI,Political Icon:#RajivGandhiji,Admin of #TeamBM'",b'873',b'1058',b'2',b'11586',b'4803',b'False',b'False',b'False',b'False',b'2014-04-02 14:12:08'
b'@SushantBSinha @DrShobha #CAAProtest \\nNo one lost citizenship..\\nBut someone lost their Papa .\\n#RatanLal\\u2026 https://t.co/ofEWiLqArQ',b'1232243664585314310',b'ravinder bhandari',b'payyaboy',"b'Lucknow, India'","b'honest ,courage of conviction, fearless, Nationalist #NDA Khadakwasla #IIT Kharagpur #AirportRunways #SatyamevaJayate'",b'474',b'906',b'0',b'11652',b'3603',b'False',b'False',b'False',b'False',b'2010-07-27 10:16:10'
b'Finally you are doing Justice to ur religion by not taking any name from #CAAProtest and nothing wrong in it becaus\\u2026 https://t.co/yZx5pefzzY',b'1232243652832976897',b'Pawan Kumar',b'pawan0559807547',b'',b'',b'139',b'488',b'1',b'3740',b'18303',b'False',b'False',b'True',b'False',b'2016-03-10 17:39:18'
b'\\u091f\\u094d\\u0930\\u0902\\u092b \\u0915\\u0947 \\u092c\\u0938 \\u091c\\u093e\\u0928\\u0947 \\u0915\\u093e \\u0907\\u0902\\u0924\\u091c\\u093e\\u0930 \\u0939\\u0948\\n\\u0938\\u092c\\u0915 \\u0938\\u093f\\u0916\\u093e\\u0928\\u0947 \\u0915\\u094b \\u092c\\u0938 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u092c\\u0947\\u0915\\u0930\\u093e\\u0930 \\u0939\\u0948\\n\\u091c\\u093f\\u0924\\u0928\\u093e \\u0906\\u091c\\u093c\\u093e\\u0926\\u0940 \\u0915\\u0947 \\u0928\\u093e\\u0930\\u0947 \\u0932\\u0917\\u093e\\u0928\\u0947 \\u0932\\u0917\\u093e \\u0932\\u094b\\n\\u0906\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0940 \\u0905\\u092c \\u0932\\u091f\\u094d\\u0920\\u094b\\u2026 https://t.co/Ty7vx0ACYl',b'1232243650664501248',b'\\U0001f1ee\\U0001f1f3 \\u0935\\u093f\\u0936\\u093e\\u0932 \\u0938\\u093f\\u0902\\u0939 \\U0001f1ee\\U0001f1f3',b'Thakur_VishalS',"b'New Delhi, India'",b'Searching Bharat',b'84',b'57',b'0',b'3500',b'1778',b'False',b'False',b'True',b'False',b'2018-01-14 13:11:03'
b'#CAAProtest \\n@NrcProtest \\n@_sabanaqvi @BDUTT @Nidhi https://t.co/epK4FUIHOs',b'1232243647627878406',b'vandana jain',b'vandanajain24',"b'Faridabad, India'",b'faridabad',b'692',b'580',b'18',b'19399',b'9264',b'False',b'False',b'True',b'False',b'2010-05-23 16:48:35'
