"b'\\u0986\\u09b0\\u09cd\\u099c\\u09c7\\u09a8\\u09cd\\u09a4\\u09bf\\u09a8\\u09be\\u09af\\u09bc \\u09aa\\u09b0\\u09be \\u20b9\\u09e7.\\u09ed \\u09b2\\u09be\\u0996\\u09c7\\u09b0 \\u09a1\\u09cd\\u09b0\\u09c7\\u09b8 \\u09ad\\u09be\\u09b0\\u09a4\\u09c7 \\u09b0\\u09bf\\u09aa\\u09bf\\u099f \\u0987\\u09ad\\u09be\\u0999\\u09cd\\u0995\\u09be\\u09b0, \\u099a\\u09b0\\u09cd\\u099a\\u09be \\u0987\\u09a8\\u09cd\\u099f\\u09be\\u09b0\\u09a8\\u09c7\\u099f\\u09c7\\nhttps://t.co/r3EjA3LDPU\\n#IvankaTrump\\u2026 https://t.co/brl7hsEd1x'",b'1232192971392471040',b'Ei Samay',b'Ei_Samay',"b'Kolkata, India'","b'Ei Samay is news of now, views of now and the voice of now. A Times Internet Product.'",b'45396',b'165',b'245',b'70435',b'31',b'True',b'False',b'False',b'False',b'2012-09-12 08:29:01'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ovina_sanders #poshmark #fashion\\u2026 https://t.co/GBJW9XRPBd""",b'1232190151461224448',b'donnacbposh',b'WilcherDonna',b'',b'',b'55',b'129',b'0',b'4410',b'109',b'False',b'False',b'True',b'False',b'2018-09-26 21:30:09'
b'\\u0cac\\u0ccd\\u0cb0\\u0cc7\\u0c95\\u0cbf\\u0c82\\u0c97\\u0ccd \\u0ca8\\u0ccd\\u0caf\\u0cc2\\u0cb8\\u0ccd;  \\u0ca6\\u0cc6\\u0cb9\\u0cb2\\u0cbf\\u0caf \\u0cb8\\u0cb0\\u0c95\\u0cbe\\u0cb0\\u0cbf \\u0cb6\\u0cbe\\u0cb2\\u0cc6\\u0c97\\u0cc6 \\u0c86\\u0c97\\u0cae\\u0cbf\\u0cb8\\u0cbf\\u0ca6 \\u0cae\\u0cc6\\u0cb2\\u0cc6\\u0ca8\\u0cbf\\u0caf\\u0cbe \\u0c9f\\u0ccd\\u0cb0\\u0c82\\u0caa\\u0ccd \\n#TrumpInIndia #TrumpIndiaVisit #TrumpVisitIndia\\u2026 https://t.co/pleb8JeMwz',b'1232189276210642944',b'Vijay Karnataka',b'Vijaykarnataka',b'Bangalore',"b'Official Twitter Account of VK, PRIDE OF YOUNG KARNATAKA, A Times Internet Product | @Timesinternet'",b'83309',b'414',b'115',b'107457',b'81',b'True',b'False',b'False',b'False',b'2012-02-16 13:42:45'
"b'We are not just strategic partners : Family-sweetness in Indo-American relationships - Modi\\n"" Hey ! wait a minute..\\u2026 https://t.co/rE8NLrJAhT'",b'1232188846088916992',b'kaak cartoonist',b'kaaktoons',b'',b'cartoonist Kaak',b'407',b'21',b'0',b'7794',b'197',b'False',b'False',b'True',b'False',b'2012-01-13 12:17:26'
b'Is #IvankaTrump the new \\u2066@realDonaldTrump\\u2069 #SecretaryOfState ? https://t.co/siMciLw4Fk',b'1232188148140036096',b'Noah Davis',b'noahcd28',b'SEATTLE',"b'Lawyer, dad, exercise & sports enthusiast, former college FB & BB player, #UCA & #UArkansas grad, self-proclaimed #mma titleholder & occasional optimist'",b'127',b'163',b'20',b'10220',b'820',b'False',b'False',b'True',b'False',b'2014-01-09 16:34:24'
b'\\u0905\\u092e\\u0947\\u0930\\u093f\\u0915\\u093e \\u0939\\u092e\\u0947\\u0936\\u093e \\u092d\\u093e\\u0930\\u0924 \\u0915\\u093e \\u090f\\u0915 \\u0935\\u092b\\u093e\\u0926\\u093e\\u0930 \\u0914\\u0930 \\u0928\\u093f\\u0937\\u094d\\u0920\\u093e\\u0935\\u093e\\u0928 \\u092e\\u093f\\u0924\\u094d\\u0930 \\u0930\\u0939\\u0947\\u0917\\u093e - \\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\n\\nRead here: https://t.co/RmhofbycN2\\u2026 https://t.co/aYC2EzOPqi',b'1232188115160166400',b'Naya India',b'nayaindianews',b'India',b'National Hindi newspaper providing undiluted & unvarnished news &views/ \\nInstagram: https://t.co/oQabDjZgTc',b'6228',b'128',b'0',b'31406',b'641',b'False',b'False',b'False',b'False',b'2012-05-09 09:42:12'
"b'\\u0aa1\\u0acb\\u0aa8\\u0abe\\u0ab2\\u0acd\\u0aa1 \\u0a9f\\u0acd\\u0ab0\\u0aae \\u0ab8\\u0abe\\u0aa5\\u0ac7 \\u0ab2\\u0a82\\u0a9a \\u0a95\\u0ab0\\u0ab6\\u0ac7 \\u0aad\\u0abe\\u0ab0\\u0aa4\\u0aa8\\u0abe \\u0a86 \\u0aa6\\u0abf\\u0a97\\u0acd\\u0a97\\u0a9c \\u0aac\\u0abf\\u0a9d\\u0aa8\\u0ac7\\u0ab8\\u0aae\\u0ac7\\u0aa8, \\u0a86 \\u0ab0\\u0ab9\\u0acd\\u0aaf\\u0ac1\\u0a82 \\u0a86\\u0a96\\u0ac1\\u0a82 \\u0ab2\\u0abf\\u0ab8\\u0acd\\u0a9f\\n\\n\\u0a9c\\u0abe\\u0aa3\\u0acb \\u0ab8\\u0aae\\u0a97\\u0acd\\u0ab0 \\u0aae\\u0abe\\u0ab9\\u0abf\\u0aa4\\u0ac0:\\u2026 https://t.co/3WbF3U87ar'",b'1232188044595220481',b'Sandesh',b'sandeshnews',"b'Gujarat, India'","b""Latest news, business, sport, entertainment, lifestyle and culture from https://t.co/nxFQiuqmY1. We are Gujarat's no 1 news network""",b'191475',b'114',b'235',b'134089',b'111',b'False',b'False',b'False',b'False',b'2009-10-28 13:15:52'
b'\\u092d\\u093e\\u0930\\u0924 \\u0926\\u094c\\u0931\\u094d\\u092f\\u093e\\u0935\\u0930 \\u0921\\u094b\\u0928\\u093e\\u0932\\u094d\\u0921 \\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u092f\\u093e\\u0902\\u091a\\u094d\\u092f\\u093e\\u0938\\u094b\\u092c\\u0924 \\u0906\\u0932\\u0947\\u0932\\u094d\\u092f\\u093e \\u0907\\u0935\\u093e\\u0902\\u0915\\u093e \\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0939\\u0940 \\u091a\\u0930\\u094d\\u091a\\u0947\\u0924...\\n\\nhttps://t.co/u6oU8W4IcW\\n#IvankaTrump',b'1232186383172653057',b'ZEE \\u0968\\u096a \\u0924\\u093e\\u0938',b'zee24taasnews',b'Maharashtra',b'A leading Marathi news channel.',b'261078',b'76',b'369',b'168297',b'698',b'True',b'False',b'False',b'False',b'2010-03-26 12:42:55'
"b""#Delhi: #US President Donald Trump's daughter and senior advisor #IvankaTrump arrives at Rashtrapati Bhavan ahead o\\u2026 https://t.co/8317VNFPN4""",b'1232185050428473344',b'PINAK SHUKLA\\U0001f1ee\\U0001f1f3',b'PINAK_SHUKLA',"b'Ahmadabad City, India'","b'SENIOR CORRESPONDENT, SR.PRODUCER - TV9 - AHMEDABAD, DEFENCE, RTS ARE NOT ENDORSED..\\u0938\\u0947\\u0928\\u093e \\u092c\\u094b\\u0932\\u0924\\u0940 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u0948 | \\u0938\\u0947\\u0928\\u093e \\u092a\\u0930\\u093e\\u0915\\u094d\\u0930\\u092e \\u0915\\u0930\\u0924\\u0940 \\u0939\\u0948.. \\n#NationFirst\\U0001f1ee\\U0001f1f3'",b'1001',b'1042',b'14',b'3997',b'3186',b'False',b'False',b'True',b'False',b'2009-10-14 10:30:47'
"b'\\U0001f1fa\\U0001f1f8\\U0001f1ee\\U0001f1f3Where on one side people have joined @IvankaTrump , she became the national crush of India.\\n\\nCrisis is not comp\\u2026 https://t.co/rb4jQM2sCe'",b'1232184687189200896',b'TheTrekMen |\\U0001f1ee\\U0001f1f3',b'gouravsharmadeo',b'\\u092d\\u093e\\u0930\\u0924',b'Entrepreneur| Data Analyst | Creative|Writer | Valuable Content for everyone| Analytical Thinker| \\nTravel deals/\\nCMO in @TripZadatravels\\nhttps://t.co/HCD1diqXBE',b'134',b'164',b'0',b'494',b'776',b'False',b'False',b'False',b'False',b'2012-06-23 03:28:20'
b'#DelhiBurning While #TrumpInIndia \\nVictims of #1984SikhGenocide \\nMarch For Justice - \\nFeb 25th - 12:30pm TeenMurti\\u2026 https://t.co/hQISkAQQnG',b'1232184098174722051',b'Pannun_2020',b'2020_PannunSFJ',"b'Manhattan, NY'",b'One Goal In Life Balkanization Of INDIAN Terror State',b'6',b'1',b'0',b'13',b'4',b'False',b'False',b'True',b'False',b'2020-02-22 22:22:02'
