"b'@HomeBuilderTex @ABC ""Good job, Tex!"" #IvankaTrump \\U0001f1fa\\U0001f1f8 https://t.co/uDYD3dkU2W'",b'1229205169914568704',b'ChairmanYou',b'ComradeYou',"b'Los Angeles, CA'",b'#TheResistance \\U0001f1fa\\U0001f1f8 #Resist \\U0001f1fa\\U0001f1f8 #MOT',b'1057',b'1561',b'0',b'4953',b'2934',b'False',b'False',b'True',b'False',b'2019-03-23 20:20:12'
"b""#IvankaTrump lauds #Saudi, #UAE on women's rights reforms https://t.co/5LVJjV2moq @MailOnline""",b'1229203031620804610',b'Kiran Varughese',b'kiranjoyv',"b'Toronto, Ontario'",b'',b'363',b'35',b'50',b'11308',b'4',b'False',b'False',b'False',b'False',b'2009-03-29 04:25:31'
b'I physically shuddered when I read this. #IvankaTrump  is absolutely and utterly insensitive to women. #uspoli https://t.co/GDStY6uihD',b'1229201031650656256',b'Schnappi',b'Gatorau',b'Newcastle',"b'As I get older, I get angrier. Sweary leftie. Awabakal Country - never ceded. Change the date. Loathes LNP. Who elected this criminal cartel anyway?'",b'3218',b'4499',b'92',b'78718',b'59596',b'False',b'False',b'False',b'False',b'2009-02-12 22:02:44'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/BtXYEjUNL0""",b'1229200923324375040',b'Stacy Peterson',b'stacype81417104',"b'Huntsville, AL'",b'Country Girl * Adventurous * Lives Life to the Fullest * Loves Music',b'12',b'137',b'0',b'700',b'75',b'False',b'False',b'True',b'False',b'2014-08-30 03:12:14'
b'Alice in Blunderland #IvankaTrump #TrumpCrimeFamily #IvankaUnwanted https://t.co/KyfjGFJ0hC',b'1229199770968715265',b'TKT\\U0001f1e8\\U0001f1e6 \\U0001f1fa\\U0001f1f8',b'TaylorTeresakt',b'Canada',"b'Justice monger, seeker of truth. I\\u2019ve been there, done that but want to do more.'",b'254',b'210',b'1',b'7745',b'58212',b'False',b'False',b'True',b'False',b'2015-05-05 00:22:00'
b'@IvankaTrump  visita a Grande Mesquita Sheikh Zayed em Abu Dhabi e confirma que a mesquita \\xe9 uma maravilhosa obra a\\u2026 https://t.co/ai4tGDfYmH',b'1229199038093971462',b'Rose Sanchez',b'ROSEBdMELLO',b'Rio de Janeiro/Florida',"b'Mulher de Deus, esposa do Eddy, m\\xe3e da Duda e av\\xf3 da Vanillinha! #Conservadora #familiatradicional \\U0001f1e7\\U0001f1f7\\U0001f1fa\\U0001f1f8'",b'184',b'353',b'2',b'5185',b'13688',b'False',b'False',b'False',b'False',b'2010-04-15 02:39:09'
"b""#Ivankatrump's entire life is one ridiculous photo-op after another https://t.co/jwEXmhHkgd""",b'1229197157091012608',b'TrumpGoingGone',b'CorporatePiggie',b'',b'#RESIST #TheResistance  #FBR  #IMPEACH #LGBTQ #BLM\\n#Inequality NO DMs',b'10441',b'9649',b'16',b'75925',b'51092',b'False',b'False',b'False',b'False',b'2015-08-26 21:35:11'
b'WHAT A JOKE...\\n#IvankaTrump SHOW OFF THE FAKE BOOBS DIPLOMACY TOUR\\n\\nCan someone please tell this idiot (S.Bannon ca\\u2026 https://t.co/hi8ifcf552',b'1229191706102423553',b'LAND',b'me4usa',b'',b'BLOCKED by @AIPAC \\U0001f44d\\U0001f3fd - \\u2764\\ufe0f\\U0001f64f\\U0001f3fd & Tweets for \\U0001f1f5\\U0001f1f8 - \\U0001f1fa\\U0001f1f8 VOTE \\U0001f64f\\U0001f3fd \\u262e\\ufe0f',b'1672',b'170',b'22',b'67317',b'22001',b'False',b'False',b'True',b'False',b'2012-01-04 00:09:33'
"b'It\\u2019s official, Magas. Ivanka has converted to Muslin and will be joining ISIS. #Sad #IvankaTrump https://t.co/4j7CVxRtvA'",b'1229188372498767872',b'a palace source (N8vKnight)',b'SeanSKnighton',b'London',"b'British Indian and Swiss. 100% banter. Geopolitics, diplomacy, and drag queens. He/Him'",b'200',b'1136',b'2',b'7823',b'37981',b'False',b'False',b'True',b'False',b'2015-03-25 17:25:55'
b'\\u3069\\u3053\\u306e\\u304a\\u59eb\\u69d8\\u304b\\u3068\\u601d\\u3063\\u305f\\u3089\\u30a4\\u30f4\\u30a1\\u30f3\\u30ab\\u30c8\\u30e9\\u30f3\\u30d7\\u3055\\u3093\\u304b\\u2026\\u7f8e\\u3057\\u3044\\u3067\\u3059\\u306d\\u3002\\n\\nWho is this beautiful princess?\\n@IvankaTrump \\n#IvankaTrump https://t.co/tBHV13aZ0d',b'1229183915811688450',b'\\u822c\\u82e5\\uff20\\u4fdd\\u5b88\\u7cfb\\u662f\\u3005\\u975e\\u3005',b'hannyaxxx',b'\\u65e5\\u672c',b'\\u4e2d\\u9053\\u4fdd\\u5b88\\u662f\\u3005\\u975e\\u3005 \\u81ea\\u7531\\u7af6\\u4e89\\u3068\\u89e3\\u96c7\\u81ea\\u7531\\u5316\\u63a8\\u9032\\u3001\\u65e5\\u672c\\u4ee3\\u8868\\u306f\\u4f55\\u3067\\u3082\\u5fdc\\u63f4\\u3001\\u653f\\u6cbb\\u7d4c\\u6e08\\u30b9\\u30dd\\u30fc\\u30c4\\u7b49\\u304c\\u597d\\u7269\\u3001\\u89aa\\u65e5\\u5916\\u56fd\\u4eba\\u306b\\u306f\\u611b\\u3002\\u53cd\\u65e5\\u5916\\u56fd\\u4eba\\u3068\\u53cd\\u65e5\\u56fd\\u5bb6\\u306f\\u5fb9\\u5e95\\u6392\\u9664\\u3002\\n\\u4e0d\\u52d5\\u7523\\u4f1a\\u793e\\u307b\\u304b3\\u793e\\u7d4c\\u55b6\\u3001\\u81ea\\u6c11\\u515a\\u4e2d\\u5fc3\\u306b\\u4fdd\\u5b88\\u7cfb\\u4ee3\\u8b70\\u58eb\\u3068\\u3082\\u4ea4\\u53cb\\u3002\\u65e2\\u5a5a\\u5b50\\u6301\\u3061\\xd7\\u306a\\u3057',b'370',b'484',b'5',b'14389',b'10056',b'False',b'False',b'False',b'False',b'2015-01-21 04:46:58'
b'I love this hashtag by #IvankaTrump \\n#DatonaDonald \\U0001f447 https://t.co/UgeJuZT7q7',b'1229182477991841795',b'L.M. Cornelius\\u2b50\\u2b50\\u2b50\\U0001f64f',b'TrueAngelEyes',b'Some where Ontario',b'2 Cor 5:7 For we walk by faith and not by sight. Eph 1:17  He prayed for the spirit of revaluation to rest upon believers. I am a Intercession Prayer Warrior',b'474',b'418',b'1',b'6972',b'17523',b'False',b'False',b'False',b'False',b'2009-08-17 17:12:58'
