"b'Und falls @realDonaldTrump noch etwas Katastrophentourismus betreiben m\\xf6chte, braucht er gar nicht weit fahren. Im\\u2026 https://t.co/5nT8apZEXS'",b'1232240624415330305',b'Peter Gerhardt',b'PeterGerhardt',"b'Neu-Delhi, Republik Indien'","b'S\\xfcdasien Korrespondent ARD TV / Senior Correspondent South Asia for ARD German TV / my own views here, just saying'",b'599',b'398',b'24',b'1134',b'540',b'False',b'False',b'False',b'False',b'2009-03-17 16:17:50'
b'This is no longer about taking a side and being pro or anti CAA. This has boiled down to your idea of humanity. You\\u2026 https://t.co/qtiiK8397D',b'1232240619919011840',b'kaavya narain',b'kaavyanarain',b'India',b'Communications consultant|Gypsy Soul|Inherited wanderlust|Music over people',b'32',b'170',b'0',b'55',b'141',b'False',b'False',b'False',b'False',b'2013-08-09 18:44:23'
b'There is no Pro CAA... right now they are just goons hating a religion and hate filled in hearts\\n\\n#DelhiRiots\\u2026 https://t.co/nqoIjbQfgc',b'1232240605155254276',b'Chal Jhoota!!',b'mohammadnayaz',"b'Richmond, VA'",b'\\u0150ne \\u0141ife.... \\xd4ne \\u013dove... \\xd5ne \\u0106lub..\\n\\u26bd\\u010chelsea fc\\u26bd\\n\\nNever stop cheering for my home teams... \\n\\u26bdBengaluru fc and RCB\\U0001f3cf',b'137',b'504',b'2',b'1515',b'1270',b'False',b'False',b'False',b'False',b'2010-03-16 16:49:55'
"b'Trump does not need to dig the reality of India, just see what\\u2019s happening in Delhi, pro and anti CAA riots which k\\u2026 https://t.co/da4RR5dgV2'",b'1232240533290061824',b'Zimal Buttar',b'buttar_zimal',b'United States',b'Living #life on my own Terms',b'58',b'83',b'0',b'3084',b'749',b'False',b'False',b'True',b'False',b'2019-11-01 07:45:33'
"b""@Nidhi @pbhushan1 @arvindgunasekar @saurabhshukla_s Since your colleagues or  most of the journos didn't dared to g\\u2026 https://t.co/exGslNBuNQ""",b'1232240514541539330',b'A_bnish',b'3abjna',b'India',"b'atheist, definitely not from the left,'",b'6',b'223',b'0',b'1447',b'2684',b'False',b'False',b'True',b'False',b'2018-01-11 14:04:14'
b'Appeal to @ArvindKejriwal : please announce that no freebies for those involved in violent protests pro or against\\u2026 https://t.co/21S4wOt6AP',b'1232240467380559873',b'Ramoji Tejomurtula',b'tramoji',b'',b'two decades in healthcare....',b'26',b'107',b'1',b'1110',b'3592',b'False',b'False',b'True',b'False',b'2011-03-04 11:04:49'
b'Shaheen Bagh protest is going on for 2 months:\\n\\nNo of Riots- 0\\nNo of person injured- 0\\nNo of Houses burnt- 0\\nNo of\\u2026 https://t.co/C47TRME6Ny',b'1232240383696023553',b'Azam M',b'MohammedAzam489',b'',b'',b'15',b'156',b'0',b'884',b'832',b'False',b'True',b'True',b'False',b'2017-01-18 06:17:21'
b'@peermoh26924274 @Mark2Kali_ @tamilamizhthu https://t.co/CUllkpjqlq',b'1232240379128246274',b'Sk Palanikumar Yadav',b'p_nikumar',"b'\\u0930\\u093e\\u092e\\u0947\\u0936\\u094d\\u0935\\u0930\\u092e, Rameswaram'",b'\\xed h\\u03b1d \\u03b1ch\\xed\\u0454v\\u0454d \\xedn m\\u0447 l\\xedf\\u0454 \\xed\\u0455 \\u0432\\u0454tt\\u0454r th\\u03b1n t\\u03c3 \\u0455\\u03b1\\u0447 th\\u03b1t \\xed n\\u0454v\\u0454r hurt\\u0454d \\u03b1n\\u0447\\u0432\\u03c3d\\u0447 \\xedn m\\u0447 l\\xedf\\u0454!\\n\\n\\U0001f6a9jai shri raam! jai shri krishna!\\U0001f6a9',b'61',b'283',b'0',b'1300',b'3066',b'False',b'False',b'True',b'False',b'2018-10-07 15:22:32'
"b'@1ravisingh Bhai mai neutral nahi hu,\\nAnd mai kehta hu sbko karna chahiye punish pro anti CAA sbko. But jaise share\\u2026 https://t.co/IU9Trd56ly'",b'1232240330168123392',b'Deepanshu verma',b'Deepans695',b'',b'not a leftist but against the government.\\nwriter\\npoet\\niitaspirant',b'39',b'253',b'0',b'92',b'337',b'False',b'False',b'True',b'False',b'2017-04-08 08:42:41'
"b'@Nehr_who Pro CAA wale toh aapas mein hi lad mare, haina?'",b'1232240318508142592',b'Not-Fiction',b'startafresh4',b'Eminemdom',"b'Call me extra, extra terrestrial\\n\\n\\n\\n\\n https://t.co/jvrwPzBzeW'",b'325',b'90',b'20',b'34075',b'7434',b'False',b'False',b'True',b'False',b'2016-06-15 05:53:17'
b'@Swamy39 What about Pro CAA swami ji... Danga bhadkane wale RSS k log aur Kapil Mishra jaise haramio k baare mei bh\\u2026 https://t.co/uBSTS2EnmS',b'1232240224362582016',b'Shashank Mishra',b'Shashan93759821',b'',"b'Father, Son, Brother, Husband, Friend.. You can reverse the list as well'",b'8',b'483',b'0',b'137',b'12',b'False',b'False',b'True',b'False',b'2019-07-22 13:59:32'
b'A bus had been burnt in the name of AntiCAA protests by Sanghi agents to form a tool to attack protestors by the po\\u2026 https://t.co/eNUWs0FXB6',b'1232240193798889472',b'UnReluctant Pen',b'BarbaadKalam',"b'New Delhi, India'",b'',b'89',b'118',b'0',b'480',b'114',b'False',b'False',b'True',b'False',b'2011-07-22 13:02:36'
b'In 1984 1000s of sikhs killed in the street of delhi.\\nIn 2020 police seen throwing stone with pro caa protesters.\\nI\\u2026 https://t.co/l0NDSefYb9',b'1232240170876964864',b'sahil farooqui amrohvi',b'SahilAmrohvi',b'amroha',b'AIMIM Amroha Dist. Media Incharge \\n\\nproud to be an Indian Muslim',b'191',b'228',b'0',b'527',b'860',b'False',b'False',b'True',b'False',b'2019-06-02 18:52:07'
b'Chourasia ga ....du pichle 2 mahine se andolan ho raha he sab Shanti se hi tha Tere papa modi ke party wale pro caa\\u2026 https://t.co/mBmYKEanmT',b'1232240126748712960',b'Samir (Bhakto \\u0915\\u093e \\u091a\\u093e\\u091a\\u093e )',b'samir_6650',"b'Ahmadabad City, India'",b'arey (Bho$Di wale Chacha Nahi)',b'96',b'87',b'0',b'133',b'8',b'False',b'False',b'True',b'False',b'2012-07-17 14:30:29'
