b'\\u0936\\u093f\\u0935\\u093e \\u0906\\u091f\\u094b \\u0935\\u0930\\u094d\\u0915\\u094d\\u0938 \\u0914\\u0930 \\u0924\\u094d\\u092f\\u093e\\u0917\\u0940 \\u0938\\u093e\\u092c\\u0941\\u0928 \\u0938\\u094d\\u091f\\u094b\\u0930 \\u0926\\u094b\\u0928\\u094b\\u0902 \\u0938\\u0941\\u0930\\u0915\\u094d\\u0937\\u093f\\u0924 \\u0939\\u0948 \\u092c\\u0940\\u091a \\u092e\\u0947\\u0902 \\u091c\\u0941\\u0932\\u094d\\u092b\\u093f\\u0915\\u093e\\u0930 \\u092e\\u0932\\u093f\\u0915 \\u0915\\u0940 \\u0936\\u0949\\u092a \\u0939\\u0948 \\u091c\\u094b \\u091c\\u0932\\u093e \\u0926\\u0940 \\u0917\\u0908\\u0964\\U0001f625\\u2026 https://t.co/dKSfgDCF6B',b'1232295435299147777',b'J.A Siddiqui',b'ja_siddiqui',b'Graveyard.',"b""\\u200f\\u200f\\u200f\\u200f\\u200f\\u200fReciter & Teacher of \\nHoly Qur'an.\\n\\n\\u200e\\u200e\\u200e#NoObedience To Any Creature In \\u200e\\u200e\\u200e#Disobedience To The Creator\\u06d4\\n\\u06c1\\u0627\\u06ba!\\u0645\\u06cc\\u06ba \\u0645\\u0637\\u0644\\u0628\\u06cc \\u0627\\u0646\\u0633\\u0627\\u0646 \\u06c1\\u0648\\u06ba\\u06d4""",b'681',b'726',b'0',b'10522',b'5895',b'False',b'False',b'True',b'False',b'2019-02-20 18:19:57'
b'Shaheen Bagh protest is going on for 2 months:\\n\\nNo of Riots- 0\\nNo of person injured- 0\\nNo of Houses burnt- 0\\nNo of\\u2026 https://t.co/D6GVn31muB',b'1232295432304369665',b'BackhodAdmi',b'BakchodAdmii',b'',b'bakchodi',b'11',b'23',b'0',b'458',b'246',b'False',b'False',b'True',b'False',b'2015-12-15 15:54:23'
b'Please stop Violence everyone.\\n\\U0001f64f\\U0001f64f\\U0001f62d\\U0001f62d\\U0001f62d\\nDelhi Police do everything to Stop Violence in delhi.\\n#DelhiRiots \\n#DelhiBurning',b'1232295416626130944',b'jyoteesh singh',b'jyoteeshsingh',b'bhopal',"b""humble and conscious common man .\\nNot responsible for RT'S.""",b'123',b'350',b'0',b'1944',b'2842',b'False',b'False',b'False',b'False',b'2012-04-18 16:52:18'
"b'One cannot ""protest"" in favour of something that is already law. These are terrorists burning a city and its people\\u2026 https://t.co/RoseaGF4Cz'",b'1232295412448387073',b'Fariza Ahmed',b'farizaahmed',"b'Bangalore, India'",b'20 something lawyer.',b'188',b'355',b'2',b'4732',b'2873',b'False',b'False',b'True',b'False',b'2009-04-26 08:20:34'
"b'Situation is exactly the same as it was in 1984,, Houses are being burnt, Administration, people, and even police t\\u2026 https://t.co/EA7Q10zfkb'",b'1232295405561556993',b's\\u03b1ndhu\\u2019s',b'jatt319',b'Punjab',b'\\U0001d4a9\\U0001d4b6\\U0001d4c9\\U0001d4ca\\U0001d4c7\\U0001d452 \\U0001d43f\\U0001d45c\\U0001d4cb\\U0001d452\\U0001d4c7 \\U0001f425',b'132',b'88',b'0',b'493',b'897',b'False',b'False',b'True',b'False',b'2017-04-16 05:17:24'
b'#India under #Modi #DelhiBurning https://t.co/C7TIpOATIs',b'1232295404202602496',b'Muhammad Daim Fazil',b'DaimFazil',"b'Lahore, Sialkot & M. B. Din'",b'PhD student | #IR | Politically Satrical  | Articles @SAVoices @Diplomat_APAC @ThePrint | Visiting Fellow @StimsonCenter Washington DC Jul-Dec16 | #NDU | #PTV',b'980',b'290',b'27',b'10778',b'10620',b'False',b'False',b'False',b'False',b'2015-04-23 08:14:57'
"b'@nazia_e I am an Indian Hindu and I\\u2019m scared to venture in a muslim ghettos, I\\u2019m scared because my train and buses\\u2026 https://t.co/C0rgI6V8OV'",b'1232295401966845954',b'advocateaditichopra',b'advocateaditi12',b'',b'Lawyer',b'43',b'61',b'0',b'198',b'1229',b'False',b'False',b'True',b'False',b'2019-03-07 09:30:28'
b'@ArvindKejriwal \\u091c\\u0940 \\u0927\\u0930\\u0928\\u093e \\u0914\\u0930 \\u0938\\u0924\\u094d\\u092f\\u093e\\u0917\\u094d\\u0930\\u0939 \\u0915\\u093e \\u0938\\u092e\\u092f \\u0928\\u0939\\u0940\\u0902 \\u0939\\u0948 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0928\\u0947 \\u0906\\u092a\\u0915\\u0947 \\u090a\\u092a\\u0930 \\u0935\\u093f\\u0936\\u094d\\u0935\\u093e\\u0938 \\u0915\\u093f\\u092f\\u093e \\u0939\\u0948 \\u0906\\u092a\\u0915\\u094b \\u092d\\u0940 \\u0909\\u0928\\u092a\\u0930 \\u0935\\u093f\\u0936\\u094d\\u0935\\u093e\\u0938 \\u0915\\u0930\\u0928\\u093e \\u092a\\u2026 https://t.co/L7w0ykuhJn',b'1232295401757085698',b'Rajiv ranjan prasad',b'rajivranjanpras',"b'ranchi,jharkhand-INDIA'","b'\\u092a\\u094d\\u0930\\u0935\\u0915\\u094d\\u0924\\u093e  , \\u091d\\u093e\\u0930\\u0916\\u0923\\u094d\\u0921 \\u092a\\u094d\\u0930\\u0926\\u0947\\u0936 \\u0915\\u093e\\u0902\\u0917\\u094d\\u0930\\u0947\\u0938'",b'857',b'694',b'0',b'916',b'1488',b'False',b'False',b'False',b'False',b'2012-02-01 03:36:13'
"b'Nautanki Will Be Exposed Here Watch This Which Angle Prove This As A Peaceful Protest.\\n\\nWomen are throwing stones,\\u2026 https://t.co/WxAEIegcmi'",b'1232295392231837698',b'Ankur Shukla(BJP) \\U0001f1ee\\U0001f1f3',b'ANKRULZZzz',"b'Mumbai, India'",b'\\U0001f1ee\\U0001f1f3is My Religion.\\nVice-President BJP Youth.\\nFuture MP\\u2696\\ufe0f\\u2694\\ufe0f \\nProtecting Heritage/Culture.\\nBJP Since 2012\\nSacrifice For  \\U0001f1ee\\U0001f1f3\\n\\u091c\\u092f \\u0939\\u093f\\u0928\\u094d\\u0926 \\u091c\\u092f \\u092d\\u093e\\u0930\\u0924\\u2764\\ufe0f\\n\\n@bjp4india',b'65',b'37',b'3',b'1710',b'443',b'False',b'False',b'True',b'False',b'2019-07-01 08:18:45'
b'absolutely.. identify the scums recover damages from them.. obviously they cant pay.. make them sign bond commiting\\u2026 https://t.co/3WTXcPc8Wx',b'1232295372992630784',b'Sanket V Garg',b'SanketVGarg',b'',"b'History Buff and likes to read and explore history, politics, and economics. Into current geopolitical affairs and Technology updates.'",b'77',b'283',b'1',b'4059',b'1275',b'False',b'False',b'True',b'False',b'2011-07-10 10:19:13'
b'#Delhi |  US President on #DelhiViolence &amp; #CAA: PM said he wants people to have religious freedom. I heard about i\\u2026 https://t.co/vzOhH7Gcy3',b'1232295370283081728',b'First India',b'thefirstindia',"b'Jaipur, India'",b'Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia',b'3532',b'181',b'3',b'26015',b'94',b'False',b'False',b'False',b'False',b'2019-04-04 10:16:38'
