"b""Top story: @ETNOWlive: 'Death toll in the violent #NortheastDelhi violence rises to 5. One policeman, 4 civilians k\\u2026 https://t.co/7vdAbwYUPw""",b'1232223546023215104',b'Evidence based Medicine',b'DrNancyMalik',"b'Gurgaon, India'",b'Improving global health through universal access to #homeopathy medicine https://t.co/8gV33isvhE \\n~vegetarian ~non-GM food ~Alpha Music ~Meditation ~Yoga',b'3614',b'987',b'231',b'88289',b'771',b'False',b'False',b'False',b'False',b'2009-08-18 11:23:10'
"b'Trump does not need to dig the reality of India, just see what\\u2019s happening in Delhi, pro and anti CAA riots which k\\u2026 https://t.co/MUJkcDekzc'",b'1232223506542350338',b'Haniya',b'HaniKhanPk',b'Karachi ',"b'SM Activist, Reader, Writer, Books Lover. Belive in democracy and equal rights.'",b'1611',b'1524',b'1',b'16414',b'238',b'False',b'False',b'True',b'False',b'2019-10-10 11:39:27'
b'Anti CAA protests have been on for more than two months ALL over the country and no violence and pro CAA Brahmanvad\\u2026 https://t.co/kCqDIBOjXm',b'1232223486636150784',b'Spoilt Modern Woman',b'SpoiltWoman',b'',"b""The Spoilt Modern Woman is here to beat patriarchy and smash stereotypes. It's time to #ReclaimtheNarrative and #RedefineGender.""",b'684',b'355',b'10',b'3775',b'518',b'False',b'False',b'True',b'False',b'2015-07-03 09:43:37'
b'@asmitabee @zoo_bear Not really. @zoo_bear tweets only about pro CAA rioters . @AdityaRajKaul is tweeting about ant\\u2026 https://t.co/WdYEiDPJHI',b'1232223468814401536',b'The_Albatross',b'TheAlbatross15',b'',"b""history, strategy, defence, aerospace, maritime, yeah I'm 'The Albatross' for a reason!""",b'241',b'169',b'1',b'10727',b'11728',b'False',b'False',b'True',b'False',b'2019-04-26 15:40:55'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/M70tAl9YpQ',b'1232223360198705158',b'Muhammed Ansar',b'Muhamme71675310',b'',b'',b'6',b'14',b'0',b'28',b'2',b'False',b'False',b'True',b'False',b'2020-02-14 09:53:23'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/KkxgFYQdly',b'1232223292645208065',b'Zaquib',b'Zaquib1',b'',b'Be a Voice not an Echo \\u2623\\ufe0f',b'3',b'19',b'0',b'16',b'7',b'False',b'True',b'True',b'False',b'2020-02-09 17:03:55'
"b""@mrsigh3 @Nikkisoindi007 @PoliticalBhidu @dhruv_rathee There is no clear evidence who did this you can't blame a pa\\u2026 https://t.co/Fod3aRNvVI""",b'1232223248013594624',b'Curator',b'GHULAMY92592160',b'',b'Meri Nass Nass bahe tu watan\\nMeri Nass Nass kahe ae watan\\n\\n   Mera saara tujhpe waara',b'18',b'104',b'0',b'742',b'977',b'False',b'False',b'True',b'False',b'2019-06-09 06:46:41'
b'@VishalDadlani Do the pro #CAA people not have the right to protest or is it reserved for the anti #CAA. Moreover v\\u2026 https://t.co/Mhzyxc87JM',b'1232223215394705408',b'brij bagri',b'bmbagri',b'India',b'Tweets are personal views. Truth hurts only in the short term so be upfront and forthright. RT not an endorsement',b'201',b'268',b'21',b'9960',b'372',b'False',b'False',b'True',b'False',b'2009-11-23 06:51:32'
"b""They were Not protestors, But let's assume for a Sec, And think Why  Violence happened only after Pro CAA Rioters came .""",b'1232223108255354881',b'Sarcastic_HumaN',b'Delhi_Sarcasm',"b'Jamia Nagar, New Delhi'",b'.',b'1880',b'149',b'3',b'7704',b'5671',b'False',b'False',b'True',b'False',b'2019-10-17 14:34:16'
b'@BiplabSiladitya These are all pro CAA terrorists ? Isnt it ? https://t.co/oKdnFj4W0g',b'1232223082770620416',b'Akash',b'alive_awsm',b'',b'Alive is Awsm !!!',b'957',b'4909',b'13',b'35161',b'64508',b'False',b'False',b'False',b'False',b'2010-02-02 12:05:06'
"b'CAA is already passed, anti CAA protests samajh mein aate hain wtf are pro CAA protests \\U0001f926\\U0001f3fc\\u200d\\u2642\\ufe0f\\U0001f926\\U0001f3fc\\u200d\\u2642\\ufe0f\\U0001f926\\U0001f3fc\\u200d\\u2642\\ufe0f Abey mandhb\\u2026 https://t.co/x104cuTL3H'",b'1232223059165294593',b'Chanandler Bong',b'thedevilishere9',b'',"b'Comedy movies, dark humor, car enthusiast (watch a lot of car shows on TV) Pearl Jam, Metallica'",b'316',b'254',b'1',b'8239',b'6850',b'False',b'False',b'True',b'False',b'2017-10-30 15:30:08'
"b'@AnsuPHP @Swamy39 Guy in the pic with Gun is one from Pro CAA side, not anti CAA side.'",b'1232222941292613632',b'Saad Sayed',b'S_Sayyed_S',"b'Mumbai, India'",b'The good deed and the evil deed cannot be equal. Repel (the evil) with one which is better. Quran 41:34',b'30',b'366',b'0',b'718',b'540',b'False',b'False',b'True',b'False',b'2015-11-10 19:06:26'
b'Pro CAA goons are calling for mass violence and k!ll Muslims.\\n\\nThey are the same who entered Gargi College and mole\\u2026 https://t.co/9dJDX9Y8q5',b'1232222885894377472',b'MS Golvalkar (Parody)',b'goloobhai',"b'Nagpur, India'",b'Parody | \\u0938\\u0930\\u0938\\u0902\\u0918\\u091a\\u093e\\u0932\\u0915 | \\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0924\\u094d\\u0935 | Hypocrite | BHU \\U0001f6a9',b'1407',b'911',b'1',b'8877',b'127943',b'False',b'False',b'True',b'False',b'2015-03-05 12:17:16'
b'Protesters expressing their anger against pro CAA stand of @KeralaGovernor Arif Muhammed Khan by blockading Raj Bha\\u2026 https://t.co/tydFFPyuz5',b'1232222808857612289',b'Mohamed Rafid',b'MohamedRafid15',b'',b'',b'9',b'7',b'0',b'72',b'51',b'False',b'False',b'True',b'False',b'2020-02-25 02:52:38'
b'@GdnReadersEd \\n\\nhttps://t.co/jgCw6t3ZfP\\n\\nThe article is highly in accurate in its presentation. The protests were b\\u2026 https://t.co/IbgMVWQowg',b'1232222643287277569',b'chetanHAR',b'chetan_har',b'',b'',b'0',b'2',b'0',b'6',b'0',b'False',b'True',b'True',b'False',b'2019-03-08 18:53:49'
"b""All true . Except that Delhi has also seen rioting by groups which r 'pro' CAA. Whether as a reaction or by themsel\\u2026 https://t.co/KYEXcG6njA""",b'1232222642293182466',b'The_Albatross',b'TheAlbatross15',b'',"b""history, strategy, defence, aerospace, maritime, yeah I'm 'The Albatross' for a reason!""",b'241',b'169',b'1',b'10727',b'11728',b'False',b'False',b'True',b'False',b'2019-04-26 15:40:55'
"b'Both pro and anti CAA sides will have to calm down, and leaders of all parties and communities should come on the ground to appeal for peace'",b'1232222571619377152',b'humanoid',b'makad_1',b'',b'human',b'4',b'141',b'0',b'2898',b'1225',b'False',b'False',b'True',b'False',b'2015-08-25 22:56:10'
b'@MirchiSayema Why not Pro CAA protesters shown their protest at Jantar Mantar or Ramlila Ground. What was the urgen\\u2026 https://t.co/FJ2BLZmAUD',b'1232222441771950081',b'Mission Bharat',b'AnilkukrejaA',b'',b'Delhi',b'632',b'1545',b'0',b'2353',b'512',b'False',b'False',b'True',b'False',b'2013-10-15 17:00:58'
b'Have Delhi Police arrested any Pro CAA supporter who was involved in Violence and Arson despite video evidence?',b'1232222441755303936',b'Rahul Meena',b'MeenaHosteL1995',"b'New Delhi, India'",b'Modern Tribal. Secular. Socialist. Climate Activist.\\nAlumnus @meenahosteljpr. Delhi University. Blogger.',b'918',b'1088',b'1',b'13361',b'19075',b'False',b'False',b'True',b'False',b'2017-07-08 15:01:52'
