b'\\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0915\\u0947 \\u0906\\u0917\\u092e\\u0928 \\u092a\\u0930 \\u092c\\u0939\\u0941\\u0924 \\u0938\\u0947 \\u0938\\u094d\\u0925\\u093e\\u0928\\u094b\\u0902 \\u0915\\u094b \\u0938\\u091c\\u093e\\u092f\\u093e \\u0917\\u092f\\u093e\\n\\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0915\\u0947 \\u091c\\u093e\\u0924\\u0947 \\u0939\\u0940 \\u092c\\u0939\\u0941\\u0924 \\u0938\\u0947 \\u0938\\u094d\\u0925\\u093e\\u0928\\u094b\\u0902 \\u0915\\u094b \\u0938\\u0941\\u091c\\u093e\\u092f\\u093e \\u091c\\u093e\\u090f\\u0917\\u093e\\n\\n#Trump\\u2026 https://t.co/HGMGwjtWd8',b'1232233976963555328',b'\\U0001f1ee\\U0001f1f3 \\u0930\\u093e\\u0939\\u0941\\u0932 \\u0932\\u092e\\u094d\\u092c\\u0930\\u0926\\u093e\\u0930 \\U0001f6a9',b'rahullambardaar',b'India',"b'\\U0001f6a9\\U0001f549\\ufe0f #\\u091c\\u092f\\u0939\\u093f\\u0902\\u0926 #\\u091c\\u092f\\u092d\\u093e\\u0930\\u0924  #\\u0930\\u093e\\u092e\\u092d\\u0915\\u094d\\u0924 #\\u092d\\u093e\\u0930\\u0924\\u092e\\u093e\\u0924\\u093e_\\u0915\\u0940_\\u091c\\u092f \\n#\\u0915\\u0930\\u094d\\u092e_\\u0914\\u0930_\\u0927\\u0930\\u094d\\u092e_\\u0926\\u094b\\u0928\\u094b_\\u0938\\u0947_\\u0939\\u093f\\u0928\\u094d\\u0926\\u0942\\n#\\u0928\\u092e\\u094b_\\u092d\\u0915\\u094d\\u0924 , #\\u092c\\u0941\\u0902\\u0926\\u0947\\u0932\\u0940  \\U0001f549\\ufe0f\\U0001f6a9'",b'1255',b'2278',b'27',b'42216',b'6084',b'False',b'False',b'False',b'False',b'2010-05-28 09:24:37'
b'DP Head constable Ratan Lal was martyred by murderous jih@di mob in Delhi today.\\n\\nHe died while serving his country\\u2026 https://t.co/LxjUivCcUE',b'1232233975281618944',b'Jageshwar Singh Chauhan',b'Jageshw37848729',b'877 Balaji nagar kota',b'',b'226',b'839',b'0',b'66435',b'6045',b'False',b'False',b'True',b'False',b'2017-12-31 04:04:12'
b'#DelhiRiots #DelhiViolence #DelhiPolice This is like an arsonist blaming the fire services for not coming in time t\\u2026 https://t.co/6IiySM7lmg',b'1232233968549781504',b'd c dias',b'decydi',b'',b'',b'25',b'1',b'0',b'8084',b'0',b'False',b'True',b'True',b'False',b'2012-04-23 19:14:48'
b'@UN @narendramodi #DelhiRiots #DelhiPolice #DelhiPoliceAtrocities @CNN @ndtv https://t.co/O29eyOoXzv',b'1232233967572488197',b'MD.BELAL',b'belal202',"b'Kolkata, West Bengal'",b'Hakuna Matata...',b'59',b'389',b'0',b'131',b'94',b'False',b'False',b'True',b'False',b'2009-05-05 06:54:44'
b'Delhi police in same behaviour. Instead of taking them to hospital they are misbehaving and torturing them. Dear si\\u2026 https://t.co/OyUrYx4ImJ',b'1232233960576471042',b'Parveen Nangal',b'ParveenNangal',b'',b'',b'1',b'151',b'0',b'1',b'2',b'False',b'False',b'True',b'False',b'2020-02-18 06:03:38'
"b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u0947 \\u0917\\u094b\\u0915\\u0941\\u0932\\u092a\\u0941\\u0930\\u0940, \\u092e\\u094c\\u091c\\u092a\\u0941\\u0930-\\u092c\\u093e\\u092c\\u0930\\u092a\\u0941\\u0930 \\u0914\\u0930 \\u091c\\u093e\\u092b\\u0930\\u093e\\u092c\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u0939\\u093f\\u0902\\u0938\\u093e. \\u0906\\u0917\\u091c\\u093c\\u0928\\u0940 \\u0914\\u0930 \\u092a\\u0924\\u094d\\u0925\\u0930\\u092c\\u093e\\u091c\\u093c\\u0940 \\u092e\\u0947\\u0902 \\u0939\\u0947\\u0921 \\u0915\\u093e\\u0902\\u0938\\u094d\\u091f\\u0947\\u092c\\u0932 \\u0915\\u0940 \\u092e\\u094c\\u0924. \\u0928\\u093e\\u0917\\u0930\\u093f\\u0915\\u0924\\u093e\\u2026 https://t.co/hhywX97uIK'",b'1232233902703509504',b'Vhp vicky prajapati bajrang dal',b'vhp_bajrang',b'',b'rss',b'41',b'208',b'0',b'74',b'591',b'False',b'False',b'True',b'False',b'2020-02-03 10:59:55'
b'#DelhiRiots #DelhiPolice #DelhiViolence #ShahrukhMuslimTerrorist https://t.co/f4qRbMGkwP',b'1232233890087088128',b'Harsh',b'itstooharsh',b'india',b'be greedy to your needs..',b'3',b'51',b'0',b'17',b'4',b'False',b'False',b'True',b'False',b'2019-12-16 18:33:40'
b'@sumitkashyapjha Where is @RahulGandhi @INCIndia @priyankagandhi \\n\\n#DelhiPolice #DelhiRiots #DelhiViolence\\u2026 https://t.co/8PZEMP2wLd',b'1232233866502561793',b'M A Samad | \\u0639\\u0628\\u062f \\u0627\\u0644\\u0635\\u0645\\u062f | \\u0c05\\u0c2c\\u0c4d\\u0c26\\u0c41\\u0c32\\u0c4d \\u0c38\\u0c2e\\u0c3e\\u0c26\\u0c4d',b'sam_ab123',b'',"b'Mera Bharat Mahaan, Support Congress, and AIMIM; \\nLive and let live policy, Tweets Personal'",b'48',b'96',b'1',b'4104',b'13216',b'False',b'False',b'False',b'False',b'2011-10-24 10:04:04'
"b""I have heard #DelhiPolice has super smart #FacialRecognition system in place and now this photograph can't be a lie\\u2026 https://t.co/UtBN2eqIQQ""",b'1232233848655749120',b'ManWithNoCountry',b'akchaudh',b'Los Angeles',b'Air Pollution Specialist. Loves Photography and Salsa Dancing. \\nHumanity is my religion. Freedom of Expression =not Abuse.',b'231',b'746',b'1',b'22796',b'4173',b'False',b'False',b'True',b'False',b'2010-07-21 03:09:16'
"b'There could be hurdles, apparent mishandling and delay in dealing with agitation, but nothing can justify violence\\u2026 https://t.co/r0bCrqGaSB'",b'1232233825880535045',b'sunil saxena',b'saxenask352',b'',"b'Keeps an eye on financial,political and social events.Retired IRS.Loves sports & painting. Speaks for what is right and just'",b'506',b'462',b'1',b'1799',b'1369',b'False',b'False',b'True',b'False',b'2014-12-07 13:48:41'
b'@iainmarlow @ZarrarKhuhro See what they did with Muslim woman. \\n\\nHindutva terrorists took off their pants and flash\\u2026 https://t.co/9S1VjcuvYl',b'1232233824777637889',b'Tasneem Nisar',b'sul_acid',b'bagh azadkashmir',b'Dust speck',b'129',b'391',b'0',b'2768',b'4408',b'False',b'False',b'True',b'False',b'2014-02-03 18:09:39'
