"b'24 Feb, 7:30PM : Arson in Tyre market at Gokulpuri. A school nearby suffers damages.\\n25 Feb, 11:30PM : RAF Deployed\\u2026 https://t.co/xWtw9b7ECC'",b'1232311940610842627',b'Feminism in India',b'FeminismInIndia',b'India',"b'FII amplifies the voices of women and marginalized groups using tools of art, media, culture, technology & community. Subscribe: \\nhttps://t.co/wMm4oPtpiT'",b'37568',b'1734',b'410',b'51204',b'3143',b'True',b'False',b'False',b'False',b'2013-12-15 18:02:24'
"b'24 Feb, 2:30PM : Petrol pump, vehicles and buses set afire. Several people injured. \\n24 Feb, 5:15pm : Violence cont\\u2026 https://t.co/QDkWrnKDGf'",b'1232311937741934592',b'Feminism in India',b'FeminismInIndia',b'India',"b'FII amplifies the voices of women and marginalized groups using tools of art, media, culture, technology & community. Subscribe: \\nhttps://t.co/wMm4oPtpiT'",b'37568',b'1734',b'410',b'51204',b'3143',b'True',b'False',b'False',b'False',b'2013-12-15 18:02:24'
"b'24 Feb, 11:40AM : Pro-CAA Protestors arrive at Jaffrabad and refuse to move until anti-CAA protestors leave.\\n24 Feb\\u2026 https://t.co/MJnT01u2az'",b'1232311935086907393',b'Feminism in India',b'FeminismInIndia',b'India',"b'FII amplifies the voices of women and marginalized groups using tools of art, media, culture, technology & community. Subscribe: \\nhttps://t.co/wMm4oPtpiT'",b'37568',b'1734',b'410',b'51204',b'3143',b'True',b'False',b'False',b'False',b'2013-12-15 18:02:24'
b'Thread : Delhi is burning for the second consecutive day. What events have unfolded while we have allowed the spotl\\u2026 https://t.co/57frwgs3CG',b'1232311932406812679',b'Feminism in India',b'FeminismInIndia',b'India',"b'FII amplifies the voices of women and marginalized groups using tools of art, media, culture, technology & community. Subscribe: \\nhttps://t.co/wMm4oPtpiT'",b'37568',b'1734',b'410',b'51204',b'3143',b'True',b'False',b'False',b'False',b'2013-12-15 18:02:24'
b'#fightthehate stop voilance\\n\\n#DelhiRiots #DelhiBurning #DelhiViolence #AmitShahMustResign #HarHinduKapilMishra\\u2026 https://t.co/t8Z2Cx3jl9',b'1232311925339353090',b'Saccha Hindu',b'modikigodichodi',"b'Bhopal, India'",b'its very important to criticize to keep democracy Alive\\n\\n#medico\\nintern\\n#madcowdisease',b'13',b'57',b'0',b'130',b'181',b'False',b'False',b'True',b'False',b'2016-12-22 21:09:07'
b'The ongoing genocide of Indian Muslims by #Hinduterrorist in New Delhi.\\n\\n#DelhiBurning #DelhiViolence\\u2026 https://t.co/ymOJ5M4uG0',b'1232311923409969152',b'IAmSharjeel',b'RomZarZ',b'Al-Hind',"b'Pro-justice. Anti-racist, Anti-imperialist, Anti-capitalist.'",b'84',b'38',b'3',b'2206',b'5331',b'False',b'False',b'True',b'False',b'2019-02-10 10:47:17'
b'Journalists who spread #FakeNews regarding 2002 got exposed in SC &amp; had to apologise in courts. SM will expose MSM\\u2026 https://t.co/1MVVzuISlA',b'1232311922227204097',b'VJ',b'vjchats_IN',"b'Ahmedabad/Mumbai, \\u092d\\u093e\\u0930\\u0924.'",b'Keep the Right out of your bedroom and the Left out of your purse. #IntolerantCovfefe',b'518',b'347',b'25',b'28580',b'26682',b'False',b'False',b'False',b'False',b'2014-06-13 13:01:21'
b'Thank you Jinnah!\\n#DelhiBurning\\n#DelhiRiots',b'1232311921514139648',b'Umer',b'_UmerNiaz_',"b'Lahore, Pakistan'",b'I can smell the psychosphere out here.\\nNUST Alumnus | https://t.co/VhtffjnTs1',b'533',b'422',b'4',b'22217',b'23857',b'False',b'False',b'False',b'False',b'2013-01-27 13:50:39'
b'#DelhiBurning #DelhiViolence #DelhiCAAClashes https://t.co/2RfKc15w39',b'1232311920700448774',b'Shahid Khan',b'ShahidK95936953',b'',b'Ndb\\U0001f30d\\nRider\\U0001f3cd\\nDancer \\U0001f6b6\\nFitness lover \\U0001f4aa\\nSinger \\U0001f3a4\\n\\U0001f310Facebook : shahid khan',b'2',b'28',b'0',b'23',b'3',b'False',b'False',b'True',b'False',b'2018-11-21 15:02:43'
"b'@lotophagus Yes, Menaces of Pakistani mindsets living in India has grown too big, Jinnah divided India and their fo\\u2026 https://t.co/D9SeHWoAfN'",b'1232311916707696640',b'SwaRajYogiRaj',b'SwaRajYogiRaj',b'',"b'Love my thousands of years old civilization culture traditions history heritage, Wish to carry them forward, Love/respect all living/non living things,\\u2764\\ufe0f Israel'",b'255',b'379',b'2',b'19138',b'89494',b'False',b'False',b'True',b'False',b'2019-07-30 11:35:30'
b'\\u0928\\u0947\\u0924\\u093e\\u0913\\u0902 \\u0915\\u0947 \\u092a\\u093e\\u0938 \\u091c\\u093f\\u0924\\u0928\\u0940 \\u0928\\u092b\\u0930\\u0924 \\u092b\\u0948\\u0932\\u093e\\u0928\\u0947 \\u0915\\u0947 \\u0932\\u093f\\u090f \\u0924\\u093e\\u0915\\u0924 \\u0939\\u0948 \\u0935\\u094b \\u0926\\u093f\\u0916\\u093e \\u0930\\u0939\\u0947 \\u0939\\u0948\\u0902 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u094b \\u0926\\u0902\\u0917\\u094b\\u0902 \\u0915\\u0940 \\u0906\\u0917 \\u092e\\u0947\\u0902 \\u091d\\u094b\\u0902\\u0915 \\u0939\\u0940 \\u0926\\u093f\\u092f\\u093e \\u092c\\u093e\\u0915\\u0940 \\u0909\\u0928\\u0915\\u093e \\u092e\\u0915\\u0938\\u2026 https://t.co/rsVAOlNgiv',b'1232311908427911169',b'Rukhsar Naz',b'RukhsarNaz14',b'',b'',b'1766',b'229',b'0',b'7745',b'5289',b'False',b'False',b'True',b'False',b'2019-02-10 15:00:25'
b'#HumDekhenge inki taanashahi ka anth.\\n#DelhiBurning #DelhiViolence https://t.co/BGJyvjlM3D',b'1232311895429828609',b'Anirudh',b'anniewuddha',"b'Bengaluru, India'",b'Resisting all the fresh bullshit in all my non-binary finery. Fighting the long fight. Could always use a drink.',b'35',b'52',b'0',b'28',b'13',b'False',b'False',b'True',b'False',b'2017-11-03 05:09:46'
b'Notice issued to DCP North East @DCPNEastDelhi  by Delhi Minorities Commission @khan_zafarul\\n\\n#DelhiBurning\\u2026 https://t.co/LTOkmiozc8',b'1232311892481200129',b'Ovais Sultan Khan',b'OvaisSultanKhan',"b'Delhi, India'","b'Director, Future Council | Human Rights, Justice & Peace Activist | De-learner | Dissenter | Conversationalist | Believer | Rage, Refuse, Resist | RT \\u2260 Endorse'",b'5167',b'433',b'24',b'19270',b'10759',b'False',b'False',b'False',b'False',b'2010-04-23 18:30:17'
"b'\\u092f\\u0947 1992 \\u0935\\u093e\\u0932\\u093e \\u092c\\u093e\\u092c\\u0930\\u0940 \\u0915\\u093e \\u092e\\u0902\\u091c\\u093c\\u0930 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u0948,\\n\\u092f\\u0947 2020 \\u092e\\u0947\\u0902 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u093e \\u092e\\u0902\\u091c\\u093c\\u0930 \\u0939\\u0948\\u2026\\n\\u092e\\u0938\\u094d\\u091c\\u093f\\u0926 \\u0915\\u0940 \\u092e\\u0940\\u0928\\u093e\\u0930\\u094b\\u0902 \\u092a\\u0930 \\u0906\\u0924\\u0902\\u0915\\u0935\\u093e\\u0926\\u093f\\u092f\\u094b\\u0902 \\u0915\\u093e \\u091d\\u0941\\u0902\\u0921 \\u091a\\u0922\\u093c\\u0924\\u093e\\u2026 https://t.co/ZaP8wF17w5'",b'1232311886818840577',b'Rehan Khan',b'RehanKh10542417',b'',b'no bio',b'6',b'47',b'0',b'169',b'168',b'False',b'False',b'True',b'False',b'2020-01-30 19:15:25'
