b'@7Michael7Shawn7 @DilleyShow #IvanaTrump and #IvankaTrump too',b'1229629844616552453',b'Bloodymir Putin',b'BloodymirPutin',"b'San Gil, COLOMBIA '","b""Cra 15A No. 21 - 69 Peatonal, San Gil, COLOMBIA. Tel 323 253 9699. Also Twitter's @EmilioPradilla and Instagram's frozen BBNNrealNews""",b'587',b'2493',b'1',b'13348',b'13913',b'False',b'False',b'True',b'False',b'2017-06-25 21:01:44'
b'@barryscheck I am a Stern Girl. I wrote the way forward former VA Governor used to restore voting dignity to 100s o\\u2026 https://t.co/7NM3sq5xvo',b'1229624223859191808',b'Carrie Devorah',b'CarrieDevorah1',b'',"b'Journo Balancing Being Investment Client SEC Asked To Be Whistleblower w Felon Justice Reform-Politics-Faith-IP https://t.co/C4BLMjfJwY ,http://t.co/pWLOJKxey3'",b'426',b'479',b'17',b'17088',b'344',b'False',b'False',b'False',b'False',b'2010-06-19 12:49:29'
"b""I'm reading American Oligarchs ! That Kushner MF-er !!!! #kushner #IvankaTrump #jaredkushner""",b'1229617537563987968',b'LuLu',b'peanutnjelly',"b'New York, NY'",b'\\U0001f30a VOTE BLUE NO MATTER WHO\\U0001f30a #bluewave2020 #resister #vegan #immigrant #fucktrump',b'751',b'2860',b'2',b'4554',b'20620',b'False',b'False',b'True',b'False',b'2009-02-21 00:50:18'
b'@Flipside61 @TravisAllen02 Or marry one! #IvankaTrump #MelaniaTrump',b'1229607937431220224',b'Jessica B',b'JessicaB9906',b'',b'',b'32',b'151',b'0',b'421',b'4582',b'False',b'False',b'True',b'False',b'2019-12-25 04:19:02'
"b""#ivankatrump Check out miss chase \\U0001f407's video! #TikTok https://t.co/XNgpncaJHm""",b'1229601429138087936',b'Taimour Chaudhri',b'ChaudhriTaimour',b'',b'',b'16',b'102',b'0',b'1096',b'1785',b'False',b'False',b'True',b'False',b'2019-12-19 20:50:00'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/vqNa2XXyBG""",b'1229593275876573184',b'H. Erin Nelson',b'HErinNelson',"b'Massachusetts, USA'","b'Best-Selling Author of BIBLETOONS series, Web Designer/Owner of WorldHorizons Web, Affiliate Marketer at Wealthy Affiliate, and Best of all, a MOTHER!'",b'302',b'842',b'16',b'632',b'1005',b'False',b'False',b'False',b'False',b'2011-05-26 12:37:04'
b'These cockroaches don\\u2019t scuttle out of sight when the light shines on them.\\n#IvankaTrump \\n#TrumpNotFitForOffice https://t.co/jF4NnE1x1e',b'1229586556110852096',b'Sue D. Cook',b'suedcook',"b'Seattle, WA'","b'Developmental/substantive editor, scriptwriter | cat staff | @plainlanguage | @edsguild | @Action4MediaEd | opinions are my own'",b'168',b'415',b'3',b'1843',b'1942',b'False',b'False',b'False',b'False',b'2011-11-13 05:48:56'
b'@w_terrence watch out mothafckr that #MAGA hat is infected by Coronavirus and #Ivankatrump is the licensee',b'1229567889864372224',b'AMAstupid',b'AMAstupid_',b'',b'AMAStupid - Ask Me Anything Stupid',b'180',b'407',b'0',b'19316',b'1948',b'False',b'False',b'True',b'False',b'2019-03-06 20:35:20'
b'#MAGA2020 #DonaldTrump #IvankaTrump #dtj https://t.co/53XIPYwRbf',b'1229559621267939330',b'Edward Caselee',b'ECaselee',b'United States',b'',b'5',b'74',b'0',b'204',b'712',b'False',b'False',b'True',b'False',b'2020-01-10 20:47:49'
b'#IvankaTrump https://t.co/6icOApEthd',b'1229557529446944768',b'Xixxioux',b'xixxioux',"b'Toronto, Ontario'",b'',b'330',b'1893',b'0',b'20593',b'41979',b'False',b'False',b'True',b'False',b'2009-03-14 20:55:40'
b'#IMPEACHED! #DonaldTrump #POTUS @realDonaldTrump #StableGenius\\n#WhinyLittleBitch #FoxNews #FoxAndFriends #MikePence\\u2026 https://t.co/UwEaIyrryt',b'1229551191958245376',b'Trump Hating Vet',b'BayAreaHorndog',b'San Francisco Bay Area',b'An old guy who believes that Donald Trump is a disgrace to America and humanity who has already proven himself to be the worst President in US history! Sad!',b'245',b'15',b'54',b'54223',b'63',b'False',b'False',b'False',b'False',b'2010-07-07 15:38:27'
b'#DonaldTrump #POTUS @realDonaldTrump #StableGenius\\n#WhinyLittleBitch #FoxNews #FoxAndFriends #MikePence\\u2026 https://t.co/ZXAgLh3iCF',b'1229550992699428865',b'Trump Hating Vet',b'BayAreaHorndog',b'San Francisco Bay Area',b'An old guy who believes that Donald Trump is a disgrace to America and humanity who has already proven himself to be the worst President in US history! Sad!',b'245',b'15',b'54',b'54223',b'63',b'False',b'False',b'False',b'False',b'2010-07-07 15:38:27'
b'@SteveHiltonx Does it physically hurt to be a spineless suck-up? Or does it come naturally? \\nAsking for the majorit\\u2026 https://t.co/graOhJXr8X',b'1229550581045485571',b'Jan Lewis',b'portside27',b'United States',"b""Will listen to both sides as long as there are facts. Cynicism and sarcasm work, lack of facts doesn't.""",b'1244',b'1486',b'4',b'34259',b'30486',b'False',b'False',b'True',b'False',b'2011-06-26 02:46:04'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/8MVTA4YrNZ""",b'1229548918372847616',b'Sammy',b'maji343',b'',b'Cerebral Palsy--Disability Advocate--YouTuber',b'30',b'37',b'0',b'1464',b'2306',b'False',b'False',b'True',b'False',b'2011-12-12 17:44:43'
"b""@monaeltahawy The thing is, her visit to #UAE has nothing to do with #women's rights and all to do with under the t\\u2026 https://t.co/UlrRP1zZyJ""",b'1229540958880092163',b'Lol\\xf3 \\U0001f1ea\\U0001f1e8\\U0001f3d4\\U0001f5fd\\U0001f1fa\\U0001f1f8',b'CoffeeWithLolo',b'USA',"b'Happy mom, chocoholic, unlikely geek, entrepreneur.'",b'269',b'531',b'50',b'22783',b'7630',b'False',b'False',b'False',b'False',b'2008-12-20 03:38:22'
b'@Rschooley @Ez4u2say_Janis @AshaRangappa_ There is nothing original about White #IvankaTrump. https://t.co/cmNpy3iYZX',b'1229536306721521665',b'Marco Antonio Garcia',b'WriterMarco',b'',b'Storyteller\\nSooner strangle an infant in its cradle than nurse unacted desires.',b'19',b'215',b'0',b'1125',b'773',b'False',b'False',b'True',b'False',b'2019-12-25 04:17:05'
b'@IvankaTrump Your such a classy lady!  #IvankaTrump',b'1229533984243298306',b'Becky Johnson',b'2GoldStarMom4',b'',"b'I am a Gold Star Mother.  My son, SSG Gary Lee Woods Jr was KIA 4/10/09 in Mosul Iraq'",b'46',b'40',b'0',b'291',b'73',b'False',b'False',b'False',b'False',b'2014-04-30 10:15:40'
"b'""Trumps sex doll/robot daughter""...lolololol. #ivankatrump https://t.co/CwLAP96NJ1'",b'1229531991294431232',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22485',b'404',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
b'@fallen_Catholic @CaslerNoel @IvankaTrump She failed at modeling big time too. #ivankatrump',b'1229531319421390848',b'Booboo Kitty',b'CSBBB',b'',"b""I'm a dog...I HAVE no manners...I crap in public and don't clean it up.!!!!""",b'145',b'53',b'30',b'22485',b'404',b'False',b'False',b'True',b'False',b'2009-06-07 05:34:01'
"b""Shouldn't your gutless criminal husband be investigated for complicity in murder, @IvankaTrump?\\n#IvankaTrump\\u2026 https://t.co/ekt7o0YJGS""",b'1229524746846396417',b'Scott Davidson',b'ScottDavidson54',b'',b'',b'301',b'156',b'7',b'67310',b'6863',b'False',b'False',b'True',b'False',b'2016-05-29 02:22:03'
b'This is just humiliating. BTW....I believe white is for funerals there\\U0001f644\\n#ivankatrump https://t.co/LUB9Gha8Ug',b'1229510998458945536',b'Imjust Sayin',b'sayin_imjust',"b'Hilton Head, South Carolina'","b'Optimistic REALIST who is SO over all you drama and ""me monsters""- not blaming anyone when our POTUS is role modeling this mess. No, I\'m not perfect.'",b'3',b'61',b'0',b'79',b'53',b'False',b'False',b'True',b'False',b'2020-02-03 18:25:06'
b'@JeannePancurak I meant #shallow = #IvankaTrump',b'1229508208970076161',b'Derhakan Lina',b'DerhakanL',b'',b'Proud Jordanian Palestinian cares about #Humanity & believe in #justice. Open to #diversity #debate #FreePalestine #IsraelisTerrorists #IsraelisNewNazis',b'51',b'145',b'0',b'362',b'969',b'False',b'False',b'True',b'False',b'2014-11-10 18:30:33'
b'Ivanka Trump really had no place in that conference. There are many more impressive women who should have been the\\u2026 https://t.co/jBuStracqP',b'1229503102996353025',b'Tawfiq Al-Ghussein',b'TJG21',b'',b'',b'241',b'334',b'1',b'2965',b'990',b'False',b'False',b'True',b'False',b'2009-04-17 08:21:05'
"b""@EllieM72 @RF_P0TUS Oh you cynic you. And Theresa May, what's she doing there, appearance money? #IvankaTrump #Trump #Taxpayersdime""",b'1229500213582336000',b'Teddy',b'TeddyShepherd',b'UK',"b'Sea Shepherd member. Campaigner against cruelty, injustice, intolerance and religion in the public square.'",b'1500',b'1556',b'35',b'42569',b'10678',b'False',b'False',b'False',b'False',b'2011-02-05 14:33:06'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/vmacNDY5uE""",b'1229487179312680960',b'Betty Kuhlman',b'kuhlman_betty',b'',b'',b'7',b'16',b'0',b'2501',b'9',b'False',b'True',b'True',b'False',b'2014-07-17 03:28:47'
b'Along with #IvankaTrump https://t.co/sA0N6uJmx6',b'1229484893576413184',b'StandForSomething',b'StandForSomet10',b'',b'#Resist #Ex-Republican #SaveourDemocracy',b'992',b'1514',b'0',b'4066',b'10684',b'False',b'False',b'True',b'False',b'2020-02-05 12:53:00'
"b'@IvankaTrump Seriously, in what capacity &amp; what qualifications do you have aside of #Trumpsdaughter you are ! \\n#IvankaUnwanted #IvankaTrump'",b'1229482127231791104',b'Derhakan Lina',b'DerhakanL',b'',b'Proud Jordanian Palestinian cares about #Humanity & believe in #justice. Open to #diversity #debate #FreePalestine #IsraelisTerrorists #IsraelisNewNazis',b'51',b'145',b'0',b'362',b'969',b'False',b'False',b'True',b'False',b'2014-11-10 18:30:33'
b'No comments #IvankaTrump https://t.co/sGt4lZFvEi',b'1229472801855299584',b'Simon Kent',b'SimonKentucky',b'LDN-NY',b'Source',b'533',b'136',b'17',b'5296',b'12185',b'False',b'False',b'True',b'False',b'2015-03-29 15:49:29'
b'#DonaldTrump #POTUS @realDonaldTrump #StableGenius\\n#WhinyLittleBitch #FoxNews #FoxAndFriends #MikePence\\u2026 https://t.co/W8bup1cpyW',b'1229470613166641153',b'Trump Hating Vet',b'BayAreaHorndog',b'San Francisco Bay Area',b'An old guy who believes that Donald Trump is a disgrace to America and humanity who has already proven himself to be the worst President in US history! Sad!',b'245',b'15',b'54',b'54223',b'63',b'False',b'False',b'False',b'False',b'2010-07-07 15:38:27'
b'@MysterySolvent I\\u2019m looking at her body language....let\\u2019s see if @DrGJackBrown agrees with me. Theresa May looks li\\u2026 https://t.co/nugcJ9B5hq',b'1229461726497734656',b'Erin Alexander',b'ErinSexology707',"b'San Antonio, TX'",b'#SexTherapist #MentalHealth CANNOT ethically or personally support trump #FollowBackResistance #BlueWave2020 #Veterans #ImpeachedforLife',b'3172',b'4995',b'8',b'22012',b'31341',b'False',b'False',b'True',b'False',b'2017-09-01 22:42:07'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @kimluther6 #poshmark #fashion\\u2026 https://t.co/BYi4YHwCcR""",b'1229457208250732548',b'ste',b'sehenkelste',b'',b'',b'22',b'1',b'0',b'1625',b'0',b'False',b'True',b'True',b'False',b'2012-01-21 18:34:40'
b'Ivanka Trump u hid\\u017eabu pro\\u0161etala Ujedinjenim Arapskim Emiratima #IvankaTrump https://t.co/cuzI0vcmWR https://t.co/aShGx2FIkP',b'1229452537348186113',b'Objektiva.ba',b'ObjektivaB',b'Bosna i Hercegovina',"b'Objektiva je nezavisni informativni web portal sa ciljem da dostavlja narodu vijesti onakve kakve bi trebale biti, a prvenstveno bi trebale biti istinite.'",b'122',b'481',b'0',b'1549',b'0',b'False',b'False',b'True',b'False',b'2019-09-18 21:53:57'
"b""#IvankaTrump's Magical Mystery Tour continues... https://t.co/gXeMGJioti""",b'1229448830153707520',b'TrumpGoingGone',b'CorporatePiggie',b'',b'#RESIST #TheResistance  #FBR  #IMPEACH #LGBTQ #BLM\\n#Inequality NO DMs',b'10445',b'9649',b'16',b'75925',b'51092',b'False',b'False',b'False',b'False',b'2015-08-26 21:35:11'
b'#DonaldTrump #POTUS @realDonaldTrump #StableGenius\\n#WhinyLittleBitch #FoxNews #FoxAndFriends #MikePence\\u2026 https://t.co/IsBiNyJaDw',b'1229443403374452740',b'Trump Hating Vet',b'BayAreaHorndog',b'San Francisco Bay Area',b'An old guy who believes that Donald Trump is a disgrace to America and humanity who has already proven himself to be the worst President in US history! Sad!',b'245',b'15',b'54',b'54223',b'63',b'False',b'False',b'False',b'False',b'2010-07-07 15:38:27'
b'#News \\n#Hyderabad \\n#Telangana \\n#ShaheenBagh\\n#supremecourtofindia \\n#ShaheenBaghProtests \\n#NRC \\n#CAA_NRC_Protests\\u2026 https://t.co/OLoAga8Lcb',b'1229442420078628864',b'\\U0001d4dc\\U0001d4f8\\U0001d4f1\\U0001d4ea\\U0001d4f6\\U0001d4f6\\U0001d4ee\\U0001d4ed \\U0001d4d5\\U0001d4ea\\U0001d4fb\\U0001d503\\U0001d4ea\\U0001d4f7 \\U0001d4d0\\U0001d4f1\\U0001d4f6\\U0001d4ee\\U0001d4ed',b'farzanmedia',b'Hyderabad/Secunderabad',"b'Journalist based in Hyderabad, India'",b'75',b'211',b'1',b'1443',b'181',b'False',b'False',b'False',b'False',b'2018-08-17 14:24:19'
